RNA,ID,Length,total fragments,Avg lifetime,StdDev
yhcM,1541,1128,3,1.230483333,0.228094901
yhcB,1542,399,1,3.8722,0
degQS,1543,2525,6,2.476906667,0.598239693
mdh,1544,939,3,11.12004667,2.355140634
argR,1545,471,1,3.09929,0
tldD,1549,1446,4,1.62877,0.302089468
mreB,1551,1044,3,2.958683333,0.088888863
yhdH,1553,975,3,8.062196667,1.203553453
accBC,1554,1831,6,10.97937,3.131624163
yhdT-panF-prmA,1555,2577,6,2.989775,0.187334724
dusB-fis,1556,1288,4,2.706325,0.363126035
def-fmt,1563,1472,4,2.2863875,0.195111106
rsmB,1564,1290,4,1.878895,0.133838646
trkA,1565,1377,4,1.961865,0.209383244
rpsMKD-rpoA-rplQ,1566,2856,6,5.887921667,1.061802993
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,1567,5532,6,3.016206667,1.234003601
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,1568,4957,6,11.55297,3.446627275
fkpA,1572,813,2,3.51228,0.54349
slyD,1574,591,1,8.44426,0
yheSTU,1575,3148,6,1.708265,0.148168648
prkB,1576,870,2,3.189955,0.353435
yhfA,1577,405,1,4.56356,0
crp,1578,633,2,2.392105,0.066805
yhfK,1579,2103,6,1.1948575,0.219628903
argD,1580,1221,4,2.0009,0.061967502
ppiA,1581,573,1,2.1275,0
tsgA,1582,1182,3,3.291123333,0.27623813
mrcA,1586,2553,6,1.164646333,0.266384811
nudE,1587,561,1,0.813233,0
yrfF,1588,2136,6,0.995676167,0.253869664
pck,1590,1623,5,9.613906,4.537499843
ompR-envZ,1591,2069,6,4.150046667,1.107204331
greB,1592,477,1,1.82094,0
yhgF,1593,2322,6,2.879695,0.264297022
bioH,1595,771,2,4.64253,0.36869
gntT,1596,1317,4,3.38414,0.231679718
asd,1600,1104,3,11.81451,2.455767339
yhgN,1601,594,1,3.21294,0
gntR,1602,996,3,1.268137,0.397809194
yhhW,1603,696,2,2.856025,0.034835
yhhX,1604,1038,3,2.242503333,0.357961586
yhhK,1611,384,1,2.0101,0
rpoH,1613,855,2,2.946195,0.175105
rsmD-yhhL,1614,856,2,1.57988,0.08292
yhhM,1615,360,1,2.00781,0
yhhN,1616,627,2,2.04074,0.0331
dcrB,1620,558,1,3.85513,0
acpT,1623,588,1,1.20617,0
yhiN,1628,1203,4,2.064825,0.182246817
pitA,1629,1500,5,2.887016,0.154201768
uspA,1631,435,1,4.99242,0
prlC-yhiQ,1633,2803,6,2.424105,0.386765938
yhiR,1634,843,2,2.123525,0.024795
gor,1635,1353,4,4.88514,0.171344675
kdgK,1651,930,3,2.048126667,0.118738091
yhjJ,1652,1497,4,2.217725,0.242745493
dctA,1653,1287,4,8.4626825,1.149880962
yhjV,1660,1272,4,2.7284125,0.479051221
eptB,1663,1692,5,1.5136432,0.84850391
yiaD,1666,660,2,4.797745,0.305755
ghrB,1667,975,3,9.471983333,2.230857119
yiaF,1668,711,2,4.64706,0.13263
bax,1677,825,2,1.640455,0.095315
avtA,1679,1254,4,1.597235,0.109961414
yiaJ,1681,849,2,1.75104,0.11207
yibL,1692,363,1,1.96162,0
lldPRD,1693,3619,6,1.508015,0.159615585
trmL,1694,474,1,4.41249,0
cysE,1695,822,2,2.70689,0.03586
yibN,1697,432,1,3.50339,0
kbl-tdh,1698,2232,6,27.40195,19.32886567
yicC,1702,864,2,3.490905,0.243575
gmk,1704,624,2,2.133165,0.197525
rpoZ-spoT-trmH-recG,1705,5186,6,1.706501667,1.32426843
gltS,1706,1206,4,2.3755125,0.204526452
yicH,1708,1710,5,1.345408,0.249858075
nepI,1715,1191,3,2.15959,0.097163508
yicN,1716,453,1,1.49727,0
yidQ,1725,333,1,1.42554,0
yidA,1728,813,2,4.8702,0.09238
yidB,1729,399,1,7.21872,0
gyrB,1730,2415,6,2.706563333,0.320049504
rpmH-rnpA,1731,517,1,3.09865,0
mnmE,1732,1365,4,3.6417,0.475013046
yieEF,1734,1350,4,2.597325,1.046793803
yieG,1735,1338,4,3.13403,0.227883419
yieH,1736,666,2,5.374275,0.291405
asnC,1738,459,1,2.32625,0
asnA,1739,993,3,2.888596667,0.109249406
kup,1741,1869,6,1.965766667,0.283079006
hdfR,1745,840,2,4.409285,0.053595
yifE,1746,339,1,3.17243,0
ilvC,1749,1476,4,2.0029125,0.072955586
rep,1752,2022,6,1.053262833,0.362183405
gpp,1753,1485,4,1.2659675,0.154461873
rhlB,1754,1266,4,1.5818825,0.082004694
trxA,1755,330,1,4.72668,0
rhoL-rho,1756,1446,4,3.1346525,0.053664973
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM,1757,12781,6,1.993743333,0.181838137
yifK,1758,1386,4,36.029025,12.70014388
argX-hisR-leuT-proM,1759,437,1,1.78873,0
hemCDXY,1763,4081,6,1.91125,0.365690432
cyaA,1764,2547,6,0.872949833,0.102591501
yifL-dapF-yigA-xerC-yigB,1765,3378,6,1.8382,0.261914325
uvrD,1766,2163,6,3.446903333,0.238527358
corA,1768,951,3,1.381588333,0.294987801
rarD,1769,891,2,2.941835,0.161215
yigI,1770,468,1,3.74434,0
pldA,1771,870,2,1.36637,0.06459
recQ,1772,1830,6,0.924635,0.144315505
pldB-yigL,1775,1831,6,6.162553333,5.88954148
metE,1776,2262,6,7.268628333,1.109967506
udp,1778,762,2,7.71759,0.00104
ubiE-yigP-ubiB,1780,3012,6,1.883088333,0.210517726
ubiD,1781,1494,4,1.9988675,0.080404794
fre,1782,702,2,2.78419,0.08205
pepQ-yigZ-trkH-hemG,1784,3993,6,3.226043333,0.584478992
yihG,1788,933,3,1.940346667,0.523036915
polA,1789,2787,6,2.100903333,0.140553751
yihA,1791,597,1,3.4183,0
yihI,1793,510,1,2.24172,0
hemN,1794,1374,4,4.27917,0.265566669
glnA,1795,1410,4,4.4914125,2.583202225
typA,1796,1824,6,4.848098333,0.419908744
yihXY-dtd-yiiD,1804,2886,6,2.092295,0.175067875
fdhD,1807,834,2,2.07452,0.14038
sodA,1810,621,2,12.10995,1.19455
yiiM,1812,675,2,2.505045,0.228455
cpxP,1813,501,1,2.71941,0
fieF,1814,903,3,2.800743333,0.818320588
pfkA,1815,963,3,4.127673333,0.336301561
cdh,1817,756,2,1.99954,0.17718
tpiA,1818,768,2,3.837395,0.385915
yiiQ,1819,600,2,1.1113235,0.1124265
yiiR,1820,441,1,2.28802,0
yiiS-uspD,1821,755,2,4.87868,0.13031
fpr,1822,747,2,2.613575,0.042135
hslVU,1824,1872,6,3.526256667,0.28194639
cytR,1825,1026,3,1.448283333,0.043292821
metJ,1829,318,1,2.21536,0
metBL,1830,3596,6,3.030158333,0.832922333
metF,1831,891,2,2.503075,0.642845
katG,1832,2181,6,15.8348,3.223682102
yijP,1837,1734,5,2.348452,0.162773879
ppc,1838,2652,6,3.162381667,0.253269066
argE,1839,1152,3,3.702083333,0.281607808
argCBH,1840,3223,6,2.250315,0.23805577
fabR-yijD,1842,1064,3,1.531996667,0.298688094
trmA,1843,1101,3,1.65902,0.079410231
murB-birA,1845,1991,6,2.493523333,0.220231546
coaA,1846,951,3,1.236206667,0.066523413
secE-nusG,1848,931,3,2.481703333,0.203883432
rpoBC,1849,8329,6,4.696273333,0.612751251
yjaZ,1850,540,1,19.408,0
rsd,1853,477,1,2.7735,0
nudC-hemE-nfi,1854,2559,6,4.296423333,1.026262218
yjaG,1855,591,1,2.80295,0
yjaH,1857,696,2,2.74984,0.84354
metA,1861,930,3,1.39087,0.256668066
iclR,1862,825,2,2.305155,0.170015
metH,1863,3684,6,2.225088333,0.152312139
yjbB,1864,1632,5,3.857938,0.334512402
rluF,1866,873,2,3.446025,0.090055
lysC,1868,1350,4,1.98432,0.031731456
pgi,1869,1650,5,2.188598,0.127890621
malEFG,1872,3794,6,6.163335,2.329165754
malK-lamB-malM,1873,3691,6,5.174911667,4.009938397
ubiCA,1875,1383,4,1.17786575,0.110844556
plsB,1876,2424,6,2.195553333,0.146588299
dgkA,1877,369,1,2.8984,0
lexA-dinF,1878,2007,6,2.18266,0.502961908
zur,1880,516,1,3.57796,0
dusA,1882,1038,3,3.72807,0.164554484
dnaB,1885,1416,4,1.2262025,0.074075613
alr,1886,1080,3,1.651843333,0.273167826
tyrB,1887,1194,3,22.99663333,8.172437958
aphA,1888,714,2,2.584555,0.011815
yjbQR,1889,777,2,3.33585,0.08663
ssb,1891,537,1,3.07967,0
soxS,1894,324,1,3.58178,0
yjcD,1895,1350,4,4.52244,0.234173804
gltP,1899,1314,4,2.2536525,0.107509398
yjcO,1900,690,2,1.44715,0.13617
yjdM,1906,336,1,6.17208,0
proP,1908,1503,5,1.781514,0.134652767
eptA,1909,1644,5,1.639332,0.035488374
lysU,1918,1518,5,7.580588,2.016151708
cutA,1922,339,1,2.01215,0
aspA,1923,1437,4,5.4212375,0.573752126
fxsA,1924,477,1,1.56136,0
yjeI,1926,354,1,3.87212,0
yjeK,1928,1029,3,0.971393667,0.043384357
efp,1929,567,1,2.64821,0
yjeA,1931,978,3,1.84155,0.173336688
rsgA,1935,1053,3,2.045076667,0.108143995
orn,1936,546,1,2.85498,0
purA,1939,1299,4,5.310205,1.182910793
rpsF-priB-rpsR-rplI,1947,1440,4,5.9295525,0.706709016
fklB,1949,621,2,8.035875,1.190715
cycA,1950,1413,4,2.6949275,0.485525491
ytfH,1954,381,1,2.19044,0
cpdB,1955,1944,6,3.57127,0.722370161
cysQ,1956,741,2,3.652365,0.166665
ytfJ,1958,555,1,4.032,0
ytfL,1960,1344,4,1.3556975,0.148719656
msrA,1961,639,2,4.7956,0.59243
ppA,1963,531,1,3.75678,0
fbp,1965,999,3,4.72615,1.02150091
mpl,1966,1374,4,2.33383,0.165390476
yjgA,1967,552,1,3.28533,0
pmbA,1968,1353,4,2.48122,0.336331289
cybC,1969,303,1,9.96647,0
treBC,1970,3127,6,2.486381667,0.378218912
mgtA,1972,2891,6,1.070020667,0.165520516
yjgF,1973,387,1,6.49479,0
argI,1980,1005,3,2.42497,0.132514752
yjgM,1981,504,1,1.63117,0
pepA,1983,1512,5,3.952348,0.448860542
lptFG,1984,2183,6,1.44198,0.134194481
uxuR,2011,774,2,1.33045,0.27807
mdoB,2028,2292,6,0.906911167,0.148048666
fhuF,2031,789,2,1.18005,0.07093
rsmC,2033,1032,3,2.509026667,0.135003023
holD-rimI-yjjG,2034,1521,5,2.097592,0.594612873
prfC,2035,1590,5,2.523346,0.118688425
yjjK,2040,1668,5,3.606458,0.55673401
trpR,2042,327,1,1.89767,0
yjjX,2043,513,1,2.57628,0
arcA,2044,717,2,4.03178,0.24622
