RNA,ID,Length,total fragments,Avg lifetime,StdDev
yaeR,79,390,1,7.9437,0
tilS,80,1299,4,2.870805,0.189100847
yaeP-rof,81,448,1,4.76824,0
yaeQJ-nlpE,82,1689,5,2.56247,0.457729165
proS,84,1719,5,2.4973,0.332989044
rcsF-yaeB,85,1109,3,3.685716667,0.312222448
metNIQ,86,2533,6,1.820871667,0.915983986
gmhB,87,576,1,2.86092,0
yafDE,89,1428,4,1.9757425,0.0916787
mltD,90,1359,4,1.7087325,0.06461154
gloB,91,756,2,4.42645,0.72914
dnaQ,92,732,2,1.444867,0.585103
yafV,98,771,2,1.279605,0.183105
lpcA,101,579,1,2.78809,0
dinJ-yafQ,102,542,1,1.8555,0
pepD,108,1458,4,7.8816625,0.582129582
gpt,109,459,1,1.33853,0
frsA,110,1245,4,2.360115,0.247018295
crl,111,402,1,3.68467,0
proBA,113,2369,6,2.110313333,0.587881394
yagU,131,615,2,5.00926,0.39261
ykgMO,137,404,1,4.65376,0
betT,143,2034,6,2.239953333,0.361912326
yaiL,160,540,1,1.92661,0
frmRAB,161,2347,6,17.88355,9.640935797
hemB,164,975,3,3.824176667,0.328550162
ampH,169,1158,3,1.584633333,0.072137577
ddlA,173,1095,3,3.55777,0.412888829
proC,177,810,2,2.903875,0.143225
yaiI,178,459,1,2.48872,0
rdgC,181,912,3,2.07058,0.12133125
brnQ-proY,185,2769,6,2.525475,0.338136126
malZ,186,1818,6,4.740178333,0.548600747
acpH,187,582,1,2.19187,0
queA,188,1071,3,1.46778,0.068328138
yajD,189,348,1,1.72873,0
tsx,190,885,2,3.418955,0.429105
thiI,192,1449,4,1.8074625,0.166513605
yajQ,193,492,1,2.70586,0
yajR,194,1365,4,1.43933,0.233926275
ampG,195,1476,4,1.320955,0.147725263
yajG,196,579,1,1.65689,0
bolA,197,318,1,5.14172,0
tig,198,1299,4,3.61022,0.308580755
ppiD,201,1872,6,2.638966667,0.185072544
queC,204,696,2,4.11781,0.67834
ybaO,207,459,1,0.718728,0
ybaY,211,573,1,6.21658,0
ylaC,216,471,1,1.61848,0
maa,217,552,1,1.28439,0
acrR,218,648,2,1.4682055,0.6529445
kefA,219,3363,6,1.299767667,0.204991549
ybaN,220,378,1,1.28202,0
apt,221,552,1,2.69878,0
dnaX,222,1932,6,2.043508333,0.241652945
ybaB-recR,223,935,3,4.774726667,0.864422753
htpG,224,1875,6,2.246613333,0.225246679
adk,225,645,2,4.70696,0.35723
gsk,226,1305,4,1.6842,0.11027772
ybaL,227,1677,5,1.181046,0.08567778
fsr,228,1221,4,2.82994,0.17149319
ushA,229,1653,5,3.35072,0.457569941
ybaK,230,480,1,4.1695,0
ybaQ,231,342,1,2.22411,0
cueR,234,408,1,1.02683,0
ybbN,236,855,2,3.137215,0.182635
allR,243,816,2,3.61932,0.16439
purEK,245,1574,5,2.611824,0.171115214
ppiB-lpxH,246,1220,4,2.692295,1.123895988
cysS,247,1386,4,3.5883875,0.384415266
intD,254,1164,3,1.4499,0.28825128
pheP,276,1377,4,2.0628375,0.094564503
mscM,277,1248,4,5.9513425,0.533863481
nfsB,278,654,2,4.970345,0.183365
dsbG,291,747,2,3.20302,0.20308
uspG,292,429,1,2.84121,0
rnk,294,411,1,7.45596,0
rna,295,807,2,1.44349,0.10116
pagP,300,561,1,0.727417,0
crcB,302,384,1,4.45195,0
lipA,305,966,3,4.539906667,0.415760128
dacA,307,1212,4,3.2118225,0.302481655
ybeL,308,483,1,4.05853,0
rihA,314,936,3,7.831116667,0.842994642
miaB,317,1425,4,4.30469,0.532744859
ubiF,318,1176,3,2.73574,0.654393992
asnB,319,1665,5,3.29127,0.282275949
nagC,320,1221,4,1.483365,0.230386953
nagA,321,1149,3,2.534933333,0.204443508
nagE,322,1947,6,11.18459667,2.548384764
glnS,323,1665,5,3.07624,0.320598905
ybfF,325,765,2,2.404545,3.50E-05
seqA-pgm,326,2212,6,3.173513333,0.647741363
gltA,338,1284,4,3.0288875,0.278653039
sucABCD,339,6344,6,2.5,1.118033989
