7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1366	nikA	-9.714046e-01	1	-1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1367	nikB	-3.970967e-01	1	-1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1368	nikC	-7.733605e-01	1	-1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1369	nikD	-6.410362e-01	1	-1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1370	nikE	-6.837421e-01	1	-1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	242	nikR	-2.043606e-01	1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1321	nirB	-2.139084e+00	1	-1	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1323	nirC	-8.150949e-01	1	-1	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1322	nirD	-1.530645e+00	1	-1	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1641	nrdD	-7.107876e-01	1	2	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1640	nrdG	-4.339548e-01	1	2	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1587	nrfA	-1.791379e+00	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1588	nrfB	-2.538867e+00	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1589	nrfC	-1.208033e+00	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1590	nrfD	-5.036813e-01	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	3990	nrfE	-3.927294e-01	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	3991	nrfF	-5.942130e-01	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1032	nuoE	1	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1031	nuoF	0	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1030	nuoG	0	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1029	nuoH	0	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1025	nuoL	0	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1024	nuoM	0	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	647	pflB	3	1	1	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	1107	purM	3.033660e-01	-1	2	2	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	2631	ydhW	-7.015472e-01	1	1	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	2630	ydhX	-2.597295e-01	1	1	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	2633	ydhY	-1.026374e+00	1	1	3	
7	3	Oxygen	None	WT-aerobic	WT-anaerobic	89	fnr	3730	yhjA	-6.390158e-01	1	2	2	
