"Name"	"Blattner number"	"Location E coli B"
"yafC"	"b0208"	"C"
"yafD"	"b0209"	"C"
"yafE"	"b0210"	"C"
"mltD"	"b0211"	"E"
"gloB"	"b0212"	"C"
"yafS"	"b0213"	"C"
"rnhA"	"b0214"	"C"
"dnaQ"	"b0215"	"C"
"yafT"	"b0217"	"P"
"insA-2"		"C"
"insB-2"		"C"
		"C"
"yhhI-1"	"b3484"	"C"
"yafV"	"b0219"	"C"
"ykfE"	"b0220"	"P"
"fadE"	"b0221"	"IM"
"lpcA"	"b0222"	"C"
"yafJ"	"b0223"	"C"
"yafK"	"b0224"	"P"
"yafQ"	"b0225"	"C"
"dinJ"	"b0226"	"C"
"yafL"	"b0227"	"P"
"yafM"	"b0228"	"C"
"dinB"	"b0231"	"C"
"yafN"	"b0232"	"C"
"yafO"	"b0233"	"C"
"yafP"	"b0234"	"C"
"ykfJ"	"b0235"	"C"
"prfH"	"b0236"	"C"
"pepD"	"b0237"	"C"
"gpt"	"b0238"	"C"
"yafA"	"b0239"	"C"
"crl"	"b0240"	"C"
"insA-3"		"C"
"insB-3"		"C"
"phoE"	"b0241"	"OM"
"proB"	"b0242"	"C"
"proA"	"b0243"	"C"
"yagP"	"b0282"	"C"
"yagQ"	"b0283"	"C"
"yagR"	"b0284"	"IM"
"yagS"	"b0285"	"C"
"yagT"	"b0286"	"C"
"yagU"	"b0287"	"IM"
"ykgJ"	"b0288"	"IM"
"yagV"	"b0289"	"IM"
"yagW"	"b0290"	"IM"
"yagX"	"b0291"	"OM"
"yagY"	"b0292"	"P"
"yagZ"	"b0293"	"P"
"ykgK"	"b0294"	"C"
"ykgL"	"b0295"	"C"
"ykgM"	"b0296"	"C"
"eaeH"	"b0297"	"OM"
"ykgA"	"b0300"	"C"
"ykgB"	"b0301"	"IM"
"ykgI"	"b0303"	"P"
"ykgC"	"b0304"	"C"
"ykgD"	"b0305"	"C"
"ykgE"	"b0306"	"IM"
"ykgF"	"b0307"	"IM"
"ykgG"	"b0308"	"C"
	"b0309"	"C"
"ykgH"	"b0310"	"IM"
"betA"	"b0311"	"C"
"betB"	"b0312"	"C"
"betI"	"b0313"	"C"
"betT"	"b0314"	"IM"
"yahA"	"b0315"	"C"
"yahB"	"b0316"	"C"
"yahC"	"b0317"	"IM"
"yahD"	"b0318"	"C"
"yahE"	"b0319"	"C"
"yahF"	"b0320"	"C"
"yahG"	"b0321"	"C"
"yahI"	"b0323"	"C"
"yahJ"	"b0324"	"P"
