"Name"	"Blattner number"	"Location E coli B"
"himD"	"b0912"	"C"
"ycaI"	"b0913"	"IM"
"msbA"	"b0914"	"IM"
"lpxK"	"b0915"	"IM"
"ycaQ"	"b0916"	"C"
"ycaR"	"b0917"	"C"
"kdsB"	"b0918"	"C"
"ycbJ"	"b0919"	"C"
"ycbC"	"b0920"	"C"
"smtA"	"b0921"	"C"
"mukF"	"b0922"	"C"
"mukE"	"b0923"	"C"
"mukB"	"b0924"	"C"
"ycbB"	"b0925"	"P"
"ycbK"	"b0926"	"E"
"ycbL"	"b0927"	"C"
"aspC"	"b0928"	"C"
"ompF"	"b0929"	"OM"
"asnS"	"b0930"	"C"
"pncB"	"b0931"	"C"
"pepN"	"b0932"	"IM"
"ssuB"	"b0933"	"C"
"ssuC"	"b0934"	"IM"
"ssuD"	"b0935"	"C"
"ssuA"	"b0936"	"P"
"ssuE"	"b0937"	"C"
"ycbQ"	"b0938"	"E"
"ycbR"	"b0939"	"P"
"ycbS"	"b0940"	"OM"
"ycbT"	"b0941"	"F"
"ycbU"	"b0942"	"E"
"ycbV"	"b0943"	"E"
"ycbF"	"b0944"	"P"
"pyrD"	"b0945"	"C"
"ycbW"	"b0946"	"C"
"ycbX"	"b0947"	"C"
"ycbY"	"b0948"	"C"
"uup"	"b0949"	"C"
"pqiA"	"b0950"	"IM"
"pqiB"	"b0951"	"IM"
"ymbA"	"b0952"	"C"
"rmf"	"b0953"	"C"
"fabA"	"b0954"	"C"
"ycbZ"	"b0955"	"C"
"ycbG"	"b0956"	"C"
"ompA"	"b0957"	"OM"
"sulA"	"b0958"	"IM"
"yccR"	"b0959"	"C"
"yccS"	"b0960"	"IM"
"yccF"	"b0961"	"IM"
"helD"	"b0962"	"C"
"mgsA"	"b0963"	"C"
"yccT"	"b0964"	"P"
"yccU"	"b0965"	"C"
"yccV"	"b0966"	"C"
"yccW"	"b0967"	"C"
"yccX"	"b0968"	"C"
"yccK"	"b0969"	"C"
"yccA"	"b0970"	"IM"
"hyaA"	"b0972"	"IM"
"hyaB"	"b0973"	"P"
"hyaC"	"b0974"	"IM"
"hyaD"	"b0975"	"C"
"hyaE"	"b0976"	"C"
"hyaF"	"b0977"	"C"
"appC"	"b0978"	"IM"
"appB"	"b0979"	"IM"
"appA"	"b0980"	"P"
"yccC"	"b0981"	"IM"
"yccY"	"b0982"	"C"
"yccZ"	"b0983"	"OM"
"ymcA"	"b0984"	"OM"
"ymcB"	"b0985"	"P"
"ymcC"	"b0986"	"IM"
"ymcD"	"b0987"	"IM"
"cspH"	"b0989"	"C"
"cspG"	"b0990"	"C"
"sfa"	"b0991"	"IM"
"gnsA"	"b4517"	"C"
"yccM"	"b0992"	"IM"
"torS"	"b0993"	"IM"
"torT"	"b0994"	"P"
"torR"	"b0995"	"C"
"torC"	"b0996"	"IM"
"torA"	"b0997"	"P"
"torD"	"b0998"	"C"
"yccD"	"b0999"	"C"
"cbpA"	"b1000"	"IM"
"yccE"	"b1001"	"C"
"agp"	"b1002"	"P"
"yccJ"	"b1003"	"C"
"wrbA"	"b1004"	"C"
"ymdF"	"b4518"	"C"
"ycdG"	"b1006"	"IM"
"ycdH"	"b1007"	"C"
"ycdI"	"b1008"	"C"
"ycdJ"	"b1009"	"C"
"ycdK"	"b1010"	"C"
"ycdL"	"b1011"	"C"
"ycdM"	"b1012"	"C"
"ycdC"	"b1013"	"C"
"putA"	"b1014"	"C"
"putP"	"b1015"	"IM"
"ycdN"	"b1016-b1017(b4490)"	"IM"
"ycdO"	"b1018"	"P"
"ycdB"	"b1019"	"P"
"phoH"	"b1020"	"C"
"ycdP"	"b1021"	"IM"
"ycdQ"	"b1022"	"IM"
"ycdR"	"b1023"	"P"
"ycdS"	"b1024"	"OM"
"ycdT"	"b1025"	"IM"
"insF-1"		"C"
"insE-1"		"C"
"ycdW"	"b1033"	"C"
"ycdX"	"b1034"	"C"
"ycdY"	"b1035"	"C"
"ycdZ"	"b1036"	"IM"
"csgG"	"b1037"	"OM"
"csgF"	"b1038"	"P"
"csgE"	"b1039"	"P"
"csgD"	"b1040"	"C"
"csgB"	"b1041"	"F"
"csgA"	"b1042"	"F"
"csgC"	"b1043"	"C"
"ymdA"	"b1044"	"P"
"ymdB"	"b1045"	"C"
"ymdC"	"b1046"	"C"
"mdoC"	"b1047"	"IM"
"mdoG"	"b1048"	"P"
"mdoH"	"b1049"	"IM"
"yceK"	"b1050"	"C"
"msyB"	"b1051"	"C"
"yceE"	"b1053"	"IM"
"htrB"	"b1054"	"IM"
"yceA"	"b1055"	"C"
"yceI"	"b1056"	"P"
"yceJ"	"b1057"	"IM"
"yceO"	"b1058"	"IM"
"solA"	"b1059"	"C"
"yceP"	"b1060"	"C"
"dinI"	"b1061"	"C"
"pyrC"	"b1062"	"C"
"yceB"	"b1063"	"C"
"grxB"	"b1064"	"C"
"yceL"	"b1065"	"IM"
"rimJ"	"b1066"	"C"
"yceH"	"b1067"	"C"
"mviM"	"b1068"	"C"
"mviN"	"b1069"	"IM"
"flgN"	"b1070"	"C"
"flgM"	"b1071"	"C"
"flgA"	"b1072"	"P"
"flgB"	"b1073"	"BF"
"flgC"	"b1074"	"BF"
"flgD"	"b1075"	"OM"
"flgE"	"b1076"	"BF"
"flgF"	"b1077"	"BF"
"flgG"	"b1078"	"C"
"flgH"	"b1079"	"BF"
"flgI"	"b1080"	"P"
"flgJ"	"b1081"	"P"
"flgK"	"b1082"	"BF"
"flgL"	"b1083"	"BF"
"rne"	"b1084"	"C"
	"b1085"	"C"
"rluC"	"b1086"	"C"
"yceF"	"b1087"	"C"
"yceD"	"b1088"	"C"
"rpmF"	"b1089"	"C"
"plsX"	"b1090"	"C"
"fabH"	"b1091"	"C"
"fabD"	"b1092"	"C"
"fabG"	"b1093"	"C"
"acpP"	"b1094"	"C"
"fabF"	"b1095"	"C"
"pabC"	"b1096"	"C"
"yceG"	"b1097"	"C"
"tmk"	"b1098"	"C"
"holB"	"b1099"	"C"
"ycfH"	"b1100"	"C"
"ptsG"	"b1101"	"IM"
"fhuE"	"b1102"	"OM"
"ycfF"	"b1103"	"C"
"ycfL"	"b1104"	"P"
"ycfM"	"b1105"	"P"
"ycfN"	"b1106"	"C"
"nagZ"	"b1107"	"C"
"ycfP"	"b1108"	"C"
"ndh"	"b1109"	"C"
"ycfJ"	"b1110"	"OM"
"ycfQ"	"b1111"	"C"
"ycfR"	"b1112"	"P"
"ycfS"	"b1113"	"OM"
"mfd"	"b1114"	"C"
"ycfT"	"b1115"	"IM"
"ycfU"	"b1116"	"IM"
"ycfV"	"b1117"	"IM"
"ycfW"	"b1118"	"IM"
"insA-10"		"C"
"insB-10"		"C"
"cobB"	"b1120"	"C"
"ycfZ"	"b1121"	"IM"
"ymfA"	"b1122"	"IM"
"potD"	"b1123"	"P"
"potC"	"b1124"	"IM"
"potB"	"b1125"	"IM"
"potA"	"b1126"	"C"
"pepT"	"b1127"	"C"
"ycfD"	"b1128"	"C"
"phoQ"	"b1129"	"IM"
"phoP"	"b1130"	"C"
"purB"	"b1131"	"C"
"ycfC"	"b1132"	"C"
"trmU"	"b1133"	"C"
"ymfB"	"b1134"	"C"
"ymfC"	"b1135"	"C"
"icdA"	"b1136"	"C"
"ycgW"	"b1160"	"C"
"ycgX"	"b1161"	"C"
"ycgE"	"b1162"	"C"
"ycgF"	"b1163"	"C"
"ycgZ"	"b1164"	"C"
"ymgA"	"b1165"	"C"
"ymgB"	"b1166"	"C"
"ymgC"	"b1167"	"C"
"ycgG"	"b1168"	"IM"
"ymgF"	"b4520"	"IM"
"ymgD"	"b1171"	"P"
	"b1172"	"IM"
"ycgI"	"b1173"	"OM"
"minE"	"b1174"	"C"
"minD"	"b1175"	"C"
"minC"	"b1176"	"C"
"ycgJ"	"b1177"	"P"
"ycgK"	"b1178"	"OM"
"ycgL"	"b1179"	"C"
"ycgM"	"b1180"	"C"
"ycgN"	"b1181"	"C"
"umuD"	"b1183"	"C"
"umuC"	"b1184"	"C"
"dsbB"	"b1185"	"IM"
"nhaB"	"b1186"	"IM"
"fadR"	"b1187"	"C"
"ycgB"	"b1188"	"C"
"dadA"	"b1189"	"C"
"dadX"	"b1190"	"C"
"ycgO"	"b1191"	"IM"
"ldcA"	"b1192"	"C"
"mltE"	"b1193"	"OM"
"ycgR"	"b1194"	"C"
"ymgE"	"b1195"	"IM"
"ycgY"	"b1196"	"C"
"treA"	"b1197"	"P"
"dhaM"	"b1198"	"C"
"dhaL"	"b1199"	"C"
"dhaK"	"b1200"	"C"
"dhaR"	"b1201"	"C"
"ycgV"	"b1202"	"OM"
"ychF"	"b1203"	"C"
"pth"	"b1204"	"C"
"ychH"	"b1205"	"IM"
"ychM"	"b1206"	"IM"
"prsA"	"b1207"	"C"
"ispE"	"b1208"	"C"
"lolB"	"b1209"	"OM"
"hemA"	"b1210"	"C"
"prfA"	"b1211"	"C"
"hemK"	"b1212"	"C"
"ychQ"	"b1213"	"IM"
"ychA"	"b1214"	"C"
"kdsA"	"b1215"	"C"
"ldrA"	"b4419"	"IM"
"ldrB"	"b4421"	"IM"
"ldrC"	"b4423"	"IM"
"chaA"	"b1216"	"IM"
"chaB"	"b1217"	"C"
"chaC"	"b1218"	"C"
"ychN"	"b1219"	"C"
"ychP"	"b1220"	"OM"
"narL"	"b1221"	"C"
"narX"	"b1222"	"IM"
"narK"	"b1223"	"IM"
"narG"	"b1224"	"IM"
"narH"	"b1225"	"IM"
"narJ"	"b1226"	"C"
"narI"	"b1227"	"IM"
"purU"	"b1232"	"C"
"ychJ"	"b1233"	"C"
"ychK"	"b1234"	"C"
"hnr"	"b1235"	"C"
"galU"	"b1236"	"C"
"hns"	"b1237"	"C"
"tdk"	"b1238"	"C"
"adhE"	"b1241"	"C"
"ychE"	"b1242"	"IM"
"oppA"	"b1243"	"P"
"oppB"	"b1244"	"IM"
"oppC"	"b1245"	"IM"
"oppD"	"b1246"	"C"
"oppF"	"b1247"	"IM"
"yciU"	"b1248"	"C"
"cls"	"b1249"	"IM"
"kch"	"b1250"	"IM"
"yciI"	"b1251"	"C"
"tonB"	"b1252"	"IM"
"yciA"	"b1253"	"C"
"ispZ"	"b1254"	"IM"
"yciC"	"b1255"	"IM"
"yciD"	"b1256"	"OM"
"yciE"	"b1257"	"C"
"yciF"	"b1258"	"C"
"yciG"	"b1259"	"C"
"trpA"	"b1260"	"C"
"trpB"	"b1261"	"C"
"trpC"	"b1262"	"C"
"trpD"	"b1263"	"C"
"trpE"	"b1264"	"C"
"trpL"	"b1265"	"C"
"yciV"	"b1266"	"C"
"yciO"	"b1267"	"C"
"insA-11"		"C"
"insB-11"		"C"
"yciL"	"b1269"	"C"
"btuR"	"b1270"	"C"
"yciK"	"b1271"	"C"
"sohB"	"b1272"	"IM"
"yciN"	"b1273"	"C"
"topA"	"b1274"	"C"
"cysB"	"b1275"	"C"
"acnA"	"b1276"	"C"
"ribA"	"b1277"	"C"
"pgpB"	"b1278"	"IM"
"yciS"	"b1279"	"IM"
"yciM"	"b1280"	"C"
"pyrF"	"b1281"	"C"
"yciH"	"b1282"	"C"
"osmB"	"b1283"	"OM"
"yciT"	"b1284"	"C"
"yciR"	"b1285"	"C"
"rnb"	"b1286"	"C"
"yciW"	"b1287"	"C"
"fabI"	"b1288"	"C"
"ycjD"	"b1289"	"C"
"sapF"	"b1290"	"C"
"sapD"	"b1291"	"IM"
"sapC"	"b1292"	"IM"
"sapB"	"b1293"	"IM"
"sapA"	"b1294"	"P"
"ymjA"	"b1295"	"C"
"ycjJ"	"b1296"	"IM"
"ycjK"	"b1297"	"C"
"ycjL"	"b1298"	"C"
"ycjC"	"b1299"	"C"
"aldH"	"b1300"	"C"
"ordL"	"b1301"	"C"
"goaG"	"b1302"	"C"
"pspF"	"b1303"	"C"
"pspA"	"b1304"	"C"
"pspB"	"b1305"	"IM"
"pspC"	"b1306"	"IM"
"pspD"	"b1307"	"C"
"pspE"	"b1308"	"P"
"ycjM"	"b1309"	"C"
"ycjN"	"b1310"	"P"
"ycjO"	"b1311"	"IM"
"ycjP"	"b1312"	"IM"
"ycjQ"	"b1313"	"C"
"ycjR"	"b1314"	"C"
"ycjS"	"b1315"	"P"
"ycjT"	"b1316"	"C"
"ycjU"	"b1317"	"C"
"ycjV"	"b1318"	"C"
"ompG"	"b1319"	"OM"
"ycjW"	"b1320"	"C"
"ycjX"	"b1321"	"C"
"ycjF"	"b1322"	"IM"
"tyrR"	"b1323"	"C"
"tpx"	"b1324"	"C"
"ycjG"	"b1325"	"C"
"ycjI"	"b1326"	"C"
"ycjY"	"b1327"	"C"
"ycjZ"	"b1328"	"C"
"mppA"	"b1329"	"P"
"ynaI"	"b1330"	"IM"
"ynaJ"	"b1332"	"IM"
"ydaA"	"b1333"	"C"
"fnr"	"b1334"	"C"
"ogt"	"b1335"	"C"
"abgT"	"b1336"	"IM"
"abgB"	"b1337"	"C"
"abgA"	"b1338"	"C"
"abgR"	"b1339"	"C"
"ydaL"	"b1340"	"C"
"ydaM"	"b1341"	"C"
"ydaN"	"b1342"	"C"
"dbpA"	"b1343"	"C"
"ydaO"	"b1344"	"C"
"intR"	"b1345"	"C"
"xisR"	"b1346"	"C"
"ydaC"	"b1347"	"C"
"lar"	"b1348"	"C"
"recT"	"b1349"	"C"
"recE"	"b1350"	"C"
"racC"	"b1351"	"C"
"ydaE"	"b4526"	"C"
"kil"	"b1352"	"C"
"sieB"	"b1353"	"IM"
"ydaF"	"b4527"	"C"
"ydaG"	"b1355"	"C"
		"IM"
		"C"
		"C"
"ydfQ-1"	"b1554"	"IM"
"rzpR"	"b1362"	"C"
"trkG"	"b1363"	"IM"
"ynaK"	"b1365"	"C"
		"C"
		"C"
		"C"
		"IM"
"pinR"	"b1374"	"C"
"ynaE"	"b1375"	"C"
"ynaF"	"b1376"	"C"
"ompN"	"b1377"	"OM"
"ydbK"	"b1378"	"C"
"ydbJ"	"b4529"	"P"
"hslJ"	"b1379"	"P"
"ldhA"	"b1380"	"C"
"ydbH"	"b1381"	"IM"
"ynbE"	"b1382"	"C"
"ydbL"	"b1383"	"P"
"feaR"	"b1384"	"C"
"feaB"	"b1385"	"C"
"tynA"	"b1386"	"P"
"insE-2"		"C"
"insF-2"		"C"
"ydbC"	"b1406"	"C"
"ydbD"	"b1407"	"P"
"ynbA"	"b1408"	"IM"
"ynbB"	"b1409"	"IM"
"ynbC"	"b1410"	"C"
"ynbD"	"b1411"	"IM"
"acpD"	"b1412"	"C"
"hrpA"	"b1413"	"C"
"ydcF"	"b1414"	"C"
"aldA"	"b1415"	"C"
"gapC"	"b1416-b1417(b4493)"	"C"
"insA-12"		"C"
"insB-12"		"C"
"cybB"	"b1418"	"IM"
"ydcA"	"b1419"	"P"
"hokB"	"b4428"	"IM"
"mokB"	"b1420"	"C"
"trg"	"b1421"	"IM"
"ydcI"	"b1422"	"C"
"ydcJ"	"b1423"	"C"
"ydcG"	"b1424"	"P"
	"b1425"	"C"
"ydcH"	"b1426"	"C"
"rimL"	"b1427"	"C"
"ydcK"	"b1428"	"C"
"tehA"	"b1429"	"IM"
"tehB"	"b1430"	"C"
"ydcL"	"b1431"	"P"
"ydcM"	"b1432"	"C"
"ydcO"	"b1433"	"IM"
"ydcN"	"b1434"	"C"
"ydcP"	"b1435"	"C"
"yncJ"	"b1436"	"P"
"ydcQ"	"b1438"	"C"
"ydcR"	"b1439"	"C"
"ydcS"	"b1440"	"P"
"ydcT"	"b1441"	"C"
"ydcU"	"b1442"	"IM"
"ydcV"	"b1443"	"IM"
"ydcW"	"b1444"	"C"
"ydcX"	"b1445"	"IM"
"ydcY"	"b1446"	"C"
"ydcZ"	"b1447"	"IM"
"yncA"	"b1448"	"C"
"yncB"	"b1449"	"C"
"yncC"	"b1450"	"C"
"yncD"	"b1451"	"OM"
"yncE"	"b1452"	"P"
"ansP"	"b1453"	"IM"
"yncG"	"b1454"	"C"
"yncH"	"b1455"	"C"
		"C"
"rhsE"	"b1456"	"OM"
"ydcD"	"b1457"	"IM"
	"b1458"	"C"
	"b1459"	"C"
"ydcC"	"b1460"	"C"
"ydcE"	"b1461"	"C"
"yddH"	"b1462"	"C"
"nhoA"	"b1463"	"C"
"narV"	"b1465"	"IM"
"narW"	"b1466"	"C"
"narY"	"b1467"	"IM"
"narZ"	"b1468"	"IM"
"narU"	"b1469"	"IM"
"yddJ"	"b1470"	"C"
"yddK"	"b1471"	"C"
"yddL"	"b1472"	"OM"
"yddG"	"b1473"	"IM"
"fdnG"	"b1474"	"P"
"fdnH"	"b1475"	"IM"
"fdnI"	"b1476"	"IM"
"yddM"	"b1477"	"C"
"adhP"	"b1478"	"C"
"sfcA"	"b1479"	"C"
"rpsV"	"b1480"	"C"
"bdm"	"b1481"	"C"
"osmC"	"b1482"	"C"
"yddO"	"b1483"	"C"
"yddP"	"b1484"	"C"
"yddQ"	"b1485"	"IM"
"yddR"	"b1486"	"IM"
"yddS"	"b1487"	"IM"
"ddpX"	"b1488"	"E"
"dos"	"b1489"	"IM"
"yddV"	"b1490"	"C"
"yddW"	"b1491"	"C"
"xasA"	"b1492"	"IM"
"gadB"	"b1493"	"C"
"pqqL"	"b1494"	"IM"
"yddB"	"b1495"	"OM"
"yddA"	"b1496"	"IM"
"ydeM"	"b1497"	"C"
"ydeN"	"b1498"	"C"
"ydeO"	"b1499"	"C"
	"b1500"	"IM"
"ydeP"	"b1501"	"P"
"ydeQ"	"b1502"	"F"
"ydeR"	"b1503"	"F"
"ydeS"	"b1504"	"E"
"ydeT"	"b1505"	"OM"
"yneL"	"b1506"	"E"
"hipA"	"b1507"	"C"
"hipB"	"b1508"	"C"
"ydeZ"	"b1515"	"IM"
"yneA"	"b1516"	"P"
"yneB"	"b1517"	"C"
"yneC"	"b1518"	"C"
"tam"	"b1519"	"C"
"yneE"	"b1520"	"IM"
"uxaB"	"b1521"	"C"
"yneF"	"b1522"	"IM"
"yneG"	"b1523"	"C"
"yneH"	"b1524"	"C"
"yneI"	"b1525"	"C"
"yneJ"	"b1526"	"C"
"yneK"	"b1527"	"C"
"sotB"	"b1528"	"IM"
"marC"	"b1529"	"IM"
		"C"
		"C"
"marR"	"b1530"	"C"
"marA"	"b1531"	"C"
"marB"	"b1532"	"P"
"eamA"	"b1533"	"IM"
"ydeE"	"b1534"	"IM"
"ydeH"	"b1535"	"C"
"ydeI"	"b1536"	"P"
"ydeJ"	"b1537"	"C"
"dcp"	"b1538"	"C"
"ydfG"	"b1539"	"C"
"ydfH"	"b1540"	"C"
"ydfZ"	"b1541"	"C"
"ydfI"	"b1542"	"C"
"ydfJ"	"b1543"	"IM"
"ydfK"	"b1544"	"C"
"pinQ"	"b1545"	"C"
		"IM"
		"C"
		"C"
"stfR"	"b1372"	"C"
"lomR"	"b1369-b1370"	"OM"
		"C"
"insE-3"		"C"
"insF-3"		"C"
"ybcW"	"b0559"	"C"
"gnsB"	"b1550"	"C"
"ynfN"	"b1551"	"C"
		"C"
"cspI"	"b1552"	"C"
"ydfP"	"b1553"	"IM"
"ydfQ-2"	"b1554"	"P"
"ydfR"	"b1555"	"C"
"essQ"	"b1556"	"IM"
		"C"
		"C"
"insE-4"		"C"
"insF-4"		"C"
		"OM"
		"C"
"ydfU"	"b1560"	"C"
		"C"
"rem"	"b1561"	"C"
"hokD"	"b1562"	"IM"
		"IM"
		"C"
		"C"
		"C"
"ydfX"	"b1568"	"C"
"dicC"		"C"
		"C"
		"C"
		"C"
		"C"
"dicB"	"b1575"	"C"
"ydfD"	"b1576"	"C"
"ydfE"	"b1577"	"C"
		"C"
"rspB"	"b1580"	"C"
"rspA"	"b1581"	"C"
"ynfA"	"b1582"	"IM"
"ynfB"	"b1583"	"P"
"speG"	"b1584"	"C"
"ynfC"	"b1585"	"C"
"ynfD"	"b1586"	"P"
"ynfE"	"b1587"	"P"
"ynfF"	"b1588"	"P"
"ynfG"	"b1589"	"IM"
"ynfH"	"b1590"	"IM"
"ynfI"	"b1591"	"C"
"ynfJ"	"b1592"	"IM"
"ynfK"	"b1593"	"C"
"mlc"	"b1594"	"C"
"ynfL"	"b1595"	"C"
"ynfM"	"b1596"	"IM"
"asr"	"b1597"	"P"
"ydgD"	"b1598"	"P"
"ydgE"	"b1599"	"IM"
"ydgF"	"b1600"	"IM"
"ydgG"	"b1601"	"IM"
"pntB"	"b1602"	"IM"
"pntA"	"b1603"	"IM"
"ydgH"	"b1604"	"P"
"ydgI"	"b1605"	"IM"
"ydgB"	"b1606"	"C"
"ydgC"	"b1607"	"IM"
"rstA"	"b1608"	"C"
"rstB"	"b1609"	"IM"
"tus"	"b1610"	"C"
"fumC"	"b1611"	"C"
"fumA"	"b1612"	"C"
"manA"	"b1613"	"C"
"ydgA"	"b1614"	"IM"
"uidC"	"b1615"	"OM"
"uidB"	"b1616"	"IM"
"uidA"	"b1617"	"C"
"uidR"	"b1618"	"C"
"hdhA"	"b1619"	"C"
"malI"	"b1620"	"C"
"malX"	"b1621"	"IM"
"malY"	"b1622"	"C"
"add"	"b1623"	"C"
"ydgJ"	"b1624"	"C"
"blr"	"b4409"	"IM"
"ydgT"	"b1625"	"C"
"ydgK"	"b1626"	"IM"
"rnfA"	"b1627"	"IM"
"rnfB"	"b1628"	"IM"
"rnfC"	"b1629"	"IM"
"rnfD"	"b1630"	"IM"
"rnfG"	"b1631"	"IM"
"rnfE"	"b1632"	"IM"
"nth"	"b1633"	"IM"
"ydgR"	"b1634"	"IM"
"gst"	"b1635"	"C"
"pdxY"	"b1636"	"C"
"tyrS"	"b1637"	"C"
"pdxH"	"b1638"	"C"
"ydhA"	"b1639"	"C"
"ydhH"	"b1640"	"C"
"slyB"	"b1641"	"OM"
"slyA"	"b1642"	"C"
"ydhI"	"b1643"	"IM"
"ydhJ"	"b1644"	"IM"
"ydhK"	"b1645"	"IM"
"sodC"	"b1646"	"P"
"ydhF"	"b1647"	"C"
"ydhL"	"b1648"	"C"
"ydhM"	"b1649"	"C"
"nemA"	"b1650"	"C"
"gloA"	"b1651"	"C"
"rnt"	"b1652"	"C"
"lhr"	"b1653"	"C"
"ydhD"	"b1654"	"C"
"ydhO"	"b1655"	"P"
"sodB"	"b1656"	"C"
"ydhP"	"b1657"	"IM"
		"IM"
"purR"	"b1658"	"C"
"ydhB"	"b1659"	"C"
"ydhC"	"b1660"	"IM"
"cfa"	"b1661"	"C"
"ribC"	"b1662"	"C"
"norM"	"b1663"	"IM"
"ydhQ"	"b1664"	"OM"
"ydhR"	"b1667"	"C"
"ydhS"	"b1668"	"C"
"ydhT"	"b1669"	"C"
"ydhU"	"b1670"	"IM"
"ydhX"	"b1671"	"IM"
"ydhW"	"b1672"	"C"
"ydhV"	"b1673"	"C"
"ydhY"	"b1674"	"IM"
"ydhZ"	"b1675"	"C"
"pykF"	"b1676"	"C"
"lpp"	"b1677"	"OM"
"ynhG"	"b1678"	"OM"
"sufE"	"b1679"	"C"
"sufS"	"b1680"	"C"
"sufD"	"b1681"	"C"
"sufC"	"b1682"	"C"
"sufB"	"b1683"	"C"
"sufA"	"b1684"	"C"
"ydiH"	"b1685"	"C"
"ydiI"	"b1686"	"C"
"ydiJ"	"b1687"	"C"
"ydiK"	"b1688"	"IM"
"ydiL"	"b1689"	"C"
"ydiN"	"b1691"	"IM"
"ydiB"	"b1692"	"C"
"aroD"	"b1693"	"C"
"ydiF"	"b1694"	"C"
"ydiO"	"b1695"	"C"
"ydiP"	"b1696"	"C"
"ydiQ"	"b1697"	"C"
"ydiR"	"b1698"	"C"
"ydiS"	"b1699"	"C"
"ydiT"	"b1700"	"C"
"ydiD"	"b1701"	"C"
"ppsA"	"b1702"	"C"
"ydiA"	"b1703"	"C"
"aroH"	"b1704"	"C"
"ydiE"	"b1705"	"C"
"ydiU"	"b1706"	"C"
"ydiV"	"b1707"	"C"
"nlpC"	"b1708"	"OM"
"btuD"	"b1709"	"C"
"btuE"	"b1710"	"C"
"btuC"	"b1711"	"IM"
"himA"	"b1712"	"C"
"pheT"	"b1713"	"C"
"pheS"	"b1714"	"C"
"pheM"	"b1715"	"C"
"rplT"	"b1716"	"C"
"rpmI"	"b1717"	"C"
"infC"	"b1718"	"C"
"thrS"	"b1719"	"C"
	"b4535"	"IM"
"ydiY"	"b1722"	"OM"
"pfkB"	"b1723"	"C"
"ydiZ"	"b1724"	"C"
"yniA"	"b1725"	"C"
"yniB"	"b1726"	"IM"
"yniC"	"b1727"	"C"
"ydjM"	"b1728"	"C"
"ydjN"	"b1729"	"IM"
"ydjO"	"b1730"	"C"
"cedA"	"b1731"	"C"
"katE"	"b1732"	"P"
"ydjC"	"b1733"	"C"
"celF"	"b1734"	"C"
"celD"	"b1735"	"C"
"celC"	"b1736"	"C"
"celB"	"b1737"	"IM"
"celA"	"b1738"	"C"
"osmE"	"b1739"	"IM"
"nadE"	"b1740"	"C"
"ydjQ"	"b1741"	"C"
"ydjR"	"b1742"	"C"
"spy"	"b1743"	"P"
"astE"	"b1744"	"C"
"astB"	"b1745"	"C"
"astD"	"b1746"	"C"
"astA"	"b1747"	"C"
"astC"	"b1748"	"C"
"xthA"	"b1749"	"C"
"ydjX"	"b1750"	"IM"
"ydjZ"	"b1752"	"IM"
"ynjA"	"b1753"	"C"
"ynjB"	"b1754"	"P"
"ynjC"	"b1755"	"IM"
"ynjD"	"b1756"	"C"
"ynjE"	"b1757"	"C"
"ynjF"	"b1758"	"IM"
"nudG"	"b1759"	"C"
"ynjH"	"b1760"	"P"
"gdhA"	"b1761"	"C"
"ynjI"	"b1762"	"IM"
"topB"	"b1763"	"C"
"selD"	"b1764"	"C"
"ydjA"	"b1765"	"C"
"sppA"	"b1766"	"IM"
"ansA"	"b1767"	"C"
"pncA"	"b1768"	"C"
"ydjE"	"b1769"	"IM"
"ydjF"	"b1770"	"C"
"ydjG"	"b1771"	"C"
"ydjH"	"b1772"	"C"
"ydjI"	"b1773"	"C"
"ydjJ"	"b1774"	"C"
"ydjK"	"b1775"	"IM"
"ydjL"	"b1776"	"C"
"yeaC"	"b1777"	"C"
"yeaA"	"b1778"	"C"
"gapA"	"b1779"	"C"
"yeaD"	"b1780"	"C"
"yeaE"	"b1781"	"C"
"mipA"	"b1782"	"OM"
"yeaG"	"b1783"	"C"
"yeaH"	"b1784"	"C"
"yeaI"	"b1785"	"IM"
"yeaJ"	"b1786"	"IM"
"yeaK"	"b1787"	"C"
	"b1788"	"IM"
"yeaL"	"b1789"	"IM"
"yeaM"	"b1790"	"C"
"yeaN"	"b1791"	"IM"
"yeaO"	"b1792"	"C"
"yoaF"	"b1793"	"P"
"yeaP"	"b1794"	"C"
"yeaQ"	"b1795"	"IM"
"yoaG"	"b1796"	"C"
"yeaR"	"b1797"	"C"
"insL-4"		"C"
"yeaS"	"b1798"	"IM"
"yeaT"	"b1799"	"C"
"yeaU"	"b1800"	"C"
"yeaV"	"b1801"	"IM"
"yeaW"	"b1802"	"C"
"yeaX"	"b1803"	"C"
"rnd"	"b1804"	"C"
"fadD"	"b1805"	"C"
"yeaY"	"b1806"	"OM"
"yeaZ"	"b1807"	"C"
"yoaA"	"b1808"	"C"
"yoaB"	"b1809"	"C"
"yoaC"	"b1810"	"C"
"yoaH"	"b1811"	"C"
"pabB"	"b1812"	"C"
"yeaB"	"b1813"	"C"
"sdaA"	"b1814"	"C"
"yoaD"	"b1815"	"IM"
"yoaE"	"b1816"	"IM"
"manX"	"b1817"	"C"
"manY"	"b1818"	"IM"
"manZ"	"b1819"	"IM"
"yobD"	"b1820"	"IM"
"yebN"	"b1821"	"IM"
"rrmA"	"b1822"	"C"
"cspC"	"b1823"	"C"
"yobF"	"b1824"	"C"
"yebO"	"b1825"	"IM"
"yobG"	"b1826"	"IM"
	"b4536"	"IM"
"kdgR"	"b1827"	"C"
