"molR_1"	"EG11992"	("yehG" "yehF" "yehH" "molR")	"b2115"	"ECK2108"
"ygaQ_2"	"G7391"	("yqaC" "b2655 (obsolete)" "b2656 (obsolete)" "ygaR")	"b4462"	"ECK2650"
"efeU_2"	"G0-10495"	("ycdN" "ycdN_2")	"b1017"	"ECK1007"
"lomR_2"	"G6694"		"b1371"	"ECK1366"
"ycgH_2"	"G6610"	("ycgH")	"b1170"	"ECK1157"
"wbbL_2"	"G0-10560"		"b4540"	"ECK2025"
"ycgH_1"	"G6609"	("ycgH")	"b1169"	"ECK1157"
"wbbL_1"	"EG11986"	("yefJ" "wbbL")	"b2031"	"ECK2025"
"gapC_2"	"EG12103"	("gapC")	"b1416"	"ECK1409"
"yedN_2"	"G7041"	("yedN")	"b1933"	"ECK1932"
"yedN_1"	"G7042"	("yedN")	"b1934"	"ECK1932"
"yfcT"	"G7208"		"b2337"	"ECK2331"
"yedS_1"	"G7052"	("yedS")	"b1964"	"ECK1962"
"yncK_1"	"G0-10558"		"b4530"	"ECK1425"
"yhiS_2"	"G0-10683"			
"ylbE_2"	"G6288"	("ylbE")	"b0519"	"ECK0512"
"yaiF"	"G6214"	("yaiX")	"b0362"	"ECK0359"
"yghX_1"	"G7556"	("yghX")	"b2999"	"ECK2993"
"yghX_2"	"G7557"	("yghY")	"b3000"	"ECK2994"
"ilvG_1"	"G8221"	("ilvG" "ilvO")	"b3767"	"ECK3760"
"ychE_1"	"G7671"	("yhcE")	"b3217"	"ECK3207"
"yeeL_1"	"G7066"	("yeeL")	"b1980"	"ECK1975"
"arpB_2"	"G6927"	("arpB")	"b1721"	"ECK1718"
"efeU_1"	"G6525"	("ycdN" "ycdN_1")	"b1016"	"ECK1007"
"molR_3"	"G8209"	("molR")	"b2117"	"ECK2108"
"yfcU"	"G7209"		"b2338"	"ECK2332"
"yedS_3"	"G7054"	("yedS")	"b1966"	"ECK1962"
"arpB_1"	"G6926"	("arpB")	"b1720"	"ECK1718"
"yfaS_2"	"G7154"	("yfaR" "yfaS")	"b2227"	"ECK2220"
"insB-7_2"	"G0-10570"		"b4564"	"ECK0022"
"yncK_2"	"G0-10557"		"b4531"	"ECK1425"
"G6690"	"G6690"			
"G7121"	"G7121"			
"G6336"	"G6336"			
"G7881"	"G7881"			
"tisA"	"G0-9961"	("ysdA")	"b4617"	"ECK4426"
"b2191"	"G7149"			
"ryfB"	"G0-10597"	("shoB")	"b4607"	"ECK4416"
"G6084"	"G6084"	("yi82_1")		
"b0105"	"G6090"			
"b3254"	"G7692"			
"G7561"	"G7561"			
"G6294"	"G6294"			
"G6272"	"G6272"			
"b1364"	"G6687"			
"b1052"	"G6553"			
"G7034"	"G7034"			
"G6740"	"G6740"			
"sraF"	"G0-8869"	("psrA14" "tpk1" "IS160" "psrN")	"b4448"	"ECK3078"
"G7388"	"G7388"			
"b0701"	"G8203"	("rhsC")	"b0701"	
"ybhU"	"G0-10587"		"b4591"	"ECK4401"
"b4247"	"G7878"		"b4247"	
"b2651"	"G7386"			
"ykiB"	"G6221"		"b0370"	"ECK0367"
"b0725"	"G6388"			
"fruL"	"EG11273"		"b0079"	
"b0100"	"G6089"			
"b0165"	"G6091"			
"G6678"	"G6678"			
"ackB"	"G14"			
"ycdF"	"G6516"		"b1005"	
"G7353"	"G7353"			
"G7818"	"G7818"			
"b0309"	"G6179"			
"G7562"	"G7562"			
"yliL"	"G6419"		"b0816"	"ECK0805"
"G6748"	"G6748"			
"uidC"	"G6866"	("gusC")	"b1615"	"ECK1610"
"aaeB"	"G7685"	("yhcP")	"b3240"	"ECK3229"
"yehB"	"EG11988"		"b2109"	"ECK2102"
"ytfL"	"G7873"		"b4218"	"ECK4214"
"yidC"	"EG11197"		"b3705"	"ECK3698"
"ygaH"	"G7406"		"b2683"	"ECK2677"
"ygaZ"	"G7405"		"b2682"	"ECK2676"
"cstA"	"EG10167"	("ybdC")	"b0598"	"ECK0591"
"ydaN"	"G6674"		"b1342"	"ECK1339"
"kefF"	"EG11568"	("yabF")	"b0046"	"ECK0047"
"aaeA"	"G7686"	("yhcQ")	"b3241"	"ECK3230"
"fepE"	"EG10297"		"b0587"	"ECK0580"
"wzxE"	"EG11486"	("wzx" "yifJ")	"b3792"	"ECK3784"
"msyB"	"EG11338"		"b1051"	"ECK1037"
"mlaB"	"G7658"	("yrbB")	"b3191"	"ECK3180"
"yahN"	"G6193"		"b0328"	"ECK0326"
"cusF"	"G6321"	("agrF" "cusX" "ylcC")	"b0573"	"ECK0565"
"csgG"	"G6543"		"b1037"	"ECK1023"
"nanC"	"G7921"	("yjhA")	"b4311"	"ECK4302"
"ybiO"	"G6417"		"b0808"	"ECK0797"
"ynaI"	"G6666"		"b1330"	"ECK1327"
"ybdG"	"G6323"	("mscM")	"b0577"	"ECK0569"
"mscM"	"G7840"	("yjeP")	"b4159"	"ECK4155"
"clcB"	"G6850"	("ynfJ" "mriT")	"b1592"	"ECK1587"
