alsRBACE	TU0-4504	(PM0-4744)		(EG11957 EG11958 EG11959 EG12458 G7821)
alsRBACE	TU0-4502	(PM0-4742)		(EG11957 EG11958 EG11959 EG12458 G7821)
alx	TU0-42159	(PM0-45630)		(G7607)
alx	TU0-13859	(PM0-45628)		(G7607)
alx	TU0-42158	(PM0-45629)		(G7607)
amiA-hemF	TU0-2741	(PM0-2921)		(EG12189 EG11823)
amiC	TU0-42079	(PM0-45487)		(G7458)
amiC	TU0-8767	(PM0-45486)		(G7458)
amn	TU0-6422	(PM00391)		(EG10039)
ampC	TU243	(PM00501)	(TERM81)	(EG10040)
ampDE	TU0-41440	(PM0-44354)		(EG10042 EG10041)
ampDE	TU00237	(PM0-36222)		(EG10041 EG10042)
ampG	TU0-41518	(PM0-44481)		(EG12183)
ampG	TU0-41517	(PM0-44480)		(EG12183)
ampG	TU0-12926	(PM0-44479)		(EG12183)
ampH	TU0-14612	(PM0-9973)		(EG12867)
ampH	TU0-8768	(PM0-9972)		(EG12867)
amyA	TU0-7461	(PM0-7803)	(TERM0761)	(EG11387)
anmK	TU0-13355	(PM0-45016)		(G6880)
ansA-pncA	TU00238			(EG11135 EG10045)
ansB	TU00075	(PM00103)	(TERM0-1108)	(EG10046)
ansB	TU0-6569	(PM00430)	(TERM0-1108)	(EG10046)
ansP	TU0-8147	(PM0-8527)		(G6764)
ansP	TU0-8148	(PM0-8528)		(G6764)
apaGH	TU0-5202	(PM0-5442)		(EG10048 EG10047)
apaH	TU0-41436	(PM0-44348)		(EG10048)
apbE	TU0-13561	(PM0-45283)		(EG12073)
aphA	TU0-14121			(EG11934)
appA	TU00461	(PM00616)		(EG10049)
appCBA-yccB	TU00097	(PM00138)		(G0-10588 EG11380 EG11379 EG10049)
appY	TU0-42454	(PM0-46131)		(EG10050)
appY	TU0-8479	(PM0-8915)		(EG10050)
apt	TU0-12947	(PM0-9608)		(EG10051)
aqpZ	TU0-41611	(PM0-44659)		(EG13270)
aqpZ	TU0-1106	(PM0-44658)		(EG13270)
araBAD	TU00214	(PM00003)	(TERM68)	(EG10055 EG10052 EG10053)
araC	TU00003	(PM00004)		(EG10054)
araE	TU00076	(PM00104)		(EG10056)
araFGH	TU0-42451	(PM0-46128)		(EG10059 EG10058 EG10057)
araFGH	TU00098	(PM00139)		(EG10059 EG10058 EG10057)
araH	TU0-41898	(PM0-45152)		(EG10059)
araJ	TU00099	(PM00140)		(EG10060)
arcA	TU344	(PM195)	(ARCAT1)	(EG10061)
arcA	TU347	(PM202)	(ARCAT1)	(EG10061)
arcA	TU346	(PM201)	(ARCAT1)	(EG10061)
arcA	TU354	(PM435)	(ARCAT1)	(EG10061)
arcA	TU345	(PM196)	(ARCAT1)	(EG10061)
arcA	TU352	(PM205)	(ARCAT1)	(EG10061)
arcA	TU348	(PM204)	(ARCAT1)	(EG10061)
arcB	TU0-5621	(PM0-10133)		(EG10062)
arcZ	TU0-8517	(PM0-9687)	(TERM0-1148)	(G0-8871)
arfA	TU0-13910	(PM0-45729)	(TERM0-1159)	(G0-10465)
argA	TU0-8472	(PM0-8908)		(EG10063)
argCBH	TU00004	(PM00005)		(EG10065 EG10064 EG11223)
argD	TU00111	(PM00152)		(EG10066)
argE	TU0-6886	(PM00492)		(EG11286)
argE	TU00226	(PM00006)		(EG11286)
argF	TU00005	(PM00007)		(EG10067)
argG	TU0-5501	(PM0-5741)		(EG10068)
argI	TU00006	(PM00008)		(EG10069)
argO	TU0-13799	(PM0-9890)		(EG11159)
argP	TU0-1341	(PM0-1501)	(TERM0-1067)	(EG10490)
argQ	TU0-14512	(PM0-9792)		(EG30013)
argR	TU0-3501	(PM00442)		(EG10070)
argR	TU00007	(PM00009)		(EG10070)
argS	TU0-13444	(PM0-45142)		(EG10071)
argT-hisJQMP	TU0-3581	(PM0-3781)		(EG10452 EG10007 EG12125 EG12124 EG10072)
argU	TU00491	(PM00646)		(EG30014)
argW	TU00500	(PM00653)		(EG30016)
argX-hisR-leuT-proM	TU00503	(PM00658)		(EG30017 EG30042 EG30049 EG30068)
arnBCADTEF	TU0-13569			(G7171 G0-10460 G7170 G7169 G7168 G7167 G7166)
aroF-tyrA	TU00008	(PM00010)	(AROF-TYRA-TERMINATOR)	(EG11039 EG10078)
aroG	TU00009	(PM00011)	(AROGT1)	(EG10079)
aroH	TU00010	(PM00012)	(AROH_TERMINATOR)	(EG10080)
aroH	TU0-14254	(PM0-9329)	(AROH_TERMINATOR)	(EG10080)
aroKB-damX-dam-rpe-gph-trpS	TU873	(PM174)		(EG11030 EG11871 M004 EG10204 EG11183 EG10074 EG10081)
aroKB-damX-dam-rpe-gph-trpS	TU872	(PM173)		(EG11030 EG11871 M004 EG10204 EG11183 EG10074 EG10081)
aroL-yaiA-aroM	TU00011	(PM00013)		(EG10082 EG11093 EG10083)
aroP	TU00012	(PM00014)	(AROPT1)	(EG10084)
aroP	TU641	(PM741)	(AROPT1)	(EG10084)
arpA	TU0-42371	(PM0-45982)		(EG11208)
arpA	TU0-42372	(PM0-45983)		(EG11208)
arpA	TU0-14106	(PM0-45981)		(EG11208)
arpB_1B_2	TU0-13379			(G6927 G6926)
arrS	TU0-36438	(PM0-36220)		(G0-10694)
arsRBC	TU00239	(PM336)		(EG12235 EG12236 EG12237)
artJ	TU0-8161	(PM0-8542)	(TERM0982)	(EG11628)
artPIQM	TU0-14678	(PM0-10203)	(TERM0981)	(EG11627 EG11626 EG11625 EG11624)
artPIQM	TU0-14677	(PM0-10202)	(TERM0981)	(EG11627 EG11626 EG11625 EG11624)
artPIQM	TU00240	(PM0-8541)	(TERM0981)	(EG11627 EG11626 EG11625 EG11624)
artPIQM	TU0-14676	(PM0-10201)	(TERM0981)	(EG11627 EG11626 EG11625 EG11624)
ascFB	TU00241	(PM0-8848)		(EG10086 EG10085)
ascG	TU00242	(PM0-8849)		(EG10087)
asd	TU0-13935			(EG10088)
aslA	TU0-8769			(EG10089)
aslB	TU0-8863	(PM0-9299)		(EG10090)
asmA	TU0-13500			(EG11361)
asnA	TU00112	(PM00153)		(EG10091)
asnB	TU0-4929	(PM00344)		(EG10092)
asnC	TU00113	(PM00154)		(EG10093)
asnC-mioC	TU0-14262	(PM00154)		(EG11199 EG10093)
asnC-mioC-mnmG	TU0-14263	(PM00154)	(TERM0-1163)	(EG10375 EG11199 EG10093)
asnS	TU0-13093	(PM0-10009)		(EG10094)
asnT	TU00497	(PM00649)		(EG30020)
asnU	TU00498	(PM00650)		(EG30021)
asnV	TU00499	(PM00651)		(EG30022)
asnW	TU0-3561			(G7069)
aspA	TU00160	(PM00220)	(TERM66)	(EG10095)
aspA-dcuA	TU0-6021	(PM00220)		(EG11225 EG10095)
aspC	TU0-6482	(PM00356)		(EG10096)
aspS	TU0-8084	(PM0-8464)	(TERM0924)	(EG10097)
aspS	TU0-14634	(PM0-10067)	(TERM0924)	(EG10097)
aspT	TU0-14370	(PM0-45904)		(EG30023)
aspU	TU0-14372	(PM0-9770)		(EG30024)
aspV	TU00489	(PM00644)		(EG30025)
