"Name"	"Blattner number"	"Location E coli K-12"
"pepA"	"b4260"	"?"
"pepD"	"b0237"	"C"
"pepQ"	"b3847"	"C"
"pfkB"	"b1723"	"C"
"pflB"	"b0903"	"C"
"pgi"	"b4025"	"?"
"pgk"	"b2926"	"?"
"pgl"	"b0767"	"?"
"pgm"	"b0688"	"C"
"pheA"	"b2599"	"?"
"pheT"	"b1713"	"?"
"pncB"	"b0931"	"?"
"potD"	"b1123"	"P"
"ppiA"	"b3363"	"?"
"ppiB"	"b0525"	"C"
"ppsA"	"b1702"	"?"
"prfB"	"b2891"	"C"
"prfC"	"b4375"	"C"
"proA"	"b0243"	"C"
"proS"	"b0194"	"C"
"Prs"	"b1207"	"C"
"ptsG"	"b1101"	"?"
"ptsI"	"b2416"	"C"
"purB"	"b1131"	"C"
"purC"	"b2476"	"C"
"purD"	"b4005"	"P"
"purE"	"b0523"	"C"
"purH"	"b4006"	"C"
"purK"	"b0522"	"?"
"purM"	"b2499"	"C"
"purU"	"b1232"	"?"
"pykA"	"b1854"	"?"
"pykF"	"b1676"	"C"
"pyrB"	"b4245"	"C"
"pyrD"	"b0945"	"C"
"pyrG"	"b2780"	"C"
"pyrH"	"b0171"	"C"
"pyrI"	"b4244"	"IM"
"qor"	"b4051"	"?"
"rbsB"	"b3751"	"P"
"rbsD"	"b3748"	"?"
"rfaF"	"b3620"	"?"
"rfbC"	"b2038"	"C"
"rhlB"	"b3780"	"?"
"rho"	"b3783"	"C"
"ribH"	"b0415"	"C"
"rnc"	"b2567"	"C"
"rng"	"b3247"	"?"
"rpe"	"b3386"	"C"
"rpiA"	"b2914"	"C"
"rplA"	"b3984"	"C"
"rplE"	"b3308"	"?"
"rplI"	"b4203"	"C"
"rplJ"	"b3985"	"C"
"rplK"	"b3983"	"?"
"rplL"	"b3986"	"C"
"rplO"	"b3301"	"OM"
"rplU"	"b3186"	"?"
"rplY"	"b2185"	"?"
"rpoB"	"b3987"	"C"
"rpoC"	"b3988"	"?"
"rpsA"	"b0911"	"C"
"rpsB"	"b0169"	"C"
"rpsH"	"b3306"	"?"
"rpsJ"	"b3321"	"?"
"rsmC"	"b4371"	"?"
"rsuA"	"b2183"	"C"
"sbp"	"b3917"	"?"
"sdhA"	"b0723"	"?"
"sdhB"	"b0724"	"IM"
"secB"	"b3609"	"?"
"selD"	"b1764"	"C"
"serA"	"b2913"	"?"
