"Gene Name"	"Accession-1"	"Object ID"
EG10509	"b1732"	"EG10509"
G6878	"b1635"	"G6878"
EG12237	"b3503"	"EG12237"
EG11579	"b0798"	"EG11579"
G7947	"b4365"	"G7947"
G6660	"b1324"	"G6660"
EG11385	"b0606"	"EG11385"
G7587	"b3048"	"G7587"
G6382	"b0713"	"G6382"
EG12108	"b2709"	"EG12108"
EG10958	"b4062"	"EG10958"
G6208	"b0355"	"G6208"
EG11870	"b3910"	"EG11870"
EG10953	"b3908"	"EG10953"
G6882	"b1642"	"G6882"
EG10741	"b4235"	"EG10741"
G6109	"b0225"	"G6109"
EG10373	"b0018"	"EG10373"
G0-9607	"b4423"	"G0-9607"
G0-9563	"b4412"	"G0-9563"
EG10836	"b1564"	"EG10836"
G6110	"b0226"	"G6110"
EG10439	"b0460"	"EG10439"
G0-9610	"b4428"	"G0-9610"
G0-9602	"b4419"	"G0-9602"
EG12165	"b0922"	"EG12165"
G6619	"b1182"	"G6619"
EG11131	"b1563"	"EG11131"
G6117	"b0233"	"G6117"
G0-9613	"b4455"	"G0-9613"
G0-9605	"b4421"	"G0-9605"
G7358	"b2619"	"G7358"
G0-9041	"b4453"	"G0-9041"
EG12116	"b0464"	"EG12116"
EG11435	"b1530"	"EG11435"
EG11954	"b4082"	"EG11954"
EG10201	"b0632"	"EG10201"
EG11884	"b1430"	"EG11884"
EG11081	"b0029"	"EG11081"
G7172	"b2259"	"G7172"
EG12867	"b0376"	"EG12867"
G7057	"b1969"	"G7057"
EG12235	"b3501"	"EG12235"
EG10571	"b2783"	"EG10571"
EG12006	"b2125"	"EG12006"
EG50005	"b0578"	"EG50005"
EG11952	"b4080"	"EG11952"
EG11158	"b2912"	"EG11158"
G7233	"b2368"	"G7233"
EG11741	"b3264"	"EG11741"
G7166	"b2253"	"G7166"
EG12455	"b2835"	"EG12455"
EG12240	"b3513"	"EG12240"
EG11599	"b1532"	"EG11599"
G6322	"b0574"	"G6322"
EG11434	"b1531"	"EG11434"
G0-9561	"b4409"	"G0-9561"
EG11953	"b4081"	"EG11953"
EG11249	"b2782"	"EG11249"
EG10183	"b2422"	"EG10183"
EG30063	"b4439"	"EG30063"
G7168	"b2255"	"G7168"
G7649	"b3155"	"G7649"
G7564	"b3011"	"G7564"
G7530	"b2954"	"G7530"
G7399	"b2670"	"G7399"
G7398	"b2668"	"G7398"
G7323	"b2520"	"G7323"
G6939	"b1743"	"G6939"
G6615	"b1178"	"G6615"
G6334	"b0607"	"G6334"
G6174	"b0304"	"G6174"
G6173	"b0303"	"G6173"
G6171	"b0301"	"G6171"
G6104	"b0220"	"G6104"
G0-10716	"b4706"	"G0-10716"
EG31116	"b4458"	"EG31116"
EG12209	"b0624"	"EG12209"
EG12045	"b2184"	"EG12045"
EG11918	"b4002"	"EG11918"
EG11600	"b2521"	"EG11600"
RUVB	"b1860"	"RUVB"
G6937	"b1741"	"G6937"
EG11056	"b1184"	"EG11056"
EG10831	"b2616"	"EG10831"
EG12080	"b2698"	"EG12080"
EG10533	"b4043"	"EG10533"
EG11775	"b0685"	"EG11775"
EG11064	"b3813"	"EG11064"
G7940	"b4347"	"G7940"
EG11057	"b1183"	"EG11057"
G6558	"b1061"	"G6558"
EG10976	"b4059"	"EG10976"
G0-9962	"b4618"	"G0-9962"
EG10747	"b0060"	"EG10747"
EG11808	"b1848"	"EG11808"
EG11357	"b0799"	"EG11357"
RUVA	"b1861"	"RUVA"
EG11061	"b4058"	"EG11061"
G6933	"b1728"	"G6933"
EG10984	"b0958"	"EG10984"
G6115	"b0231"	"G6115"
EG10823	"b2699"	"EG10823"
G7509	"b2896"	"G7509"
G6798	"b1511"	"G6798"
G0-10634	"b4687"	"G0-10634"
G0-10633	"b4667"	"G0-10633"
G0-10632	"b4668"	"G0-10632"
G0-10631	"b4665"	"G0-10631"
G0-10630	"b4664"	"G0-10630"
G0-10629	"b4666"	"G0-10629"
G0-10472	"b4559"	"G0-10472"
EG12429	"b0461"	"EG12429"
EG11817	"b2744"	"EG11817"
EG11498	"b3262"	"EG11498"
EG10112	"b0314"	"EG10112"
EG12520	"b4230"	"EG12520"
EG12321	"b0128"	"EG12321"
EG12102	"b3409"	"EG12102"
EG12040	"b2179"	"EG12040"
EG11940	"b4065"	"EG11940"
EG11826	"b0981"	"EG11826"
EG11704	"b0462"	"EG11704"
EG11636	"b1528"	"EG11636"
EG11439	"b2686"	"EG11439"
G7685	"b3240"	"G7685"
EG11215	"b4363"	"EG11215"
G7501	"b2882"	"G7501"
EG11049	"b3451"	"EG11049"
EG10940	"b0409"	"EG10940"
G7097	"b2046"	"G7097"
EG10775	"b4160"	"EG10775"
G6893	"b1657"	"G6893"
EG10705	"b1278"	"EG10705"
G6801	"b1514"	"G6801"
EG10629	"b0543"	"EG10629"
G6573	"b1116"	"G6573"
G6461	"b0878"	"G6461"
G6093	"b0177"	"G6093"
EG10269	"b3404"	"EG10269"
EG12908	"b3370"	"EG12908"
EG10177	"b0341"	"EG10177"
EG12625	"b3543"	"EG12625"
EG12469	"b4130"	"EG12469"
EG10012	"b0886"	"EG10012"
EG12281	"b3577"	"EG12281"
EG12169	"b2198"	"EG12169"
EG12032	"b2164"	"EG12032"
EG11902	"b3943"	"EG11902"
EG11693	"b3673"	"EG11693"
G7946	"b4364"	"G7946"
G7658	"b3191"	"G7658"
EG11186	"b3562"	"EG11186"
G7437	"b2771"	"G7437"
EG11034	"b4355"	"EG11034"
G7254	"b2392"	"G7254"
G7037	"b1918"	"G7037"
G6876	"b1632"	"G6876"
EG10676	"b1245"	"EG10676"
G6780	"b1486"	"G6780"
G6559	"b1065"	"G6559"
G6439	"b0841"	"G6439"
G6280	"b0511"	"G6280"
EG10344	"b0089"	"EG10344"
EG10263	"b0594"	"EG10263"
EG12836	"b3270"	"EG12836"
EG12800	"b3194"	"EG12800"
EG12587	"b4356"	"EG12587"
EG12439	"b4231"	"EG12439"
EG12266	"b3539"	"EG12266"
EG12153	"b1469"	"EG12153"
EG12011	"b2130"	"EG12011"
EG11886	"b1049"	"EG11886"
EG11688	"b3660"	"EG11688"
EG11617	"b2078"	"EG11617"
EG11491	"b4044"	"EG11491"
EG11392	"b1186"	"EG11392"
G7889	"b4262"	"G7889"
G7618	"b3104"	"G7618"
EG11160	"b2924"	"EG11160"
G7347	"b2570"	"G7347"
EG11018	"b1421"	"EG11018"
G7006	"b1833"	"G7006"
G6873	"b1629"	"G6873"
EG10669	"b0957"	"EG10669"
G6754	"b1443"	"G6754"
EG10610	"b3249"	"EG10610"
G6517	"b1006"	"G6517"
G6410	"b0793"	"G6410"
G0-8892	"b4599"	"G0-8892"
EG10250	"b2365"	"EG10250"
EG12754	"b3110"	"EG12754"
EG12548	"b4296"	"EG12548"
EG12400	"b1663"	"EG12400"
EG12236	"b3502"	"EG12236"
EG12141	"b1660"	"EG12141"
EG12076	"b3477"	"EG12076"
EG11971	"b2393"	"EG11971"
EG11873	"b3915"	"EG11873"
EG11753	"b1216"	"EG11753"
EG11679	"b2836"	"EG11679"
EG11613	"b4114"	"EG11613"
EG11471	"b3827"	"EG11471"
EG11377	"b3018"	"EG11377"
