This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
b0105	249.867	151.3	264.459
	72.5255	76.6562	66.8842
b0106	169.83	144.263	200.822
b0107	56.1541	57.0998	60.5646
b0108	155.213	237.232	211.866
	41.6826	22.8114	22.2274
b0109	508.511	450.701	470.247
	603.855	507.948	454.882
b0110	449.898	436.616	441.159
b0111	619.956	707.579	669.158
	883.403	806.945	754.592
b0112	2459.92	2596.82	2408.32
	62.5009	55.4444	87.2187
b0113	596.511	702.684	653.521
	1703.48	1421.98	1167.7
b0114	5593.55	5527.23	5778.59
b0115	3750.75	4065.42	4269.45
	6233.22	5837.54	5708.96
b0116	4458.46	4542.35	5000.83
	64.9372	46.9505	48.7817
b0117	112.213	128.468	147.492
	122.314	156.266	131.033
b0118	3353.66	2704.48	3240.56
	1044.76	1103.06	932.093
b0119	1171.74	1226.66	1275.93
	2026.49	1885.78	1870.63
b0120	2764.32	2655.14	3074.63
b0121	2724.79	2570.9	2891.2
	266.207	195.908	225.642
b0122	979.982	893.672	1017.06
	83.9037	68.324	78.7959
b0123	2098.23	2041.87	2269.31
	144.985	82.0065	95.2507
b0124	869.386	705.245	782.607
	56.2246	63.5068	62.084
b0125	1648.19	1553.24	1572.77
	484.093	398.986	397.17
b0126	5129.24	5038.02	5465.36
	82.3066	75.8154	91.4574
b0127	1189.99	1369.79	1434.59
b0128	495.405	481.163	530.246
	240.257	198.592	162.367
b0129	336.754	374.059	382.716
	51.7986	31.9476	28.728
b0130	246.265	285.08	303.812
	53.4716	42.8768	30.6692
b0131	2372.48	2556.6	2776.05
	314.894	274.791	340.219
b0132	260.696	292.984	350.669
	70.4311	57.7029	58.2209
b0133	1061.61	962.516	947.36
b0134	1992.91	2278.47	2639.33
	35.7263	35.3119	26.0833
b0135	94.8389	115.058	126.921
	81.334	86.4111	94.6085
b0136	80.7561	36.344	90.3254
b0137	83.0986	104.353	130.579
b0138	98.0928	103.137	114.061
b0139	187.32	239.813	240.895
	35.733	29.7985	22.5556
b0140	40.2919	43.3538	51.9947
	-1.52791	-0.310274	-5.569
b0141	373.351	511.38	368.558
	8.23204	12.4042	16.4341
b0142	684.58	713.322	708.433
b0143	2635.65	2825.65	2960.58
	2749.62	2776.16	2877.65
b0144	240.986	219.133	283.277
	626.146	443.161	400.722
b0145	2379.97	2495.38	2854.76
	2659.79	2821.41	2782.78
b0146	2391.97	2549.65	2889.6
b0147	525.211	599.883	592.463
	193.943	175.809	169.665
b0148	848.077	862.851	909.046
	623.514	491.022	518.59
b0149	1004.6	1050.77	1029.96
	30.9656	33.2393	35.145
b0150	933.673	781.788	893.559
	565.599	324.714	373.928
b0151	1036.75	1130.14	1209.33
b0152	564.181	598.27	658.941
b0153	771.086	948.149	854.22
	425.526	339.25	380.693
b0154	651.342	506.438	578.889
	148.731	109.48	140.983
b0155	834.044	795.749	793.942
	2866.7	2560.95	2770.1
b0156	1791.25	1926.27	1999.72
	236.709	192.255	201.72
b0157	745.128	857.883	821.81
	97.5854	107.367	105.538
b0158	577.047	645.804	618.349
b0159	1088.21	1001.84	1045
	57.5567	50.4562	46.617
b0160	266.54	187.399	245.981
	691.1	553.925	665.147
b0161	606.215	541.28	563.45
	33.224	37.0286	45.4379
b0162	356.704	314.606	327.919
	97.8361	92.1581	107.271
b0163	1752.39	1969.17	2195.46
	1030.07	821.156	830.049
b0164	226.532	263.738	273.868
b0165	395.482	450.21	462.23
b0166	3140.38	3340.73	3702.7
	2239.65	1857.72	1896.87
b0167	941.509	1044.35	1030.09
	98.4538	82.2305	52.1376
b0168	2078.85	1956.31	2020.39
	287.429	202.427	211.998
b0169	5168.06	5619.77	5965.73
	4120.5	3833.89	4078.21
b0170	4802.63	4933.28	5658.62
	1502.68	1369.92	1478.49
