This file contains columns C, BY, BZ, and CA from Supplementary Data 7 of Covert et al. 2004. “Integrating high-throughput and computational data elucidates bacterial networks”. Nature. May 2004.			
			
	WT -- aerobic		
			
Accession	ec_aer_wild_O_a	ec_aer_wild_O_b	ec_aer_wild_O_c
b1002	668.605	578.132	671.517
	6.73405	8.03548	10.1195
b1003	1679.32	1435.23	1623.94
b1004	3038.61	2855.98	3001.69
	101.25	98.3239	75.557
b1005	687.956	768.522	728.178
	43.2017	47.9926	64.4047
b1006	146.241	151.964	135.642
b1007	443.567	439.157	408.131
	52.8509	46.2314	35.0518
b1008	238.156	249.177	306.32
b1009	140.449	142.756	169.732
b1010	640.841	824.17	744.208
b1011	98.9206	105.545	94.0196
b1012	243.668	247.576	187.973
	94.8052	107.915	103.194
b1013	289.459	271.348	292.114
	680.929	633.924	679.168
b1014	247.92	293.695	290.966
	111.403	104.914	79.9479
b1015	1575.74	1736.56	1873.86
	220.681	183.167	222.626
b1016	729.166	765.359	757.486
b1017	589.781	568.37	587.311
	317.301	262.527	206.745
b1018	1186.37	1251.05	1201.45
b1019	630.205	601.44	602.46
	840.568	827.481	791.788
b1020	755.286	568.591	676.913
	556.377	599.284	634.079
b1021	129.327	127.537	139.713
b1022	98.1171	106.612	117.471
b1023	109.839	109.168	112.532
b1024	142.992	163.969	127.608
	215.296	160.843	143.758
b1025	392.02	430.168	358.67
	679.662	448.333	283.353
b1026	511.094	435.167	494.303
	304.073	268.191	256.112
b1028	281.221	287.758	282.871
b1029	90.2531	111.755	84.9184
	29.6868	31.7662	26.1906
b1031	39.3395	75.8803	80.6065
	125.506	126.293	104.278
	413.285	342.74	469.242
b1033	2214.98	2073.7	1871.83
	1048.26	773.198	830.73
b1034	1403.27	1339.24	1313.3
b1035	1190.02	1132.26	1139.38
	777.534	522.103	619.981
b1036	873.606	883.968	790.72
	19.7917	14.8694	13.6518
b1037	418.699	384.78	393.967
b1038	695.836	678.338	655.652
b1039	479.492	409.637	410.914
b1040	854.531	815.096	806.629
	21.6015	22.893	26.8511
b1041	213.575	223.825	235.35
	78.3437	45.41	39.2767
b1042	303.295	314.793	321.515
	482.937	451.047	473.466
b1043	19.7988	19.9067	18.9178
	127.941	114.635	93.9711
b1044	313.686	250.322	272.9
	75.699	62.8214	48.1928
b1045	760.172	749.905	721.094
b1046	191.972	161.587	178.459
	967.448	876.804	853.809
b1047	254.953	228.991	249.364
	96.2746	80.8339	54.4754
b1048	2396.68	2255.09	2271.39
b1049	983.399	909.807	887.214
	944.986	780.965	713.744
b1050	806.51	692.064	754.787
	163.327	151.555	132.29
b1051	3791.69	4644.26	5127.02
b1052	44.3636	62.8362	40.62
b1053	170.962	204.085	179.666
	139.895	120.611	156.677
b1054	745.803	849.921	751.782
	182.781	165.018	160.173
b1055	1857.37	2085.53	2130.34
	97.0089	78.6543	76.8194
b1056	1001.61	1076.04	1166.3
b1057	404.439	358.905	361.917
	43.7837	42.4642	49.8421
b1058	41.1389	39.264	34.6844
b1059	833.152	678.727	733.385
	358.449	317.366	375.13
b1060	429.681	410.218	462.205
	392.44	358.902	416.495
b1061	1289.05	1283.73	1338.94
	893.245	704.809	694.441
b1062	3024.72	3088.18	3252.8
	3692.4	3629.04	4115.07
b1063	763.061	797.294	861.873
	667.637	567.01	590.06
b1064	2025.35	2057.51	2123.68
	4357.59	4686.24	4725.07
b1065	1073.53	1275.3	929.315
	83.892	73.0982	84.1187
b1066	1947.83	1878.66	1699.32
b1067	3333.13	3287.06	3509.67
b1068	841.992	773.938	700.238
	345.144	286.167	239.308
b1069	491.353	507.971	390.512
	44.9382	35.7059	39.9916
b1070	414.028	563.769	477.782
b1071	293.561	284.148	306.469
	455.049	400.453	465.513
b1072	361.009	414.255	382.622
	73.2149	77.0754	81.5678
b1073	417.077	385.268	452.632
b1074	557.389	605.443	719.24
b1075	402.04	435.88	400.585
b1076	221.993	232.369	237.946
b1077	191.356	188.846	224.779
	117.623	95.0039	88.8534
b1078	249.672	257.968	301.897
	29.03	16.5611	10.383
b1079	96.213	99.9969	103.223
b1080	230.974	251.009	260.257
b1081	417.955	414.205	360.846
	12.1506	15.1024	12.2467
b1082	207.691	169.736	190.93
b1083	297.955	284.871	317.086
	345.087	221.671	294.448
b1084	1582.14	1420.98	1643.5
	1377.85	1095.58	1022.69
b1085	223.09	219.609	246.812
	32.0781	30.2	40.1373
b1086	961.734	931.533	938.612
	2420.16	2629.86	3125.96
b1087	778.292	859.919	772.606
	424.336	308.685	297.522
b1088	5494.69	6416.97	6023.01
b1089	3493.3	4433.03	4344.45
	1883.92	1970.99	1977.63
b1090	2242.64	2623.46	2630.86
	1728.65	1614.47	1755.3
b1091	2710.38	3284.1	3427.42
b1092	3123.18	3666.1	3874.76
b1093	4594.45	4656.99	4885.39
	4374.42	4194.81	4465.61
b1094	6536.8	6838.44	7104.73
	2105.48	1794.77	1478.44
b1095	680.501	614.787	707.665
	162.034	139.023	111.122
b1096	469.725	462.496	489.711
b1097	637.18	723.897	658.065
b1098	915.339	930.803	982.922
b1099	519.974	513.83	588.213
b1100	1078.19	1058.33	1109.37
	2530.99	2294.8	2240.41
b1101	3971.32	3729.35	3816.77
	93.0586	87.9901	95.8285
b1102	67.0533	85.3443	75.986
	97.6576	110.55	135.486
b1103	2136.49	2091.22	1992.99
b1104	2295.26	2071.61	2196.13
b1105	1901.07	1631.82	1562.58
b1106	1936.87	2298.48	2053.6
b1107	1918.73	1943.41	1745.33
b1108	2559.52	2409.43	2412.7
	164.047	166.463	178.839
b1109	722.897	463.753	574.081
	114.301	97.9933	98.0059
b1110	156.622	201.726	170.613
	456.141	440.752	372.156
b1111	794.483	826.732	844.091
	47.7444	53.2537	67.894
b1112	943.174	962.872	973.99
	58.9753	62.3992	41.8527
b1113	411.76	397.911	456.276
	42.8402	42.4957	49.6133
b1114	931.31	880.545	924.57
	611.686	534.24	586.382
b1115	96.0351	115.393	95.4594
	45.1643	47.8398	51.8786
b1116	824.207	767.673	801.763
b1117	620.5	566.589	553.58
b1118	1010.09	849.28	837.804
b1119	1134.55	966.202	1014.79
b1120	1787.73	1747.79	1694.17
	285.658	226.571	212.022
b1121	38.8112	32.5009	45.4018
b1122	185.843	173.162	230.212
b1123	2693.48	2585.69	2741.69
b1124	2146.62	2447.95	2351.89
b1125	794.41	764.052	694.361
b1126	1501.11	1525.4	1461.7
	1025.3	1148.25	1173.71
b1127	505.986	488.635	504.357
	3028.61	2381.31	2585.89
b1128	1273.23	1436.75	1466.31
	271.988	239.897	282.584
b1129	671.485	770.534	744.254
b1130	2304.74	2563.27	2658.41
	649.846	529.863	566.465
b1131	2656.61	2930.35	3148.39
b1132	1926.37	1961.99	1955.07
	1448.93	1450.85	1431.78
b1133	1822.57	1766.23	1703.28
b1134	604.956	582.178	606.296
b1135	502.302	472.002	512.326
	78.0837	51.6469	83.0579
b1136	7976.83	7992.61	8434.17
	277.173	245.968	236.922
b1137	36.4902	38.9515	29.4073
b1138	283.24	316.042	281.368
	48.2849	50.4694	52.6435
b1139	57.9869	43.5599	41.8243
	125.274	112.976	93.1447
b1140	211.561	232.181	252.323
b1141	72.8463	73.076	62.1202
	39.6594	29.8478	31.0481
b1142	168.592	157.552	136.233
	19.6965	14.6857	12.8757
b1143	918.84	975.033	928.979
b1144	161.667	166.769	204.163
	96.9178	112.806	115.666
	120.38	142.253	158.424
b1145	428.06	407.787	438.347
b1146	965.487	1144.04	1192.15
	621.572	586.299	497.21
b1147	116.046	114.446	140.925
b1148	299.11	348.01	378.182
b1149	125.127	132.028	147.645
b1150	1841.04	2092.67	2063.9
b1151	227.598	213.279	238.737
b1152	478.062	520.023	465.142
b1153	306.547	337.859	295.691
b1154	262.907	302.28	317.74
b1155	42.6031	45.184	50.8608
b1156	185.436	239.034	217.011
b1157	72.8138	84.492	78.1598
	8.91812	14.2376	11.5596
b1158	147.303	206.086	166.696
	9.7754	8.28959	7.9498
b1159	203.997	240.527	191.117
	12.5722	12.9886	13.1282
b1160	22.5054	26.1741	29.1919
	7.33359	5.02087	8.56863
b1161	53.9858	58.8581	39.9456
	101.829	72.0265	82.0789
b1162	649.698	616.382	620.465
	45.5932	37.1696	29.245
b1163	157.245	174.889	175.384
	17.7041	13.1352	14.0304
b1164	288.911	319.794	325.719
	103.05	93.6416	82.1259
b1165	789.078	894.468	922.057
b1166	162.002	153.224	150.171
	100.713	91.6415	127.416
b1167	47.1364	36.0572	37.5006
	28.0275	33.2215	42.8856
b1168	1.14128	18.2238	9.84431
	5.79127	4.7105	10.2215
b1169	109.363	129.237	121.387
	117.148	125.68	118.549
b1170	974.072	1091.84	1168.48
	54.5901	56.8976	64.4837
b1171	370.554	328.385	425.744
b1172	881.652	944.586	831.729
	69.0213	64.5998	41.1049
	162.048	151.817	151.544
b1174	2522.87	2396.08	2238.48
b1175	2755.29	2852.39	2565.64
b1176	2969.38	2864.27	2687.1
	444.164	401.483	250.809
b1177	863.029	774.154	687.684
	352.45	307.885	277.74
b1178	820.986	906.452	927.743
	105.681	90.0805	89.783
b1179	1117.48	1122.63	955.933
	1100.54	846.303	730.35
b1180	911.273	788.377	798.067
	1427.01	1555.27	1400.15
b1181	1085.49	1075.43	1154.1
	43.2815	31.841	36.3764
b1182	445.123	528.395	471.522
	41.259	34.3881	51.5698
b1183	181.48	184.499	187.371
b1184	168.899	151.439	168.461
	338.862	334.412	284.532
b1185	810.759	743.473	690.397
	107.579	77.6028	98.3259
b1186	899.717	873.467	907.955
	43.9676	39.9119	43.1135
b1187	1020.23	968.086	957.278
	35.4221	26.9298	30.6416
b1188	708.298	747.407	755.006
	172.58	166.678	190.229
b1189	642.043	617.06	576.346
b1190	352.115	355.676	357.732
	106.939	98.8377	96.1015
b1191	331.192	333.483	389.091
	530.196	533.806	605.49
b1192	1054.33	985.606	947.478
b1193	1118.32	989.516	1022.88
	134.209	137.545	91.201
b1194	89.7177	97.9185	101.548
	107.905	114.623	135.311
b1195	1024.08	1474.9	1172.78
	60.685	43.1419	33.4205
b1196	84.0749	93.7923	106.935
	122.02	108.458	78.6052
b1197	499.56	454.122	579.152
	93.6065	94.9533	122.14
b1198	842.707	919.624	756.004
b1199	1236.64	1409.88	1318.57
b1200	1155.92	1155.39	1145.89
	40.9308	39.5998	45.3939
b1201	335.386	372.487	338.42
	71.4911	43.8079	42.6972
b1202	72.2969	74.0654	69.1054
	18.2623	20.0456	20.5879
b1203	1255.09	1310.35	1428.14
	1779.41	1789.28	1720.92
b1204	965.287	999.252	954.613
	155.653	147.676	146.191
b1205	465.857	518.314	469.241
	591.369	398.395	420.799
b1206	151.719	133.661	131.786
	311.311	257.107	252.904
b1207	1981.02	1932.69	2135.86
	6414.28	5475.6	5813.17
b1208	4335.16	4513.91	4745.26
b1209	1642.04	1739.72	1772.78
	112.002	84.0093	112.088
b1210	1024.15	1030.14	926.478
	273.942	229.269	214.338
b1211	753.862	630.905	598.857
b1212	420.148	435.941	406.6
b1213	114.342	100.957	79.096
b1214	1654	1473.58	1575.39
	2529.68	2371.36	2258.84
b1215	1975.97	2105.16	2000.31
	620.93	453.655	377.239
b1216	636.555	381.419	442.231
	38.5233	31.9602	38.7739
b1217	1002.06	978.848	1046.97
	880.895	659.674	693.279
b1218	917.393	792.161	852.852
	262.411	231.04	228.824
b1219	955.807	1032.86	1061.23
	142.597	138.067	109.12
b1220	358.095	381.312	407.16
	20.2249	23.6085	25.5764
b1221	1551.48	1442.46	1399.32
b1222	1307.44	1468.9	1451.13
	134.499	126.229	133.27
b1223	217.712	256.94	250.784
	293.092	287.31	365.327
b1224	730.874	907.545	807.74
b1225	1046.92	939.915	997.308
b1226	603.402	676.398	694.079
b1227	516.606	648.769	578.72
	189.318	184.012	275.228
b1228	102.53	116.474	130.559
	436.196	432.324	520.022
b1229	154.475	156.248	192.794
	1016.18	752.096	816.396
b1230	3778.23	3656.02	3710.18
	1599.34	1440.94	1247.65
b1231	1868.91	1772.39	1813.62
	1396.57	1425.04	1299.66
b1232	1932.63	1821.34	1789.64
	2095.04	1742.84	998.271
b1233	1387.69	1209.28	1300.88
	132.422	109.91	143.832
b1234	1083.29	1002.39	1056.62
	1238.18	1209.87	1309.09
b1235	1514.5	1697.29	1796.48
	1809.65	1801.3	1820.76
b1236	1511.61	1474.26	1513.56
	113.113	116.217	131.534
b1237	4764.18	5210.83	5631.2
	40.7677	37.6471	45.2577
b1238	751.679	896.231	786.882
	65.2065	59.5097	56.2871
b1239	103.583	114.08	89.8655
b1240	858.241	987.171	858.868
	144.263	138.236	171.628
b1241	2215.86	2318.85	2322.82
	322.196	236.066	343.16
b1242	123.96	147.24	172.344
	1470.81	1307.06	1277.03
b1243	2693.34	2774	2814.96
	2429.89	2018.83	2042.03
b1244	1333.77	1271.03	1216.15
b1245	1443.27	1531.01	1526.96
b1246	1344.73	1205.26	1194.83
b1247	1016.95	880.951	1018.83
	79.382	66.6059	42.2007
b1248	1410.38	1364.86	1524.35
b1249	1060.57	1026.27	1042.39
	21.5904	24.9352	30.5223
b1250	665.475	634.478	656.548
	45.2419	60.3601	51.6929
b1251	1355.66	1452.54	1207.03
	39.3194	40.4357	57.2822
b1252	1014.74	1005.53	1002.99
	45.7108	43.1693	44.6123
b1253	1184.68	1308.84	1172.02
	84.7791	64.8709	77.6912
b1254	974.168	832.654	842.928
b1255	1186.75	1092.09	1001.82
	39.1851	42.5432	49.4931
b1256	516.55	453.903	405.942
	66.4721	59.8114	55.8727
b1257	236.753	200.725	245.094
b1258	482.756	480.083	576.414
	285.446	264.684	344.931
b1259	555.034	647.187	678.654
	14.5149	17.0637	23.7002
b1260	2684.32	2503.61	2647.49
b1261	3748.9	3654.13	3630.03
b1262	3691.29	3495.13	3765.88
b1263	2178.34	2051.17	2088.85
b1264	2294.91	2045.34	2111.24
	1363.74	1096.87	1178.32
b1265	2228.4	2101.84	2102.31
	146.574	112.719	117.231
b1266	1909.3	1930.26	1873.92
b1267	1157.53	980.17	1029.39
b1268	229.909	181.405	226.858
	903.767	716.299	714.708
b1269	1962.87	1753.49	1974.4
	64.3017	42.4	48.7949
b1270	466.943	376.624	466.862
b1271	958.546	879.851	926.451
	183.459	193.643	169.872
b1272	892.831	945.707	892.556
	913.758	723.745	588.346
b1273	574.072	734.215	668.57
	107.035	69.2494	81.3072
b1274	1114.14	1283.08	1089.78
	1661.93	1558.44	1085.65
b1275	682.526	666.25	695.254
	240.523	146.57	157.825
b1276	994.059	1084.16	1079.18
	132.615	90.5898	86.7662
b1277	1037.93	1042.02	1004.99
	63.2231	60.1382	46.6427
b1278	998.536	1195.23	1777.09
	1462.81	1141.42	1109.27
b1279	900.925	832.766	804.188
b1280	377.526	430.653	414.09
	926.137	704.862	632.324
b1281	1231.42	1240.8	1215.19
b1282	1424.88	1524.44	1473.79
	92.1217	78.9305	101.158
b1283	1210.33	1196.05	1239.59
	220.911	200.151	185.538
b1284	630.479	625.97	617.901
	602.015	473.859	540.208
b1285	454.718	542.886	514.934
	224.333	201.632	146.606
b1286	2136.64	1892.1	1857.84
	2380.58	2228.18	1897.21
b1287	1885.43	1847.98	1953.69
	134.582	100.098	60.0922
b1288	2650.97	2472.19	2616.12
	152.281	125.636	93.4543
b1289	72.6471	89.9919	58.5961
	50.3352	32.664	24.6687
b1290	656.887	659.353	618.924
b1291	397.481	391.48	352.886
b1292	522.495	460.359	472.701
b1293	242.561	275.686	234.256
b1294	629.921	629.747	629.602
	972.241	960.184	1062.51
b1295	723.797	680.343	709.296
	127.017	112.479	138.844
b1296	512.816	496.376	565.301
	1072.45	964.119	1170.46
b1297	1257.78	1074.39	1305
	134.439	83.4961	102.359
b1298	1480.61	1583.72	1663.04
b1299	964.114	818.991	908.663
	969.219	811.167	806.721
b1300	770.448	740.277	821.286
b1301	1452.3	1337.29	1399.91
	1736.82	1221.75	1359.8
b1302	1176.41	1145.62	1072.02
	673.044	634.06	660.627
b1303	301.739	287.188	318.001
	45.9002	47.9334	54.0304
b1304	816.419	795.43	810.223
	877.135	667.585	568.611
b1305	1011.16	929.232	945.833
b1306	512.342	509.011	507.295
b1307	485.55	556.189	491.982
	317.274	377.306	280.884
b1308	494.584	608.38	570.434
	58.4777	50.6577	53.7381
b1309	95.2164	110.158	105.945
b1310	69.0191	87.4677	76.5515
b1311	91.3932	93.897	65.0086
b1312	336.625	462.316	378.551
b1313	278.616	348.889	269.282
b1314	155.623	184.6	144.051
b1315	97.9344	126.755	125.314
b1316	52.9682	58.7133	88.9075
b1317	43.5252	41.125	40.6828
b1318	447.734	542.36	497.87
	10.7509	2.96353	12.6169
b1319	180.538	200.816	180.655
	216.734	225.444	200.376
b1320	518.953	549.14	555.308
	138.329	113.55	111.439
b1321	673.039	673.472	615.181
b1322	586.466	603.583	529.306
	95.5663	71.8226	80.1982
b1323	701.308	637.731	621.652
	350.675	310.685	244.527
b1324	3968.19	3589.29	3792.53
	132.109	109.98	119.715
b1325	1112.02	1266.17	1147.24
b1326	554.792	467.332	480.352
	50.183	48.4989	40.4633
	246.527	227.406	261.686
b1327	453.097	450.154	449.118
	54.5564	57.2551	63.6615
b1328	362.818	388.25	382.305
	138.845	120.481	69.3071
b1329	372.582	344.014	367.002
	81.358	81.1583	61.9086
b1330	487.093	505.514	489.037
	61.1372	53.9988	62.7115
	170.754	150.258	143.299
b1332	2299.56	2177.54	2177.3
	101.537	57.5676	49.1831
b1333	1572.65	1581.55	1571.94
	480.506	390.229	386.42
b1334	2909.68	2641.71	2805.06
	805.398	637.8	558.25
b1335	379.294	356.842	360.825
b1336	112.903	125.323	122.682
	321.838	312.254	322.778
b1337	85.8327	76.3353	88.4345
b1338	577.292	676.593	638.164
	49.9316	51.333	44.9152
b1339	314.043	287.139	299.259
	61.1317	50.9649	49.0988
b1340	600.819	591.777	618.921
	179.781	138.608	153.552
b1341	541.455	445.343	546.751
	328.498	283.72	299.984
b1342	432.595	352.729	407.882
	44.3334	34.499	38.1462
b1343	531.316	581.271	552.943
	97.3636	90.3523	91.2173
b1344	757.662	654.532	751.03
	1006.77	806.381	844.274
b1345	444.198	482.987	500.59
b1346	3.84683	16.1289	26.8482
	92.1339	89.9803	86.6401
b1347	20.6695	32.475	19.7173
b1348	37.0316	44.0937	53.3329
	104.198	91.341	64.0338
b1349	172.409	215.299	198.097
b1350	168.573	210.174	179.646
	249.916	238.145	224.9
b1351	41.0255	51.0662	47.1853
	20.1907	16.2001	13.4881
b1352	37.7415	40.0619	51.6002
	101.602	86.0224	68.5138
b1353	30.7351	25.9687	30.5828
b1354	12.6478	21.4638	20.7472
b1355	141.21	212.887	191.867
	22.5838	26.4813	26.0549
	82.8161	90.8237	108.973
b1356	1189.85	1260.59	1275.83
	39.5469	35.0237	40.5504
b1357	73.8768	69.9176	91.8983
b1358	108.887	115.999	121.8
b1359	352.073	420.885	425.157
b1360	214.199	239.687	203.487
b1361	196.073	248.556	218.175
b1362	115.293	134.37	133.387
	10.1349	8.45808	10.2471
b1363	167.739	206.428	161.989
b1364	209.858	215.239	198.629
b1365	361.285	399.375	428.885
b1366	98.2317	79.3885	110.263
	93.2227	78.1469	44.2657
b1367	156.651	130.808	175.882
	22.4362	29.9248	30.9032
b1368	56.7685	61.6476	77.1102
b1369	282.991	315.982	313.83
	36.9777	47.2431	55.0702
b1370	1206.08	1130.1	984.844
b1371	687.378	782.96	758.518
	63.4291	60.8368	77.8234
	156.645	157.681	201
b1372	186.851	223.686	268.165
	47.9386	41.1656	37.2709
b1374	137.584	129.031	131.528
	16.0634	19.7817	11.6407
b1375	67.3537	67.2446	63.9989
	124.62	133.705	149.609
b1376	1203.61	1165.69	1156.74
	79.2334	93.8881	104.182
b1377	114.406	121.456	120.726
	71.3225	87.0198	80.4322
b1378	503.424	348.837	448.278
	95.5843	88.0283	83.9546
b1379	434.417	444.571	468.301
	105.375	94.1274	107.896
b1380	922.829	782.91	864.44
	104.64	90.5448	92.0526
b1381	321.402	361.735	369.934
b1382	264.562	238.75	277.846
b1383	515.937	477.297	538.411
	198.358	193.592	184.129
b1384	84.3766	96.828	89.6249
	31.1361	33.0738	38.6662
b1385	326.966	357.523	358.54
	574.978	649.039	565.28
b1386	46.4787	48.2115	38.5921
	129.575	141.706	154.507
b1387	657.024	769.272	600.425
	19.6153	20.9585	26.1648
b1388	72.3446	77.2291	60.9306
b1389	145.344	175.432	188.492
b1390	288.37	331.668	307.191
b1391	73.5453	110.43	125.48
b1392	691.211	913.541	744.204
b1393	259.043	352.34	323.78
b1394	131.665	148.897	138.781
b1395	461.255	661.099	631.288
b1396	71.9758	75.1153	90.8888
b1397	402.035	416.608	423.896
b1398	213.429	261.663	248.489
	141.277	118.364	114.871
b1399	350.785	296.848	252.853
b1400	465.77	418.562	458.856
	1.66056	2.29368	2.34739
b1401	419.606	411.654	361.403
b1402	1204.54	1306.01	1398.06
	183.637	179.901	148.452
	43.1608	43.6597	38.996
	461.479	418.132	315.648
b1405	389.225	460.363	387.725
	158.077	108.396	100.218
b1406	652.182	619.174	601.388
b1407	583.576	736.878	683.822
	115.377	124.738	101.399
b1408	307.302	346.739	292.691
b1409	59.1058	96.1448	102.93
b1410	95.4988	95.1021	89.352
b1411	403.701	445.657	477.915
	69.9903	65.2363	49.6279
b1412	895.645	791.983	785.151
	51.6134	47.2896	50.2946
b1413	1109.49	1241.83	1216.24
	489.256	550.819	481.992
b1414	433.446	387.796	405.069
	105.437	74.1192	53.9528
b1415	1305.68	1118.03	1270.26
	155.921	65.6724	70.7703
b1416	1023.1	961.13	1020.19
b1417	1350.94	1275.06	1252.79
	859.109	732.621	614.22
b1418	1756.46	1667.8	1591.18
	754.982	551.585	523.675
b1419	657.296	710.114	661.728
	215.024	185.955	242.349
b1420	195.052	210.633	228.417
	109.69	101.592	103.137
b1421	623.292	619.405	643.341
	150.333	124.847	131.248
b1422	585.336	416.204	525.768
	57.0653	59.7222	57.5323
b1423	167.813	208.001	180.328
	565.877	488.669	454.472
b1424	392.163	429.874	359.35
b1425	179.65	152.694	179.832
	232.812	166.1	156.253
	145.202	139.635	132.8
b1426	206.92	220.532	226.425
	544.817	472.651	450.558
b1427	389.23	357.597	352.621
b1428	397.567	443.317	426.188
	74.3588	56.6561	55.4371
	154.605	153.973	209.409
b1429	457.716	453.24	440.683
b1430	708.417	691.852	699.504
	70.7377	56.8851	61.2379
b1431	747.578	760.734	822.269
	144.762	139.447	192.666
b1432	542.825	637.877	606.378
	60.9987	68.9623	80.3568
b1433	202.531	222.122	218.169
b1434	238.74	202.933	239.615
	98.9176	56.7745	124.498
	144.131	112.629	73.2489
b1435	1152.63	1290.69	1360.66
	147.303	113.867	95.224
b1436	256.311	287.552	315.391
	92.6197	96.2368	120.484
b1437	156.398	128.422	162.977
	40.6155	32.7314	37.8195
b1438	725.798	666.616	680.507
	392.994	354.419	415.815
b1439	307.89	295.822	294.716
	60.2118	57.4203	61.3004
b1440	533.499	527.057	428.691
b1441	355.919	418.698	404.858
b1442	116.534	122.755	104.218
b1443	328.469	300.95	316.125
b1444	619.54	609.052	633.48
	59.8154	50.7549	65.4178
b1445	509.336	470.528	480.778
	876.168	936.387	797.061
b1446	901.791	910.822	907.983
b1447	373.615	315.285	319.238
	179.892	224.344	228.491
b1448	1103.04	1204.79	1112.5
	39.1247	47.1381	59.5022
b1449	790.133	772.568	703.972
	284.462	253.778	218.951
b1450	283.581	298.685	278.477
	699.721	761.547	748.182
b1451	264.003	191.593	235.571
	170.507	138.763	176.765
b1452	1396.58	1281	1371.8
	191.185	119.506	148.52
b1453	505.686	689.67	505.368
	14.9383	12.6841	14.6618
b1454	230.799	259.89	225.343
	46.1652	48.7171	44.6306
b1455	94.705	102.043	106.378
	18.9489	23.3286	18.5164
b1456	56.6052	62.6678	67.3406
b1457	125.132	128.123	151.422
	29.989	36.684	31.4797
b1458	78.0551	81.6712	84.3609
	78.1264	100.826	138.592
b1459	76.9404	87.8961	80.7411
	4.68406	0.71172	2.19534
	305.853	283.486	261.559
b1461	950.157	988.438	989.117
b1462	352.507	361.301	349.56
	266.331	241.247	208.3
	153.89	142.938	138.412
b1463	309.828	250.485	285.973
	54.7348	42.2721	33.2318
b1464	315.102	295.9	336.355
	30.5326	35.4135	36.6837
b1465	130.555	131.645	129.424
b1466	280.971	335.887	327.48
b1467	346.212	380.872	368.449
b1468	318.4	400.031	369.539
	277.338	243.134	297.772
b1469	613.041	658.431	577.725
	37.0224	36.2113	32.2364
b1470	0.658612	6.40248	1.26974
	22.8651	38.6231	32.8999
b1471	21.9432	4.13158	33.5911
b1472	259.802	261.323	263.871
	7.45025	1.95618	2.94991
b1473	402.721	423.234	439.522
	31.7654	23.682	27.6795
b1474	270.695	302.272	288.968
b1475	517.636	593.27	531.923
b1476	86.0948	91.0581	95.6597
	81.7343	78.4887	68.5876
b1477	801.329	871.308	931.872
	208.25	169.537	206.493
b1478	1263.1	1087.99	1217.52
	199.463	192.082	191.454
b1479	1495.72	1345.12	1526.96
	142.601	134.991	155.287
b1480	5423.76	6016.19	6362.12
	3936.19	4016.07	3682.43
b1481	384.632	423.19	424.352
	74.7371	59.8137	55.0999
b1482	2514.8	2573.63	2849.99
	93.8118	88.5003	97.0823
b1483	249.533	274.742	258.364
b1484	88.9503	97.0866	93.298
b1485	91.0875	101.142	106.597
b1486	203.443	201.18	200.152
b1487	115.65	104.44	105.816
b1488	399.579	424.102	419.563
	66.8172	53.581	48.2705
b1489	156.815	151.215	152.345
b1490	333.402	311.522	207.551
	156.808	113.965	101.67
b1491	357.011	392.74	344.321
	202.482	160.508	237.372
b1492	1475.18	1502.69	927.07
	2848.78	2610.23	2941.02
b1493	2594.4	2862.05	1726.54
	4.397	5.42791	7.22647
b1494	90.5722	83.456	81.4013
b1495	125.307	125.222	100.111
	139.144	136.731	157.169
b1496	115.982	114.105	110.93
	6.33337	5.29019	3.01986
b1497	19.591	24.3367	26.5442
	48.8253	47.0966	52.9785
b1498	109.99	121.891	112.891
	18.7124	37.3266	24.8836
b1499	36.3741	41.0245	41.9552
b1500	21.3673	29.2921	21.1911
	26.7319	33.3528	44.1321
b1501	51.0253	65.4713	56.3546
	36.0602	27.2151	30.1063
b1502	45.1769	73.2397	64.6122
b1503	72.3727	107.268	148.999
b1504	58.8314	110.487	114.046
b1505	49.3978	77.1316	59.1071
	21.3122	18.5878	27.309
b1506	146.778	162.734	162.643
	67.1078	71.4755	95.9898
b1507	377.628	381.403	348.727
b1508	521.068	525.233	495.061
	90.4001	93.0498	80.5164
b1509	635.682	776.158	736.548
	1493.52	1667.69	1669.9
b1510	347.352	328.039	325.191
	7.56862	9.05287	7.9526
b1511	104.203	134.005	138.204
	319.433	287.919	343.782
b1512	416.497	385.848	399.936
	52.641	51.873	59.7022
b1513	79.1011	97.8754	117.798
b1514	318.609	338.195	303.699
b1515	116.793	133.768	122.9
b1516	332.632	330.773	320.621
b1517	595.32	663.308	666.199
b1518	243.316	242.904	269.448
	107.291	128.642	118.123
b1519	752.436	663.362	783.307
	74.4783	75.3767	66.8763
b1520	410.168	413.445	420.435
	72.3516	77.4821	78.0351
b1521	198.509	240.267	259.887
	30.4193	23.4433	24.4992
b1522	197.638	197.904	202.443
	199.245	176.36	178.084
b1523	922.063	910.916	876.03
b1524	775.829	721.109	680.347
	73.9521	58.7627	69.6571
b1525	604.07	576.925	581.058
	79.6095	83.303	84.9765
b1526	155.353	145.483	146.589
	50.06	35.6897	32.5126
b1527	38.2856	37.4499	31.6067
	687.819	646.972	652.174
b1528	409.897	505.776	431.462
	358.616	314.827	231.173
b1529	398.081	432.142	349.49
	417.083	434.51	547.162
b1530	871.375	1068.53	950.858
b1531	875.304	974.863	887.257
	25.1292	27.989	39.9805
b1532	126.155	113.645	111.969
	40.4736	29.5257	42.55
