"endoRnase"	"kcat (1 / units.s)"
"EG10856-MONOMER"	0.1
"EG10857-MONOMER"	0.1
"EG10859-MONOMER"	0.1
"EG10860-MONOMER"	0.1
"EG10861-MONOMER"	0.1
"EG10862-MONOMER"	0.1
"EG11299-MONOMER"	0.1
"G7175-MONOMER"	0.1
"G7365-MONOMER"	0.1
