"id"	"_comments"
"TU0-13677"	"Contains two or more different types of RNA cistrons"
"TU0-13704"	"RNA type not supported (tRNA)"
"TU0-13767"	"Contains two or more different types of RNA cistrons"
"TU0-13770"	"RNA type not supported (tRNA)"
"TU0-13794"	"Contains two or more different types of RNA cistrons"
"TU0-13839"	"Contains two or more different types of RNA cistrons"
"TU0-13843"	"Contains two or more different types of RNA cistrons"
"TU0-13892"	"Contains two or more different types of RNA cistrons"
"TU0-13940"	"Contains two or more different types of RNA cistrons"
"TU0-14007"	"RNA type not supported (tRNA)"
"TU0-14016"	"Contains two or more different types of RNA cistrons"
"TU0-14186"	"Contains two or more different types of RNA cistrons"
"TU0-14336"	"Contains two or more different types of RNA cistrons"
"TU0-14370"	"RNA type not supported (tRNA)"
"TU0-14371"	"RNA type not supported (tRNA)"
"TU0-14372"	"RNA type not supported (tRNA)"
"TU0-14486"	"Contains two or more different types of RNA cistrons"
"TU0-14487"	"Contains two or more different types of RNA cistrons"
"TU0-14510"	"RNA type not supported (rRNA)"
"TU0-14512"	"RNA type not supported (tRNA)"
"TU0-14524"	"RNA type not supported (rRNA)"
"TU0-14528"	"RNA type not supported (rRNA)"
"TU0-14530"	"RNA type not supported (rRNA)"
"TU0-14533"	"RNA type not supported (rRNA)"
"TU0-14549"	"Contains two or more different types of RNA cistrons"
"TU0-14553"	"RNA type not supported (tRNA)"
"TU0-14573"	"Contains two or more different types of RNA cistrons"
"TU0-14574"	"Contains two or more different types of RNA cistrons"
"TU0-14638"	"Contains two or more different types of RNA cistrons"
"TU0-14689"	"Contains two or more different types of RNA cistrons"
"TU0-14736"	"Contains two or more different types of RNA cistrons"
"TU0-14742"	"Contains two or more different types of RNA cistrons"
"TU0-2701"	"Contains two or more different types of RNA cistrons"
"TU0-3364"	"Contains two or more different types of RNA cistrons"
"TU0-3463"	"Contains two or more different types of RNA cistrons"
"TU0-3561"	"RNA type not supported (tRNA)"
"TU0-3622"	"Contains two or more different types of RNA cistrons"
"TU0-4187"	"Contains two or more different types of RNA cistrons"
"TU0-42460"	"Contains two or more different types of RNA cistrons"
"TU0-42594"	"Contains two or more different types of RNA cistrons"
"TU0-42652"	"RNA type not supported (tRNA)"
"TU0-42660"	"RNA type not supported (tRNA)"
"TU0-42662"	"Contains two or more different types of RNA cistrons"
"TU0-45144"	"Contains two or more different types of RNA cistrons"
"TU0-45165"	"Contains two or more different types of RNA cistrons"
"TU0-45173"	"Contains two or more different types of RNA cistrons"
"TU0-45190"	"Contains two or more different types of RNA cistrons"
"TU0-45198"	"Contains two or more different types of RNA cistrons"
"TU0-45209"	"Contains two or more different types of RNA cistrons"
"TU0-45227"	"Contains two or more different types of RNA cistrons"
"TU0-45269"	"Contains two or more different types of RNA cistrons"
"TU0-45275"	"Contains two or more different types of RNA cistrons"
"TU0-45277"	"Contains two or more different types of RNA cistrons"
"TU0-4901"	"Contains two or more different types of RNA cistrons"
"TU0-5682"	"Contains two or more different types of RNA cistrons"
"TU0-6223"	"Contains two or more different types of RNA cistrons"
"TU0-6581"	"Contains two or more different types of RNA cistrons"
"TU0-7161"	"Contains two or more different types of RNA cistrons"
"TU0-7744"	"Contains two or more different types of RNA cistrons"
"TU0-8476"	"RNA type not supported (tRNA)"
"TU00038"	"Contains two or more different types of RNA cistrons"
"TU00169"	"Contains two or more different types of RNA cistrons"
"TU00201"	"Contains two or more different types of RNA cistrons"
"TU00260"	"Contains two or more different types of RNA cistrons"
"TU00345"	"Contains two or more different types of RNA cistrons"
"TU00417"	"Contains two or more different types of RNA cistrons"
"TU00418"	"Contains two or more different types of RNA cistrons"
"TU00489"	"RNA type not supported (tRNA)"
"TU00490"	"RNA type not supported (tRNA)"
"TU00491"	"RNA type not supported (tRNA)"
"TU00492"	"RNA type not supported (tRNA)"
