# manually curated from Ecocyc on 10/1/19: https://ecocyc.org/compound?orgid=ECOLI&id=GUANOSINE-5DP-3DP#tab=REG
# duplicate entries are not kept unless directionality differs
# some genes replaced manually with synonyms to match wcm genes (gene vs curated gene columns)
"Gene"	"ppGpp"	"DksA-ppGpp"	"DksA"	"sigma70"	"sigmaS"	"sigma32"	"sigma54"	"sigma24"	"Curated Gene"
"thrL"	1	1		1					"thrL"
"thrA"	1	1		1					"thrA"
"thrB"	1	1		1					"thrB"
"thrC"	1	1		1					"thrC"
"sgrR"	1		1	1					"sgrR"
"sroA"	1		1	1					"sroA"
"tbpA"	1		1	1					"thiB"
"thiP"	1		1	1					"thiP"
"thiQ"	1		1	1					"thiQ"
"sgrT"	1		1	1	1				"sgrT"
"sgrS"	1		1	1	1				"sgrS"
"setA"	1		1	1	1				"setA"
"leuL"	1			1					"leuL"
"leuA"	1			1					"leuA"
"leuB"	1			1					"leuB"
"leuC"	1			1					"leuC"
"leuD"	1			1					"leuD"
"leuO"	1			1					"leuO"
"ilvI"	-1								"ilvI"
"ilvH"	-1								"ilvH"
"ftsQ"	1			1	1				"ftsQ"
"ftsA"	1			1	1				"ftsA"
"ftsZ"	1			1	1				"ftsZ"
"pcnB"	-1	-1		1	1				"pcnB"
"folK"	-1	-1		1	1				"folK"
"dksA"	-1	-1	-1	1					"dksA"
"gluQ"	-1	-1	-1	1					"gluQ"
"tff"	-1			1					"tff"
"rpsB"	-1			1					"rpsB"
"tsf"	-1			1					"tsf"
"frr"	-1			1					"frr"
"rrsH"	-1	-1	-1	1		1			"rrsH"
"ileV"	-1	-1	-1	1		1			"ileV"
"alaV"	-1	-1	-1	1		1			"alaV"
"rrlH"	-1	-1	-1	1		1			"rrlH"
"rrfH"	-1	-1	-1	1		1			"rrfH"
"yahO"	1								"yahO"
"iraP"	1	1		1					"iraP"
"yaiA"	1								"yaiA"
"aroM"	1								"aroM"
"queA"	-1								"queA"
"tgt"	-1								"tgt"
"yajC"	-1								"yajC"
"yajO"	1								"yajO"
"bolA"	1			1	1				"bolA"
"ybaA"	1								"ybaA"
"ybaS"	1				1				"glsA"
"ybaT"	1				1				"ybaT"
"ybdK"	1								"ybdK"
"ybeL"	1								"ybeL"
"metT"	-1			1					"metT"
"leuW"	-1			1					"leuW"
"glnU"	-1			1					"glnU"
"glnW"	-1			1					"glnW"
"metU"	-1			1					"metU"
"glnV"	-1			1					"glnV"
"glnX"	-1			1					"glnX"
"ybgA"	1				1				"ybgA"
"phr"	1				1				"phr"
"ybgS"	1								"ybgS"
"ybhP"	1								"ybhP"
"clsB"	1								"clsB"
"ybhN"	1								"ybhN"
"dps"	1			1	1				"dps"
"dacC"	1			1					"dacC"
"ybjP"	1				1				"ybjP"
"poxB"	1			1	1				"poxB"
"cspD"	1			1					"cspD"
"infA"	-1								"infA"
"serW"	-1			1					"serW"
"lrp"	1			1					"lrp"
"ftsK"	1			1					"ftsK"
