# Generated by reconstruction/ecoli/scripts/rna_half_lives/convert_to_flat.py on Wed Apr 20 16:52:03 2022
"id"	"half_life (units.min)"
"EG10387"	3.7
"EG10388"	4.4
"EG10389"	5.4
"EG10390"	2.1
"EG10391"	7.8
"EG10392"	7.8
"EG10393"	7.6
"EG10395"	3.5
"EG10396"	7.6
"EG10397"	5.0
"EG10398"	7.1
"EG10399"	4.3
"EG10400"	3.9
"EG10401"	5.9
"EG10402"	2.1
"EG10403"	1.9
"EG10404"	2.8
"EG10405"	1.6
"EG10406"	1.6
"EG10407"	1.8
"EG10408"	3.7
"EG10409"	2.3
"EG10410"	2.6
"EG10411"	30.8
"EG10412"	3.4
"EG10413"	0.9
"EG10414"	0.9
"EG10415"	1.1
"EG10416"	2.2
"EG10417"	4.5
"EG10418"	2.4
"EG10419"	2.6
"EG10420"	2.3
"EG10422"	11.6
"EG10423"	2.9
"EG10424"	1.9
"EG10426"	4.8
"EG10427"	9.5
"EG10428"	2.7
"EG10429"	6.1
"EG10430"	4.4
"EG10431"	4.8
"EG10432"	9.2
"EG10433"	2.8
"EG10434"	2.6
"EG10435"	3.2
"EG10436"	2.2
"EG10437"	2.6
"EG10438"	5.0
"EG10439"	4.0
"EG10440"	6.6
"EG10442"	6.2
"EG10443"	4.7
"EG10445"	4.2
"EG10446"	3.3
"EG10447"	3.2
"EG10449"	2.5
"EG10452"	5.0
"EG10453"	1.2
"EG10456"	4.3
"EG10457"	2.4
"EG10458"	4.9
"EG10459"	7.7
"EG10460"	3.4
"EG10461"	1.6
"EG10462"	1.5
"EG10463"	2.0
"EG10464"	1.0
"EG10465"	4.5
"EG10468"	5.8
"EG10469"	5.9
"EG10470"	6.5
"EG10471"	12.9
"EG10472"	5.8
"EG10473"	4.4
"EG10474"	7.6
"EG10475"	6.2
"EG10476"	8.1
"EG10477"	5.8
"EG10478"	7.9
"EG10479"	6.5
"EG10480"	8.3
"EG10481"	6.3
"EG10482"	6.4
"EG10483"	5.4
"EG10485"	7.9
"EG10486"	8.0
"EG10487"	4.4
"EG10489"	4.2
"EG10490"	0.8
"EG10491"	1.6
"EG10492"	2.0
"EG10493"	4.2
"EG10494"	7.8
"EG10495"	1.4
"EG10496"	2.8
"EG10497"	3.9
"EG10499"	2.5
"EG10500"	3.1
"EG10501"	4.6
"EG10502"	5.0
"EG10503"	7.6
"EG10504"	3.4
"EG10505"	2.3
"EG10506"	3.6
"EG10507"	1.0
"EG10508"	3.9
"EG10509"	5.9
"EG10510"	7.0
"EG10511"	11.0
"EG10512"	11.7
"EG10513"	9.0
"EG10514"	7.6
"EG10515"	10.2
"EG10516"	6.0
"EG10517"	6.8
"EG10518"	4.0
"EG10519"	4.0
"EG10520"	4.9
"EG10521"	8.3
"EG10522"	1.5
"EG10523"	2.2
"EG10524"	7.1
"EG10525"	5.7
"EG10526"	7.9
"EG10527"	10.4
"EG10528"	5.5
"EG10529"	2.4
"EG10530"	4.3
"EG10531"	7.0
"EG10532"	2.1
"EG10533"	0.6
"EG10534"	6.1
"EG10535"	8.1
"EG10536"	2.7
"EG10537"	4.4
"EG10538"	8.7
"EG10539"	9.7
"EG10540"	3.8
"EG10541"	3.9
"EG10542"	3.4
"EG10543"	4.8
"EG10544"	14.1
"EG10545"	7.7
"EG10546"	6.7
"EG10547"	5.3
"EG10548"	3.8
"EG10549"	1.3
"EG10550"	1.4
"EG10551"	8.2
"EG10552"	2.2
"EG10553"	5.3
"EG10555"	8.4
"EG10557"	12.2
"EG10558"	6.9
"EG10559"	4.5
"EG10560"	6.6
"EG10561"	7.1
"EG10562"	9.1
"EG10563"	4.1
"EG10565"	3.3
"EG10566"	1.7
"EG10567"	18.1
"EG10568"	21.8
"EG10569"	7.8
"EG10570"	3.1
"EG10571"	3.9
"EG10574"	7.5
"EG10575"	4.8
"EG10576"	7.7
"EG10578"	5.4
"EG10579"	3.1
"EG10580"	3.1
"EG10581"	1.0
"EG10582"	3.1
"EG10583"	2.7
"EG10584"	5.0
"EG10585"	1.7
"EG10586"	2.4
"EG10587"	1.5
"EG10588"	1.5
"EG10589"	1.9
"EG10590"	2.0
"EG10591"	5.7
"EG10592"	10.2
"EG10593"	10.4
"EG10594"	11.7
"EG10595"	4.9
"EG10596"	2.2
"EG10597"	1.7
"EG10598"	3.4
"EG10599"	3.5
"EG10600"	5.0
"EG10601"	4.3
"EG10602"	7.4
"EG10603"	5.4
"EG10604"	7.9
"EG10606"	4.7
"EG10607"	4.9
"EG10608"	2.1
"EG10609"	4.5
"EG10610"	3.7
"EG10611"	2.5
"EG10612"	7.1
"EG10613"	3.0
"EG10614"	0.8
"EG10615"	3.7
"EG10616"	2.8
"EG10617"	3.5
"EG10618"	2.8
"EG10619"	8.5
"EG10621"	3.8
"EG10622"	3.0
"EG10623"	13.5
"EG10624"	6.7
"EG10625"	5.5
"EG10626"	7.9
"EG10627"	4.4
"EG10628"	1.8
"EG10629"	4.1
"EG10630"	3.3
"EG10631"	6.0
"EG10632"	1.8
"EG10633"	10.3
"EG10634"	3.9
"EG10635"	7.8
"EG10636"	1.0
"EG10637"	4.0
"EG10638"	9.6
"EG10639"	6.0
"EG10640"	5.7
"EG10641"	5.5
"EG10642"	6.1
"EG10643"	4.3
"EG10644"	6.2
"EG10645"	7.5
"EG10646"	8.7
"EG10647"	6.9
"EG10648"	5.8
"EG10649"	1.2
"EG10650"	2.0
"EG10651"	7.1
"EG10652"	6.6
"EG10653"	6.3
"EG10654"	7.3
"EG10655"	7.4
"EG10657"	5.6
"EG10658"	2.2
"EG10659"	4.9
"EG10660"	2.4
"EG10661"	2.9
"EG10662"	8.8
"EG10663"	8.1
"EG10664"	6.0
"EG10665"	3.6
"EG10666"	3.3
"EG10667"	3.3
"EG10668"	7.8
"EG10669"	32.4
"EG10670"	9.7
"EG10671"	8.7
"EG10672"	14.0
"EG10673"	4.2
"EG10674"	9.3
"EG10675"	2.9
"EG10676"	3.3
"EG10677"	3.3
"EG10678"	4.4
"EG10679"	9.8
"EG10680"	6.6
"EG10681"	3.7
"EG10682"	5.3
"EG10683"	13.6
"EG10684"	6.1
"EG10685"	4.7
"EG10686"	1.0
"EG10687"	3.2
"EG10688"	6.7
"EG10689"	3.1
"EG10690"	4.8
"EG10691"	3.4
"EG10693"	3.7
"EG10694"	2.7
"EG10695"	5.5
"EG10696"	2.3
"EG10697"	2.4
"EG10698"	2.4
"EG10699"	2.9
"EG10700"	7.8
"EG10701"	5.8
"EG10702"	1.5
"EG10703"	2.5
"EG10704"	2.9
"EG10705"	1.3
"EG10706"	0.8
"EG10707"	2.7
"EG10708"	1.4
"EG10709"	2.9
"EG10710"	3.8
"EG10711"	4.3
"EG10712"	5.6
"EG10713"	5.0
"EG10714"	8.0
"EG10715"	6.1
"EG10716"	5.7
"EG10717"	3.5
"EG10718"	4.1
"EG10719"	4.6
"EG10720"	7.2
"EG10721"	16.8
"EG10722"	11.8
"EG10723"	7.4
"EG10724"	5.9
"EG10725"	6.3
"EG10727"	5.1
"EG10728"	4.9
"EG10729"	7.2
"EG10730"	4.2
"EG10731"	3.3
"EG10732"	10.5
"EG10733"	4.2
"EG10734"	4.5
"EG10735"	8.3
"EG10736"	5.0
"EG10737"	8.9
"EG10738"	0.9
"EG10739"	3.2
"EG10740"	1.5
"EG10741"	1.7
"EG10742"	1.5
"EG10743"	2.4
"EG10744"	5.9
"EG10745"	5.1
"EG10746"	1.5
"EG10747"	4.1
"EG10748"	0.8
"EG10749"	4.4
"EG10750"	4.9
"EG10751"	6.5
"EG10753"	5.5
"EG10754"	3.9
"EG10755"	2.6
"EG10756"	2.2
"EG10757"	1.5
"EG10758"	3.0
"EG10759"	10.1
"EG10760"	2.8
"EG10761"	3.5
"EG10762"	3.7
"EG10763"	6.8
"EG10764"	6.8
"EG10765"	6.5
"EG10766"	11.1
"EG10767"	2.6
"EG10768"	3.5
"EG10769"	2.0
"EG10770"	1.7
"EG10771"	6.3
"EG10772"	4.0
"EG10775"	2.1
"EG10776"	8.9
"EG10777"	15.6
"EG10778"	4.3
"EG10779"	5.6
"EG10780"	4.7
"EG10781"	1.5
"EG10782"	4.7
"EG10783"	3.9
"EG10784"	6.9
"EG10785"	4.0
"EG10786"	7.0
"EG10787"	4.6
"EG10789"	4.2
"EG10790"	3.7
"EG10791"	2.6
"EG10792"	5.2
"EG10793"	2.9
"EG10794"	2.2
"EG10795"	3.1
"EG10796"	2.1
"EG10797"	2.1
"EG10800"	3.5
"EG10801"	3.0
"EG10802"	3.6
"EG10803"	7.2
"EG10804"	1.5
"EG10805"	6.6
"EG10806"	6.1
"EG10807"	6.5
"EG10808"	5.3
"EG10809"	5.7
"EG10810"	3.7
"EG10811"	7.8
"EG10812"	1.0
"EG10813"	5.5
"EG10814"	7.9
"EG10815"	7.7
"EG10818"	6.8
"EG10819"	4.5
"EG10820"	6.7
"EG10821"	3.1
"EG10822"	0.8
"EG10823"	4.2
"EG10824"	3.7
"EG10826"	5.2
"EG10827"	7.3
"EG10828"	4.2
"EG10829"	2.8
"EG10830"	3.8
"EG10831"	4.7
"EG10832"	5.1
"EG10833"	0.6
"EG10834"	4.1
"EG10835"	10.5
"EG10836"	5.0
"EG10837"	0.7
"EG10838"	4.4
"EG10839"	3.6
"EG10840"	4.5
"EG10841"	8.3
"EG10842"	4.9
"EG10843"	8.3
"EG10844"	1.1
"EG10845"	2.2
"EG10846"	5.9
"EG10847"	5.2
"EG10850"	6.8
"EG10851"	2.8
"EG10852"	4.4
"EG10853"	4.4
"EG10854"	2.9
"EG10855"	2.6
"EG10856"	1.0
"EG10857"	4.0
"EG10858"	1.1
"EG10859"	1.8
"EG10860"	5.4
"EG10861"	5.4
"EG10862"	3.3
"EG10863"	9.4
"EG10864"	3.5
"EG10865"	7.8
"EG10866"	5.2
"EG10867"	6.0
"EG10868"	3.2
"EG10869"	3.4
"EG10870"	5.6
"EG10871"	3.9
"EG10872"	3.0
"EG10874"	4.5
"EG10876"	6.4
"EG10879"	4.5
"EG10880"	6.4
"EG10881"	9.8
"EG10882"	9.4
"EG10883"	6.6
"EG10885"	6.5
"EG10886"	3.4
"EG10888"	9.3
"EG10889"	5.8
"EG10890"	5.5
"EG10891"	3.5
"EG10892"	4.5
"EG10896"	2.4
"EG10897"	2.0
"EG10898"	3.2
"EG10899"	3.3
"EG10900"	4.2
"EG10901"	4.4
"EG10902"	12.5
"EG10904"	4.8
"EG10905"	6.3
"EG10907"	3.0
"EG10908"	4.1
"EG10909"	5.1
"EG10910"	6.7
"EG10911"	8.0
"EG10912"	6.3
"EG10913"	3.0
"EG10914"	4.9
"EG10915"	5.8
"EG10917"	6.2
"EG10918"	7.0
"EG10919"	2.4
"EG10920"	2.7
"EG10921"	2.1
"EG10922"	0.9
"EG10925"	4.0
"EG10926"	1.0
"EG10927"	3.9
"EG10928"	4.8
"EG10929"	5.8
"EG10930"	2.7
"EG10931"	4.7
"EG10932"	4.8
"EG10933"	5.8
"EG10934"	6.1
"EG10935"	4.4
"EG10936"	2.6
"EG10937"	3.6
"EG10938"	2.8
"EG10939"	4.5
"EG10940"	4.9
"EG10941"	3.6
"EG10942"	2.9
"EG10943"	3.5
"EG10944"	1.9
"EG10945"	3.9
"EG10946"	2.0
"EG10947"	2.9
"EG10948"	4.7
"EG10949"	4.8
"EG10950"	4.4
"EG10951"	7.9
"EG10952"	1.8
"EG10953"	8.4
"EG10954"	17.9
"EG10955"	3.9
"EG10956"	4.4
"EG10957"	4.5
"EG10958"	2.5
"EG10959"	5.1
"EG10961"	3.4
"EG10962"	9.7
"EG10963"	4.4
"EG10964"	7.9
"EG10965"	1.5
"EG10966"	3.4
"EG10967"	2.2
"EG10968"	1.3
"EG10969"	7.6
"EG10970"	7.6
"EG10971"	6.9
"EG10972"	6.3
"EG10974"	6.0
"EG10975"	2.4
"EG10976"	2.1
"EG10977"	2.7
"EG10978"	2.7
"EG10980"	17.5
"EG10983"	2.1
"EG10984"	5.6
"EG10985"	1.7
"EG10986"	3.2
"EG10987"	10.5
"EG10990"	6.0
"EG10991"	7.3
"EG10992"	5.4
"EG10993"	7.4
"EG10994"	1.1
"EG10995"	3.6
"EG10996"	4.2
"EG10997"	2.5
"EG10998"	2.9
"EG10999"	3.0
"EG11000"	3.1
"EG11002"	2.8
"EG11003"	2.5
"EG11004"	3.8
"EG11005"	5.1
"EG11006"	9.5
"EG11007"	2.9
"EG11008"	4.4
"EG11009"	6.5
"EG11010"	4.1
"EG11011"	4.5
"EG11012"	0.8
"EG11013"	1.6
"EG11014"	2.3
"EG11015"	2.7
"EG11016"	4.5
"EG11017"	3.6
"EG11018"	8.7
"EG11019"	1.4
"EG11020"	7.0
"EG11022"	1.1
"EG11023"	6.1
"EG11025"	2.7
"EG11026"	2.2
"EG11027"	1.9
"EG11028"	2.1
"EG11029"	1.3
"EG11031"	3.3
"EG11032"	3.4
"EG11033"	3.1
"EG11034"	8.5
"EG11035"	2.4
"EG11036"	7.0
"EG11037"	8.2
"EG11038"	4.0
"EG11039"	1.5
"EG11040"	15.9
"EG11041"	5.5
"EG11042"	3.3
"EG11043"	2.0
"EG11044"	5.6
"EG11045"	5.3
"EG11046"	4.4
"EG11047"	6.8
"EG11048"	3.8
"EG11049"	5.6
"EG11050"	4.3
"EG11051"	4.6
"EG11052"	5.5
"EG11053"	8.7
"EG11054"	8.2
"EG11055"	9.8
"EG11056"	8.5
"EG11057"	6.3
"EG11058"	1.8
"EG11060"	2.3
"EG11061"	2.4
"EG11062"	2.7
"EG11063"	2.7
"EG11064"	2.4
"EG11066"	3.5
"EG11067"	2.2
"EG11068"	7.2
"EG11069"	3.1
"EG11070"	3.1
"EG11071"	1.4
"EG11073"	1.9
"EG11074"	11.8
"EG11075"	5.2
"EG11076"	4.5
"EG11078"	4.1
"EG11082"	7.7
"EG11083"	1.4
"EG11084"	3.2
"EG11085"	4.0
"EG11088"	4.4
"EG11089"	6.9
"EG11091"	1.6
"EG11092"	2.6
"EG11094"	5.9
"EG11095"	1.5
"EG11096"	4.5
"EG11097"	1.2
"EG11099"	8.4
"EG11100"	3.5
"EG11101"	4.8
"EG11102"	1.2
"EG11103"	8.2
"EG11104"	5.7
"EG11105"	3.8
"EG11108"	3.8
"EG11109"	4.1
"EG11110"	2.5
"EG11111"	15.4
"EG11112"	1.4
"EG11113"	1.8
"EG11116"	0.9
"EG11117"	2.3
"EG11118"	0.9
"EG11119"	7.1
"EG11120"	8.6
"EG11121"	1.6
"EG11122"	5.4
"EG11123"	4.1
"EG11124"	9.3
"EG11126"	16.8
"EG11128"	8.3
"EG11129"	5.3
"EG11130"	8.2
"EG11131"	6.4
"EG11132"	2.6
"EG11133"	1.6
"EG11134"	3.3
"EG11135"	4.0
"EG11136"	9.0
"EG11137"	3.5
"EG11138"	4.9
"EG11139"	1.9
"EG11140"	2.9
"EG11141"	6.9
"EG11142"	7.5
"EG11143"	2.4
"EG11144"	12.3
"EG11145"	4.5
"EG11146"	6.4
"EG11147"	4.2
"EG11149"	3.3
"EG11150"	5.7
"EG11151"	4.0
"EG11152"	3.4
"EG11153"	5.2
"EG11154"	7.8
"EG11155"	7.7
"EG11156"	3.8
"EG11157"	6.5
"EG11158"	4.0
"EG11159"	2.4
"EG11160"	14.6
"EG11161"	6.3
"EG11162"	4.5
"EG11163"	4.0
"EG11164"	3.0
"EG11165"	4.5
"EG11166"	5.9
"EG11167"	2.4
"EG11168"	5.8
"EG11169"	6.2
"EG11171"	8.6
"EG11173"	7.4
"EG11174"	5.6
"EG11175"	5.0
"EG11176"	5.6
"EG11177"	3.4
"EG11178"	3.7
"EG11179"	3.5
"EG11181"	7.2
"EG11182"	3.2
"EG11183"	2.5
"EG11184"	3.1
"EG11186"	5.4
"EG11188"	4.6
"EG11189"	7.4
"EG11190"	3.6
"EG11191"	3.8
"EG11192"	2.4
"EG11193"	6.1
"EG11195"	3.4
"EG11196"	5.0
"EG11198"	6.6
"EG11199"	3.2
"EG11201"	3.0
"EG11203"	2.4
"EG11204"	4.8
"EG11205"	4.7
"EG11206"	5.1
"EG11207"	9.9
"EG11210"	5.7
"EG11211"	1.3
"EG11212"	5.3
"EG11213"	3.4
"EG11214"	4.4
"EG11215"	5.9
"EG11217"	5.2
"EG11218"	4.1
"EG11219"	7.3
"EG11221"	3.1
"EG11222"	8.0
"EG11223"	3.5
"EG11224"	8.6
"EG11226"	1.8
"EG11227"	7.0
"EG11228"	8.4
"EG11229"	6.2
"EG11230"	6.4
"EG11231"	10.3
"EG11232"	6.3
"EG11233"	5.2
"EG11234"	8.6
"EG11235"	1.2
"EG11236"	7.5
"EG11238"	3.0
"EG11239"	6.5
"EG11242"	5.4
"EG11244"	3.0
"EG11245"	6.9
"EG11246"	3.6
"EG11249"	3.7
"EG11250"	5.4
"EG11251"	4.5
"EG11252"	3.0
"EG11253"	4.2
"EG11254"	4.2
"EG11255"	2.7
"EG11256"	7.5
"EG11257"	7.5
"EG11258"	6.0
"EG11259"	2.8
"EG11260"	4.6
"EG11261"	4.6
"EG11262"	2.3
"EG11263"	6.2
"EG11265"	4.7
"EG11268"	3.2
"EG11269"	3.9
"EG11270"	6.2
"EG11271"	4.7
"EG11272"	5.5
"EG11273"	4.7
"EG11274"	4.6
"EG11275"	4.4
"EG11276"	5.4
"EG11277"	3.5
"EG11279"	8.8
"EG11280"	7.0
"EG11281"	2.7
"EG11282"	6.0
"EG11283"	3.5
"EG11284"	4.9
"EG11285"	4.2
"EG11286"	2.6
"EG11287"	5.4
"EG11288"	5.1
"EG11289"	6.5
"EG11290"	2.7
"EG11291"	6.6
"EG11292"	8.5
"EG11294"	4.3
"EG11295"	4.4
"EG11296"	3.1
"EG11297"	3.9
"EG11298"	2.9
"EG11299"	2.6
"EG11300"	7.0
"EG11301"	5.2
"EG11302"	6.9
"EG11303"	5.9
"EG11304"	5.9
"EG11305"	6.2
"EG11306"	3.1
"EG11309"	6.4
"EG11310"	7.7
"EG11311"	4.2
"EG11313"	5.1
"EG11314"	3.6
"EG11315"	5.6
"EG11316"	11.8
"EG11317"	2.9
"EG11318"	5.4
"EG11319"	2.7
"EG11320"	4.8
"EG11321"	3.4
"EG11322"	3.5
"EG11323"	3.3
"EG11324"	2.9
"EG11325"	6.0
"EG11326"	6.1
"EG11327"	8.7
"EG11329"	9.4
"EG11331"	1.8
"EG11332"	4.1
"EG11333"	2.3
"EG11335"	4.5
"EG11336"	4.3
"EG11337"	1.3
"EG11338"	2.7
"EG11339"	3.8
"EG11340"	2.4
"EG11341"	2.6
"EG11342"	0.7
"EG11343"	6.7
"EG11344"	1.1
"EG11345"	2.5
"EG11346"	8.6
"EG11347"	20.4
"EG11350"	3.7
"EG11354"	4.1
"EG11355"	5.3
"EG11356"	6.1
"EG11357"	1.1
"EG11358"	2.1
"EG11359"	6.5
"EG11360"	1.1
"EG11361"	0.9
"EG11362"	5.3
"EG11363"	3.7
"EG11364"	5.6
"EG11366"	3.0
"EG11368"	12.2
"EG11370"	4.0
"EG11371"	5.4
"EG11372"	3.8
"EG11373"	6.9
"EG11374"	3.0
"EG11375"	5.4
"EG11376"	1.4
"EG11377"	1.3
"EG11378"	2.2
"EG11379"	4.0
"EG11380"	7.3
"EG11381"	6.6
"EG11383"	13.6
"EG11384"	18.1
"EG11385"	2.5
"EG11386"	8.5
"EG11387"	6.7
"EG11388"	5.7
"EG11389"	6.5
"EG11390"	3.5
"EG11391"	7.8
"EG11392"	1.2
"EG11393"	1.5
"EG11394"	6.0
"EG11395"	5.8
"EG11396"	1.4
"EG11399"	6.0
"EG11401"	5.2
"EG11402"	4.3
"EG11403"	2.8
"EG11404"	2.7
"EG11405"	7.5
"EG11406"	2.3
"EG11407"	2.8
"EG11408"	2.5
"EG11409"	4.0
"EG11410"	2.3
"EG11411"	2.6
"EG11412"	2.5
"EG11413"	4.0
"EG11414"	5.0
"EG11415"	5.1
"EG11417"	5.4
"EG11418"	4.7
"EG11419"	1.3
"EG11422"	1.9
"EG11426"	8.3
"EG11427"	4.5
"EG11428"	2.4
"EG11429"	13.5
"EG11430"	1.1
"EG11431"	4.2
"EG11432"	6.5
"EG11433"	3.3
"EG11434"	5.0
"EG11435"	5.8
"EG11436"	5.6
"EG11437"	3.4
"EG11438"	3.1
"EG11439"	4.2
"EG11440"	3.8
