"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"2-DEHYDROPANTOATE-REDUCT-RXN"	{"L-PANTOATE[CCO-CYTOSOL]":-1,"NADP[CCO-CYTOSOL]":-1,"2-DEHYDROPANTOATE[CCO-CYTOSOL]":1,"NADPH[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-7643", "2-DEHYDROPANTOATE-REDUCT-MONOMER"]	
"2-ISOPROPYLMALATESYN-RXN"	{"2-KETO-ISOVALERATE[CCO-CYTOSOL]":-1,"ACETYL-COA[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"3-CARBOXY-3-HYDROXY-ISOCAPROATE[CCO-CYTOSOL]":1,"CO-A[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["2-ISOPROPYLMALATESYN-MONOMER"]	
"2-METHYLCITRATE-DEHYDRATASE-RXN"	{"CPD-622[CCO-CYTOSOL]":-1,"CPD-1136[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["G6199-MONOMER"]	
"2-METHYLCITRATE-SYNTHASE-RXN"	{"OXALACETIC_ACID[CCO-CYTOSOL]":-1,"PROPIONYL-COA[CCO-CYTOSOL]":-1,"WATER[CCO-CYTOSOL]":-1,"CPD-622[CCO-CYTOSOL]":1,"CO-A[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["CPLX0-251"]	
"2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN"	{"2-OCTAPRENYL-6-METHOXYPHENOL[CCO-CYTOSOL]":-1,"NADPH[CCO-CYTOSOL]":-1,"OXYGEN-MOLECULE[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"OCTAPRENYL-METHOXY-BENZOQUINONE[CCO-CYTOSOL]":1,"NADP[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["OCTAPRENYL-METHOXYPHENOL-OH-MONOMER"]	
"2-OCTAPRENYL-6-OHPHENOL-METHY-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"2-OCTAPRENYL-6-HYDROXYPHENOL[CCO-CYTOSOL]":-1,"2-OCTAPRENYL-6-METHOXYPHENOL[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["DHHB-METHYLTRANSFER-MONOMER"]	
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"OCTAPRENYL-METHOXY-BENZOQUINONE[CCO-CYTOSOL]":-1,"OCTAPRENYL-METHYL-METHOXY-BENZQ[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"]	
"2-OCTAPRENYLPHENOL-HYDROX-RXN"	{"2-OCTAPRENYLPHENOL[CCO-CYTOSOL]":-1,"NADPH[CCO-CYTOSOL]":-1,"OXYGEN-MOLECULE[CCO-CYTOSOL]":-1,"PROTON[CCO-CYTOSOL]":-1,"2-OCTAPRENYL-6-HYDROXYPHENOL[CCO-CYTOSOL]":1,"NADP[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"L2R"	["EG11333-MONOMER"]	
"2-OXOPENT-4-ENOATE-HYDRATASE-RXN"	{"4-HYDROXY-2-KETOVALERATE[CCO-CYTOSOL]":-1,"CPD-14447[CCO-CYTOSOL]":1,"WATER[CCO-CYTOSOL]":1}	"R2L"	["CPLX0-7951"]	
"2.1.1.34-RXN"	{"S-ADENOSYLMETHIONINE[CCO-CYTOSOL]":-1,"tRNA-guanosine18[CCO-CYTOSOL]":-1,"2-O-Methylguanosine18[CCO-CYTOSOL]":1,"ADENOSYL-HOMO-CYS[CCO-CYTOSOL]":1,"PROTON[CCO-CYTOSOL]":1}	"L2R"	["EG10967-MONOMER"]	
