"index"	"submass_name"	"_comments"
0	"rRNA"
1	"tRNA"
2	"mRNA"	"includes RNAs transcribed from genes classified as miscRNA, pseudo, or phantom genes"
3	"nonspecific_RNA"
4	"protein"
5	"metabolite"
6	"water"
7	"DNA"
