"geneId"	"name"	"translationEfficiency"
"G6107"	"yafJ"	1.0387407293
"G6108"	"yafK"	2.37955370119
"G6110"	"dinJ"	1.95754332335
"G6115"	"dinB"	0.728660138571
"EG10695"	"pepD"	2.39392591312
"EG10414"	"gpt"	4.3514399782
"EG11091"	"frsA"	1.97584490372
"EG11092"	"crl"	2.61336378725
"EG10768"	"proB"	1.38659996038
"EG10767"	"proA"	1.30659996786
"G6136"	"mmuM"	0.947713811783
"G6141"	"yagF"	0.878964532976
"G6144"	"yagI"	0.414635057932
"EG10067"	"argF"	1.42657840748
"G6151"	"yagN"	6.01407924836
"G6152"	"intF"	2.58098728364
"G6158"	"yagU"	3.32657853322
"EG10109"	"betA"	0.968939701235
"EG10110"	"betB"	1.38695417544
"EG10111"	"betI"	0.312282916531
"EG10112"	"betT"	0.810905861251
"EG11236"	"yahA"	1.23123579698
"G6189"	"yahJ"	1.31442083395
"EG11327"	"codB"	1.35846365133
"EG11326"	"codA"	2.14129571996
"EG11421"	"cynR"	1.31107207932
"EG10525"	"lacI"	1.31781590874
"G6207"	"yaiL"	2.81825030237
"G6208"	"frmB"	1.59762678348
"EG50010"	"frmA"	2.13325233207
"G6209"	"frmR"	0.573161237747
"EG10428"	"hemB"	2.19505691937
"EG12867"	"ampH"	1.68588775109
"EG10928"	"sbmA"	1.19509798082
"G6227"	"yaiW"	1.22389668297
"EG10213"	"ddlA"	2.14160890367
"EG10727"	"phoA"	2.14760254013
"EG10769"	"proC"	3.48878570811
"G6230"	"yaiI"	1.74550688173
"EG10082"	"aroL"	0.882162328036
"EG10083"	"aroM"	1.12343288211
"EG12159"	"yaiE"	3.01363585558
"EG12158"	"rdgC"	2.27973992299
"EG11288"	"mak"	2.02816665645
"EG10060"	"araJ"	0.805929855689
"EG10927"	"sbcC"	0.900086229797
"EG11094"	"sbcD"	1.40917329863
"EG10728"	"phoB"	1.14873849147
"EG10733"	"phoR"	0.693297958231
"EG12168"	"brnQ"	1.39657101071
"G6233"	"proY"	1.27973681177
"EG10565"	"malZ"	1.21584262426
"EG11095"	"acpH"	1.73986196353
"EG10812"	"queA"	1.73370734978
"EG10996"	"tgt"	1.63732866181
"EG11096"	"yajC"	2.57264819222
"EG10938"	"secD"	0.740991815754
"EG10940"	"secF"	0.749323355412
"EG11097"	"yajD"	3.227979194
"EG11035"	"tsx"	2.80445976841
"EG11320"	"nrdR"	0.921608798981
"EG11321"	"ribD"	0.861889842918
"EG11322"	"ribE"	2.50843265381
"EG10666"	"nusB"	1.55584731063
"G6234"	"thiL"	0.715028741421
"EG10704"	"pgpA"	0.65655168435
"G6236"	"yajO"	1.11971109336
"G6237"	"dxs"	0.901307931581
"EG10508"	"ispA"	0.989326044105
"EG11098"	"xseB"	1.3796379596
"G6238"	"thiI"	2.12926864925
"G198"	"yajL"	2.57145974658
"G6239"	"panE"	1.36337009436
"G6240"	"yajQ"	2.74149952239
"G6241"	"yajR"	0.753079013399
"EG10182"	"cyoE"	0.35564461571
"EG10181"	"cyoD"	0.972265983073
"EG10180"	"cyoC"	1.01476164562
