"left"	"right"	"id"	"rho"	"name"
1620790	1620823	"TERM0-1142"	"0"	"TERM0-1142"
1842956	1842978	"TERM0-1143"	"0"	"TERM0-1143"
1842961	1842983	"TERM0-1144"	"0"	"TERM0-1144"
1978120	1978150	"TERM0-1145"	"0"	"TERM0-1145"
3348693	3348719	"TERM0-1148"	"0"	"TERM0-1148"
3661564	3661594	"TERM0-1150"	"0"	"TERM0-1150"
3813119	3813142	"TERM0-1151"	"0"	"TERM0-1151"
2945713	2945739	"TERM0-1152"	"0"	"TERM0-1152"
2945758	2945778	"TERM0-1153"	"0"	"TERM0-1153"
1314407	1314432	"TERM0-1154"	"0"	"TERM0-1154"
1313809	1313839	"TERM0-1155"	"0"	"TERM0-1155"
1312692	1312722	"TERM0-1156"	"0"	"TERM0-1156"
1310285	1310324	"TERM0-1157"	"0"	"TERM0-1157"
3054257	3054305	"TERM0-1158"	"1"	"TERM0-1158"
3436466	3436526	"TERM0-1159"	"0"	"TERM0-1159"
2438305	2438332	"TERM0-1160"	"0"	"TERM0-1160"
1561300	1561325	"TERM0-1161"	"0"	"TERM0-1161"
1403686	1403717	"TERM0-1162"	"0"	"TERM0-1162"
3921728	3921755	"TERM0-1163"	"0"	"TERM0-1163"
1015123	1015147	"TERM0-1164"	"0"	"TERM0-1164"
1684729	1684749	"TERM0-1166"	"0"	"TERM0-1166"
1291684	1291708	"TERM0-1168"	"0"	"TERM0-1168"
1336536	1336572	"TERM0-1170"	"0"	"TERM0-1170"
1731735	1731764	"TERM0-1171"	"0"	"TERM0-1171"
193442	193498	"TERM0-1173"	"0"	"TERM0-1173"
3646371	3646407	"TERM0-1174"	"0"	"TERM0-1174"
3646140	3646170	"TERM0-1175"	"0"	"TERM0-1175"
3645675	3645712	"TERM0-1176"	"0"	"TERM0-1176"
1944839	1944878	"TERM01001"	"0"	"TERM01001"
1158548	1158569	"TERM0101"	"0"	"TERM0101"
129366	129394	"TERM01021"	"0"	"TERM01021"
