"id"	"stoichiometry"	"direction"	"catalyzed_by"	
"1.7.2.3-RXN"	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Cytochromes-C-Oxidized[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Cytochromes-C-Reduced[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/an-oxidized-NrfB-protein/WATER//TRIMETHYLAMINE-N-O/a-reduced-NrfB-protein/PROTON.96."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"an-oxidized-NrfB-protein[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"a-reduced-NrfB-protein[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-c3-Oxidized/WATER//TRIMETHYLAMINE-N-O/Cytochromes-c3-Reduced/PROTON.95."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Cytochromes-c3-Oxidized[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Cytochromes-c3-Reduced[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-C550-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-C550-Red/PROTON.89."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Cytochromes-C550-Ox[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Cytochromes-C550-Red[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-C552-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-C552-Red/PROTON.89."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Cytochromes-C552-Ox[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Cytochromes-C552-Red[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-C554-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-C554-Red/PROTON.89."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Cytochromes-C554-Ox[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Cytochromes-C554-Red[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-CL-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-CL-Red/PROTON.85."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Cytochromes-CL-Ox[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Cytochromes-CL-Red[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Oxidized-cytochromes-c2/WATER//TRIMETHYLAMINE-N-O/Reduced-cytochromes-c2/PROTON.95."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Oxidized-cytochromes-c2[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Reduced-cytochromes-c2[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Oxidized-cytochromes-c553/WATER//TRIMETHYLAMINE-N-O/Reduced-cytochromes-c553/PROTON.99."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Oxidized-cytochromes-c553[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Reduced-cytochromes-c553[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
"1.7.2.3-RXN-TRIMETHYLAMINE/Oxidized-NapC-proteins/WATER//TRIMETHYLAMINE-N-O/Reduced-NapC-proteins/PROTON.93."	{"TRIMETHYLAMINE[CCO-PERI-BAC]":-1,"Oxidized-NapC-proteins[CCO-PERI-BAC]":-2,"WATER[CCO-PERI-BAC]":-1,"TRIMETHYLAMINE-N-O[CCO-PERI-BAC]":1,"Reduced-NapC-proteins[CCO-PERI-BAC]":2,"PROTON[CCO-PERI-BAC]":3}	"R2L"	[]	
