gene symbol	hour_6_mean_protein_count
aas	19.5
aat	6.5
abgT	1.0
accA	403.5
accB	91.5
accC	433.5
accD	200.0
aceA	84.5
aceB	39.0
aceE	1193.5
aceF	671.0
aceK	1.0
ackA	487.0
acnA	53.5
acnB	920.5
acpD	45.0
acpP	71.5
acpS	1.0
acpT	1.0
acrA	321.0
acrB	228.0
acrD	0.5
acrE	1.0
acrF	1.5
acrR	5.5
acs	67.0
add	43.0
ade	5.5
adhE	665.0
adhP	1.0
adiA	1.0
adk	250.0
aegA	35.5
aer	1.0
aes	1.0
agaA	0.5
agaB	0.5
agaD	1.5
agaI	1.0
agaR	13.5
agaW	2.0
agp	18.0
ahpC	661.0
ahpF	56.0
alaS	907.5
aldA	58.0
aldB	2.5
aldH	31.0
alkB	2.0
allB	2.5
allC	2.0
allD	0.5
allR	36.0
alr	65.0
alsB	7.5
amiA	33.5
amiB	49.5
amiC	26.5
amn	153.0
ampC	3.0
ampD	4.0
ampE	4.5
ampH	61.0
anmK	54.0
ansA	52.0
ansP	2.0
apaG	12.0
apaH	26.0
apbA	13.0
appA	5.5
appC	0.5
appY	0.5
apt	137.5
araB	0.5
araC	1.0
araD	3.0
araG	6.0
arcA	170.5
arcB	36.0
argA	81.5
argB	369.5
argC	212.5
argD	499.5
argE	250.5
argG	644.0
argH	482.0
argI	191.0
argR	43.0
argS	274.5
argT	125.0
aroA	713.5
aroB	164.0
aroC	116.0
aroD	102.0
aroE	79.5
aroF	348.5
aroG	628.0
aroH	122.0
aroK	141.0
aroL	49.5
aroM	2.0
aroP	18.5
arsC	6.5
artI	293.0
artJ	313.5
artM	1.0
artP	76.5
artQ	12.0
ascB	0.5
ascF	0.5
ascG	1.5
asd	579.0
aslA	1.0
asmA	104.5
asnA	227.0
asnB	371.5
asnC	540.0
asnC	4.0
aspA	16.0
aspC	668.0
aspS	496.0
astB	6.0
astC	4.0
astD	1.0
atoA	0.5
atoB	2.0
atoC	1.0
atoE	3.0
atpA	1163.0
atpB	5.0
atpC	162.5
atpD	1842.0
atpE	41.0
atpF	647.0
atpG	355.0
atpH	252.0
avtA	106.5
baeR	91.0
baeS	3.5
barA	27.0
bcp	195.0
bcsA	2.0
bcsC	34.5
bcsZ	14.5
betA	22.0
betB	52.5
