# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:55:13
"id"	"common_name"	"synonyms"	"type"	"modified_forms"	"gene_id"	"monomer_ids"	"anticodon"	"coding_segments"
"EG12326_RNA"	"yadL"	["yadL", "b0137", "ECK0136"]	"mRNA"	[]	"EG12326"	["EG12326-MONOMER"]	null	[]
"EG12327_RNA"	"yadM"	["yadM", "b0138", "ECK0137"]	"mRNA"	[]	"EG12327"	["EG12327-MONOMER"]	null	[]
"EG12328_RNA"	"yadN"	["yadN", "b0141", "ECK0140"]	"mRNA"	[]	"EG12328"	["EG12328-MONOMER"]	null	[]
"EG12329_RNA"	"hrpB"	["hrpB", "yadO", "b0148", "ECK0147"]	"mRNA"	[]	"EG12329"	["EG12329-MONOMER"]	null	[]
"EG12330_RNA"	"thpR"	["thpR", "yadP", "ligT", "b0147", "ECK0146"]	"mRNA"	[]	"EG12330"	["EG12330-MONOMER"]	null	[]
"EG12331_RNA"	"clcA"	["clcA", "eriC", "yadQ", "b0155", "ECK0154"]	"mRNA"	[]	"EG12331"	["YADQ-MONOMER"]	null	[]
"EG12332_RNA"	"erpA"	["erpA", "yadR", "b0156", "ECK0155"]	"mRNA"	[]	"EG12332"	["EG12332-MONOMER"]	null	[]
"EG12333_RNA"	"yadS"	["yadS", "b0157", "ECK0156"]	"mRNA"	[]	"EG12333"	["EG12333-MONOMER"]	null	[]
"EG12334_RNA"	"btuF"	["btuF", "yadT", "b0158", "ECK0157"]	"mRNA"	[]	"EG12334"	["EG12334-MONOMER"]	null	[]
"EG12335_RNA"	"cdaR"	["cdaR", "sdaR", "yaeG", "b0162", "ECK0161"]	"mRNA"	[]	"EG12335"	["EG12335-MONOMER"]	null	[]
"EG12336_RNA"	"yaeH"	["yaeH", "b0163", "ECK0162"]	"mRNA"	[]	"EG12336"	["EG12336-MONOMER"]	null	[]
"EG12337_RNA"	"yaeI"	["yaeI", "b0164", "ECK0163"]	"mRNA"	[]	"EG12337"	["EG12337-MONOMER"]	null	[]
"EG12338_RNA"	"yagA"	["yagA", "b0267", "ECK0268"]	"mRNA"	[]	"EG12338"	["EG12338-MONOMER"]	null	[]
"EG12339_RNA"	"yagB"	["yagB", "b0266", "ECK0267"]	"mRNA"	[]	"EG12339"	["EG12339-MONOMER"]	null	[]
"EG12340_RNA"	"afuC"	["afuC", "fbpC", "yagC", "b0262", "ECK0264"]	"mRNA"	[]	"EG12340"	["YAGC-MONOMER"]	null	[]
"EG12341_RNA"	"rseA"	["rseA", "yfiJ", "mclA", "b2572", "ECK2570"]	"mRNA"	[]	"EG12341"	["EG12341-MONOMER"]	null	[]
"EG12342_RNA"	"yjjJ"	["yjjJ", "b4385", "ECK4377"]	"mRNA"	[]	"EG12342"	["EG12342-MONOMER"]	null	[]
"EG12343_RNA"	"ettA"	["ettA", "yjjK", "b4391", "ECK4383"]	"mRNA"	[]	"EG12343"	["YJJK-MONOMER"]	null	[]
"EG12344_RNA"	"pspF"	["pspF", "ycjB", "b1303", "ECK1298"]	"mRNA"	[]	"EG12344"	["EG12344-MONOMER"]	null	[]
"EG12345_RNA"	"ydfG"	["ydfG", "b1539", "ECK1532"]	"mRNA"	[]	"EG12345"	["EG12345-MONOMER"]	null	[]
