# Generated by reconstruction/ecoli/scripts/nca/fold_changes.py on Wed Jan 13 11:59:38 2021
# Command: reconstruction/ecoli/scripts/nca/fold_changes.py --split -v -m robust_nca --robust-iterations 10
"TF"	"Target"	"log2 FC mean"	"log2 FC std"	"Regulation_direct"
"arcA"	"nuoJ"	-0.12
"arcA"	"nuoM"	-0.37
"arcA"	"nuoN"	-0.49
"arcA"	"nupC"	1.59
"arcA"	"oppB"	-0.61
"arcA"	"oppC"	-0.48
"arcA"	"oppD"	-0.33
"arcA"	"oppF"	-0.45
"arcA"	"osmY"	-0.61
"arcA"	"pepN"	-1.76
"arcA"	"pflB"	1.42
"arcA"	"pldA"	0.59
"arcA"	"pncB"	0.78
"arcA"	"pntA"	0.43
"arcA"	"potF"	-1.18
"arcA"	"prfA"	0.64
"arcA"	"prmC"	0.65
"arcA"	"ptsG"	-0.22
"arcA"	"putA"	-0.76
"arcA"	"putP"	-1.92
"arcA"	"puuA"	-1.02
"arcA"	"puuB"	-0.82
"arcA"	"puuC"	-0.54
"arcA"	"puuD"	-0.41
"arcA"	"puuE"	-1.0
"arcA"	"puuP"	-0.41
"arcA"	"puuR"	-1.18
"arcA"	"rho"	1.42
"arcA"	"rmf"	-1.56
"arcA"	"rplB"	-1.38
"arcA"	"rplC"	-1.04
"arcA"	"rplD"	-1.44
"arcA"	"rplP"	-1.18
"arcA"	"rplV"	-1.3
"arcA"	"rplW"	-1.23
"arcA"	"rpmC"	-1.28
"arcA"	"rpoS"	-1.01
"arcA"	"rpsC"	-1.3
"arcA"	"rpsJ"	-1.36
"arcA"	"rpsQ"	-1.0
"arcA"	"rpsS"	-1.33
"arcA"	"rsd"	-1.1
"arcA"	"rutC"	0.35
"arcA"	"rutE"	0.41
"arcA"	"rutF"	0.02
"arcA"	"rutG"	0.07
"arcA"	"ssb"	-0.27
"arcA"	"sthA"	-1.3
"arcA"	"thiC"	-0.46
"arcA"	"thrA"	-1.0
"arcA"	"tpx"	-1.11
"arcA"	"treB"	0.71
"arcA"	"treC"	0.61
"arcA"	"ubiC"	-0.46
"arcA"	"xthA"	-1.51
"arcA"	"xylR"	0.56
"arcA"	"ybfA"	1.2
"arcA"	"ybiU"	-1.36
"arcA"	"ydeA"	-1.46
"arcA"	"ydgC"	-1.5
"arcA"	"yeiQ"	-1.53
"arcA"	"yfiF"	1.3
"arcA"	"yhgE"	1.13
"arcA"	"yjiR"	-1.35
"arcA"	"ynaJ"	-1.62
"arcA"	"yncD"	-1.41
"arcA"	"yncE"	-0.38
"argP"	"argO"	0.26
"argP"	"asd"	2.94
"argP"	"dapB"	2.28
"argP"	"dapD"	1.21
"argP"	"dnaA"	1.23
"argP"	"dnaN"	0.71
"argP"	"gdhA"	2.06
"argP"	"lysA"	0.89
"argP"	"lysC"	2.34
"argP"	"lysP"	1.76
"argP"	"nrdA"	0.46
"argP"	"nrdB"	0.61
"argP"	"recF"	0.97
"argP"	"yfaE"	0.51
"argR"	"argA"	-2.39
"argR"	"argB"	-1.51
"argR"	"argC"	-1.44
"argR"	"argD"	-1.19
"argR"	"argE"	-1.47
"argR"	"argF"	-1.43
"argR"	"argG"	-1.86
"argR"	"argH"	-1.46
"argR"	"argI"	-1.38
"argR"	"argR"	-0.78
"argR"	"aroK"	-1.63
"argR"	"aroP"	0.48
"argR"	"artI"	-0.59
"argR"	"artJ"	-1.36
"argR"	"artM"	-1.41
"argR"	"artP"	-0.27
"argR"	"artQ"	-1.46
"argR"	"astA"	1.5
"argR"	"astB"	0.75
"argR"	"astC"	2.62
"argR"	"astD"	2.63
"argR"	"astE"	1.71
"argR"	"cvpA"	-0.23
"argR"	"dacC"	-1.32
"argR"	"eutS"	0.61
"argR"	"ftsZ"	-0.27
"argR"	"gltB"	-1.79
"argR"	"gltD"	-1.51
"argR"	"gltF"	-0.72
"argR"	"gltP"	0.45
"argR"	"hisJ"	-0.94
"argR"	"hisL"	-1.4
"argR"	"hisM"	-1.03
"argR"	"hisP"	-0.4
"argR"	"hisQ"	-1.4
"argR"	"infB"	-0.06
"argR"	"lrp"	-0.99
"argR"	"mukE"	-1.07
"argR"	"nusA"	-0.37
"argR"	"pnp"	-0.29
"argR"	"potF"	-0.79
"argR"	"puuB"	0.88
"argR"	"pyrL"	-1.37
"argR"	"rbfA"	-0.01
"argR"	"rimP"	-0.45
"argR"	"rpsO"	-0.46
"argR"	"stpA"	-0.83
"argR"	"waaA"	-1.45
"argR"	"yaaU"	2.16
"argR"	"ydgI"	-1.3
"argR"	"yffB"	2.31
"argR"	"yhcC"	-0.62
"argR"	"ykgA"	2.05
