"geneId"	"name"	"translationEfficiency"
"G7686"	"aaeA"	"NA"
"G7685"	"aaeB"	0.22
"G7688"	"aaeR"	0.73
"G7687"	"aaeX"	"NA"
"EG11679"	"aas"	0.56
"EG11112"	"aat"	0.37
"G6670"	"abgA"	"NA"
"G6669"	"abgB"	"NA"
"G6671"	"abgR"	"NA"
"EG12853"	"abgT"	"NA"
"G6384"	"abrB"	"NA"
"EG11647"	"accA"	1.54
"EG10275"	"accB"	2.17
"EG10276"	"accC"	0.94
"EG10217"	"accD"	1.32
"EG10022"	"aceA"	1.79
"EG10023"	"aceB"	0.62
"EG10024"	"aceE"	1.49
"EG10025"	"aceF"	1.62
"EG10026"	"aceK"	0.04
"EG10027"	"ackA"	2.47
"EG11325"	"acnA"	1.04
"EG12316"	"acnB"	1.59
"EG11095"	"acpH"	1.04
"EG50003"	"acpP"	2.95
"EG10247"	"acpS"	0.56
"EG12221"	"acpT"	0.72
"EG11703"	"acrA"	1.18
"EG11704"	"acrB"	0.63
"EG10014"	"acrD"	0.59
"EG10266"	"acrE"	"NA"
"EG10267"	"acrF"	0.1
"EG12116"	"acrR"	1.08
"EG11448"	"acs"	1.83
"EG11942"	"actP"	0.22
"EG10029"	"ada"	0.16
"EG10030"	"add"	2.32
"EG11692"	"ade"	2.04
"EG10031"	"adhE"	1.9
"G6775"	"adhP"	"NA"
"EG11501"	"adiA"	"NA"
"EG12462"	"adiC"	"NA"
"EG11966"	"adiY"	"NA"
"EG10032"	"adk"	3.35
"EG11257"	"adrA"	"NA"
"G6996"	"adrB"	"NA"
"EG12409"	"aegA"	"NA"
"G7595"	"aer"	"NA"
"EG11101"	"aes"	"NA"
"EG12340"	"afuC"	"NA"
"EG12769"	"agaB"	"NA"
"EG12770"	"agaC"	"NA"
"G7635"	"agaD"	"NA"
"G7636"	"agaI"	"NA"
"G7630"	"agaR"	0.55
"G7634"	"agaS"	"NA"
"G7632"	"agaV"	"NA"
"EG10033"	"agp"	"NA"
"EG11384"	"ahpC"	3.89
"EG11385"	"ahpF"	1.97
"EG11811"	"aidB"	"NA"
"G7165"	"ais"	"NA"
"G7184"	"alaA"	1.67
"G7242"	"alaC"	1.93
"EG10034"	"alaS"	1.3
"EG10035"	"aldA"	1.51
"EG12292"	"aldB"	"NA"
"EG11222"	"alkA"	"NA"
"EG10037"	"alkB"	"NA"
"G6275"	"allA"	"NA"
"G6281"	"allB"	"NA"
"G6285"	"allC"	"NA"
"G6286"	"allD"	"NA"
"G6276"	"allR"	1.54
"G6274"	"allS"	"NA"
"EG12112"	"alpA"	"NA"
"EG10001"	"alr"	0.49
"EG11959"	"alsA"	"NA"
"EG12458"	"alsB"	"NA"
"EG11958"	"alsC"	"NA"
"EG11957"	"alsE"	"NA"
"EG11956"	"alsK"	"NA"
"G7607"	"alx"	0.8
"EG11823"	"amiA"	0.81
"EG11363"	"amiB"	0.38
"G7458"	"amiC"	0.46
"G6452"	"amiD"	0.41
"EG10039"	"amn"	1.74
"EG10040"	"ampC"	1.97
"EG10041"	"ampD"	1.09
"EG10042"	"ampE"	0.46
"EG12183"	"ampG"	0.24
"EG12867"	"ampH"	1.23
"EG11821"	"amtB"	"NA"
"EG11387"	"amyA"	"NA"
"G6880"	"anmK"	0.96
"EG10045"	"ansA"	1.43
"EG10046"	"ansB"	"NA"
"G6764"	"ansP"	0.82
"EG10047"	"apaG"	0.06
"EG10048"	"apaH"	1.05
"EG12073"	"apbE"	0.59
"EG11934"	"aphA"	1.77
"EG10049"	"appA"	"NA"
"EG11379"	"appB"	"NA"
"EG11380"	"appC"	"NA"
"EG10050"	"appY"	0.52
"EG10051"	"apt"	2.46
"EG13270"	"aqpZ"	"NA"
"EG10052"	"araA"	"NA"
