"id"	"forward_rate"	"reverse_rate"	"_original_reverse_rate"
"MONOMER-58_RXN"	1	0.00075	0.00075
"MONOMER-59_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD-10330_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD-15818_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD0-1108_RXN"	1	1E-06	1E-06
"MONOMER-60-CPD0-1110_RXN"	1	1E-06	1E-06
"MONOMER0-1301_RXN"	1	1E-06	1E-06
"MONOMER0-1441_RXN"	1	2.7E-05	2.7E-05
"MONOMER0-155_RXN"	1	0.00019	1E-06
"CPLX0-7796_EQUILIBRIUM_RXN"	1	0.0002	0.0002
"MONOMER0-158_RXN"	1	0.0002	0.0002
"MONOMER0-159_RXN"	1	0.0009	0.0009
"MONOMER0-160_RXN"	1	2.9E-08	2.9E-08
"MONOMER0-161_RXN"	1	1E-06	1E-06
"MONOMER0-162_RXN"	1	1.7E-05	1.7E-05
"MONOMER0-163_RXN"	1	1.369E-05	0.0037
"MONOMER0-164_RXN"	1	1E-06	1E-06
"MONOMER0-165_RXN"	1	3.3E-06	3.3E-06
"MONOMER0-1781_RXN"	1	1E-09	1E-09
"MONOMER0-183_RXN"	1	0.005	0.005
"MONOMER0-2081_RXN"	1	1E-06	1E-06
"MONOMER0-2101-CPD-12537_RXN"	1	1E-06	1E-06
"MONOMER0-2162_RXN"	1	1E-06	1E-06
"MONOMER0-2201_RXN"	1	9.4E-06	9.4E-06
"MONOMER0-2221_RXN"	1	1E-06	1E-06
"MONOMER0-2261-CPD-16168_RXN"	1	1E-06	1E-06
"MONOMER0-2341-CPD0-1122_RXN"	1	1E-06	1E-06
"MONOMER0-2341-CPD0-1123_RXN"	1	1E-06	1E-06
"MONOMER0-2421_RXN"	1	1E-06	1E-06
"MONOMER0-2461_RXN"	1	1E-06	1E-06
"MONOMER0-2482-CPD-15629_RXN"	1	1E-06	1E-06
"MONOMER0-46_RXN"	1	1E-06	1E-06
"MONOMER0-49_RXN"	1	1E-06	1E-06
"MONOMER0-562_RXN"	1	1E-06	1E-06
"MONOMER0-941_RXN"	1	1E-06	1E-06
"PUTA-CPLXBND_RXN"	1	3.9E-04	1E-06
"FNR-4FE-4S_RXN"	1	1E-06	1E-06
"ARCB-OXYGEN_RXN"	1	1E-06	1E-06
"BAES-INDOLE_RXN"	1	1E-06	1E-06
"BASS-FE+3_RXN"	1	1E-06	1E-06
"DCUS-SUC_RXN"	1	1E-06	1E-06
"NARX-NITRATE_RXN"	1	3.5E-05	3.5E-05
"PHOQ-CA+2_RXN"	1	3.7E-05	3.7E-05
"PHOR-Pi-CPLX_RXN"	1	1E-08	1E-08
