Object ID	Display Name	Synonyms
EG11034_TRANSLATION	tsr translation	['tsr translation', 'cheD translation', 'b4355 translation', 'ECK4345 translation']
EG30054_TRANSLATION	leuZ translation	['leuZ translation', 'b1909 translation', 'ECK1908 translation']
EG10233_TRANSLATION	dmsB translation	['dmsB translation', 'b0895 translation', 'ECK0886 translation']
G7035_TRANSLATION	yecR translation	['yecR translation', 'b1904 translation', 'ECK1903 translation']
G7145_TRANSLATION	preT translation	['preT translation', 'yeiT translation', 'b2146 translation', 'ECK2139 translation']
EG10987_TRANSLATION	tap translation	['tap translation', 'b1885 translation', 'ECK1886 translation']
EG12287_TRANSLATION	sgbE translation	['sgbE translation', 'yiaS translation', 'b3583 translation', 'ECK3572 translation']
EG30038_TRANSLATION	glyV translation	['glyV translation', 'glyValpha translation', 'ins translation', 'mutA translation', 'suA58 translation', 'suA78 translation', 'b4163 translation', 'ECK4159 translation']
G6841_TRANSLATION	ynfB translation	['ynfB translation', 'b1583 translation', 'ECK1578 translation']
G7123_TRANSLATION	yegS translation	['yegS translation', 'b2086 translation', 'ECK2082 translation']
EG10065_TRANSLATION	argC translation	['argC translation', 'Arg2 translation', 'b3958 translation', 'ECK3949 translation']
EG12854_TRANSLATION	cpoB translation	['cpoB translation', 'ybgF translation', 'b0742 translation', 'ECK0731 translation']
EG30020_TRANSLATION	asnT translation	['asnT translation', 'b1977 translation', 'ECK1973 translation']
EG11380_TRANSLATION	appC translation	['appC translation', 'cbdA translation', 'cyxA translation', 'b0978 translation', 'ECK0969 translation']
