Object ID	Display Name	Synonyms
EG11747_REPLICATION	panD replication	['panD replication', 'b0131 replication', 'ECK0130 replication']
G6244_REPLICATION	fadM replication	['fadM replication', 'ybaW replication', 'tesC replication', 'b0443 replication', 'ECK0437 replication']
G7885_REPLICATION	rraB replication	['rraB replication', 'yjgD replication', 'b4255 replication', 'ECK4248 replication']
EG12309_REPLICATION	yjtD replication	['yjtD replication', 'lasT replication', 'b4403 replication', 'ECK4395 replication']
EG12663_REPLICATION	gltL replication	['gltL replication', 'b0652 replication', 'ECK0645 replication']
EG11190_REPLICATION	coaD replication	['coaD replication', 'yicA replication', 'kdtB replication', 'b3634 replication', 'ECK3624 replication']
G7629_REPLICATION	yhaV replication	['yhaV replication', 'b3130 replication', 'ECK3118 replication']
EG12878_REPLICATION	zapA replication	['zapA replication', 'ygfE replication', 'b2910 replication', 'ECK2905 replication']
EG11995_REPLICATION	yehI replication	['yehI replication', 'b2118 replication', 'ECK2109 replication']
G7572_REPLICATION	mqsR replication	['mqsR replication', 'ygiU replication', 'b3022 replication', 'ECK3013 replication']
G6200_REPLICATION	prpE replication	['prpE replication', 'yahU replication', 'b0335 replication', 'ECK0332 replication']
EG11259_REPLICATION	rnr replication	['rnr replication', 'vacB replication', 'yjeC replication', 'b4179 replication', 'ECK4175 replication']
EG11860_REPLICATION	yiiG replication	['yiiG replication', 'b3896 replication', 'ECK3889 replication']
EG12661_REPLICATION	gltJ replication	['gltJ replication', 'b0654 replication', 'ECK0647 replication']
G7602_REPLICATION	higB replication	['higB replication', 'ygjN replication', 'b3083 replication', 'ECK3073 replication']
EG10863_REPLICATION	rph replication	['rph replication', 'b3643 replication', 'ECK3633 replication']
EG10339_REPLICATION	ftsA replication	['ftsA replication', 'divA replication', 'b0094 replication', 'ECK0095 replication']
EG11645_REPLICATION	ydeJ replication	['ydeJ replication', 'b1537 replication', 'ECK1530 replication']
G0-10202_REPLICATION	istR-1 replication	['istR-1 replication']
G6196_REPLICATION	prpB replication	['prpB replication', 'yahQ replication', 'b0331 replication', 'ECK0329 replication']
G0-8785_REPLICATION	csrB replication	['csrB replication', 'b4408 replication', 'ECK2787 replication']
EG11217_REPLICATION	creA replication	['creA replication', 'yjjD replication', 'b4397 replication', 'ECK4389 replication']
EG10096_REPLICATION	aspC replication	['aspC replication', 'b0928 replication', 'ECK0919 replication']
G6117_REPLICATION	yafO replication	['yafO replication', 'b0233 replication', 'ECK0234 replication']
EG10859_REPLICATION	rne replication	['rne replication', 'smbB replication', 'ams replication', 'hmp1 replication', 'b1084 replication', 'ECK1069 replication']
EG12313_REPLICATION	zapD replication	['zapD replication', 'yacF replication', 'b0102 replication', 'ECK0102 replication']
EG11126_REPLICATION	yciF replication	['yciF replication', 'b1258 replication', 'ECK1252 replication']
EG12693_REPLICATION	nudL replication	['nudL replication', 'yeaB replication', 'b1813 replication', 'ECK1811 replication']
EG10278_REPLICATION	fadA replication	['fadA replication', 'oldA replication', 'b3845 replication', 'ECK3837 replication']
EG10844_REPLICATION	rhlB replication	['rhlB replication', 'mmrA replication', 'b3780 replication', 'ECK3772 replication']
G7846_REPLICATION	yjfI replication	['yjfI replication', 'b4181 replication', 'ECK4177 replication']
EG10271_REPLICATION	exbB replication	['exbB replication', 'b3006 replication', 'ECK2999 replication']
EG10691_REPLICATION	pdxA replication	['pdxA replication', 'b0052 replication', 'ECK0053 replication']
G7940_REPLICATION	symE replication	['symE replication', 'yjiW replication', 'dinL replication', 'sosC replication', 'b4347 replication', 'ECK4337 replication']
EG11191_REPLICATION	slmA replication	['slmA replication', 'yicB replication', 'ttk replication', 'b3641 replication', 'ECK3631 replication']
G7693_REPLICATION	yhdT replication	['yhdT replication', 'b3257 replication', 'ECK3244 replication']
G0-9461_REPLICATION	pdxB replication	['pdxB replication', 'usg-2 replication', 'b2320 replication', 'ECK2314 replication']
G7213_REPLICATION	fadI replication	['fadI replication', 'yfcY replication', 'b2342 replication', 'ECK2336 replication']
EG11620_REPLICATION	rnb replication	['rnb replication', 'b1286 replication', 'ECK1281 replication']
G7585_REPLICATION	yqiG replication	['yqiG replication', 'b3046 replication', 'ECK3035 replication']
EG10272_REPLICATION	exbD replication	['exbD replication', 'b3005 replication', 'ECK2998 replication']
EG10693_REPLICATION	pdxJ replication	['pdxJ replication', 'b2564 replication', 'ECK2562 replication']
EG10438_REPLICATION	hfq replication	['hfq replication', 'b4172 replication', 'ECK4168 replication']
EG10203_REPLICATION	dacC replication	['dacC replication', 'b0839 replication', 'ECK0829 replication']
G7434_REPLICATION	ygcP replication	['ygcP replication', 'b2768 replication', 'ECK2763 replication']
G0-8910_REPLICATION	glmY replication	['glmY replication', 'tke1 replication', 'sroF replication', 'b4441 replication', 'ECK2554 replication']
G6198_REPLICATION	prpC replication	['prpC replication', 'yzzD replication', 'yahS replication', 'b0333 replication', 'ECK0330 replication']
G7830_REPLICATION	ghoS replication	['ghoS replication', 'yjdK replication', 'b4128 replication', 'ECK4121 replication']
G7209_REPLICATION	yfcU_1 replication	['yfcU_1 replication', 'b4661 replication', 'yfcU replication', 'b2338 replication', 'ECK2332 replication']
EG11012_REPLICATION	tonB replication	['tonB replication', 'T1rec replication', 'exbA replication', 'b1252 replication', 'ECK1246 replication']
G7923_REPLICATION	iraD replication	['iraD replication', 'yjiD replication', 'b4326 replication', 'ECK4317 replication']
G7365_REPLICATION	rnlA replication	['rnlA replication', 'yfjN replication', 'std replication', 'b2630 replication', 'ECK2626 replication']
EG12111_REPLICATION	nlpD replication	['nlpD replication', 'b2742 replication', 'ECK2737 replication']
G7014_REPLICATION	yobA replication	['yobA replication', 'b1841 replication', 'ECK1842 replication']
G0-10752_REPLICATION	agrB replication	['agrB replication', 'b4713 replication', 'ECK4570 replication']
G0-16649_REPLICATION	cpxQ replication	['cpxQ replication', 'b4716 replication', 'ECK4573 replication']
EG10279_REPLICATION	fadB replication	['fadB replication', 'oldB replication', 'b3846 replication', 'ECK3838 replication']
EG11131_REPLICATION	relE replication	['relE replication', 'b1563 replication', 'ECK1557 replication']
G6897_REPLICATION	ydhT replication	['ydhT replication', 'b1669 replication', 'ECK1665 replication']
G0-16600_REPLICATION	ralA replication	['ralA replication', 'b4714 replication', 'ECK4571 replication']
EG10092_REPLICATION	asnB replication	['asnB replication', 'b0674 replication', 'ECK0662 replication']
EG10018_REPLICATION	csrD replication	['csrD replication', 'yhdA replication', 'b3252 replication', 'ECK3240 replication']
G0-8868_REPLICATION	omrA replication	['omrA replication', 'psrA12 replication', 'rygA replication', 'PAIR2a replication', 't59 replication', 'sraE replication', 'b4444 replication', 'ECK2833 replication']
EG10596_REPLICATION	minC replication	['minC replication', 'minB replication', 'b1176 replication', 'ECK1164 replication']
G6630_REPLICATION	ychQ replication	['ychQ replication', 'sirB2 replication', 'b1213 replication', 'ECK1201 replication']
G6866_REPLICATION	uidC replication	['uidC replication', 'gusC replication', 'b1615 replication', 'ECK1610 replication']
G7063_REPLICATION	mtfA replication	['mtfA replication', 'yeeI replication', 'b1976 replication', 'ECK1972 replication']
M011_REPLICATION	mhpB replication	['mhpB replication', 'b0348 replication', 'ECK0345 replication']
EG10095_REPLICATION	aspA replication	['aspA replication', 'b4139 replication', 'ECK4133 replication']
G6454_REPLICATION	ybjT replication	['ybjT replication', 'b0869 replication', 'ECK0860 replication']
G0-10751_REPLICATION	agrA replication	['agrA replication', 'b4712 replication', 'ECK4569 replication']
EG10091_REPLICATION	asnA replication	['asnA replication', 'b3744 replication', 'ECK3738 replication']
G6875_REPLICATION	rsxG replication	['rsxG replication', 'ydgP replication', 'b1631 replication', 'ECK1627 replication']
EG12433_REPLICATION	rluB replication	['rluB replication', 'yciL replication', 'b1269 replication', 'ECK1263 replication']
G7424_REPLICATION	ftsB replication	['ftsB replication', 'ygbQ replication', 'b2748 replication', 'ECK2743 replication']
G6264_REPLICATION	ybbJ replication	['ybbJ replication', 'b0488 replication', 'ECK0482 replication']
G6872_REPLICATION	rsxB replication	['rsxB replication', 'ydgM replication', 'b1628 replication', 'ECK1624 replication']
G6105_REPLICATION	fadE replication	['fadE replication', 'yafH replication', 'b0221 replication', 'ECK0222 replication']
EG11779_REPLICATION	trmI replication	['trmI replication', 'trmB replication', 'yggH replication', 'b2960 replication', 'ECK2955 replication']
G0-10651_REPLICATION	yrbN replication	['yrbN replication', 'b4685 replication', 'ECK4500 replication']
