"metaboliteId"	"massFraction"
"CO+2[c]"	0.00017106339689080145
"MN+2[c]"	0.0043720592531197484
"CL-[c]"	0.021233467766057345
"FE+2[c]"	0.04314559904973668
"MG+2[c]"	0.024260222020761894
"NI+2[c]"	0.0021792747369820571
"K+[c]"	0.87807246595709809
"CA+2[c]"	0.024003467157308164
"ZN+2[c]"	0.002562380662045176
