Frame ID	Name	Left	Right	Direction	Genes	Promoter	Terminators
TU0-13742	tcdA	2943056	2943864	-	"[""G7456""]"	PM_WC-275	"[""TERM_WC-2149""]"
TU0-13743	mltA	2944101	2945295	-	"[""G7457""]"	PM0-45485	"[""TERM_WC-1314""]"
TU0-13744	ptrA-recBD	2948655	2956906	-	"[""EG10786"", ""EG10824"", ""EG10826""]"	PM_WC-224	"[""TERM_WC-1718""]"
TU0-13745	ppdAB-ygdB-ppdC-recC	2957080	2962242	-	"[""EG12081"", ""EG11156"", ""EG11155"", ""EG11154"", ""EG10825""]"	PM0-9373	"[""TERM_WC-1653""]"
TU0-13746	rppH-ptsP	2964208	2967015	-	"[""G7459"", ""EG12188""]"	PM0-36250	"[""TERM_WC-1926""]"
TU0-13747	mutH	2967604	2968375	+	"[""EG10624""]"	PM0-45489	"[""TERM_WC-1401""]"
TU0-13748	ygdQ	2968414	2969157	+	"[""G7460""]"	PM0-45491	"[""TERM_WC-3265""]"
TU0-13749	ygdR	2969269	2969513	+	"[""G7461""]"	PM0-45492	"[""TERM_WC-3266""]"
TU0-13750	tas	2969591	2970661	+	"[""G7462""]"	PM0-45493	"[""TERM_WC-2144""]"
TU0-13751	aas-lplT	2970689	2974036	-	"[""EG11679"", ""EG12455""]"	PM_WC-0	"[""TERM_WC-9""]"
TU0-13754	ygeA	2977963	2978825	-	"[""EG11157""]"	PM0-45495	"[""TERM_WC-3267""]"
TU0-13755	kduD	2980517	2981280	-	"[""EG12361""]"	PM_WC-147	"[""TERM_WC-1110""]"
TU0-13756	kduI	2981308	2982216	-	"[""G7463""]"	PM0-45496	"[""TERM_WC-1111""]"
TU0-13757	yqeF	2982431	2983646	-	"[""G7464""]"	PM0-45497	"[""TERM_WC-3950""]"
TU0-13758	yqeG	2983741	2985100	+	"[""G7465""]"	PM0-45500	"[""TERM_WC-3952""]"
TU0-13759	yqeH	2985535	2986192	+	"[""G7466""]"	PM0-45503	"[""TERM_WC-3955""]"
TU0-13760	yqeIJ	2986366	2987810	+	"[""G7468"", ""G7467""]"	PM0-45505	"[""TERM_WC-3960""]"
TU0-13761	ygeF	2988576	2989024	+	"[""G7470""]"	PM_WC-492	"[""TERM_WC-3268""]"
TU0-13762	ygeG	2989290	2989783	+	"[""G7471""]"	PM_WC-493	"[""TERM_WC-3269""]"
TU0-13763	ygeH	2989901	2991494	+	"[""G7472""]"	PM0-45513	"[""TERM_WC-3270""]"
TU0-13764	ygeI	2991603	2991880	+	"[""G7473""]"	PM0-45514	"[""TERM_WC-3273""]"
TU0-13765	pbl	2992063	2992439	+	"[""G7474""]"	PM_WC-205	"[""TERM_WC-1552""]"
TU0-13766	ygeLK	2992480	2993114	-	"[""G7476"", ""G7475""]"	PM_WC-494	"[""TERM_WC-3274""]"
TU0-13767	insC-4D-4-ygeONM-insCD-4	2993334	2995667	-	"[""G7481"", ""G0-10544"", ""G7479"", ""G7478"", ""G7477""]"	PM_WC-123	"[""TERM_WC-1019""]"
TU0-13768	ygeP	2995709	2996010	-	"[""G7482""]"	PM_WC-495	"[""TERM_WC-3275""]"
TU0-13769	ygeQ	2996054	2996850	-	"[""G7483""]"	PM_WC-496	"[""TERM_WC-3276""]"
TU0-13770	glyU	2997004	2997079	-	"[""EG30037""]"	PM_WC-99	"[""TERM_WC-826""]"
TU0-13771	ygeR	2997156	2998061	-	"[""G7484""]"	PM0-45517	"[""TERM_WC-3277""]"
TU0-13773	ygeW	3004246	3005476	+	"[""G7489""]"	PM0-45518	"[""TERM_WC-3280""]"
TU0-13774	ygeX	3005532	3006730	+	"[""G7490""]"	PM_WC-497	"[""TERM_WC-3282""]"
TU0-13775	ygeY	3006786	3007999	+	"[""G7491""]"	PM_WC-498	"[""TERM_WC-3283""]"
TU0-13776	hyuA	3007941	3009437	+	"[""G7492""]"	PM0-45521	"[""TERM_WC-973""]"
TU0-13777	yqeA	3009483	3010417	+	"[""G7493""]"	PM_WC-652	"[""TERM_WC-3945""]"
TU0-13778	yqeB	3010634	3012261	-	"[""G7494""]"	PM_WC-653	"[""TERM_WC-3946""]"
TU0-13779	yqeC	3012307	3013256	-	"[""G7495""]"	PM0-45523	"[""TERM_WC-3947""]"
TU0-13780	mocA	3013078	3013762	+	"[""G7496""]"	PM0-45525	"[""TERM_WC-1341""]"
TU0-13781	ygfK-ssnA	3014014	3018513	+	"[""G7498"", ""G7497""]"	PM0-10469	"[""TERM_WC-3287""]"
TU0-13782	ygfM-xdhD	3018562	3022210	+	"[""G7500"", ""G7499""]"	PM_WC-502	"[""TERM_WC-3288""]"
TU0-13783	xanQ-guaD-ygfQ	3022282	3026512	+	"[""G7503"", ""G7502"", ""G7501""]"	PM0-45526	"[""TERM_WC-2353""]"
TU0-13784	ygfTS	3026544	3028953	-	"[""G7506"", ""G7505""]"	PM_WC-503	"[""TERM_WC-3290""]"
TU0-13785	uacT	3029211	3030839	+	"[""G7507""]"	PM0-45528	"[""TERM_WC-2269""]"
TU0-13786	idi	3031061	3031637	+	"[""G7508""]"	PM0-45529	"[""TERM_WC-990""]"
TU0-13787	xerD	3036867	3037765	-	"[""EG11071""]"	PM_WC-300	"[""TERM_WC-2356""]"
TU0-13788	cptBA	3038436	3039121	-	"[""G7510"", ""G7509""]"	PM0-10117	"[""TERM_WC-329""]"
TU0-13789	yqfA	3040509	3041278	-	"[""G7512""]"	PM0-45533	"[""TERM_WC-3966""]"
TU0-13790	yqfB	3041332	3041645	-	"[""G7513""]"	PM_WC-654	"[""TERM_WC-3967""]"
TU0-13791	ygfF	3043178	3043923	-	"[""G7514""]"	PM_WC-500	"[""TERM_WC-3285""]"
TU0-13792	ygfB-pepP-ubiH-visC	3049135	3053466	-	"[""EG11323"", ""EG10697"", ""EG11324"", ""EG11333""]"	PM_WC-499	"[""TERM_WC-3284""]"
TU0-13793	zapA	3053573	3053965	+	"[""EG12878""]"	PM0-45535	"[""TERM_WC-4055""]"
TU0-13794	ssrS-ygfA	3053996	3054813	+	"[""EG11158"", ""EG30099""]"	PM0-10228	"[""TERM_WC-2115""]"
TU0-13796	yqfE	3057401	3057633	-	"[""G7515""]"	PM_WC-655	"[""TERM_WC-3968""]"
TU0-13798	ygfI	3064297	3065195	-	"[""G7518""]"	PM_WC-501	"[""TERM_WC-3286""]"
TU0-13799	argO	3066193	3066858	-	"[""EG11159""]"	PM0-9890	"[""TERM_WC-135""]"
TU0-13800	mscS	3066967	3067893	-	"[""EG11160""]"	PM0-10119	"[""TERM_WC-1382""]"
TU0-13801	cmtBA-yggPFDC	3071996	3077352	-	"[""EG11791"", ""EG11792"", ""G7520"", ""EG11245"", ""EG11162"", ""EG11161""]"	PM_WC-44	"[""TERM_WC-311""]"
TU0-13802	tktA	3077664	3079729	-	"[""EG11427""]"	PM0-10120	"[""TERM_WC-2185""]"
TU0-13804	yggI	3087681	3088276	+	"[""EG12122""]"	PM0-45539	"[""TERM_WC-3300""]"
TU0-13805	rsmE-gshB	3089040	3090852	+	"[""EG10419"", ""EG12366""]"	PM0-45543	"[""TERM_WC-1962""]"
TU0-13806	yqgEF	3090906	3091940	+	"[""G7525"", ""G7524""]"	PM0-45545	"[""TERM_WC-3975""]"
TU0-13807	yggSTU-rdgB-yggW	3093120	3096427	+	"[""G7531"", ""G7530"", ""G7529"", ""G7528"", ""G7527""]"	PM_WC-505	"[""TERM_WC-3310""]"
TU0-13808	yggM	3096578	3097779	-	"[""EG12704""]"	PM0-45546	"[""TERM_WC-3305""]"
TU0-13809	trmI-yggL	3099827	3100874	-	"[""EG11779"", ""EG12443""]"	PM_WC-287	"[""TERM_WC-2229""]"
TU0-13810	yqgA	3107556	3108284	+	"[""G7534""]"	PM0-45551	"[""TERM_WC-3969""]"
TU0-13811	yghED	3108610	3110010	-	"[""G7536"", ""G7535""]"	PM_WC-506	"[""TERM_WC-3319""]"
TU0-13813	yghG	3111087	3111499	-	"[""G7538""]"	PM_WC-507	"[""TERM_WC-3321""]"
TU0-13814	pppA	3111563	3112501	-	"[""G7539""]"	PM0-45556	"[""TERM_WC-1668""]"
TU0-13815	yghJ	3112570	3117281	-	"[""G7541""]"	PM0-45557	"[""TERM_WC-3324""]"
TU0-13816	yghQ	3129361	3130615	-	"[""G7549""]"	PM0-45563	"[""TERM_WC-3329""]"
TU0-13817	yghSR	3130474	3131979	-	"[""G7551"", ""G7550""]"	PM_WC-509	"[""TERM_WC-3330""]"
TU0-13818	pitB	3132892	3134425	-	"[""EG12883""]"	PM0-9366	"[""TERM_WC-1624""]"
TU0-13819	gss	3134683	3136632	-	"[""EG12882""]"	PM0-10122	"[""TERM_WC-870""]"
TU0-13820	yghW	3144470	3144775	-	"[""G7555""]"	PM0-45574	"[""TERM_WC-3339""]"
TU0-13821	yghX_2X_1	3144876	3145641	-	"[""G7557"", ""G7556""]"	PM_WC-510	"[""TERM_WC-3340""]"
TU0-13822	yghB	3151551	3152246	+	"[""EG11824""]"	PM0-10124	"[""TERM_WC-3315""]"
TU0-13823	yqhD-dkgA	3153324	3155474	+	"[""G7565"", ""G7564""]"	PM0-36133	"[""TERM_WC-3979""]"
TU0-13824	dkgA	3154593	3155474	+	"[""G7565""]"	PM0-10125	"[""TERM_WC-475""]"
TU0-13825	yqhG	3155672	3156600	+	"[""G7566""]"	PM_WC-658	"[""TERM_WC-3980""]"
TU0-13826	yqhH	3156443	3156908	+	"[""G7567""]"	PM0-45580	"[""TERM_WC-3981""]"
TU0-13827	ygiQ	3156947	3159332	-	"[""G7568""]"	PM0-45581	"[""TERM_WC-3350""]"
TU0-13828	ftsP	3159277	3160873	-	"[""EG11376""]"	PM0-45583	"[""TERM_WC-717""]"
TU0-13829	plsC	3160764	3161503	-	"[""EG11377""]"	PM_WC-211	"[""TERM_WC-1632""]"
TU0-13830	parC	3161735	3164052	-	"[""EG10686""]"	PM0-45585	"[""TERM_WC-1549""]"
TU0-13831	ygiS	3164131	3165753	-	"[""G7570""]"	PM0-45586	"[""TERM_WC-3351""]"
TU0-13832	mqsRA	3165871	3166675	-	"[""G7572"", ""G7571""]"	PM0-10415	"[""TERM_WC-1367""]"
TU0-13833	ygiV	3166769	3167309	-	"[""G7573""]"	PM0-45589	"[""TERM_WC-3352""]"
TU0-13834	ygiW	3167304	3167909	-	"[""G7574""]"	PM0-45591	"[""TERM_WC-3355""]"
TU0-13835	mdaB	3170445	3171135	+	"[""EG12656""]"	PM0-45595	"[""TERM_WC-1231""]"
TU0-13836	ygiN	3171100	3171480	+	"[""EG12657""]"	PM0-45598	"[""TERM_WC-3348""]"
TU0-13837	nudF-yqiB-cpdA-yqiA-parE	3171524	3175932	-	"[""EG12633"", ""G7580"", ""G7579"", ""G7578"", ""EG10687""]"	PM_WC-198	"[""TERM_WC-1490""]"
TU0-13838	tolC-ygiABC	3176096	3179605	+	"[""EG11165"", ""EG11164"", ""EG11163"", ""EG11009""]"	PM0-10219	"[""TERM_WC-2194""]"
TU0-13839	sroG-ribB	3181833	3182740	-	"[""G0-9387"", ""EG10465""]"	PM0-10126	"[""TERM_WC-2105""]"
TU0-13841	yqiC	3182853	3183154	+	"[""G7582""]"	PM0-45601	"[""TERM_WC-3982""]"
TU0-13842	ygiL	3183333	3183989	+	"[""EG12363""]"	PM0-45602	"[""TERM_WC-3347""]"
TU0-13843	insC-5D-5-yqiGHI-insCD-5	3184062	3189720	+	"[""G7587"", ""G7586"", ""G7585"", ""G7583"", ""G0-10545""]"	PM0-46126	"[""TERM_WC-1020""]"
TU0-13844	yqiJK	3190076	3192549	+	"[""G7589"", ""G7588""]"	PM0-45604	"[""TERM_WC-3984""]"
TU0-13845	sibD	3192741	3192887	-	"[""G0-8913""]"	PM0-10278	"[""TERM_WC-2060""]"
TU0-13846	rfaE	3193340	3194948	-	"[""G7590""]"	PM0-45606	"[""TERM_WC-1818""]"
TU0-13847	ygiF-glnE	3194821	3198987	-	"[""EG11603"", ""EG11602""]"	PM_WC-511	"[""TERM_WC-3344""]"
TU0-13848	folB	3202241	3202670	-	"[""EG11673""]"	PM0-45611	"[""TERM_WC-677""]"
TU0-13850	ebgR	3219459	3220473	+	"[""EG10254""]"	PM0-10127	"[""TERM_WC-529""]"
TU0-13851	ygjI	3224164	3225691	+	"[""EG12720""]"	PM0-45620	"[""TERM_WC-3361""]"
TU0-13852	ygjJK	3225823	3229263	+	"[""G7599"", ""G7598""]"	PM_WC-512	"[""TERM_WC-3363""]"
TU0-13853	fadH	3229646	3231707	+	"[""G36""]"	PM0-36147	"[""TERM_WC-609""]"
TU0-13854	higBA	3231748	3232502	-	"[""G7602"", ""G7601""]"	PM0-46154	"[""TERM_WC-914""]"
TU0-13855	rlmG	3232759	3233914	-	"[""G7603""]"	PM0-45623	"[""TERM_WC-1867""]"
TU0-13856	ygjP	3233982	3234487	+	"[""G7604""]"	PM_WC-513	"[""TERM_WC-3364""]"
TU0-13857	ygjQ	3234421	3235256	+	"[""G7605""]"	PM0-45624	"[""TERM_WC-3366""]"
TU0-13858	ygjR	3235304	3236321	+	"[""G7606""]"	PM0-10128	"[""TERM_WC-3369""]"
TU0-13859	alx	3236577	3237569	+	"[""G7607""]"	PM0-45628	"[""TERM_WC-92""]"
TU0-13860	sstT	3237885	3239212	+	"[""EG12732""]"	PM0-10129	"[""TERM_WC-2116""]"
TU0-13861	ygjV	3239213	3239841	-	"[""G7608""]"	PM0-45631	"[""TERM_WC-3370""]"
TU0-13863	yqjCDEK	3246991	3248400	+	"[""G7614"", ""G7613"", ""G7612"", ""G7611""]"	PM_WC-659	"[""TERM_WC-3987""]"
TU0-13864	yqjF	3248488	3248978	+	"[""G7615""]"	PM0-45632	"[""TERM_WC-3990""]"
TU0-13865	yqjG	3248996	3250034	+	"[""G7616""]"	PM0-45635	"[""TERM_WC-3991""]"
TU0-13866	yhaH	3250271	3250693	+	"[""G7617""]"	PM0-45636	"[""TERM_WC-3372""]"
TU0-13867	yhaI	3250722	3251291	+	"[""G7618""]"	PM0-45638	"[""TERM_WC-3377""]"
TU0-13868	yhaKL	3252313	3253231	+	"[""G7621"", ""G7620""]"	PM0-45644	"[""TERM_WC-3381""]"
TU0-13869	yhaOM	3253361	3255969	-	"[""EG12754"", ""G7622""]"	PM_WC-514	"[""TERM_WC-3383""]"
TU0-13870	tdcR	3265243	3265622	+	"[""EG10992""]"	PM0-45648	"[""TERM_WC-2154""]"
TU0-13871	yhaBC	3265838	3267626	+	"[""EG11174"", ""EG11173""]"	PM0-45653	"[""TERM_WC-3371""]"
TU0-13872	sohA-yhaV	3274994	3275825	+	"[""G7629"", ""EG10955""]"	PM0-9689	"[""TERM_WC-2084""]"
TU0-13873	yraH	3285387	3286034	+	"[""G7637""]"	PM0-45654	"[""TERM_WC-3997""]"
TU0-13874	yraIJK	3286112	3290456	+	"[""G7640"", ""G7639"", ""G7638""]"	PM_WC-660	"[""TERM_WC-4004""]"
TU0-13875	yraQ	3295118	3296196	-	"[""G7645""]"	PM0-45665	"[""TERM_WC-4010""]"
TU0-13876	yraR	3296231	3296919	-	"[""G7646""]"	PM0-36252	"[""TERM_WC-4013""]"
TU0-13877	yhbTS	3298275	3299390	-	"[""G7651"", ""G7650""]"	PM0-10130	"[""TERM_WC-3389""]"
TU0-13878	yhbUV	3299351	3301391	+	"[""G7653"", ""G7652""]"	PM0-45670	"[""TERM_WC-3392""]"
TU0-13879	yhbW	3301470	3302479	+	"[""G7654""]"	PM_WC-518	"[""TERM_WC-3393""]"
TU0-13880	deaD	3303991	3305931	-	"[""EG10215""]"	PM0-45673	"[""TERM_WC-445""]"
TU0-13881	nlpI	3306060	3307062	-	"[""EG12371""]"	PM0-45674	"[""TERM_WC-1470""]"
TU0-13882	yhbX	3318008	3319673	-	"[""G7655""]"	PM0-45675	"[""TERM_WC-3394""]"
TU0-13883	folP-glmM	3320753	3322933	-	"[""EG50011"", ""EG11553""]"	PM_WC-84	"[""TERM_WC-681""]"
TU0-13884	yhbE-obgE	3328602	3330757	-	"[""EG11499"", ""G7656""]"	PM_WC-515	"[""TERM_WC-3384""]"
TU0-13885	ispB	3331732	3332705	+	"[""EG10017""]"	PM_WC-139	"[""TERM_WC-1079""]"
TU0-13886	sfsB	3332818	3333211	+	"[""EG10656""]"	PM0-45680	"[""TERM_WC-2049""]"
TU0-13887	murA	3333255	3334516	-	"[""EG11358""]"	PM_WC-189	"[""TERM_WC-1394""]"
TU0-13888	ibaG	3334569	3334908	-	"[""G7657""]"	PM0-36160	"[""TERM_WC-979""]"
TU0-13889	mlaFEDCB	3334983	3338087	-	"[""EG12801"", ""EG12800"", ""EG12799"", ""G7659"", ""G7658""]"	PM_WC-177	"[""TERM_WC-1307""]"
TU0-13890	elbB-mtgA	3347101	3348481	-	"[""EG11383"", ""G7668""]"	PM_WC-65	"[""TERM_WC-549""]"
TU0-13891	yhcC	3351141	3352240	-	"[""G7669""]"	PM0-45685	"[""TERM_WC-3400""]"
TU0-13892	yhcAD-ychE_1	3360061	3363688	+	"[""G7671"", ""G7670"", ""EG11515""]"	PM0-45687	"[""TERM_WC-3397""]"
TU0-13893	ychE_2-yhcF	3364948	3365666	+	"[""G7673""]"	PM_WC-379	"[""TERM_WC-2752""]"
TU0-13894	yhcG	3365849	3366978	+	"[""G7674""]"	PM_WC-519	"[""TERM_WC-3405""]"
TU0-13895	nanR	3371718	3372725	-	"[""G7678""]"	PM0-45694	"[""TERM_WC-1430""]"
TU0-13896	yhcM	3376890	3378178	-	"[""G7680""]"	PM0-45697	"[""TERM_WC-3407""]"
TU0-13897	yhcB	3378204	3378613	+	"[""G7681""]"	PM0-10134	"[""TERM_WC-3399""]"
TU0-13898	degQS	3378676	3381291	+	"[""EG11652"", ""G7682""]"	PM0-10135	"[""TERM_WC-451""]"
TU0-13899	yhcN	3383428	3383825	+	"[""G7683""]"	PM0-45699	"[""TERM_WC-3410""]"
TU0-13900	yhcO	3383877	3384232	-	"[""G7684""]"	PM0-45701	"[""TERM_WC-3412""]"
TU0-13901	aaeXAB	3384241	3387452	-	"[""G7687"", ""G7686"", ""G7685""]"	PM0-36253	"[""TERM_WC-8""]"
TU0-13902	tldD	3388603	3390097	-	"[""G7689""]"	PM0-45710	"[""TERM_WC-2187""]"
TU0-13903	yhdP	3390478	3394280	-	"[""G7690""]"	PM_WC-520	"[""TERM_WC-3417""]"
TU0-13904	csrD	3399412	3401447	-	"[""EG10018""]"	PM0-45713	"[""TERM_WC-374""]"
TU0-13905	yhdJ	3409639	3410561	+	"[""EG11498""]"	PM0-45716	"[""TERM_WC-3415""]"
TU0-13906	yhdU	3410519	3410824	+	"[""G7694""]"	PM0-45717	"[""TERM_WC-3418""]"
TU0-13907	yhdV	3416218	3416635	+	"[""G7695""]"	PM0-45724	"[""TERM_WC-3419""]"
TU0-13908	trkA	3434540	3435918	+	"[""EG11019""]"	PM0-9750	"[""TERM_WC-2224""]"
TU0-13909	mscL	3436023	3436458	+	"[""EG11180""]"	PM0-10137	"[""TERM_WC-1381""]"
TU0-13910	arfA	3436466	3436695	-	"[""G0-10465""]"	PM0-45729	"[""TERM0-1159""]"
TU0-13911	yhdN-zntR	3436725	3437568	-	"[""EG11970"", ""EG11969""]"	PM0-9719	"[""TERM_WC-3416""]"
TU0-13913	gspCDEFGHIJKLMO	3453553	3464244	+	"[""EG11359"", ""EG12173"", ""G7711"", ""G7710"", ""G7709"", ""G7708"", ""G7707"", ""G7706"", ""G7705"", ""G7704"", ""G7703"", ""G7702""]"	PM0-9512	"[""TERM_WC-867""]"
TU0-13914	bfd-bfr	3464269	3465013	-	"[""EG11181"", ""EG10113""]"	PM_WC-24	"[""TERM_WC-212""]"
TU0-13915	yheO-tusDCB	3472698	3474528	-	"[""G7715"", ""G7714"", ""G7713"", ""G7712""]"	PM0-10141	"[""TERM_WC-3421""]"
TU0-13917	slyD	3475927	3476562	-	"[""EG11663""]"	PM0-45734	"[""TERM_WC-2072""]"
TU0-13918	kefGB-yheV	3476612	3479183	-	"[""G7717"", ""EG20110"", ""G0-10466""]"	PM_WC-148	"[""TERM_WC-1113""]"
TU0-13919	yheSTU	3479311	3482460	+	"[""G7719"", ""G7718"", ""EG12903""]"	PM_WC-521	"[""TERM_WC-3423""]"
TU0-13920	prkB	3482333	3483383	+	"[""EG12365""]"	PM0-10143	"[""TERM_WC-1684""]"
TU0-13921	yhfG-fic-pabA	3488286	3489642	-	"[""EG12374"", ""EG10307"", ""EG10682""]"	PM_WC-522	"[""TERM_WC-3427""]"
TU0-13922	tsgA	3490541	3491773	+	"[""EG11262""]"	PM0-10144	"[""TERM_WC-2248""]"
TU0-13923	yhfL	3497460	3497639	+	"[""G7722""]"	PM0-45738	"[""TERM_WC-3431""]"
TU0-13924	yhfXW-php-yhfUTS	3502955	3508998	-	"[""G7733"", ""G7732"", ""G7731"", ""G7730"", ""G7729"", ""G7728""]"	PM_WC-523	"[""TERM_WC-3433""]"
TU0-13925	yhfZY	3509080	3510366	-	"[""G7735"", ""G7734""]"	PM_WC-524	"[""TERM_WC-3436""]"
TU0-13926	hofQ	3517485	3518725	-	"[""EG12113""]"	PM_WC-107	"[""TERM_WC-927""]"
TU0-13927	hofMNOP	3518635	3520950	-	"[""G7739"", ""G7738"", ""G7737"", ""G7736""]"	PM0-10365	"[""TERM_WC-926""]"
TU0-13928	yrfF	3524296	3526628	+	"[""G7741""]"	PM0-45751	"[""TERM_WC-4023""]"
TU0-13929	yrfG-hslR	3526691	3527773	+	"[""G7743"", ""G7742""]"	PM0-9852	"[""TERM_WC-4027""]"
TU0-13930	hslO	3527755	3528676	+	"[""G7744""]"	PM0-45755	"[""TERM_WC-949""]"
TU0-13931	greB	3534802	3535312	+	"[""EG11578""]"	PM0-45760	"[""TERM_WC-848""]"
TU0-13932	yhgF	3535198	3537730	+	"[""G7746""]"	PM0-45762	"[""TERM_WC-3441""]"
TU0-13933	yhgA	3541169	3542069	+	"[""EG11750""]"	PM0-45763	"[""TERM_WC-3437""]"
TU0-13934	yzgL	3561745	3562028	-	"[""G7752""]"	PM_WC-669	"[""TERM_WC-4054""]"
TU0-13935	asd	3571796	3572901	-	"[""EG10088""]"	PM_WC-13	"[""TERM_WC-156""]"
TU0-13936	yhhW	3576971	3577668	-	"[""G7756""]"	PM_WC-529	"[""TERM_WC-3456""]"
TU0-13937	yhhX	3577789	3578882	-	"[""G7757""]"	PM0-45770	"[""TERM_WC-3458""]"
TU0-13940	yhhZ-yrhA-insA-6B-6-insAB-6	3579781	3582205	+	"[""G7761"", ""G0-10540"", ""G7760"", ""G7759""]"	PM0-45772	"[""TERM_WC-3460""]"
TU0-13941	yrhB	3582757	3583068	+	"[""G7763""]"	PM0-45774	"[""TERM_WC-4029""]"
TU0-13942	rsmD-yhhL	3602375	3603273	+	"[""EG12212"", ""EG10343""]"	PM0-45783	"[""TERM_WC-1959""]"
TU0-13943	yhhN	3603598	3604402	+	"[""EG12214""]"	PM0-45788	"[""TERM_WC-3452""]"
TU0-13944	yhhQ	3607142	3607907	+	"[""EG12217""]"	PM0-45791	"[""TERM_WC-3453""]"
TU0-13945	dcrB	3607790	3608537	+	"[""G7767""]"	PM0-45792	"[""TERM_WC-429""]"
TU0-13946	yhhT	3609864	3610939	+	"[""EG12220""]"	PM0-45796	"[""TERM_WC-3455""]"
TU0-13947	acpT	3610992	3611581	+	"[""EG12221""]"	PM_WC-6	"[""TERM_WC-28""]"
TU0-13948	rhsB	3617097	3621452	+	"[""EG10847""]"	PM0-45797	"[""TERM_WC-1844""]"
TU0-13949	yhhH	3621422	3621807	+	"[""EG11520""]"	PM_WC-527	"[""TERM_WC-3446""]"
TU0-13951	yhhI	3622196	3623539	+	"[""EG11525""]"	PM0-45803	"[""TERM_WC-3447""]"
TU0-13952	yhiI-rbbA-yhhJ	3623700	3628625	-	"[""EG12224"", ""EG12223"", ""EG11767""]"	PM_WC-530	"[""TERM_WC-3464""]"
TU0-13953	yhiJ	3628989	3630618	-	"[""EG12225""]"	PM0-45805	"[""TERM_WC-3465""]"
TU0-13954	yhiK	3630873	3631267	-	"[""EG12226""]"	PM_WC-531	"[""TERM_WC-3466""]"
TU0-13955	yhiL	3631241	3632481	-	"[""EG12227""]"	PM0-9391	"[""TERM_WC-3467""]"
TU0-13956	dtpB	3638885	3640356	+	"[""EG12232""]"	PM_WC-61	"[""TERM_WC-514""]"
TU0-13957	prlC-yhiQ	3640401	3643261	-	"[""EG11441"", ""EG12233""]"	PM0-9720	"[""TERM_WC-1685""]"
TU0-13958	rlmJ	3643373	3644252	+	"[""EG12234""]"	PM0-10146	"[""TERM_WC-1869""]"
TU0-13959	gor	3644322	3645676	+	"[""EG10412""]"	PM_WC-100	"[""TERM_WC-839""]"
TU0-13960	yhiS_1	3649314	3650098	+	"[""EG12238""]"	PM_WC-532	"[""TERM_WC-3473""]"
TU0-13962	yhiD	3653276	3654133	-	"[""EG11400""]"	PM0-45812	"[""TERM_WC-3462""]"
TU0-13964	mdtEF	3657107	3661552	+	"[""EG12241"", ""EG12240""]"	PM0-10251	"[""TERM_WC-1243""]"
TU0-13965	yhjA	3665812	3667284	-	"[""EG12244""]"	PM0-9588	"[""TERM_WC-3474""]"
TU0-13966	yhjC	3670159	3671338	+	"[""EG12247""]"	PM0-10468	"[""TERM_WC-3476""]"
TU0-13967	yhjD	3671353	3672400	+	"[""EG12248""]"	PM0-45815	"[""TERM_WC-3477""]"
TU0-13968	yhjE	3672660	3674133	+	"[""EG12249""]"	PM0-45816	"[""TERM_WC-3479""]"
TU0-13969	yhjG	3674311	3676435	-	"[""EG12251""]"	PM0-9766	"[""TERM_WC-3480""]"
TU0-13971	yhjK	3681651	3683671	-	"[""EG12256""]"	PM0-45818	"[""TERM_WC-3483""]"
TU0-13972	bcsEFG	3694345	3697918	+	"[""EG12265"", ""EG12264"", ""EG12263""]"	PM0-45824	"[""TERM_WC-203""]"
TU0-13973	rdlD	3698159	3698224	+	"[""G0-9042""]"	PM0-9605	"[""TERM_WC-1796""]"
TU0-13974	yhjV	3698421	3699859	+	"[""EG12266""]"	PM0-45826	"[""TERM_WC-3489""]"
TU0-13975	eptB	3706805	3708604	-	"[""EG12267""]"	PM0-10506	"[""TERM_WC-583""]"
TU0-13976	yhjX	3708820	3710083	-	"[""EG12268""]"	PM0-45827	"[""TERM_WC-3490""]"
TU0-13977	yhjY	3710257	3711006	-	"[""EG12269""]"	PM0-45829	"[""TERM_WC-3493""]"
TU0-13978	tag-yiaC	3711115	3712117	+	"[""EG12270"", ""EG10986""]"	PM_WC-273	"[""TERM_WC-2137""]"
TU0-13979	yiaD	3714502	3715231	+	"[""EG12271""]"	PM0-45834	"[""TERM_WC-3498""]"
TU0-13980	ghrB	3715212	3716309	+	"[""EG12272""]"	PM0-45836	"[""TERM_WC-773""]"
TU0-13981	ysaB	3723434	3723925	-	"[""G0-10467""]"	PM0-45840	"[""TERM_WC-4031""]"
TU0-13982	yiaA	3724945	3725384	-	"[""EG11186""]"	PM0-9845	"[""TERM_WC-3494""]"
TU0-13983	yiaB	3725428	3725820	-	"[""EG11267""]"	PM0-45841	"[""TERM_WC-3496""]"
TU0-13984	avtA	3737697	3738983	+	"[""EG10107""]"	PM0-10149	"[""TERM_WC-180""]"
TU0-13985	ysaA	3739130	3739605	-	"[""EG12277""]"	PM_WC-663	"[""TERM_WC-4030""]"
TU0-13986	yiaWV	3750984	3752451	-	"[""EG12291"", ""EG12290""]"	PM_WC-533	"[""TERM_WC-3512""]"
TU0-13987	yiaY	3754697	3755903	-	"[""EG12293""]"	PM0-45853	"[""TERM_WC-3515""]"
TU0-13988	yibF	3759368	3759998	-	"[""EG11762""]"	PM0-10150	"[""TERM_WC-3519""]"
