Frame ID	Name	Left	Right	Direction	Genes	Promoter	Terminators
TU-8438	ftnB	1984799	1985454	+	"[""G7033""]"	PM-8824	"[""TERM_WC-708""]"
TU-8439	bglA	3041684	3043125	+	"[""G495""]"	PM_WC-25	"[""TERM_WC-214""]"
TU-8441	ytfE	4429342	4430032	-	"[""G7866""]"	PM-8827	"[""TERM_WC-4035""]"
TU-8443	ygbA	2854473	2854850	-	"[""EG11287""]"	PM-8829	"[""TERM_WC-3241""]"
TU0-0	cysG	3495776	3497225	+	"[""EG10188""]"	PM0-1	"[""TERM_WC-402""]"
TU0-1	rpmF-plsX-fabHDG	1146561	1150629	+	"[""EG11318"", ""EG11317"", ""EG10277"", ""EG11437"", ""EG10890""]"	PM0-10020	"[""TERM_WC-1913""]"
TU0-1002	astCADBE	1823977	1830037	-	"[""G6940"", ""G6941"", ""G6942"", ""G6943"", ""G6944""]"	PM0-1162	"[""TERM_WC-175""]"
TU0-1003	astCADBE	1823977	1830068	-	"[""G6940"", ""G6941"", ""G6942"", ""G6943"", ""G6944""]"	PM0-1163	"[""TERM_WC-174""]"
TU0-1004	astCADBE	1823977	1830063	-	"[""G6940"", ""G6941"", ""G6942"", ""G6943"", ""G6944""]"	PM0-1164	"[""TERM_WC-176""]"
TU0-1021	pyrH	191812	192582	+	"[""EG11539""]"	PM0-1181	"[""TERM_WC-1753""]"
TU0-1022	nrdHIEF	2798678	2802485	+	"[""G7401"", ""G7402"", ""EG12381"", ""EG20257""]"	PM0-1182	"[""TERM_WC-1480""]"
TU0-1041	cpxP	4103808	4104402	+	"[""G7816""]"	PM0-1201	"[""TERM0241""]"
TU0-1061	rdoA-dsbA	4040414	4042069	+	"[""EG11297"", ""EG11831""]"	PM0-1221	"[""TERM_WC-1797""]"
TU0-1062	dsbA	4041400	4042069	+	"[""EG11297""]"	PM0-1222	"[""TERM_WC-504""]"
TU0-1063	fkpA	3474627	3475547	-	"[""G7716""]"	PM00564	"[""TERM_WC-651""]"
TU0-1064	fkpA	3474627	3475521	-	"[""G7716""]"	PM00565	"[""TERM_WC-650""]"
TU0-1106	aqpZ	914573	915435	-	"[""EG13270""]"	PM0-44658	"[""TERM_WC-119""]"
TU0-1122	dmsABC	940101	944121	+	"[""EG10234"", ""EG10233"", ""EG10232""]"	PM0-1282	"[""TERM_WC-485""]"
TU0-1123	moaABCDE	816137	818972	+	"[""EG11598"", ""EG11597"", ""EG11666"", ""EG11596"", ""EG11595""]"	PM0-1284	"[""TERM_WC-1336""]"
TU0-1141	ptsG	1156989	1158527	+	"[""EG10787""]"	PM0-1301	"[""TERM_WC-1721""]"
TU0-1142	ptsG	1156849	1158527	+	"[""EG10787""]"	PM0-1302	"[""TERM_WC-1722""]"
TU0-1143	yfiD	2714086	2714545	-	"[""EG11784""]"	PM0-1303	"[""TERM_WC-3202""]"
TU0-1161	ldcC	209679	211822	+	"[""G6094""]"	PM0-1321	"[""TERM_WC-1125""]"
TU0-1181	rrsA-ileT-alaT-rrlA-rrfA	4033262	4038661	+	"[""EG30070"", ""EG30077"", ""EG30008"", ""EG30043"", ""EG30084""]"	PM0-1341	"[""TERM_WC-1939""]"
TU0-1182	rrsB-gltT-rrlB-rrfB	4164390	4169985	+	"[""EG30071"", ""EG30078"", ""EG30032"", ""EG30085""]"	PM00514	"[""TERM0-1116"", ""TERM0-1115""]"
TU0-1183	rrsC-gltU-rrlC-rrfC	3939539	3945090	+	"[""EG30072"", ""EG30079"", ""EG30033"", ""EG30086""]"	PM0-1343	"[""TERM0-1117""]"
TU0-1184	rrsC-gltU-rrlC-rrfC	3939656	3945090	+	"[""EG30072"", ""EG30079"", ""EG30033"", ""EG30086""]"	PM0-1344	"[""TERM0-1117""]"
TU0-1186	rrsE-gltV-rrlE-rrfE	4205886	4211184	+	"[""EG30074"", ""EG30081"", ""EG30034"", ""EG30088""]"	PM0-1346	"[""TERM_WC-1943""]"
TU0-1187	rrsG-gltW-rrlG-rrfG	2724089	2729470	-	"[""EG30075"", ""EG30082"", ""EG30035"", ""EG30089""]"	PM0-1347	"[""TERM_WC-1946""]"
TU0-1188	rrsG-gltW-rrlG-rrfG	2724089	2729354	-	"[""EG30075"", ""EG30082"", ""EG30035"", ""EG30089""]"	PM0-1348	"[""TERM_WC-1945""]"
TU0-1189	rrsH-ileV-alaV-rrlH-rrfH	223485	228877	+	"[""EG30076"", ""EG30083"", ""EG30010"", ""EG30045"", ""EG30090""]"	PM0-1349	"[""TERM_WC-1948""]"
TU0-1190	rrsH-ileV-alaV-rrlH-rrfH	223593	228877	+	"[""EG30076"", ""EG30083"", ""EG30010"", ""EG30045"", ""EG30090""]"	PM0-1350	"[""TERM_WC-1947""]"
TU0-1191	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	3421443	3427069	-	"[""EG30091"", ""EG30103"", ""EG30073"", ""EG30080"", ""EG30009"", ""EG30044"", ""EG30087""]"	PM0-1351	"[""TERM_WC-1942""]"
TU0-1192	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	3421443	3426962	-	"[""EG30091"", ""EG30103"", ""EG30073"", ""EG30080"", ""EG30009"", ""EG30044"", ""EG30087""]"	PM0-1352	"[""TERM_WC-1941""]"
TU0-1193	dnaN-recF	3878169	3880756	-	"[""EG10828"", ""EG10242""]"	PM00464	"[""TERM_WC-493""]"
TU0-1194	dnaN-recF	3878169	3880613	-	"[""EG10828"", ""EG10242""]"	PM00463	"[""TERM_WC-492""]"
TU0-1195	dnaN-recF	3878169	3880585	-	"[""EG10828"", ""EG10242""]"	PM00462	"[""TERM_WC-495""]"
TU0-1196	dnaN-recF	3878169	3880371	-	"[""EG10828"", ""EG10242""]"	PM00461	"[""TERM_WC-494""]"
TU0-1198	uspB	3637406	3637871	-	"[""EG12231""]"	PM0-1358	"[""TERM_WC-2299""]"
TU0-1201	gdhA	1840332	1841740	+	"[""EG10372""]"	PM00379	"[""TERM_WC-766""]"
TU0-1222	efp	4373590	4374290	+	"[""EG12099""]"	PM0-1382	"[""TERM_WC-544""]"
TU0-1241	sugE	4374817	4375217	+	"[""EG11616""]"	PM0-1401	"[""TERM_WC-2127""]"
TU0-1261	chpSB	4446451	4447067	+	"[""EG12096"", ""EG11250""]"	PM0-1422	"[""TERM_WC-292""]"
TU0-12785	yjjY	4638381	4638567	+	"[""G7954""]"	PM0-46115	"[""TERM_WC-3738""]"
TU0-12786	yjtD	4638921	4639653	+	"[""EG12309""]"	PM0-46116	"[""TERM_WC-3741""]"
TU0-12787	yaaX	5030	5532	+	"[""G6081""]"	PM0-44333	"[""TERM_WC-2375""]"
TU0-12788	yaaA	5681	6587	-	"[""EG10011""]"	PM0-44334	"[""TERM_WC-2367""]"
TU0-12789	yaaJ	6527	8017	-	"[""EG11555""]"	PM0-44336	"[""TERM_WC-2372""]"
TU0-12790	mog	9306	9895	+	"[""EG11511""]"	PM_WC-183	"[""TERM_WC-1346""]"
