ID	Name	Gene	Location	Modified form	Comments
RNA0-162	antisense RNA, trans-acting regulator of ldrB	G0-9606	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-163	antisense RNA, trans-acting regulator of ldrC	G0-9608	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-164	RttR small RNA	G0-9609	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-165	antisense RNA blocking mokB and hokB translation	G0-9611	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-241	SgrS small regulatory RNA	G0-9941	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-281	IstR-2	G0-10201	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-282	IstR-1	G0-10202	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-300	tRNAvalZ	G6389	"[""CCO-CYTOSOL""]"	"[""RNA0-311""]"	"Assumed in CCO-CYTOSOL
"
RNA0-301	tRNAlysY	G6390	"[""CCO-CYTOSOL""]"	"[""RNA0-312""]"	"Assumed in CCO-CYTOSOL
"
RNA0-302	tRNAlysZ	G6391	"[""CCO-CYTOSOL""]"	"[""RNA0-313""]"	"Assumed in CCO-CYTOSOL
"
RNA0-303	tRNAlysQ	G6392	"[""CCO-CYTOSOL""]"	"[""RNA0-314""]"	"Assumed in CCO-CYTOSOL
"
RNA0-304	tRNAasnW	G7069	"[""CCO-CYTOSOL""]"	"[""RNA0-310""]"	"Assumed in CCO-CYTOSOL
"
RNA0-305	tRNAileY	G7387	"[""CCO-CYTOSOL""]"	"[""RNA0-309""]"	"Assumed in CCO-CYTOSOL
"
RNA0-306	tRNAmetV	EG30060	"[""CCO-CYTOSOL""]"	"[""RNA0-321"", ""CHARGED-FMETV-TRNA""]"	"Assumed in CCO-CYTOSOL
"
RNA0-327	regulator of OmpA and OmpC expression	G0-10574	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
RNA0-328	RydC small RNA	G0-10592	"[""CCO-CYTOSOL""]"	[]	"Assumed in CCO-CYTOSOL
"
