nhaR	906
caiF	396
araC	879
sgrR	1656
leuO	945
cra	1005
pdhR	765
sfsA	705
cdaR	1158
yafC	915
dinJ	261
crl	402
perR	894
yagA	1155
yagI	759
yagP	411
ecpR	591
ykgA	687
ykgD	855
betI	588
yahB	933
yahD	606
prpR	1587
cynR	900
lacI	1083
mhpR	834
frmR	276
yaiV	669
yaiW	1095
phoB	690
nrdR	450
bolA	318
hupB	273
ybaO	459
acrR	648
ybaQ	342
cueR	408
ylbG	372
allS	927
allR	816
fimZ	633
appY	750
envY	762
cusR	684
ybdO	903
dpiA	681
cspE	210
ybeF	954
nagC	1221
fur	447
kdpE	678
abrB	1047
mngR	723
modE	789
ybhD	1017
ybhN	957
ybiH	672
mntR	468
deoR	759
ybjK	537
lrp	495
ycaN	909
ihfB	285
torR	693
rutR	639
csgD	651
flgM	294
ycfQ	633
phoP	672
ymfT	201
ymfL	570
ymfN	1368
bluR	732
fadR	720
dhaR	1920
ychQ	393
ychA	810
narL	651
hns	414
cysB	975
yciT	750
puuR	558
pspF	978
pspB	225
pspC	360
ycjW	999
tyrR	1542
ycjZ	900
fnr	753
abgR	909
racR	477
ydaS	297
feaR	906
paaX	951
ydcI	924
ydcN	537
ydcR	1407
mcbR	666
yddM	363
ydeM	1158
ydeO	762
yneL	180
hipA	1323
hipB	267
lsrR	954
yneJ	882
marR	435
marA	384
ydfH	687
cspB	216
relB	240
dicC	231
dicA	408
mlc	1221
ynfL	894
rstA	729
uidR	591
malI	1029
slyA	435
nemR	600
purR	1026
ydhB	933
ydiP	912
ihfA	300
chbR	843
osmE	339
ydjF	759
yeaM	822
dmlR	924
cspC	210
kdgR	792
yebK	870
flhC	579
flhD	351
uvrY	657
sdiA	723
fliZ	552
fliA	720
rcsA	624
yedW	672
cbl	951
nac	918
yeeY	930
yefM	252
baeR	723
ogrK	219
gatR_1	447
yegW	747
rcnR	273
yehT	720
mlrA	732
galS	1041
yeiE	882
yeiL	660
narP	648
ada	1065
rcsB	651
atoC	1386
yfaX	783
lrhA	939
dsdX	1338
evgA	615
ypdB	735
ypdC	858
yfeC	345
yfeD	393
xapR	885
yfeR	927
murR	858
eutR	1053
gcvR	573
hyfR	2013
iscR	489
hcaR	891
yphH	1194
glrR	1335
yfhH	849
rseC	480
rseB	957
rpoE	576
yfiE	882
alpA	213
yfjR	702
csiR	663
ygaV	300
stpA	405
mprA	531
gutM	360
srlR	774
norR	1515
ascG	1011
hycA	462
fhlA	2079
ygbI	798
rpoS	993
fucR	732
gcvA	918
galR	1032
lysR	936
ygeH	1377
ygeK	444
ygeV	1779
argP	894
ygfI	897
yggD	510
glcC	765
yghO	1173
yqhC	957
mqsA	396
ygiV	483
qseB	660
ttdR	933
rpoD	1842
yqjI	624
ebgR	984
higA	417
exuR	777
yhaJ	897
tdcA	939
tdcR	219
agaR	810
sfsB	279
ibaG	255
rpoN	1434
yhcF	717
nanR	792
argR	471
aaeR	930
fis	297
envR	663
zntR	426
yheO	723
crp	633
frlR	732
ompR	720
feoC	237
malT	2706
rtcR	1599
glpR	759
gntR	996
rpoH	855
nikR	402
arsR	354
dctR	531
gadE	528
gadW	729
gadX	825
yhjB	603
yhjC	972
yiaG	291
cspA	213
xylR	1179
yiaJ	849
yiaU	975
mtlR	588
lldR	777
uhpA	591
yidF	498
yidL	924
yidP	717
dnaA	1404
yidZ	960
asnC	459
rbsR	993
ilvY	894
rho	1260
metR	954
rfaH	489
glnG	1410
yihL	711
yihW	786
yiiE	219
frvR	1749
rhaS	837
rhaR	849
cpxR	699
cytR	1026
metJ	318
yijO	852
oxyR	918
fabR	705
birA	966
hupA	273
zraR	1326
iclR	825
lexA	609
zur	516
soxS	324
soxR	465
rpiR	891
phnF	726
basR	669
adiY	762
melR	909
dcuR	720
cadC	1539
yjdC	576
nsrR	426
yjfJ	699
aidB	1626
ulaR	756
ytfA	327
ytfH	381
treR	948
bdcR	594
idnR	999
fecR	954
fecI	522
yjhU	987
yjhI	789
sgcR	783
uxuR	774
yjiE	912
yjiR	1413
yjjM	915
yjjQ	726
bglJ	678
yjjJ	1332
trpR	327
rob	870
creB	690
arcA	717
dgoR	690
hdfR	840
putA	3963
alaS	2631
pepA	1512
nadR	1233
thrA	2463
thrB	933
thrC	1287
yaaJ	1431
talB	954
mog	588
nhaA	1167
ribF	942
ileS	2817
ispH	951
rihC	915
dapB	822
carA	1149
carB	3222
caiD	786
caiC	1554
caiB	1218
caiT	1515
kefC	1863
folA	480
apaH	843
pdxA	990
araD	696
araA	1503
araB	1701
thiQ	699
thiP	1611
tbpA	984
setA	1179
leuD	606
leuC	1401
leuB	1092
leuA	1572
ilvI	1725
ilvH	492
ftsI	1767
murE	1488
murF	1359
mraY	1083
murD	1317
murG	1068
murC	1476
ddlB	921
lpxC	918
mutT	390
coaE	621
guaC	1044
nadC	894
ampD	552
aroP	1374
aceE	2664
aceF	1893
lpd	1425
acnB	2598
speD	795
speE	867
cueO	1551
gcd	2391
hpt	537
can	663
panD	381
panC	852
panB	795
folK	480
mrcB	2535
fhuA	2244
fhuC	798
fhuD	891
fhuB	1983
hemL	1281
clcA	1422
btuF	801
mtn	699
dgt	1518
dapD	825
pyrH	726
dxr	1197
ispU	762
cdsA	858
lpxD	1026
fabZ	456
lpxA	789
lpxB	1149
accA	960
ldcC	2142
proS	1719
metQ	816
metI	654
metN	1032
gmhB	576
dkgB	804
gloB	756
fadE	2445
lpcA	579
pepD	1458
gpt	459
phoE	1056
proB	1104
proA	1254
mmuP	1404
mmuM	933
argF	1005
ykgE	720
ykgF	1428
ykgG	696
betA	1671
betB	1473
betT	2034
yahI	951
prpB	891
prpC	1170
prpD	1452
codB	1260
codA	1284
cynT	660
cynS	471
cynX	1155
lacZ	3075
mhpA	1665
mhpB	945
mhpC	867
mhpD	810
mhpF	951
mhpE	1014
mhpT	1212
frmB	834
frmA	1110
tauA	963
tauB	768
tauC	828
tauD	852
hemB	975
ddlA	1095
phoA	1416
proC	810
aroL	525
mak	909
brnQ	1320
malZ	1815
