1066	nhaR
2859	caiF
50	araC
1999	sgrR
524	leuO
332	cra
1076	pdhR
938	sfsA
2211	cdaR
1593	yafC
2881	dinJ
1080	crl
2900	perR
2214	yagA
2915	yagI
2924	yagP
2936	ecpR
2941	ykgA
2945	ykgD
107	betI
2951	yahB
2953	yahD
2964	prpR
1385	cynR
518	lacI
2969	mhpR
2974	frmR
2990	yaiV
2991	yaiW
719	phoB
1291	nrdR
121	bolA
460	hupB
3009	ybaO
2020	acrR
3018	ybaQ
3022	cueR
3032	ylbG
3033	allS
3035	allR
1091	fimZ
46	appY
262	envY
3076	cusR
3088	ybdO
3102	dpiA
2072	cspE
1542	ybeF
629	nagC
352	fur
510	kdpE
3133	abrB
1095	mngR
3144	modE
3147	ybhD
3154	ybhN
2269	ybiH
3169	mntR
217	deoR
3193	ybjK
540	lrp
3216	ycaN
434	ihfB
2335	torR
2181	rutR
3291	csgD
2842	flgM
3314	ycfQ
722	phoP
3334	ymfT
3335	ymfL
3337	ymfN
3346	bluR
275	fadR
3372	dhaR
3374	ychQ
1226	ychA
636	narL
450	hns
179	cysB
3382	yciT
2287	puuR
2220	pspF
768	pspB
769	pspC
3402	ycjW
1031	tyrR
3408	ycjZ
319	fnr
3415	abgR
3424	racR
3425	ydaS
3450	feaR
3463	paaX
3476	ydcI
3483	ydcN
3488	ydcR
3499	mcbR
3512	yddM
3525	ydeM
3527	ydeO
3534	yneL
436	hipA
435	hipB
3537	lsrR
3550	yneJ
1399	marR
1398	marA
3552	ydfH
2091	cspB
827	relB
222	dicC
220	dicA
3590	mlc
3591	ynfL
3602	rstA
3605	uidR
550	malI
3620	slyA
3627	nemR
791	purR
2041	ydhB
3656	ydiP
433	ihfA
139	chbR
40	osmE
3694	ydjF
3712	yeaM
3721	dmlR
2092	cspC
3739	kdgR
2407	yebK
313	flhC
314	flhD
1124	uvrY
924	sdiA
1325	fliZ
1324	fliA
811	rcsA
3792	yedW
3806	cbl
3807	nac
3823	yeeY
2398	yefM
1566	baeR
3853	ogrK
4606	gatR_1
3865	yegW
3868	rcnR
1925	yehT
1927	mlrA
358	galS
2010	yeiE
1948	yeiL
1481	narP
26	ada
812	rcsB
1611	atoC
3886	yfaX
2026	lrhA
244	dsdX
1557	evgA
3968	ypdB
3969	ypdC
1395	yfeC
1396	yfeD
1130	xapR
3980	yfeR
3985	murR
2079	eutR
1132	gcvR
4029	hyfR
4047	iscR
4052	hcaR
4063	yphH
1258	glrR
2186	yfhH
4066	rseC
4067	rseB
1827	rpoE
1719	yfiE
2016	alpA
4086	yfjR
2252	csiR
4113	ygaV
1507	stpA
596	mprA
961	gutM
963	srlR
2013	norR
83	ascG
467	hycA
295	fhlA
4130	ygbI
503	rpoS
347	fucR
1729	gcvA
357	galR
544	lysR
4184	ygeH
4187	ygeK
4200	ygeV
483	argP
4229	ygfI
1145	yggD
4255	glcC
4256	yghO
4271	yqhC
4278	mqsA
4280	ygiV
4282	qseB
2360	ttdR
887	rpoD
4297	yqjI
248	ebgR
4303	higA
2378	exuR
4321	yhaJ
978	tdcA
981	tdcR
4329	agaR
649	sfsB
4356	ibaG
889	rpoN
4369	yhcF
4374	nanR
66	argR
4384	aaeR
311	fis
1680	envR
1894	zntR
4409	yheO
160	crp
4419	frlR
665	ompR
2426	feoC
555	malT
2225	rtcR
393	glpR
2343	gntR
888	rpoH
1473	nikR
2120	arsR
1819	dctR
1498	gadE
2126	gadW
2127	gadX
2130	yhjB
2131	yhjC
2337	yiaG
162	cspA
2450	xylR
2160	yiaJ
2171	yiaU
1891	mtlR
1888	lldR
1040	uhpA
1637	yidF
1650	yidL
1654	yidP
229	dnaA
1660	yidZ
89	asnC
810	rbsR
496	ilvY
836	rho
584	metR
830	rfaH
378	glnG
1769	yihL
1780	yihW
1785	yiiE
1792	frvR
834	rhaS
833	rhaR
17	cpxR
194	cytR
581	metJ
1841	yijO
674	oxyR
1361	fabR
119	birA
459	hupA
475	zraR
484	iclR
526	lexA
1857	zur
947	soxS
946	soxR
4468	rpiR
707	phnF
1563	basR
1892	adiY
1208	melR
4472	dcuR
129	cadC
2069	yjdC
1192	nsrR
4492	yjfJ
1745	aidB
4499	ulaR
4507	ytfA
4513	ytfH
2090	treR
4526	bdcR
4535	idnR
286	fecR
285	fecI
4553	yjhU
4556	yjhI
