EG10145	5.5298	3.4092	2.5262
EG10146	552.9772	424.019	545.5007
EG10147	297.4729	135.9027	148.9758
EG10148	215.8374	223.1768	263.4686
EG10149	1028.7934	783.4395	952.4824
EG10150	1100.0833	509.6016	547.9441
EG10151	403.2946	299.4475	377.5273
EG10152	52.5948	53.6502	53.5884
EG10153	32.0394	26.0343	29.6463
EG10154	33.454	30.5554	32.804
EG10155	2191.906	1807.2058	2082.9903
EG10156	400.8366	249.8088	314.6435
EG10157	94.5994	64.6115	95.1641
EG10158	388.5269	303.8344	324.5522
EG10159	286.8841	301.5061	357.7938
EG10160	32.0722	22.8235	22.5873
EG10161	1.8407	1.2738	1.2857
EG10162	2.5908	1.8958	1.954
EG10163	64.6283	50.9954	55.9146
EG10164	745.3511	649.5745	659.2848
EG10165	1109.7495	1268.3583	1301.6063
EG10166	1703.4265	2683.7247	2932.6361
EG10167	74.6767	73.9808	77.4777
EG10168	43.2622	57.3501	65.8062
EG10169	171.5479	405.9067	288.9056
EG10170	236.9878	190.8443	191.5478
EG10172	99.0572	78.3865	70.0509
EG10173	70.131	75.9691	76.4605
EG10174	95.1965	91.3593	87.4338
EG10175	6.2577	5.2852	4.9032
EG10176	5.1528	3.9936	5.1787
EG10177	1.8975	2.3454	2.1595
EG10178	842.4726	1100.1311	1027.8049
EG10179	492.5955	576.9246	622.8937
EG10180	445.2096	408.9973	508.3474
EG10181	593.1399	443.4001	434.9171
EG10182	246.145	222.7703	264.8617
EG10183	116.3203	231.6504	200.0374
EG10184	137.7381	129.7987	91.3661
EG10185	85.3011	98.4066	63.9727
EG10186	297.972	432.0867	286.4458
EG10187	89.8243	80.6088	96.1977
EG10188	28.6564	25.2046	28.2598
EG10189	150.0166	318.9126	217.8499
EG10190	116.6475	280.5328	212.9033
EG10191	118.5669	310.8423	215.8023
EG10192	1238.804	2001.2353	1544.4275
EG10193	160.4286	176.4568	143.5959
EG10194	176.0213	277.1746	207.9986
EG10195	111.0199	211.6567	149.3288
EG10196	85.8793	87.1618	87.6668
EG10197	56.0914	114.345	90.4199
EG10198	78.162	166.7418	124.5047
EG10200	60.6211	46.9909	44.8979
EG10201	131.1941	146.8547	130.1303
EG10202	30.4087	27.7751	26.2185
EG10203	56.9788	45.3111	43.2832
EG10204	121.6224	109.7802	104.9217
EG10205	514.5725	477.1946	475.3706
EG10206	120.5319	121.5367	137.5537
EG10207	425.4118	511.8015	643.4646
EG10208	53.5314	43.0338	43.6496
EG10209	82.9938	55.6885	65.0929
EG10210	10.2305	15.0535	11.788
EG10211	37.494	35.3954	35.3275
EG10212	95.483	51.1187	55.6247
EG10213	36.7862	37.7446	36.5851
EG10214	111.0221	114.3949	93.1791
EG10215	82.4514	140.04	147.982
EG10216	70.9936	43.7077	42.7359
EG10217	290.2365	333.6726	339.4887
EG10218	66.2268	66.8661	62.3276
EG10219	31.7033	26.3976	27.1381
EG10220	99.8389	112.7549	114.1376
EG10221	44.5692	34.7306	26.3313
EG10222	234.3838	275.2207	281.5352
EG10223	55.361	46.5437	45.5595
EG10224	40.7566	45.4375	43.7267
EG10225	34.2522	22.5002	26.7759
EG10226	204.8643	136.2032	83.1693
EG10227	2.799	0.7748	0.8146
EG10228	0.9815	0.6339	0.6665
EG10229	26.7847	30.0288	25.7839
EG10230	463.0553	482.2457	446.285
EG10231	171.5384	108.0319	110.285
EG10232	1.9782	1.7218	1.7254
EG10233	2.2012	2.5472	1.993
EG10234	4.1111	4.2794	3.6352
EG10235	97.051	108.442	109.001
EG10236	91.0515	99.7929	88.8321
EG10237	29.3898	27.8776	26.2026
EG10238	49.1241	64.0088	54.3881
EG10239	84.3605	122.8652	102.4292
EG10240	97.4241	89.3027	127.8246
EG10241	552.5522	431.9052	615.0418
EG10242	87.4487	93.1325	87.6782
EG10243	80.0133	78.9672	68.4833
EG10244	35.9675	28.4051	33.9285
EG10245	69.6672	67.8725	73.7771
EG10246	284.3332	399.4012	263.4674
EG10247	105.1289	73.7924	63.0392
EG10248	1525.7637	1003.0081	949.351
EG10249	14.1594	9.4481	9.569
EG10250	4.6881	2.4898	2.2323
EG10251	164.5719	181.4342	198.2588
EG10252	1.295	1.4913	1.3639
EG10253	0.6718	0.6508	1.0264
EG10254	21.3511	16.0718	14.9893
EG10255	16.3821	15.3469	11.9643
EG10256	79.5762	87.5854	110.5068
EG10257	57.0974	37.8808	35.1766
EG10258	1373.6514	1452.3977	1399.0442
EG10259	459.9177	392.7883	460.4822
EG10260	645.6364	490.7942	548.6618
EG10261	706.3837	669.1537	612.8861
EG10262	172.0795	130.3385	145.9285
EG10263	538.7742	459.5424	467.5987
EG10264	484.8833	374.0859	447.9153
EG10265	532.8859	639.5627	642.4108
EG10266	0.8484	0.9168	0.9839
EG10267	3.2615	2.1576	2.1917
EG10268	8.926	3.8434	3.4348
EG10269	27.8724	31.846	30.2688
EG10270	147.5608	171.8877	159.4331
EG10271	962.6149	918.7852	829.7987
