"rna id"	"ratio to 16SrRNA"
"alaX-tRNA[c]"	0.072
"valV-tRNA[c]"	0.04
"trpT-tRNA[c]"	0.04
"metY-tRNA[c]"	0.04
"glyV-tRNA[c]"	0.035
"cysT-tRNA[c]"	0.11
"ileX-tRNA[c]"	0.0675
"glyU-tRNA[c]"	0.1533
"argX-tRNA[c]"	0.1533
"metW-tRNA[c]"	0.1533
"lysV-tRNA[c]"	0.04
"leuU-tRNA[c]"	0.04
"thrT-tRNA[c]"	0.125
"gltV-tRNA[c]"	0.09
"alaV-tRNA[c]"	0.125
"argV-tRNA[c]"	0.05
"alaW-tRNA[c]"	0.05
"leuV-tRNA[c]"	0.125
"serU-tRNA[c]"	0.125
"leuZ-tRNA[c]"	0.035
"leuW-tRNA[c]"	0.035
"glyX-tRNA[c]"	0.035
"hisR-tRNA[c]"	0.09
"glyY-tRNA[c]"	0.09
"RNA0-300[c]"	0.09
"serV-tRNA[c]"	0.17
"glyW-tRNA[c]"	0.06
"glnU-tRNA[c]"	0.055
"glnX-tRNA[c]"	0.06
"lysT-tRNA[c]"	0.055
"argY-tRNA[c]"	0.135
"tyrT-tRNA[c]"	0.135
"tyrU-tRNA[c]"	0.135
"valY-tRNA[c]"	0.135
"proK-tRNA[c]"	0.13
"argQ-tRNA[c]"	0.13
"leuQ-tRNA[c]"	0.1375
"proM-tRNA[c]"	0.1375
"gltW-tRNA[c]"	0.1375
"glnW-tRNA[c]"	0.1375
"valT-tRNA[c]"	0.09
"asnV-tRNA[c]"	0.0733
"glnV-tRNA[c]"	0.0733
"pheU-tRNA[c]"	0.0733
"thrW-tRNA[c]"	0.11
"ileV-tRNA[c]"	0.1375
"proL-tRNA[c]"	0.1375
"gltU-tRNA[c]"	0.1375
"argW-tRNA[c]"	0.13
"metZ-tRNA[c]"	0.1375
"gltT-tRNA[c]"	0.09
"metT-tRNA[c]"	0.23
"thrU-tRNA[c]"	0.13
"alaT-tRNA[c]"	0.04
"argZ-tRNA[c]"	0.04
"aspT-tRNA[c]"	0.04
"serX-tRNA[c]"	0.045
"leuX-tRNA[c]"	0.045
"alaU-tRNA[c]"	0.0675
"aspU-tRNA[c]"	0.0675
"asnT-tRNA[c]"	0.0675
"lysW-tRNA[c]"	0.07
"RNA0-306[c]"	0.07
"RNA0-305[c]"	0.11
"RNA0-304[c]"	0.07
"RNA0-303[c]"	0.07
"RNA0-302[c]"	0.03
"RNA0-301[c]"	0.18
"leuT-tRNA[c]"	0.04
"metU-tRNA[c]"	0.15
"asnU-tRNA[c]"	0.045
"valU-tRNA[c]"	0.045
"valX-tRNA[c]"	0.13
"argU-tRNA[c]"	0.11
"serW-tRNA[c]"	0.02
"valW-tRNA[c]"	0.07
"selC-tRNA[c]"	0.11
"glyT-tRNA[c]"	0.045
"aspV-tRNA[c]"	0.12
"serT-tRNA[c]"	0.045
"ileT-tRNA[c]"	0.072
"pheV-tRNA[c]"	0.072
"tyrV-tRNA[c]"	0.09
"ileU-tRNA[c]"	0.08
"leuP-tRNA[c]"	0.072
"thrV-tRNA[c]"	0.072
