# id = enzyme id, values = concentration avg mmol/L
"id"	"average"	"distribution"
"CPD0-2330[p]"	0.0	"[]"
"YFEP-MONOMER[i]"	0.00039731018729942435	"[0.0004171807504357553, 0.0004083247238737628, 0.0003918177057456517, 0.0004147705297358823, 0.0005777912882242868, 0.00040551944734841435, 0.00038720956260246853, 0.0003820212383061967, 0.00040299946141211443, 0.00039564738341144604, 0.00035616708826007986, 0.00039453723418188686, 0.0003233930621686908, 0.0005031152673712521, 0.0005654521131795784, 0.0004385804544965755, 0.0004488426085155744, 0.00036422801084615624, 0.00048795388078257254, 0.00033972681032378913, 0.0004978197614720687, 0.00039958361980469104, 0.00040309356184838947, 0.0003571979051962305, 0.0004828142205414637, 0.0004107048167304744, 0.00043199219237779725, 0.0004051138408564085, 0.00042817049298250406, 0.00047168849922917645, 0.0003827279616718301, 0.000391986832903676, 0.00024465606134951054, 0.0003449696505625877, 0.0003722515921201359, 0.00039912824212473314, 0.0003470248953478414, 0.0003860994751449995, 0.00042131301722531615, 0.0003869801910743338, 0.00045657063650177045, 0.0004907673151713958, 0.00047014299535895227, 0.00035668931317510416, 0.0003720452929398648, 0.0003733328474693612, 0.0003301370081435987, 0.00037188175729388094, 0.0002311546140894337, 0.00037861773564598416, 0.00048476893473464836, 0.0002990500020833789, 0.00048347241444325135, 0.0003826896298271095, 0.0004073123413099136, 0.00032035259280517917, 0.0002780892720330115, 0.00038574030788417, 0.00033096068495843696, 0.0003990440089750345, 0.0004165263620382876, 0.00033881743763146047, 0.0003914844685011023, 0.00042927860447951864, 0.0003627861548052337, 0.00035918373664583375, 0.0003725548151910284, 0.0005208437552499481, 0.00038017848458988873, 0.000480303425173513, 0.0005023781390492314, 0.00048552875870038484, 0.0004048801367973983, 0.0004682230069717177, 0.00041695450486083394, 0.0004989044654949552, 0.00039153353834939393, 0.00037994572845484464, 0.0004250355013554474, 0.00047310809361094243, 0.00044985243465999505, 0.000426530142565487, 0.0003669554935255898, 0.0004055960870061874, 0.00024874055840037906, 0.0004111407099760778, 0.00041166785822294323, 0.0004320977925935039, 0.0003824712270398697, 0.0004151765563089432, 0.000439130544550389, 0.0005167451355013973, 0.0004232228420435868, 0.0004517796201486882, 0.0003746589452690804, 0.00038890232201017796, 0.0005068895487483892, 0.0004988293672334408, 0.00033256534126389095, 0.00024317147344898773, 0.0004295391220506415, 0.00034248143200704543, 0.0003876764749069295, 0.00039785901426109255, 0.0004138809588540174, 0.0004090113793974995, 0.0003817565342965249, 0.00037180683483839494, 0.00040940280537187727, 0.0005371863917625218, 0.00039728837281056354, 0.0003608585526201064, 0.00043112917551070475, 0.0004089568900279427, 0.0004914264302054305, 0.0003441742042321331, 0.00034180593425726594, 0.00035977090152862213, 0.0003742242107403975, 0.00029954682185854225, 0.00035105963242538157, 0.00035557515070528425, 0.00022256049694975672, 0.00039360081923495486, 0.00041640987393018887, 0.00033750337415710093, 0.00029917698911908244, 0.00040158593073623416, 0.00021587511037638281, 0.0003731209912550053, 0.00045452128267142896, 0.0004061615368808068, 0.0004209237816120921, 0.0003776178502185435, 0.0005288584315556168, 0.0004139281245797329, 0.0003730578899374295, 0.00034749877038264696, 0.0003187654168149863, 0.00033517977874647427, 0.0004294665479675184, 0.0003739715387855896, 0.00041087054266270874, 0.0004070996365466364, 0.0004138405543341105, 0.00039533941090941986, 0.00041438224948957985, 0.00036992995654389706, 0.0004094161798285625, 0.0004191391003912306, 0.000537435079158131, 0.00039305882049467855, 0.0004075085061900403, 0.00036741702813970984, 0.000411652409654298, 0.0003122645083486162, 0.0003163199179151715, 0.0003592126366970388, 0.0004351253032673983, 0.00042482895749181693, 0.0003620549291516052, 0.00046052626602324456, 0.00038727628170310115, 0.00040586445995535676, 0.00032104538497634025, 0.00033186342600603937, 0.0003825338715165048, 0.0003010172249377947, 0.000437525886523299, 0.0003913405647197919, 0.00034349370665019794, 0.00042734638296730056, 0.00036859504381052134, 0.00034899674738745164, 0.00040371587456604195, 0.00040050899671419707, 0.0004717041265913469, 0.00038356882839913123, 0.0004428088792009295, 0.0004599264156124238, 0.0003305782137884661, 0.00044107898609342346, 0.000439651100891313, 0.00039674798500481613, 0.00038601781938801274, 0.0004344526665263841, 0.0002865921632641844, 0.0003666334209812909, 0.0003676899245788316, 0.0003953278414560015, 0.0003817199712984239, 0.0003405332896371632, 0.000371909265526354, 0.0003736649118132665, 0.0004886373289432958, 0.0003647936217023369, 0.00024129178566661865, 0.000329109687021003, 0.0005328680243194982, 0.00038725659442650064, 0.00041627058008316504, 0.0004525338076093668, 0.00040199187970485636, 0.00041426817726694464, 0.0003734546233261644, 0.0004119040963959426, 0.00038466950286387513, 0.0004470938594206392, 0.0003984265350796398, 0.0003605599430579054, 0.00036425032641366643, 0.00036656251002499654, 0.00043685237066977834, 0.00036459709045764293, 0.0004195370445617424, 0.0004552639903434595, 0.00043925908283024495, 0.00042365377825492623, 0.0004972981218902417, 0.0004074092092637095, 0.0004656051129272922, 0.00037788114823379606, 0.0003878786740715134, 0.00032160702003684394, 0.0005152308335258653, 0.0003897400192099603, 0.00047433831508617876, 0.0004220981707969653, 0.00038258265828021513, 0.00043364713652446556, 0.00038788836542240276, 0.00038285169226678347, 0.0004191075582407227, 0.00027502054487648904, 0.0003330697810294619, 0.00037507464694304935, 0.00034686845475705234, 0.00038180615706663134, 0.00039310553762847607, 0.00032037872478162953, 0.0004199614083720436, 0.00034404755631846254, 0.0003937934843581981, 0.0003652351058488017, 0.00039985212958520874, 0.00032805970483692137, 0.00037614425868624183, 0.00042813643743883187, 0.00036733575294775465, 0.00037503397383700625, 0.00040112294507705883, 0.00038606484020371474, 0.00034812839974991607, 0.00035567854296657486, 0.0003902078299450091, 0.00041101587802020063, 0.00041866968905286174, 0.0004943691237694474, 0.0004149608069843398, 0.0003977994202341163, 0.00043242759244915943, 0.00042448137372981033, 0.00038148134145036595, 0.0004161973259430039, 0.00040053049935610856, 0.00039364469947428374, 0.000260172191103242, 0.0002784916293396753, 0.0003700744672730258, 0.00043952043352356274, 0.0004412796571722304, 0.00037924853318464455, 0.0005760875825618821, 0.00037774931634862756, 0.00039451627924182246, 0.00032059709413601945, 0.0003868506015581182, 0.00041326295432084583, 0.0003324813748794842, 0.0002947945226950372, 0.0004266734636263479, 0.0004248072279805521, 0.00039494688016407066, 0.00043943927390961376, 0.0003680663151139873, 0.00047155193992403044, 0.0004590616928362058, 0.00040762172314238223, 0.00039277749955362023, 0.00038313019378966414, 0.0005615995121162143, 0.0004388475794852242, 0.0004223844811521561, 0.00039376146831539185, 0.0002894798610754722, 0.0005464540567118525, 0.00044567391039843714, 0.0005135414437968859, 0.0005419190056695525, 0.00037118399642939524, 0.00044426350479987917, 0.00022870171072525926, 0.0005056817001016353, 0.0004374201883711627, 0.0004147900073294534, 0.0003296505737186986, 0.0004306300601825986, 0.0003833428971085343, 0.0003504088248416672, 0.00037849790038358994, 0.00043085192173190526, 0.00028069259608272374, 0.0003750911230020296, 0.00044233919612062916, 0.0004341129015071593, 0.00037639779625158484, 0.00021454788015252458, 0.00033411806399131003, 0.0004182304164489017, 0.0004359942564746759, 0.0003762885265998995, 0.00033437346768717626, 0.0003896049650287795, 0.000374201809631548, 0.0002450367663961328, 0.00042645093392621277, 0.00037391412021748125, 0.0003915976769211968, 0.00037783886320175776, 0.00043396061479520194, 0.0004105751407676556, 0.00038286378170946576, 0.00038948152493391215, 0.00035873263134640236, 0.00036208297758467733, 0.00035875595496009526, 0.00037536245132840625, 0.0004164879081245851, 0.00042048534629434315, 0.0003895953080907199, 0.0004117418848859722, 0.00036544851902108613, 0.0005030497219627421, 0.00035739331287597525, 0.0004322886936406731, 0.0005598611366266648, 0.0003155115755852543, 0.0003777946138267554, 0.00036881643934679874, 0.00041883167198027333, 0.0003472716796571633, 0.00023741578810095075, 0.0004088128605205554, 0.0005167665550298162, 0.0004626175881929699, 0.0004121749962496265, 0.00041420423886402697, 0.00035520627893960286, 0.0003796850833762116, 0.00030528392317427536, 0.0002339316378638723, 0.00040912061466206936, 0.00042501198775361874, 0.0003912651571980712, 0.0004126671608794805, 0.00037313435569149157, 0.0002826437077344584, 0.0004159445545496596, 0.0004277050214393134, 0.00042348950502683744, 0.000459585147353434, 0.00041880072539832397, 0.0003720522491422186, 0.0002984400848891611, 0.00028086565509718525, 0.0003039085639922658, 0.0003707934488094978, 0.0003873300100490037, 0.00041860932073763796, 0.00031660608823961254, 0.00033320403146948184, 0.0004560597077510407, 0.00028022623651500014, 0.0003466070624980776, 0.0004232208769254774, 0.00045717072781131476, 0.00043953528730155355, 0.0003642958261334697, 0.0003380722742291537, 0.000307978402299143, 0.00035354954691475506, 0.00040910899825730753, 0.0003898484587406363, 0.00039074264052556707, 0.0003574193597331349, 0.0004988251249276622, 0.00043718093197408055, 0.00038470419152791504, 0.00027225093910076235, 0.0005113961689910248, 0.0003620783318290388, 0.00036579883014119734, 0.0004385208617092702, 0.0003480667265497247, 0.0004448062983099351, 0.0004236140805762989, 0.00043857008276953455, 0.00038651965903703343, 0.00042540004624389395, 0.00036425742776819987, 0.0004246371209530266, 0.00044119800410168293, 0.00039429393666800476, 0.00036661812005679304, 0.00036836958278135313, 0.0003694743611989194, 0.00030501187823029296, 0.00037047822243402957, 0.0004618248659464448, 0.0003889833176397029, 0.00035115824936250614, 0.0005672440690533567, 0.00046610880972456243, 0.0003448570356792822, 0.000379629611413354, 0.0003936236964657756, 0.0004420947581183791, 0.00039158113109287614, 0.0003496438111182208, 0.00044216488805126446, 0.000470157173845654, 0.00032539200470807484, 0.00043068904097499943, 0.00028709972474678583, 0.00033304505371139484, 0.0003844901798220891, 0.0003634984418870217, 0.00033856899266656155, 0.00042459988174056685, 0.00040175899401737313, 0.0003395273849498632, 0.00038658762499724165, 0.00031129800406752214, 0.0004257205889768323, 0.0004040721938272192, 0.00044112396082118506, 0.0003871766562830175, 0.0004222555322684619, 0.00032805970483692137, 0.00039024886790726986, 0.0004931034831757193, 0.0003976926481484896, 0.0004655854346759316, 0.00039628251379286413, 0.00038139051374238344, 0.00047287677345807716, 0.000445965991329149, 0.00037926972450341115, 0.00035870562071186186, 0.0004235220774479664, 0.0003346528860581771, 0.00044139980917920507, 0.00024753954675169157, 0.00031718795437847786, 0.00045125277453288766, 0.0003676533096260959, 0.00044776594748261573, 0.00033981068736815823, 0.0003794767185553191, 0.0005143381927549935, 0.00041320291041601145, 0.0004315096525790276, 0.00035432290689597755, 0.00039886535433325993, 0.0003432902342308139, 0.0005156537985992946, 0.0005261381748821345, 0.0003275991056805208, 0.00040582876589744264, 0.000388879059583047, 0.00034146614535607127, 0.00043954050014926763, 0.00044513724742805473, 0.0004399475634394243, 0.00033624670560344975, 0.0004282032734003016, 0.0004121338822998475, 0.00052046626393145, 0.0003211738698321584, 0.0003864270689720464, 0.00033243119122397334, 0.00037114038251917416, 0.0004313011478668498, 0.0003578222422195651, 0.0003505545587378694, 0.0003212788261000011, 0.0004405756346358319, 0.00042617507444473075, 0.0004996193854348286, 0.0003611919784367655]"
"EG11512-MONOMER[i]"	0.00016836636128453515	"[4.554811070349757e-05, 0.00015485376769885055, 0.00011893945975912664, 0.0001949612540812577, 0.00013333685615528733, 0.0001915332903824539, 0.00018168527733763987, 0.0001786752459249111, 0.00010989008594832396, 0.00016742080680541105, 0.0002506226022916224, 0.0004895959428041088, 3.5583025390419254e-05, 0.0001629026061972793, 0.00013705710645570048, 4.6198996156692115e-05, 0.00014727755357989015, 0.00011222712489236496, 0.00019526504548726892, 0.00014357689438845617, 0.0004341136289032955, 0.00014996778245089055, 1.1555354213530547e-05, 0.0005349809818565836, 0.00011080152175468232, 0.00010791085146365184, 0.0002403584288809387, 0.00011492726661634721, 0.0001181389389834332, 0.0002156157677917773, 9.072834946742226e-05, 3.3696625316260615e-05, 0.00014307127577542245, 0.00013452264677135597, 0.00015114329889103395, 0.00021966118082022382, 0.00015898852678287984, 6.641550468438347e-05, 0.00044739502071424755, 2.7036950359766533e-05, 0.00016245154052241603, 0.00016141193491982643, 0.0002996411056740577, 0.0002681599173268381, 0.00011513166836644055, 0.00015474467322790404, 0.00023755418709579525, 0.00010756483115198372, 0.00024909375098028727, 0.00010790212081699356, 7.837836925035859e-05, 9.959264025657895e-05, 4.464844792109954e-05, 0.00024364762457418178, 0.00015233504423060195, 2.548698668675279e-05, 0.00011939262948799908, 9.549393964387427e-05, 0.0001584197355695197, 2.8896345097062738e-05, 0.00010935272190006318, 8.137768428927038e-05, 0.0003951784043987924, 7.587250457992792e-05, 3.2247235162297714e-05, 0.00012346637449466163, 0.0004265573569380992, 0.00012745907893882476, 4.5912970424343195e-05, 0.00030813272903469077, 0.00015139255383891137, 3.7402134660197705e-05, 4.466316517070058e-05, 0.00020005927794189055, 0.0001365434951186749, 0.00014426413442932744, 0.00028231936529611747, 1.7155867954685674e-05, 0.00015832435799465345, 0.0002889107153201737, 0.00016284366654578184, 0.00011675457021074996, 0.00016584762171627254, 0.00016810396612695075, 5.534028048024131e-05, 0.000121415118251093, 0.0003449591316261311, 0.0001352675406186361, 0.00042721756854099946, 0.00020308384603078038, 1.5745248791722574e-05, 0.00015084899447910844, 0.00014945989789724842, 8.959168324450731e-05, 0.00047773876090250443, 0.00015021184488892093, 5.43394627916962e-05, 0.00017301973732786562, 3.7963592776735963e-05, 0.00039332743026371085, 0.0001735914525628112, 7.46029989356745e-05, 0.0001482752218178935, 0.00013761695854391204, 0.0005306809433302379, 8.66550102198583e-05, 0.00012777225503489686, 0.0001369769761393656, 0.0001105472934261499, 0.00018160769558955674, 2.5991040267831034e-05, 0.00012205425560528475, 5.436459466299063e-05, 0.00014056661155996828, 4.402633234997944e-05, 4.37527908748649e-05, 0.00010722929681124007, 0.00012923832820632803, 0.00023885364157779775, 4.410960525992018e-05, 0.0002135919172547645, 9.27955367938059e-05, 0.00017855105148375497, 0.0005463827735306498, 0.00022526142714123843, 3.174290005232122e-05, 7.739791647423692e-05, 0.00024156602341406008, 0.0003962753821738068, 6.826628414489816e-05, 0.00021052813121827258, 0.0001737752292913448, 1.7133128159331417e-05, 0.0005968222910869401, 0.00014192672919716997, 0.00015124540081237664, 5.27632109307717e-05, 0.00020816230253963298, 0.0001342198106508208, 0.00015095820697832445, 0.0001374079321556248, 0.0001365139265630025, 0.0003439235509402841, 6.673353243014782e-05, 3.884369413948205e-05, 9.639174105719803e-05, 6.38277644724011e-05, 0.0001102851711311963, 0.00012316444718944055, 0.00012849051100315218, 0.00011314771435422284, 0.00010293521046814655, 0.00032529055463743504, 0.00016087679934552747, 0.00017729993464056827, 0.0001686313400568365, 0.00027545895847241213, 0.00012071407858074683, 0.0004713091368898734, 0.00018680927949420685, 0.00013520339726909623, 0.0001488488211647012, 0.0004546031044258613, 0.0002258467236650894, 0.0002115260912304336, 0.00014713423415570098, 0.0003061999126425314, 0.00020486132520505278, 0.00014740789021356902, 0.0001347275166694207, 0.0002143064133663364, 0.00014111096874883528, 0.00017099772324921038, 0.00046475491790897897, 4.1561534030120015e-05, 0.00017118430606452185, 0.0004396313645374481, 0.00016026001577247744, 0.00046087752450275926, 0.00013520515690254405, 0.0002576939352262224, 0.0001105985091930972, 0.00017779169495110922, 0.00022829193656763943, 0.00019963809471386433, 0.00016414395496857297, 5.099676034460294e-05, 0.0001136014288832736, 0.0003275606464712898, 0.0001540776575409758, 0.00011343052142927399, 0.00018866478472746658, 0.00017685677812828986, 0.00018186715583816082, 0.0004652487935206447, 0.00016370982741366298, 0.000237892390878356, 0.00011559526374537475, 0.00018273524034063255, 0.00018095835578693908, 0.0001103724256524705, 0.0003117465269209453, 0.00014166213197901642, 0.0003460298214121443, 6.640760519045602e-05, 8.418998963946523e-05, 0.00012316635124059728, 0.0002300380267288151, 0.00015354054630948742, 0.00028374907197316107, 0.0001603405536506996, 0.0002707853967007058, 0.00019687942629776422, 4.313067666136872e-05, 0.00018225594828739957, 5.2811775321046696e-05, 0.00017886893103820443, 0.0005410602091224121, 0.00014937416935028848, 0.00013911806298383967, 9.689968808263119e-05, 0.0001547017006107268, 0.0002100183845401171, 0.0003237930428090056, 8.858661767082003e-05, 0.00021897484707074762, 7.839821146730393e-05, 5.9243028858275045e-05, 0.000306138306084333, 0.0001322705409088653, 4.1738800037839057e-05, 0.00012506050698831214, 0.000127661055048186, 0.0005824413086752352, 0.00017184029650289549, 0.0001539252499115036, 0.00041741881965474, 0.00030314309170996825, 0.000158658614756162, 2.692728067582075e-05, 0.00012928003410482498, 0.0005385211947123015, 6.509917055020252e-05, 0.00014798423040535483, 0.00028840566728843137, 1.8226327649515112e-05, 9.299604755383086e-05, 7.608387278842947e-05, 0.00016483526378782324, 5.7344828917217084e-05, 0.00013735830585193226, 6.536868219356671e-05, 6.950803542502431e-05, 7.70091771983103e-05, 0.00017949612562515496, 0.000139625626954697, 0.0001183161731063202, 0.0001402136202848758, 0.00025599473462783285, 0.00012463043677368697, 0.00018122420327647794, 0.000145650869428949, 0.0006212731199011718, 6.233420084756776e-05, 0.00031178310772604444, 0.00011102149173419897, 0.00018855203226716272, 0.00014175020702884278, 2.7785022789820604e-05, 3.488541499827887e-05, 0.0001221562250615547, 0.00010602676490500298, 0.0001642345121072346, 6.0585610585198806e-05, 0.0001085328481712468, 7.096766964988811e-05, 0.0001659901269093757, 0.00013393125837504163, 0.000115152916734786, 0.0001105514869565908, 0.00011198510219464762, 0.00021443692783142568, 0.000279700494276066, 5.700618187252583e-05, 5.116689446441373e-05, 0.00020687457837000747, 0.00015652969644158624, 6.557023922386028e-05, 4.31633367985533e-05, 0.0004195089689096598, 0.00012381562883108014, 0.00022575485038178763, 0.00019832505874317022, 1.9280389080451378e-05, 0.0004996923575015762, 0.00010663181161079982, 0.00032358119924393345, 0.0001960249928275257, 0.00025655050220365803, 0.000191951181743933, 0.0004888096110287478, 4.120505490741626e-05, 3.658142002160929e-05, 0.00015929158851530527, 1.1941169892177256e-05, 0.00010246066386387867, 2.3253103788967173e-05, 0.0004188490391819619, 0.00019984192131370314, 0.00010854549447368383, 0.00023696586046664963, 0.00017987375442997484, 0.00012606266610921333, 0.00015478974591254645, 0.0001542189280203064, 0.00017491119050701872, 1.18851616805461e-05, 2.4612221552415015e-05, 7.541330262095152e-05, 1.8692719400942517e-05, 0.00012001161905173903, 0.0003834068143453394, 0.00010194432019528703, 0.0001237232341234697, 0.00014671898190321973, 5.2587604060304553e-05, 0.00016938445513131788, 0.0001128260689753588, 0.00015482938767059925, 0.0004578819953136803, 9.380774833619629e-05, 7.591257973378606e-05, 7.559524180290674e-05, 0.00011944249552206804, 7.112925667517297e-05, 0.00025361423851366605, 2.4779534021291523e-05, 0.00017921257919594705, 5.376037507510499e-05, 0.0001364487195437535, 0.00010791719390859119, 0.00014963776987694262, 0.00026041396621081386, 2.3676387897718945e-05, 5.614252927216405e-05, 5.7056812996275496e-05, 0.0003137021310146721, 0.00016267792213145115, 0.00012125356192715119, 0.00014734652934459617, 7.299762913793788e-05, 0.0004209297573079911, 0.0005834601571197582, 4.173708940479971e-05, 0.00018772848479831465, 8.943103179699801e-05, 6.56700644846377e-05, 0.00024715920020934264, 0.00013889906375737514, 0.00011504442878507902, 0.00013363715372984012, 0.00017760396177276313, 0.00033295968010721314, 0.00024050154594724722, 0.00012493555734989243, 0.00016617702178720823, 0.0001600871554872671, 0.00017113673312524284, 4.367755462475942e-05, 6.365365686331176e-05, 0.00010492338375407912, 0.00015524222621661688, 0.00015353541701946095, 0.00019424046443073496, 0.00017315749973405414, 0.00041417748351033567, 1.3759636793105407e-05, 0.00013347818300270937, 4.289463705668725e-05, 0.0003527275008972595, 0.00010588011155357421, 0.0006038500939741175, 2.3101225135915933e-05, 0.00011783944910792726, 6.748223420579834e-05, 4.1852296872429416e-05, 0.00010962548912454299, 0.00021454961735729302, 9.49729633065742e-05, 2.3666104948799034e-05, 0.00011002326553568094, 0.00023038601936994105, 0.00022384178307616187, 0.0002372329949891033, 0.00018538656648444673, 0.00014835915536910512, 4.397118820326615e-05, 1.1587538380200426e-05, 5.718125950222701e-05, 1.7962748952990448e-05, 0.0001945660606513999, 0.00021504155776071139, 8.967673339749754e-05, 0.00024992397285695156, 0.0001226520664327774, 0.0002872609249889251, 0.00014309407914354748, 4.6855350076767316e-05, 5.334499779350412e-05, 0.00012557366346979763, 1.663194949913654e-05, 0.0005000384622099104, 8.653541467579272e-05, 0.00012101568685124799, 0.00027500905073755033, 0.00012008515902267158, 0.00013838916729128252, 5.2115259324701054e-05, 0.00014125190873197517, 0.0001370423345455182, 1.0995394431001067e-05, 0.0001114032985437916, 0.00013620662149094054, 0.00017866377467878653, 0.00029928567225486434, 0.00026822500822054206, 0.00023931511508689076, 0.0001370017021511389, 6.619048301660448e-05, 0.00011235163552676387, 0.00013746737293829304, 0.00018322258948685535, 4.652163373545551e-05, 9.226853426714769e-05, 9.04733136153043e-05, 0.00024132937348412878, 0.0001260374930805079, 0.00011877314723077683, 0.00023029632824957632, 0.00014518798667461638, 0.00013838594207931805, 0.00012537209530142165, 0.00013555241767759612, 0.00032666830004171566, 0.00014847038647259852, 0.00011194524247459078, 0.00017336272202195423, 0.000523274215835958, 0.00023336400776302686, 0.00011986046598175295, 0.0002062270684014075, 0.00018820812782524056, 5.9087918002398956e-05, 0.0001141342854288366, 0.0001378516881135822, 0.00010772454289695078, 0.000161432483164651, 0.00021354765060552035, 0.0002554801051270783, 2.802204626787166e-05, 0.00029248491522449523, 0.00013689510802991948, 0.00016405405018258182, 0.00016143759582711741, 0.0002473304625325978, 0.0001367714933244766, 0.00024959262544389365, 5.2856694912329086e-05, 0.00011479650355808861, 0.00015183134541763216, 0.00014994767568204115, 0.00012679630820457946, 0.00016534120029906192, 3.910099409596468e-05, 8.408411624571371e-05, 0.0003150727581256168, 7.478281613461043e-05, 0.00036686513786704614, 0.0005193294407709017, 0.00016132519952690873, 0.00013835065358639193, 0.0001494410128474252, 0.00010936879757869871, 8.80164541691344e-05, 2.501509624487992e-05, 0.00018430999462785551, 9.585965273522516e-05, 0.00016936548334300114, 0.00044519939119985616, 0.00013022738866132595, 0.00010068741480423162, 0.00028244546990607963, 8.463733693788331e-05, 0.00013765224322248747, 0.00015875295222526556, 0.00011470512009358603, 0.00030739198532785854, 0.00018119006085882936, 0.00018746063138500257, 0.00014472055290652412]"
"CPD-13390[c]"	0.0	"[]"
"D-TYROSINE[c]"	0.0	"[]"
"5-METHYLAMINOMETHYL-2-SELENOURIDINE[e]"	0.0	"[]"
"GLYCEROPHOSPHOGLYCEROL[c]"	0.0	"[]"
"CPD-298[p]"	0.0	"[]"
