Frame ID	Name	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Feist formula	Media Concentration (mM)	Biomass information	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
3ocmrs7eACP	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	C25H43N2O9PRS	-1	578.6537000000	C25H43N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ocpalm9eACP	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	C27H47N2O9PRS	-1	606.7073000000	C27H47N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ocvac11eACP	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]	C29H51N2O9PRS	-1	634.7609000000	C29H51N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3odcoa	3-Oxodecanoyl-CoA	C31H49N7O18P3S	-3	932.7411000000	C31H48N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3oddcoa	3-Oxododecanoyl-CoA	C33H53N7O18P3S	-3	960.7947000000	C33H52N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3oddecACP	3-Oxododecanoyl-[acyl-carrier protein]	C23H41N2O9PRS	-1	552.6159000000	C23H41N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3odecACP	3-Oxodecanoyl-[acyl-carrier protein]	C21H37N2O9PRS	-1	524.5623000000	C21H37N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ohcoa	3-Oxohexanoyl-CoA	C27H41N7O18P3S	-3	876.6339000000	C27H40N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3ohdcoa	3-Oxohexadecanoyl-CoA	C37H61N7O18P3S	-3	1016.9019000000	C37H60N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3ohexACP	3-Oxohexanoyl-[acyl-carrier protein]	C17H29N2O9PRS	-1	468.4551000000	C17H29N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3omrsACP	3-Oxotetradecanoyl-[acyl-carrier protein]	C25H45N2O9PRS	-1	580.6695000000	C25H45N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3oocoa	3-Oxooctanoyl-CoA	C29H45N7O18P3S	-3	904.6875000000	C29H44N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3ooctACP	3-Oxooctanoyl-[acyl-carrier protein]	C19H33N2O9PRS	-1	496.5087000000	C19H33N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ooctdACP	3-Oxooctadecanoyl-[acyl-carrier protein]	C29H53N2O9PRS	-1	636.7767000000	C29H53N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3oodcoa	3-Oxooctadecanoyl-CoA	C39H65N7O18P3S	-3	1044.9555000000	C39H64N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3opalmACP	3-Oxohexadecanoyl-[acyl-carrier protein]	C27H49N2O9PRS	-1	608.7231000000	C27H49N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
3ophb	3-Octaprenyl-4-hydroxybenzoate	C47H69O3	-1	682.0591000000	C47H69O3		"{""core"": [], ""wildtype"": []}"			[]	
3otdcoa	3-Oxotetradecanoyl-CoA	C35H57N7O18P3S	-3	988.8483000000	C35H56N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
3pg	3-Phospho-D-glycerate	C3H5O7P	-2	184.0395000000	C3H4O7P		"{""core"": [], ""wildtype"": []}"			[]	
3php	3-Phosphohydroxypyruvate	C3H3O7P	-2	182.0237000000	C3H2O7P		"{""core"": [], ""wildtype"": []}"			[]	
3psme	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H10O10P	-3	321.1530000000	C10H9O10P		"{""core"": [], ""wildtype"": []}"			[]	
3sala	3-Sulfino-L-alanine	C3H6NO4S	-1	152.1434000000	C3H5NO4S		"{""core"": [], ""wildtype"": []}"			[]	
3ump	3'-UMP	C9H12N2O9P	-1	323.1728000000	C9H11N2O9P		"{""core"": [], ""wildtype"": []}"			[]	
4abut	4-Aminobutanoate	C4H9NO2	0	103.1201000000	C4H9NO2		"{""core"": [], ""wildtype"": []}"			[]	
4abutn	4-Aminobutanal	C4H10NO	1	88.1290000000	C4H10NO		"{""core"": [], ""wildtype"": []}"			[]	
4abz	4-Aminobenzoate	C7H6NO2	-1	136.1294000000	C7H6NO2		"{""core"": [], ""wildtype"": []}"			[]	
4adcho	4-amino-4-deoxychorismate	C10H10NO5	-1	224.1910000000	C10H10NO5		"{""core"": [], ""wildtype"": []}"			[]	
4ahmmp	4-Amino-5-hydroxymethyl-2-methylpyrimidine	C6H9N3O	0	139.1571000000	C6H9N3O		"{""core"": [], ""wildtype"": []}"			[]	
4ampm	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H9N3O4P	-1	218.1281000000	C6H8N3O4P		"{""core"": [], ""wildtype"": []}"			[]	
4c2me	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O14P2	-2	519.2907000000	C14H23N3O14P2		"{""core"": [], ""wildtype"": []}"			[]	
4h2opntn	4-Hydroxy-2-oxopentanoate	C5H7O4	-1	131.1063000000	C5H7O4		"{""core"": [], ""wildtype"": []}"			[]	
4hba	4-Hydroxy-benzyl alcohol	C7H8O2	0	124.1382000000	C7H8O2		"{""core"": [], ""wildtype"": []}"			[]	
4hbz	4-Hydroxybenzoate	C7H5O3	-1	137.1135000000	C7H5O3		"{""core"": [], ""wildtype"": []}"			[]	
4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	0	136.1492000000	C8H8O2		"{""core"": [], ""wildtype"": []}"			[]	
4hthr	4-Hydroxy-L-threonine	C4H9NO4	0	135.1181000000	C4H9NO4		"{""core"": [], ""wildtype"": []}"			[]	
4mhetz	4-Methyl-5-(2-hydroxyethyl)-thiazole	C6H9NOS	0	143.2031000000	C6H9NOS		"{""core"": [], ""wildtype"": []}"			[]	
4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1	129.1341000000	C6H9O3		"{""core"": [], ""wildtype"": []}"			[]	
4mpetz	4-Methyl-5-(2-phosphoethyl)-thiazole	C6H9NO4PS	-1	222.1741000000	C6H8NO4PS		"{""core"": [], ""wildtype"": []}"			[]	
4pasp	4-Phospho-L-aspartate	C4H6NO7P	-2	211.0654000000	C4H6NO7P		"{""core"": [], ""wildtype"": []}"			[]	
4per	4-Phospho-D-erythronate	C4H7O8P	-2	214.0653000000	C4H6O8P		"{""core"": [], ""wildtype"": []}"			[]	
4ppan	D-4'-Phosphopantothenate	C9H16NO8P	-2	297.1984000000	C9H15NO8P		"{""core"": [], ""wildtype"": []}"			[]	
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H21N2O9PS	-2	400.3369000000	C12H20N2O9PS		"{""core"": [], ""wildtype"": []}"			[]	
4r5au	4-(1-D-Ribitylamino)-5-aminouracil	C9H16N4O6	0	276.2474000000	C9H16N4O6		"{""core"": [], ""wildtype"": []}"			[]	
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H12N3O9P	-2	337.1798000000	C9H11N3O9P		"{""core"": [], ""wildtype"": []}"			[]	
5aop	5-Amino-4-oxopentanoate	C5H9NO3	0	131.1301000000	C5H9NO3		"{""core"": [], ""wildtype"": []}"			[]	
5aprbu	5-Amino-6-(5'-phosphoribitylamino)uracil	C9H16N4O9P	-1	355.2184000000	C9H15N4O9P		"{""core"": [], ""wildtype"": []}"			[]	
5apru	5-Amino-6-(5'-phosphoribosylamino)uracil	C9H14N4O9P	-1	353.2026000000	C9H13N4O9P		"{""core"": [], ""wildtype"": []}"			[]	
5caiz	5-phosphoribosyl-5-carboxyaminoimidazole	C9H12N3O9P	-2	337.1798000000	C9H11N3O9P		"{""core"": [], ""wildtype"": []}"			[]	
5dglcn	5-Dehydro-D-gluconate	C6H9O7	-1	193.1301000000	C6H9O7		"{""core"": [], ""wildtype"": []}"			[]	
5dh4dglc	5-Dehydro-4-deoxy-D-glucarate	C6H6O7	-2	190.1064000000	C6H6O7		"{""core"": [], ""wildtype"": []}"			[]	
5drib	5'-deoxyribose	C5H10O4	0	134.1300000000	C5H10O4		"{""core"": [], ""wildtype"": []}"			[]	
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H12O7PS	-1	259.1878000000	C6H11O7PS		"{""core"": [], ""wildtype"": []}"			[]	
5mdru1p	5-Methylthio-5-deoxy-D-ribulose 1-phosphate	C6H12O7PS	-1	259.1878000000	C6H11O7PS		"{""core"": [], ""wildtype"": []}"			[]	
5mta	5-Methylthioadenosine	C11H15N5O3S	0	297.3315000000	C11H15N5O3S		"{""core"": [], ""wildtype"": []}"			[]	
5mthf	5-Methyltetrahydrofolate	C20H23N7O6	-2	457.4447000000	C20H24N7O6		"{""core"": [], ""wildtype"": []}"			[]	
5mtr	5-Methylthio-D-ribose	C6H12O4S	0	180.2168000000	C6H12O4S		"{""core"": [], ""wildtype"": []}"			[]	
5prdmbz	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H18N2O7P	-1	357.2772000000	C14H17N2O7P		"{""core"": [], ""wildtype"": []}"			[]	
6hmhpt	6-hydroxymethyl dihydropterin	C7H9N5O2	0	195.1811000000	C7H9N5O2		"{""core"": [], ""wildtype"": []}"			[]	
6hmhptpp	6-hydroxymethyl-dihydropterin pyrophosphate	C7H9N5O8P2	-2	353.1231000000	C7H8N5O8P2		"{""core"": [], ""wildtype"": []}"			[]	
6pgc	6-Phospho-D-gluconate	C6H11O10P	-2	274.1169000000	C6H10O10P		"{""core"": [], ""wildtype"": []}"			[]	
6pgl	6-phospho-D-glucono-1,5-lactone	C6H10O9P	-1	257.1100000000	C6H9O9P		"{""core"": [], ""wildtype"": []}"			[]	
8aonn	8-Amino-7-oxononanoate	C9H17NO3	0	187.2373000000	C9H17NO3		"{""core"": [], ""wildtype"": []}"			[]	
ACP	acyl carrier protein	C11H21N2O7PRS	-1	356.3279000000	C11H21N2O7PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
LalaDglu	L-alanine-D-glutamate	C8H13N2O5	-1	217.1997000000	C8H13N2O5		"{""core"": [], ""wildtype"": []}"			[]	
LalaDgluMdap	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate	C15H25N4O8	-1	389.3825000000	C15H25N4O8		"{""core"": [], ""wildtype"": []}"			[]	
LalaDgluMdapDala	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	C18H30N5O9	-1	460.4610000000	C18H30N5O9		"{""core"": [], ""wildtype"": []}"			[]	
LalaLglu	L-alanine-L-glutamate	C8H13N2O5	-1	217.1997000000	C8H13N2O5		"{""core"": [], ""wildtype"": []}"			[]	
N1aspmd	N1-Acetylspermidine	C9H23N3O	2	189.3007000000	C9H23N3O		"{""core"": [], ""wildtype"": []}"			[]	
Nmtrp	N-Methyltryptophan	C12H14N2O2	0	218.2546000000	C12H14N2O2		"{""core"": [], ""wildtype"": []}"			[]	
Sfglutth	S-Formylglutathione	C11H16N3O7S	-1	334.3214000000	C11H16N3O7S		"{""core"": [], ""wildtype"": []}"			[]	
aacald	Aminoacetaldehyde	C2H6NO	1	60.0754000000	C2H6NO		"{""core"": [], ""wildtype"": []}"			[]	
aacoa	Acetoacetyl-CoA	C25H37N7O18P3S	-3	848.5803000000	C25H36N7O18P3S		"{""core"": [], ""wildtype"": []}"			[]	
aact	Aminoacetone	C3H8NO	1	74.1022000000	C3H8NO		"{""core"": [], ""wildtype"": []}"			[]	
ac	Acetate	C2H3O2	-1	59.0437000000	C2H3O2		"{""core"": [], ""wildtype"": []}"			[]	
acACP	Acetyl-ACP	C13H23N2O8PRS	-1	398.3647000000	C13H23N2O8PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
acac	Acetoacetate	C4H5O3	-1	101.0805000000	C4H5O3		"{""core"": [], ""wildtype"": []}"			[]	
acald	Acetaldehyde	C2H4O	0	44.0526000000	C2H4O		"{""core"": [], ""wildtype"": []}"			[]	
acanth	N-Acetylanthranilate	C9H8NO3	-1	178.1662000000	C9H8NO3		"{""core"": [], ""wildtype"": []}"			[]	
accoa	Acetyl-CoA	C23H35N7O17P3S	-3	806.5435000000	C23H34N7O17P3S		"{""core"": [], ""wildtype"": []}"			[]	
acetol	Acetol	C3H6O2	0	74.0784000000	C3H6O2		"{""core"": [], ""wildtype"": []}"			[]	
acg5p	N-Acetyl-L-glutamyl 5-phosphate	C7H9NO8P	-3	266.1211000000	C7H9NO8P		"{""core"": [], ""wildtype"": []}"			[]	
acg5sa	N-Acetyl-L-glutamate 5-semialdehyde	C7H10NO4	-1	172.1590000000	C7H10NO4		"{""core"": [], ""wildtype"": []}"			[]	
acgal	N-Acetyl-D-galactosamine	C8H15NO6	0	221.2075000000	C8H15NO6		"{""core"": [], ""wildtype"": []}"			[]	
acgal1p	N-Acetyl-D-galactosamine 1-phosphate	C8H15NO9P	-1	300.1785000000	C8H14NO9P		"{""core"": [], ""wildtype"": []}"			[]	
acgam	N-Acetyl-D-glucosamine	C8H15NO6	0	221.2075000000	C8H15NO6		"{""core"": [], ""wildtype"": []}"			[]	
acgam1p	N-Acetyl-D-glucosamine 1-phosphate	C8H15NO9P	-1	300.1785000000	C8H14NO9P		"{""core"": [], ""wildtype"": []}"			[]	
acgam6p	N-Acetyl-D-glucosamine 6-phosphate	C8H15NO9P	-1	300.1785000000	C8H14NO9P		"{""core"": [], ""wildtype"": []}"			[]	
acglc-D	6-Acetyl-D-glucose	C8H14O7	0	222.1916000000	C8H14O7		"{""core"": [], ""wildtype"": []}"			[]	
acglu	N-Acetyl-L-glutamate	C7H9NO5	-2	187.1501000000	C7H9NO5		"{""core"": [], ""wildtype"": []}"			[]	
acmalt	Acetyl-maltose	C14H24O12	0	384.3316000000	C14H24O12		"{""core"": [], ""wildtype"": []}"			[]	
acmana	N-Acetyl-D-mannosamine	C8H15NO6	0	221.2075000000	C8H15NO6		"{""core"": [], ""wildtype"": []}"			[]	
acmanap	N-Acetyl-D-mannosamine 6-phosphate	C8H15NO9P	-1	300.1785000000	C8H14NO9P		"{""core"": [], ""wildtype"": []}"			[]	
acmum	N-Acetylmuramate	C11H18NO8	-1	292.2622000000	C11H18NO8		"{""core"": [], ""wildtype"": []}"			[]	
acmum6p	N-acetylmuramate 6-phosphate	C11H18NO11P	-2	371.2332000000	C11H17NO11P		"{""core"": [], ""wildtype"": []}"			[]	
acnam	N-Acetylneuraminate	C11H18NO9	-1	308.2612000000	C11H18NO9		"{""core"": [], ""wildtype"": []}"			[]	
acolipa	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A	C181H317N3O103P4	-6	4307.3093000000	C181H314N3O103P4		"{""core"": [], ""wildtype"": []}"			[]	
acon-C	cis-Aconitate	C6H3O6	-3	171.0837000000	C6H3O6		"{""core"": [], ""wildtype"": []}"			[]	
acon-T	trans-Aconitate	C6H3O6	-3	171.0837000000	C6H3O6		"{""core"": [], ""wildtype"": []}"			[]	
aconm	E-3-carboxy-2-pentenedioate 6-methyl ester	C7H6O6	-2	186.1184000000	C7H6O6		"{""core"": [], ""wildtype"": []}"			[]	
acorn	N2-Acetyl-L-ornithine	C7H14N2O3	0	174.1986000000	C7H14N2O3		"{""core"": [], ""wildtype"": []}"			[]	
acser	O-Acetyl-L-serine	C5H9NO4	0	147.1291000000	C5H9NO4		"{""core"": [], ""wildtype"": []}"			[]	
actACP	Acetoacetyl-ACP	C15H25N2O9PRS	-1	440.4015000000	C15H25N2O9PRS		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
actp	Acetyl phosphate	C2H3O5P	-2	138.0147000000	C2H3O5P		"{""core"": [], ""wildtype"": []}"			[]	
ade	Adenine	C5H5N5	0	135.1295000000	C5H5N5		"{""core"": [], ""wildtype"": []}"			[]	
adn	Adenosine	C10H13N5O4	0	267.2437000000	C10H13N5O4		"{""core"": [], ""wildtype"": []}"			[]	
adocbi	Adenosyl cobinamide	C58H84CoN16O11	1	1240.3356000000	C58H84CoN16O11		"{""core"": [], ""wildtype"": []}"			[]	
adocbip	Adenosyl cobinamide phosphate	C58H83CoN16O14P	-1	1318.2987000000	C58H83CoN16O14P		"{""core"": [], ""wildtype"": []}"			[]	
adocbl	Adenosylcobalamin	C72H100CoN18O17P	0	1579.5980000000	C72H100CoN18O17P		"{""core"": [], ""wildtype"": []}"			[]	
adp	ADP	C10H13N5O10P2	-2	425.1857000000	C10H12N5O10P2		"{""core"": [{""mmol/gDCW"": -59.81, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": -59.81, ""location"": ""c""}]}"			[]	
adpglc	ADPglucose	C16H23N5O15P2	-2	587.3257000000	C16H23N5O15P2		"{""core"": [], ""wildtype"": []}"			[]	
adphep-DD	ADP-D-glycero-D-manno-heptose	C17H25N5O16P2	-2	617.3515000000	C17H25N5O16P2		"{""core"": [], ""wildtype"": []}"			[]	
adphep-LD	ADP-L-glycero-D-manno-heptose	C17H25N5O16P2	-2	617.3515000000	C17H25N5O16P2		"{""core"": [], ""wildtype"": []}"			[]	
adprib	ADPribose	C15H21N5O14P2	-2	557.2999000000	C15H21N5O14P2		"{""core"": [], ""wildtype"": []}"			[]	
ag	silver	Ag	1	107.8700000000	Ag		"{""core"": [], ""wildtype"": []}"			[]	
agdpcbi	Adenosine-GDP-cobinamide	C68H95CoN21O21P2	-1	1663.5055000000	C68H95CoN21O21P2		"{""core"": [], ""wildtype"": []}"			[]	
agm	Agmatine	C5H16N4	2	132.2094000000	C5H16N4		"{""core"": [], ""wildtype"": []}"			[]	
ahcys	S-Adenosyl-L-homocysteine	C14H20N6O5S	0	384.4090000000	C14H20N6O5S		"{""core"": [], ""wildtype"": []}"			[]	
ahdt	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	C9H12N5O13P3	-4	491.1378000000	C9H12N5O13P3		"{""core"": [], ""wildtype"": []}"			[]	
aicar	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	C9H14N4O8P	-1	337.2036000000	C9H13N4O8P		"{""core"": [], ""wildtype"": []}"			[]	
air	5-amino-1-(5-phospho-D-ribosyl)imidazole	C8H14N3O7P	0	295.1866000000	C8H12N3O7P		"{""core"": [], ""wildtype"": []}"			[]	
akg	2-Oxoglutarate	C5H4O5	-2	144.0816000000	C5H4O5		"{""core"": [], ""wildtype"": []}"			[]	
ala-B	beta-Alanine	C3H7NO2	0	89.0933000000	C3H7NO2		"{""core"": [], ""wildtype"": []}"			[]	
ala-D	D-Alanine	C3H7NO2	0	89.0933000000	C3H7NO2		"{""core"": [], ""wildtype"": []}"			[]	
ala-L	L-Alanine	C3H7NO2	0	89.0933000000	C3H7NO2		"{""core"": [{""mmol/gDCW"": 0.5137, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": 0.5137, ""location"": ""c""}]}"			[]	
alaala	D-Alanyl-D-alanine	C6H12N2O3	0	160.1718000000	C6H12N2O3		"{""core"": [], ""wildtype"": []}"			[]	
alac-S	(S)-2-Acetolactate	C5H7O4	-1	131.1063000000	C5H7O4		"{""core"": [], ""wildtype"": []}"			[]	
all-D	D-Allose	C6H12O6	0	180.1548000000	C6H12O6		"{""core"": [], ""wildtype"": []}"			[]	
all6p	D-Allose 6-phosphate	C6H12O9P	-1	259.1258000000	C6H11O9P		"{""core"": [], ""wildtype"": []}"			[]	
allolactose		C12H22O11	0	342.2948000000	C12H22O11		"{""core"": [], ""wildtype"": []}"			[]	
alltn	Allantoin	C4H6N4O3	0	158.1164000000	C4H6N4O3		"{""core"": [], ""wildtype"": []}"			[]	
alltt	Allantoate	C4H7N4O4	-1	175.1233000000	C4H7N4O4		"{""core"": [], ""wildtype"": []}"			[]	
allul6p	Allulose 6-phosphate	C6H12O9P	-1	259.1258000000	C6H11O9P		"{""core"": [], ""wildtype"": []}"			[]	
alpp	applipoprotein	C3H6NOR2S	1	104.1464000000	X		"{""core"": [], ""wildtype"": []}"		True	"[""EG10544-MONOMER[o]""]"	"Non-element in formula. Weight calculated for known elements.
"
altrn	D-Altronate	C6H11O7	-1	195.1459000000	C6H11O7		"{""core"": [], ""wildtype"": []}"			[]	
amet	S-Adenosyl-L-methionine	C15H23N6O5S	1	399.4437000000	C15H23N6O5S		"{""core"": [{""mmol/gDCW"": 0.000223, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": 0.000223, ""location"": ""c""}]}"			[]	
ametam	S-Adenosylmethioninamine	C14H24N6O3S	2	356.4426000000	C14H24N6O3S		"{""core"": [], ""wildtype"": []}"			[]	
amob	S-Adenosyl-4-methylthio-2-oxobutanoate	C15H19N5O6S	0	397.4041000000	C15H19N5O6S		"{""core"": [], ""wildtype"": []}"			[]	
amp	AMP	C10H13N5O7P	-1	346.2147000000	C10H12N5O7P		"{""core"": [], ""wildtype"": []}"			[]	
anhgm	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	C19H29N2O12	-1	477.4401000000	C19H29N2O12		"{""core"": [], ""wildtype"": []}"			[]	
anhgm3p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide	C34H52N6O19	-2	848.8078000000	C34H52N6O19		"{""core"": [], ""wildtype"": []}"			[]	
anhgm4p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide	C37H57N7O20	-2	919.8863000000	C37H57N7O20		"{""core"": [], ""wildtype"": []}"			[]	
anhm	1,6-anhydrous-N-Acetylmuramate	C11H16NO7	-1	274.2474000000	C11H16NO7		"{""core"": [], ""wildtype"": []}"			[]	
anhm3p	1,6-anhydrous-N-Acetylmuramyl-tripeptide	C26H39N5O14	-2	645.6151000000	C26H39N5O14		"{""core"": [], ""wildtype"": []}"			[]	
anhm4p	1,6-anhydrous-N-Acetylmuramyl-tetrapeptide	C29H44N6O15	-2	716.6936000000	C29H44N6O15		"{""core"": [], ""wildtype"": []}"			[]	
anth	Anthranilate	C7H6NO2	-1	136.1294000000	C7H6NO2		"{""core"": [], ""wildtype"": []}"			[]	
antimonite		O3Sb	-3	169.7470000000	O3Sb		"{""core"": [], ""wildtype"": []}"			[]	
ap4a	P1,P4-Bis(5'-adenosyl) tetraphosphate	C20H24N10O19P4	-4	832.3566000000	C20H24N10O19P4		"{""core"": [], ""wildtype"": []}"			[]	
ap5a	P1,P5-Bis(5'-adenosyl) pentaphosphate	C20H24N10O22P5	-5	911.3276000000	C20H24N10O22P5		"{""core"": [], ""wildtype"": []}"			[]	
apg120	acyl phosphatidylglycerol (n-C12:0)	C42H80O11P	-1	792.0570000000	C42H80O11P		"{""core"": [], ""wildtype"": []}"			[]	
apg140	acyl phosphatidylglycerol (n-C14:0)	C48H92O11P	-1	876.2178000000	C48H92O11P		"{""core"": [], ""wildtype"": []}"			[]	
apg141	acyl phosphatidylglycerol (n-C14:1)	C48H86O11P	-1	870.1704000000	C48H86O11P		"{""core"": [], ""wildtype"": []}"			[]	
apg160	acyl phosphatidylglycerol (n-C16:0)	C54H104O11P	-1	960.3786000000	C54H104O11P		"{""core"": [], ""wildtype"": []}"			[]	
apg161	acyl phosphatidylglycerol (n-C16:1)	C54H98O11P	-1	954.3312000000	C54H98O11P		"{""core"": [], ""wildtype"": []}"			[]	
apg180	acyl phosphatidylglycerol (n-C18:0)	C60H116O11P	-1	1044.5394000000	C60H116O11P		"{""core"": [], ""wildtype"": []}"			[]	
apg181	acyl phosphatidylglycerol (n-C18:1)	C60H110O11P	-1	1038.4920000000	C60H110O11P		"{""core"": [], ""wildtype"": []}"			[]	
apoACP	apoprotein [acyl carrier protein]	HOR	0	17.0069000000	RHO		"{""core"": [], ""wildtype"": []}"		True	"[""EG50003-MONOMER[c]""]"	"Non-element in formula. Weight calculated for known elements.
"
aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2	425.2638000000	C10H12N5O10PS		"{""core"": [], ""wildtype"": []}"			[]	
ara5p	D-Arabinose 5-phosphate	C5H10O8P	-1	229.1000000000	C5H9O8P		"{""core"": [], ""wildtype"": []}"			[]	
arab-L	L-Arabinose	C5H10O5	0	150.1290000000	C5H10O5		"{""core"": [], ""wildtype"": []}"			[]	
aragund	O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C71H115NO17P2	-2	1316.6275000000	C71H115N1O17P2		"{""core"": [], ""wildtype"": []}"			[]	
arbt6p	Arbutin 6-phosphate	C12H16O10P	-1	351.2224000000	C12H15O10P		"{""core"": [], ""wildtype"": []}"			[]	
arbtn	aerobactin minus Fe3	C22H33N4O13	-3	561.5177000000	C22H33N4O13		"{""core"": [], ""wildtype"": []}"			[]	
arbtn-fe3	Aerobactin	C22H33FeN4O13	0	617.3647000000	C22H33FeN4O13		"{""core"": [], ""wildtype"": []}"			[]	
arg-L	L-Arginine	C6H15N4O2	1	175.2105000000	C6H15N4O2		"{""core"": [{""mmol/gDCW"": 0.2958, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": 0.2958, ""location"": ""c""}]}"			[]	
argsuc	N(omega)-(L-Arginino)succinate	C10H17N4O6	-1	289.2663000000	C10H17N4O6		"{""core"": [], ""wildtype"": []}"			[]	
arsenate		HO4As	-2	139.9259000000	HO4As		"{""core"": [], ""wildtype"": []}"			[]	
ascb-L	L-Ascorbate	C6H7O6	-1	175.1153000000	C6H8O6		"{""core"": [], ""wildtype"": []}"			[]	
ascb6p	L-ascorbate-6-phosphate	C6H7O9P	-2	254.0863000000	C6H7O9P		"{""core"": [], ""wildtype"": []}"			[]	
asn-L	L-Asparagine	C4H8N2O3	0	132.1182000000	C4H8N2O3		"{""core"": [{""mmol/gDCW"": 0.2411, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": 0.2411, ""location"": ""c""}]}"			[]	
aso3	arsenite	H3O3As	0	125.9427000000	AsO3		"{""core"": [], ""wildtype"": []}"			[]	
aso4	arsenate	HO4As	-2	139.9259000000	AsO4		"{""core"": [], ""wildtype"": []}"			[]	
asp-L	L-Aspartate	C4H6NO4	-1	132.0944000000	C4H6NO4		"{""core"": [{""mmol/gDCW"": 0.2411, ""location"": ""c""}], ""wildtype"": [{""mmol/gDCW"": 0.2411, ""location"": ""c""}]}"			[]	
aspsa	L-Aspartate 4-semialdehyde	C4H7NO3	0	117.1033000000	C4H7NO3		"{""core"": [], ""wildtype"": []}"			[]	
athr-L	L-Allo-threonine	C4H9NO3	0	119.1191000000	C4H9NO3		"{""core"": [], ""wildtype"": []}"			[]	
