Frame ID	Name	pH 7.2 formula	pH 7.2 charge	pH 7.2 Weight	Feist formula	Media Concentration (mM)	Biomass information	Maximum exchange rate (mmol/gDSW/hr)	Fake metabolite	Equivalent enzyme frameId	Comments
14glucan	1,4-alpha-D-glucan	C36H62O31	0	990.8548000000	C36H62O31		"{""core"": [], ""wildtype"": []}"			[]	
15dap	1,5-Diaminopentane	C5H16N2	2	104.1954000000	C5H16N2		"{""core"": [], ""wildtype"": []}"			[]	
1agpe120	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P	0	397.4454000000	C17H36NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpe140	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P	0	425.4990000000	C19H40NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpe141	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P	0	423.4832000000	C19H38NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpe160	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P	0	453.5526000000	C21H44NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpe161	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P	0	451.5368000000	C21H42NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P	0	481.6062000000	C23H48NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P	0	479.5904000000	C23H46NO7P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpg120	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H36O9P	-1	427.4474000000	C18H36O9P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpg140	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P	-1	455.5010000000	C20H40O9P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpg141	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H38O9P	-1	453.4852000000	C20H38O9P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpg160	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H44O9P	-1	483.5546000000	C22H44O9P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpg161	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P	-1	481.5388000000	C22H42O9P1		"{""core"": [], ""wildtype"": []}"			[]	
1agpg180	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H48O9P	-1	511.6082000000	C24H48O9P1		"{""core"": [], ""wildtype"": []}"			[]	
