"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose minus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"EG10176"	3.78243333333	4.0737	3.78243333333	5.05083333333	7.79856666667
"EG10177"	2.4251	1.9974	2.4251	2.58396666667	4.183
"EG10178"	1261.55903333	1019.05793333	1261.55903333	854.831266667	321.216266667
"EG10179"	1032.95176667	573.5956	1032.95176667	536.461633333	227.6516
"EG10180"	1078.77183333	469.085366667	1078.77183333	466.816466667	220.926966667
"EG10181"	1216.6141	527.4128	1216.6141	532.705333333	242.110233333
"EG10182"	587.357433333	261.739333333	587.357433333	267.6079	170.8169
"EG10183"	8.76493333333	176.479966667	8.76493333333	481.6255	1001.1191
"EG10184"	136.702566667	113.1739	136.702566667	285.657633333	178.2043
"EG10185"	3.84086666667	85.7618666667	3.84086666667	182.457633333	615.687033333
"EG10186"	12.6163	292.894933333	12.6163	1027.7482	2343.23193333
"EG10187"	79.7422666667	88.3888666667	79.7422666667	94.5690666667	125.6584
"EG10188"	22.7268666667	25.7800333333	22.7268666667	29.3929666667	34.9693666667
"EG10189"	10.029	251.0576	10.029	380.326933333	1477.38606667
"EG10190"	8.69746666667	222.579933333	8.69746666667	353.177666667	1016.13143333
"EG10191"	10.4006666667	208.015666667	10.4006666667	428.3754	892.919766667
"EG10192"	265.166966667	1232.5809	265.166966667	3879.52506667	10966.7947333
"EG10193"	34.7333333333	188.036333333	34.7333333333	164.3289	390.466266667
"EG10194"	9.04353333333	193.258066667	9.04353333333	716.780766667	1904.47116667
"EG10195"	14.9519666667	130.8243	14.9519666667	714.044233333	882.254233333
"EG10196"	74.7744	82.8252	74.7744	77.2525	38.5614
"EG10197"	7.09086666667	80.1067333333	7.09086666667	285.826233333	351.793566667
"EG10198"	6.0137	116.3072	6.0137	280.883366667	399.173433333
"EG10200"	48.2161333333	56.5784	48.2161333333	44.0279	24.2756666667
"EG10201"	106.2001	134.0467	106.2001	107.685033333	90.6158666667
"EG10202"	18.6153666667	27.9647666667	18.6153666667	21.7941666667	20.197
"EG10203"	37.4103333333	43.6691666667	37.4103333333	82.6373666667	131.081766667
"EG10204"	100.832266667	112.638733333	100.832266667	92.5221333333	111.5547
"EG10205"	463.897466667	489.482233333	463.897466667	492.276233333	567.917933333
"EG10206"	77.766	140.752	77.766	52.589	80.2765333333
"EG10207"	410.070433333	530.822766667	410.070433333	383.250133333	449.197666667
"EG10208"	55.0780666667	45.2639	55.0780666667	58.7482	47.5410333333
"EG10209"	106.303666667	73.5340333333	106.303666667	68.1918333333	95.9899333333
"EG10210"	7.81476666667	15.9471	7.81476666667	7.14553333333	17.2061666667
"EG10211"	19.9183333333	34.9657	19.9183333333	23.8266666667	29.2113666667
"EG10212"	41.3093666667	65.9264666667	41.3093666667	68.0166333333	79.6147666667
"EG10213"	117.6569	33.0831333333	117.6569	129.826933333	78.6503
"EG10214"	115.743033333	110.3678	115.743033333	108.048733333	133.207966667
"EG10215"	204.103666667	192.712833333	204.103666667	45.5724666667	262.063433333
"EG10216"	45.5974666667	61.9752333333	45.5974666667	44.9533	87.7119333333
"EG10217"	211.083033333	321.6596	211.083033333	276.024933333	268.522833333
"EG10218"	66.9611333333	61.8759	66.9611333333	57.2312666667	63.9555333333
"EG10219"	30.9436333333	24.3554	30.9436333333	31.6582	129.152566667
"EG10220"	109.534666667	95.1402	109.534666667	142.26	500.323733333
"EG10221"	53.3183	31.1747333333	53.3183	33.9770666667	134.7433
"EG10222"	234.516533333	221.775433333	234.516533333	377.255533333	419.972966667
"EG10223"	34.6547333333	45.3275	34.6547333333	43.4940333333	46.3452
"EG10224"	32.9596333333	42.6306	32.9596333333	43.3890333333	43.1704333333
"EG10225"	35.5271	28.2616	35.5271	38.2362333333	27.1427
"EG10226"	143.308266667	165.912166667	143.308266667	107.217333333	195.031633333
"EG10227"	1.86516666667	1.6163	1.86516666667	3.12853333333	2.28143333333
"EG10228"	0.9059	0.658033333333	0.9059	1.10633333333	2.1064
"EG10229"	18.3791333333	32.1434666667	18.3791333333	22.3746666667	18.5215666667
"EG10230"	339.999866667	385.235466667	339.999866667	765.478633333	655.592233333
"EG10231"	83.8619333333	138.308333333	83.8619333333	171.104166667	186.905266667
"EG10232"	21.9465	1.8418	21.9465	3.0039	3.48103333333
"EG10233"	5.5541	2.74483333333	5.5541	4.26896666667	3.43433333333
"EG10234"	3.6025	3.85176666667	3.6025	5.8958	9.81073333333
"EG10235"	59.5871666667	111.137	59.5871666667	66.0749	76.6432
"EG10236"	80.9025333333	101.6355	80.9025333333	68.327	45.6476
"EG10237"	20.5438333333	26.8625333333	20.5438333333	33.7277	48.9173666667
"EG10238"	52.0887333333	61.794	52.0887333333	42.8079333333	34.1208666667
"EG10239"	52.3951333333	119.599633333	52.3951333333	64.6251333333	49.2158666667
"EG10240"	91.2988	89.0070333333	91.2988	83.4366	203.875366667
"EG10241"	689.079266667	391.9085	689.079266667	547.009566667	1795.27706667
"EG10242"	65.6326666667	90.3632	65.6326666667	62.1378666667	62.9312333333
"EG10243"	64.3689333333	70.7289666667	64.3689333333	59.9704	95.4856333333
"EG10244"	29.5130333333	30.0249666667	29.5130333333	33.3244	53.5014666667
"EG10245"	61.7767333333	76.7025666667	61.7767333333	56.2936333333	65.0872333333
"EG10246"	65.3228666667	280.098233333	65.3228666667	98.1269666667	45.2712
"EG10247"	84.9897	72.1418	84.9897	81.9662666667	80.3481666667
"EG10248"	580.0202	1008.0763	580.0202	581.863666667	393.695633333
"EG10249"	18.5714	9.4301	18.5714	12.0876333333	17.3494
"EG10250"	4.8202	3.63586666667	4.8202	3.34993333333	5.2291
"EG10251"	117.8011	172.891333333	117.8011	146.406166667	82.2522333333
"EG10252"	0.943133333333	1.36286666667	0.943133333333	2.11953333333	1.50206666667
"EG10253"	1.16083333333	0.447866666667	1.16083333333	1.71896666667	0.7253
"EG10254"	44.8154	17.9492666667	44.8154	19.2436333333	15.1716666667
"EG10255"	52.4674	12.201	52.4674	90.4010666667	106.1401
"EG10256"	95.5771333333	88.6913666667	95.5771333333	74.4034666667	145.1796
"EG10257"	50.9559	47.3535333333	50.9559	26.4321666667	52.9013
"EG10258"	1376.8761	1288.9209	1376.8761	760.429966667	2818.97806667
"EG10259"	501.0075	349.526066667	501.0075	278.716966667	197.792933333
"EG10260"	693.509166667	458.5576	693.509166667	408.303066667	246.8967
"EG10261"	331.697466667	448.939266667	331.697466667	439.403266667	196.125166667
"EG10262"	130.517733333	143.043933333	130.517733333	71.1914333333	30.9720666667
"EG10263"	407.122133333	348.098	407.122133333	335.6341	161.961333333
"EG10264"	418.125533333	321.947533333	418.125533333	314.437666667	542.0123
"EG10265"	492.050266667	592.988966667	492.050266667	529.553766667	837.078566667
"EG10266"	1.31196666667	0.942666666667	1.31196666667	1.40226666667	1.60096666667
"EG10267"	2.7114	2.232	2.7114	3.08193333333	4.79873333333
"EG10268"	5.40813333333	4.7738	5.40813333333	5.4189	5.46763333333
"EG10269"	30.7333	30.6674333333	30.7333	36.9850333333	34.2780333333
"EG10270"	99.8437666667	178.9389	99.8437666667	98.6256	129.5445
"EG10271"	986.497666667	877.2533	986.497666667	564.620833333	870.875333333
"EG10272"	643.997066667	626.649066667	643.997066667	391.376633333	529.401566667
"EG10273"	253.072266667	357.0293	253.072266667	473.3712	263.5718
"EG10274"	329.683733333	193.831166667	329.683733333	229.3797	642.1135
"EG10275"	420.704	669.1942	420.704	534.215566667	230.897
"EG10276"	248.2875	331.244566667	248.2875	264.352233333	126.872033333
"EG10277"	232.078933333	243.759666667	232.078933333	184.910666667	211.226733333
"EG10278"	4.3918	9.114	4.3918	10.9457666667	8.4158
"EG10279"	1.68386666667	11.2441	1.68386666667	12.5881333333	4.29516666667
"EG10280"	74.8087666667	54.5359	74.8087666667	92.8952666667	12.3178666667
"EG10281"	64.7084	72.8861	64.7084	44.7453666667	54.0856
"EG10282"	794.292633333	877.7725	794.292633333	713.541066667	1300.9571
"EG10283"	189.084	120.5746	189.084	155.689533333	102.7112
"EG10284"	60.2463333333	49.2419333333	60.2463333333	56.3362	61.9548333333
"EG10285"	8.35556666667	7.10733333333	8.35556666667	8.55473333333	6.96706666667
"EG10286"	83.8790666667	61.1007666667	83.8790666667	42.4038333333	134.829366667
"EG10287"	49.948	37.0878666667	49.948	28.3915666667	96.1573666667
"EG10288"	16.7586	13.9635333333	16.7586	9.94083333333	22.2348
"EG10289"	13.0820333333	11.1534666667	13.0820333333	8.44196666667	16.5044666667
"EG10290"	32.0620333333	31.8849	32.0620333333	25.3389	48.1209333333
"EG10291"	694.9156	627.8779	694.9156	411.888833333	709.105433333
"EG10292"	219.443066667	173.5461	219.443066667	119.765866667	261.4165
"EG10293"	674.1006	806.3707	674.1006	602.9078	155.530833333
"EG10294"	124.895433333	121.2632	124.895433333	108.118	105.194266667
"EG10295"	72.8926666667	68.0710333333	72.8926666667	57.954	62.842
"EG10296"	56.8024333333	40.6385333333	56.8024333333	37.8830333333	42.2111
"EG10297"	10.8192	11.0777333333	10.8192	6.24523333333	5.13746666667
"EG10298"	43.8722666667	37.2825333333	43.8722666667	34.9399666667	33.9179333333
"EG10299"	340.737266667	254.291	340.737266667	266.310566667	339.194733333
"EG10300"	139.710133333	119.700333333	139.710133333	94.0823333333	148.9321
"EG10301"	4.5126	5.02603333333	4.5126	5.81313333333	17.9345
"EG10302"	357.082266667	256.132133333	357.082266667	262.567533333	260.239566667
"EG10303"	26.1317666667	25.8516	26.1317666667	16.0162333333	19.4173666667
"EG10304"	81.4811	73.0489333333	81.4811	53.9904	65.3207333333
"EG10305"	48.6077	52.4952333333	48.6077	32.3284	37.0508666667
"EG10306"	220.993666667	197.129066667	220.993666667	266.163366667	132.103133333
"EG10307"	9.0481	22.7539666667	9.0481	17.2588666667	160.909
"EG10308"	598.389966667	2216.5262	598.389966667	1069.62086667	670.849833333
"EG10309"	88.9922333333	74.9061	88.9922333333	60.8618	12.6644
"EG10310"	26.1460666667	101.892	26.1460666667	25.7633	27.8659
"EG10311"	7.88113333333	33.4906333333	7.88113333333	9.2895	9.72486666667
"EG10312"	5.08956666667	8.87716666667	5.08956666667	8.3601	13.0342333333
"EG10313"	7.46396666667	20.0293666667	7.46396666667	6.47806666667	11.4444333333
"EG10314"	8.81266666667	28.8214	8.81266666667	8.29266666667	13.1368
"EG10315"	9.2124	26.7642	9.2124	9.22103333333	15.1193
"EG10316"	487.314766667	507.7143	487.314766667	364.947666667	452.844933333
"EG10317"	390.369	725.457766667	390.369	235.122066667	86.6791
"EG10318"	340.878566667	332.959966667	340.878566667	285.869233333	418.888366667
"EG10319"	57.3233666667	128.4098	57.3233666667	144.2137	18.6399
"EG10320"	88.7890666667	189.283033333	88.7890666667	200.5787	24.0114666667
"EG10321"	7734.90346667	9116.8089	7734.90346667	14611.6176333	6598.34073333
"EG10322"	505.410766667	485.0076	505.410766667	696.920033333	17.9085666667
"EG10323"	301.732166667	305.923966667	301.732166667	409.337666667	12.6318333333
"EG10324"	192.636833333	226.307266667	192.636833333	299.747366667	9.96066666667
"EG10325"	218.775266667	376.864966667	218.775266667	323.162666667	433.868
"EG10326"	36.8163333333	64.9703	36.8163333333	46.2413333333	49.4049
"EG10327"	54.8302333333	71.5054	54.8302333333	53.3775	43.9119
"EG10328"	169.074766667	168.127166667	169.074766667	126.895666667	143.945233333
"EG10329"	11.7878666667	14.6039	11.7878666667	7.94483333333	15.2112666667
"EG10330"	473.2465	10.8123	473.2465	29.9448666667	30.2858
"EG10331"	202.472266667	9.55843333333	202.472266667	29.5780666667	24.8240666667
"EG10332"	87.5769666667	8.70096666667	87.5769666667	26.7554	20.9028666667
"EG10333"	63.0654	11.2272333333	63.0654	22.8244666667	22.7737666667
"EG10334"	102.741066667	93.5132333333	102.741066667	90.0357333333	144.874466667
"EG10335"	690.483566667	543.6399	690.483566667	422.2196	681.473566667
"EG10336"	27.1781666667	21.5284	27.1781666667	32.5502	30.6830333333
"EG10337"	87.6807333333	17.9045666667	87.6807333333	23.5783666667	26.7594
"EG10338"	57.6473	72.1973333333	57.6473	61.2086	37.0694666667
"EG10339"	149.065166667	172.350366667	149.065166667	149.3282	183.914166667
"EG10340"	61.4036	63.8964666667	61.4036	67.4676666667	101.423433333
"EG10341"	64.4324333333	61.8460333333	64.4324333333	89.0367	75.9056333333
"EG10342"	131.948933333	121.309133333	131.948933333	102.947166667	125.423566667
"EG10343"	44.4648	38.0008666667	44.4648	26.867	36.4240333333
"EG10344"	60.0898666667	70.6855666667	60.0898666667	54.3402	72.3079
"EG10345"	39.4271333333	43.9091666667	39.4271333333	39.6477333333	55.3690333333
"EG10346"	73.6943666667	74.8929	73.6943666667	69.9022	85.9273333333
"EG10347"	315.0754	389.660233333	315.0754	478.831533333	718.672733333
"EG10348"	2.9838	2.3419	2.9838	14.2140666667	2.64246666667
"EG10349"	2.7	2.643	2.7	9.50576666667	2.94213333333
"EG10350"	6.73256666667	6.79656666667	6.73256666667	14.8406	10.2228666667
"EG10351"	4.63213333333	4.36976666667	4.63213333333	26.7998666667	5.09096666667
"EG10352"	1.07673333333	0.893133333333	1.07673333333	2.64406666667	0.818433333333
"EG10353"	22.7138666667	21.4359	22.7138666667	51.6925	21.9591333333
"EG10355"	26.0613	28.0501333333	26.0613	68.3615	54.1421
"EG10356"	26.1219	67.7279	26.1219	65.3808333333	38.3199333333
"EG10357"	8.4786	1.97056666667	8.4786	1.99476666667	2.88616666667
"EG10358"	10.3560666667	22.8427666667	10.3560666667	19.7448666667	52.4591
"EG10359"	512.8446	562.615166667	512.8446	498.940233333	596.390066667
"EG10360"	5225.0568	3649.8164	5225.0568	2548.45836667	1415.87396667
"EG10361"	3.44656666667	17.1476333333	3.44656666667	51.0768333333	120.335666667
"EG10362"	67.3004	41.8542333333	67.3004	60.0756666667	40.9952
"EG10363"	81.0143333333	73.8514333333	81.0143333333	119.331066667	64.9009666667
"EG10364"	39.8305333333	28.266	39.8305333333	21.3597666667	41.8331666667
"EG10365"	1.82666666667	6.6405	1.82666666667	7.7678	3.61966666667
"EG10366"	37.8704333333	31.0132666667	37.8704333333	43.6313333333	27.7650333333
"EG10367"	4616.98113333	4050.06183333	4616.98113333	3037.471	4758.39216667
"EG10368"	583.6021	217.3545	583.6021	162.397133333	216.2628
"EG10369"	82.3377666667	92.6618333333	82.3377666667	37.6066666667	420.055266667
"EG10370"	195.775333333	186.032633333	195.775333333	152.4537	238.0514
"EG10371"	166.7287	90.5736	166.7287	1058.32386667	870.315566667
"EG10372"	189.206833333	1321.1081	189.206833333	225.135933333	236.7338
"EG10373"	13.2873666667	8.67363333333	13.2873666667	9.41456666667	13.6734666667
