"Gene"	"M9 Glucose minus AAs"
"EG10001"	822.29
"EG10002"	354.5796667
"EG10003"	309.283
"EG10004"	1532.726667
"EG10006"	240.7433333
"EG10007"	819.242
"EG10008"	344.5256667
"EG10010"	62.20453333
"EG10011"	466.18
"EG10012"	686.339
"EG10013"	480.93
"EG10014"	1913.306667
"EG10015"	1601.886667
"EG10016"	374.3783333
"EG10017"	1281.106667
"EG10018"	298.6956667
"EG10020"	1206.936667
"EG10021"	870.8476667
"EG10022"	5745.963333
"EG10023"	6467.956667
"EG10024"	5633.123333
"EG10025"	4028.54
"EG10026"	780.9943333
"EG10027"	2143.503333
"EG10028"	948.34
"EG10029"	1243.609
"EG10030"	638.9603333
"EG10031"	2285.843333
"EG10032"	3439.543333
"EG10033"	639.418
"EG10034"	3536.83
"EG10035"	1231.323333
"EG10036"	777.337
"EG10037"	491.865
"EG10039"	858.7953333
"EG10040"	350.227
"EG10041"	442.5576667
"EG10042"	665.5643333
"EG10043"	763.037
"EG10044"	2271.45
"EG10045"	1134.6
"EG10046"	121.7191
"EG10047"	1356.246667
"EG10048"	1356.05
"EG10049"	154.4736667
"EG10050"	63.05453333
"EG10051"	2014.07
"EG10052"	157.245
"EG10053"	757.2673333
"EG10054"	285.48
"EG10055"	849.2923333
"EG10056"	235.225
"EG10057"	504.9923333
"EG10058"	195.8463333
"EG10059"	1005.98436385
"EG10060"	126.356
"EG10061"	1586.43
"EG10062"	803.2256667
"EG10063"	1677.273333
"EG10064"	3540.476667
"EG10065"	2610.31
"EG10066"	2204.513333
"EG10067"	2570.096667
"EG10068"	1641.62
"EG10069"	1754.726667
"EG10070"	1189.59
"EG10071"	919.9306667
"EG10072"	1358.236667
"EG10073"	3281.09
"EG10074"	2306.163333
"EG10075"	1981.61
"EG10076"	820.2123333
"EG10077"	1191.983333
"EG10078"	2697.813333
"EG10079"	4836.37
"EG10080"	876.7306667
"EG10081"	2915.24
"EG10082"	1617.773333
"EG10083"	387.1096667
"EG10084"	2488.353333
"EG10085"	164.6596667
"EG10086"	701.4196667
"EG10087"	1212.5
"EG10088"	3307.03
"EG10089"	339.7953333
"EG10090"	42.57103333
"EG10091"	532.3806667
"EG10092"	856.6893333
"EG10093"	216.8433333
"EG10094"	1338.383333
"EG10095"	559.2193333
"EG10096"	4309.93
"EG10097"	2277.456667
"EG10098"	5102.27
"EG10099"	4277.09
"EG10100"	2137.526667
"EG10101"	3249.136667
"EG10102"	6293.003333
"EG10103"	6194.773333
"EG10104"	4937.786667
"EG10105"	7723.083333
"EG10106"	3674.956667
"EG10107"	1434.396667
"EG10108"	4269.47
"EG10109"	606.7376667
"EG10110"	798.4556667
"EG10111"	1876.25
"EG10112"	834.5213333
"EG10113"	1776.93
"EG10114"	195.2643333
"EG10115"	76.6779
"EG10116"	149.8406667
"EG10117"	1878.286667
"EG10118"	1792.143333
"EG10119"	636.352
"EG10120"	673.491
"EG10121"	605.5413333
"EG10122"	690.787
"EG10123"	636.1153333
"EG10124"	511.4713333
"EG10125"	1936.576667
"EG10126"	882.4563333
"EG10127"	981.8606667
"EG10128"	543.236
"EG10129"	888.991
"EG10130"	436.8096667
"EG10131"	429.0343333
"EG10132"	219.3086667
"EG10133"	361.9286667
"EG10134"	3761.723333
"EG10135"	3701.766667
"EG10136"	862.8993333
"EG10137"	492.0976667
"EG10138"	494.398
"EG10139"	684.7166667
"EG10140"	658.787
"EG10141"	109.87
"EG10142"	212.807
"EG10143"	257.5826667
"EG10144"	342.3213333
"EG10145"	130.589
"EG10146"	178.5736667
"EG10147"	462.8236667
"EG10148"	216.758
"EG10149"	362.0646667
"EG10150"	521.117
"EG10151"	137.1713333
"EG10152"	234.0896667
"EG10153"	626.07
"EG10154"	332.1293333
"EG10155"	879.26
"EG10156"	2845.833333
"EG10157"	976.5433333
"EG10158"	2017.85
"EG10159"	1935.033333
"EG10160"	434.9803333
"EG10161"	172.353
