"Gene"	"M9 Glucose minus AAs"	"N-limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P-limited Glucose plus AAs"
"EG10001"	5.10338878034	6.54732290355	6.34695210029	2.90992971221	1.84697884756
"EG10002"	5.08317624752	5.08714132921	71.5795922248	47.8494072808	19.6471631991
"EG10003"	2.31849607792	2.34775094576	3.29585938414	5.77903020613	2.11123322334
"EG10004"	24.6567226026	30.1829098856	32.905427541	10.0099100122	5.88827343143
"EG10006"	0.156271313213	0.334937745459	3.60041497655	0.185064205075	0.107487689218
"EG10007"	1.87833935255	4.53975388797	1.79958603851	4.56318451997	1.06826214479
"EG10008"	1.04052378317	0.289426576757	1.55532553827	1.07556839082	0.232790979207
"EG10010"	0.598421222886	0.461943355113	0.357574369887	0.423280714578	0.331893301128
"EG10011"	2.88713292212	3.60961870747	5.82338880063	9.13787132561	9.83037054456
"EG10012"	1.06873508878	1.13670408198	5.94214560688	7.31342611435	1.79401776561
"EG10013"	2.68447431415	2.26320943132	1.2491945525	12.5200277996	3.41575728695
"EG10014"	0.414745817741	0.346100462294	0.302705208633	0.804389855729	0.424781367294
"EG10015"	12.2943467034	12.6787694182	29.7937186462	39.4299915372	26.3639592194
"EG10016"	0.457161853177	1.28807676919	1.40516316609	2.68150160607	0.351739055741
"EG10017"	5.44815840476	4.64024826922	3.31473119926	28.8948228187	3.89726538785
"EG10018"	2.37353842677	3.47824289884	4.32970963268	4.75564866799	2.83563774308
"EG10020"	22.7090767501	16.7737012695	13.9856604443	35.3692319342	21.0945401033
"EG10021"	11.1680713359	9.90736354049	2.4037506554	8.61152708022	3.71337568303
"EG10022"	171.246287496	35.1242908337	35.9304767534	481.034276257	62.3441912702
"EG10023"	199.026933657	326.576792935	59.8507875824	112.529687979	123.737955923
"EG10024"	40.619376933	16.8981220354	109.448344572	7.07231289348	39.4258538805
"EG10025"	54.0467238177	4.79466588652	90.8734265821	6.03157591541	53.7446828496
"EG10026"	6.50281042345	8.00249203519	4.71924709073	62.4261676572	2.46376827712
"EG10027"	31.1503285802	28.8608649293	27.1195251132	34.9111109079	31.4643413654
"EG10028"	3.05062457922	11.3198572787	11.5791389206	6.4774376773	12.9186264581
"EG10029"	0.522971264348	0.774344305418	1.40681088637	1.56631288169	8.70923766832
