"Gene"	"M9 Glucose minus AAs"	"N limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P limited Glucose plus AAs"
"G6963"	4.22333333333	3.43666666667	3.29	4.19666666667	3.68666666667
"G6964"	164.18	185.43	140.193333333	221.443333333	191.79
"G6966"	110.143333333	125.7	99.4366666667	57.4266666667	39.6266666667
"G6967"	28.4033333333	25.28	28.56	37.0	38.5333333333
"G6968"	463.073333333	419.68	408.973333333	680.863333333	110.62
"G6969"	84.2833333333	110.83	15.6166666667	81.8166666667	1024.61333333
"G6970"	29.64	36.83	7.35	28.76	341.373333333
"G6971"	0.766666666667	0.653333333333	0.89	0.743333333333	1.25666666667
"G6972"	10.4566666667	9.45666666667	5.87666666667	10.52	7.30333333333
"G6973"	143.093333333	127.496666667	122.526666667	141.86	151.763333333
"G6974"	0.0	0.0	18.84	11.7133333333	23.9166666667
"G6975"	21.8933333333	21.8	21.29	17.32	18.62
"G6976"	17.1033333333	16.7833333333	19.5633333333	18.02	21.68
"G6977"	7.89	7.64666666667	4.89666666667	5.42333333333	7.14333333333
"G6978"	68.0833333333	55.17	56.5	87.9766666667	147.62
"G6979"	86.79	101.91	96.54	106.42	140.463333333
"G6980"	150.17	180.376666667	94.0933333333	95.83	102.463333333
"G6981"	237.423333333	244.4	54.4533333333	149.206666667	1625.2
"G6982"	4.05666666667	0.72	1.79666666667	3.67666666667	16.0433333333
"G6983"	3.07	2.76666666667	2.09333333333	2.43333333333	15.91
"G6984"	5.29666666667	7.06	12.1233333333	15.7133333333	12.83
"G6985"	27.69	27.8866666667	20.1933333333	36.54	42.18
"G6986"	12.2233333333	9.45666666667	6.45666666667	24.1166666667	24.54
"G6987"	1.47	1.5	1.6	2.87333333333	1.79
"G6988"	1.67333333333	1.93	1.06	2.49333333333	2.23666666667
"G6989"	3.75666666667	3.64	2.14666666667	4.19333333333	4.28
"G6990"	57.77	69.1266666667	42.47	46.8433333333	57.97
"G6991"	78.6133333333	85.9266666667	33.6233333333	48.2133333333	27.0966666667
"G6992"	31.42	34.4466666667	17.4933333333	25.68	21.4166666667
"G6993"	247.516666667	250.886666667	199.126666667	244.673333333	136.713333333
"G6994"	47.2966666667	57.8466666667	23.6533333333	73.1466666667	157.966666667
"G6995"	142.36	188.603333333	126.246666667	169.803333333	245.293333333
"G6996"	5.01	4.33666666667	2.74	4.63	18.6633333333
"G6997"	51.2433333333	48.0533333333	26.35	45.9	59.09
"G6998"	27.7666666667	30.7433333333	11.4033333333	16.2066666667	8.68
"G6999"	3.72333333333	5.13333333333	3.02666666667	2.88666666667	1.49333333333
"G7000"	1786.48	1679.11	1621.59666667	1400.11	1331.97666667
"G7001"	100.946666667	113.696666667	143.566666667	97.6233333333	101.486666667
"G7002"	259.263333333	250.18	315.663333333	402.216666667	139.77
"G7003"	100.89	91.25	68.8733333333	91.4733333333	107.13
"G7004"	4.56	6.15	3.06333333333	4.48666666667	5.54666666667
"G7005"	446.426666667	473.833333333	328.94	342.44	335.85
