"Gene"	"M9 Glucose minus AAs"	"N limited Glucose minus AAs"	"M9 Glucose plus AAs"	"M9 Glycerol plus AAs"	"P limited Glucose plus AAs"
"EG10001"	58.6866666667	71.14	81.3633333333	45.1833333333	45.71
"EG10002"	115.996666667	81.0433333333	213.696666667	421.233333333	410.366666667
"EG10003"	48.1066666667	46.1033333333	37.3333333333	47.3	41.9366666667
"EG10004"	133.0	133.34	110.883333333	126.246666667	75.2333333333
"EG10006"	1.55333333333	2.19	12.14	2.04666666667	2.10333333333
"EG10007"	72.05	79.6766666667	24.13	33.25	30.2033333333
"EG10008"	4.09	4.10333333333	10.9866666667	5.95	3.40333333333
"EG10010"	2.10666666667	1.82	1.86666666667	2.0	2.69333333333
"EG10011"	80.1733333333	78.0966666667	76.2633333333	81.8466666667	74.8
"EG10012"	66.55	65.89	72.75	67.8233333333	50.37
"EG10013"	50.0133333333	55.27	32.5733333333	50.94	39.92
"EG10014"	5.27333333333	5.68666666667	4.86666666667	5.48	5.83333333333
"EG10015"	206.22	209.923333333	254.086666667	229.343333333	301.783333333
"EG10016"	2.6	2.32	2.71666666667	8.29666666667	4.43666666667
"EG10017"	252.546666667	244.75	260.41	217.033333333	205.716666667
"EG10018"	38.63	37.8666666667	34.94	41.16	40.0533333333
"EG10020"	215.666666667	205.2	215.723333333	259.09	362.32
"EG10021"	95.1033333333	92.1266666667	140.9	166.88	82.7233333333
"EG10022"	1603.62	1575.25666667	250.453333333	4711.54666667	552.613333333
"EG10023"	1516.11666667	1376.92	221.44	2913.26333333	648.216666667
"EG10024"	875.196666667	829.02	2404.18	115.36	1820.52666667
"EG10025"	600.183333333	575.936666667	1824.36	82.91	1369.75
"EG10026"	211.526666667	225.733333333	43.4766666667	369.76	61.38
"EG10027"	270.356666667	221.306666667	1023.19	204.376666667	316.776666667
"EG10028"	37.8666666667	52.3266666667	81.9166666667	34.4066666667	68.6633333333
"EG10029"	15.4566666667	15.5633333333	15.4133333333	14.3166666667	54.3933333333
"EG10030"	36.8966666667	42.7233333333	48.4933333333	50.2433333333	73.41
"EG10031"	852.036666667	808.766666667	1992.64666667	749.953333333	1773.08333333
"EG10032"	722.493333333	765.193333333	706.213333333	441.603333333	140.043333333
"EG10033"	40.4333333333	41.5866666667	18.29	238.823333333	147.473333333
"EG10034"	454.813333333	468.9	457.566666667	453.453333333	257.573333333
"EG10035"	220.816666667	298.06	27.2533333333	1003.64666667	46.51
"EG10036"	32.6966666667	38.4133333333	5.82	5.65	32.48
"EG10037"	7.76	7.61666666667	4.91666666667	6.56	19.6966666667
"EG10039"	287.38	278.32	192.836666667	246.113333333	281.903333333
"EG10040"	19.6233333333	17.82	20.19	19.98	11.11
"EG10041"	60.55	67.5066666667	125.09	66.9066666667	77.3833333333
"EG10042"	39.2466666667	44.35	44.62	39.4066666667	47.4666666667
"EG10043"	66.32	52.0966666667	79.45	114.203333333	233.77
"EG10044"	498.883333333	428.936666667	151.35	361.52	936.823333333
"EG10045"	119.103333333	123.17	76.92	108.183333333	65.7366666667
"EG10046"	7.34	6.35666666667	48.4733333333	10.2633333333	12.5533333333
"EG10047"	197.323333333	234.093333333	196.34	131.87	253.226666667
"EG10048"	53.1733333333	52.8933333333	41.6533333333	36.75	84.25
"EG10049"	10.7266666667	10.56	7.65	13.6666666667	79.0333333333
"EG10050"	10.5666666667	10.4133333333	14.7133333333	5.79	26.3166666667
"EG10051"	314.363333333	346.08	196.27	275.036666667	163.113333333
"EG10052"	3.79666666667	4.21666666667	3.52333333333	10.8566666667	5.79333333333
"EG10053"	1.84333333333	1.59333333333	1.70333333333	5.02666666667	2.71666666667
"EG10054"	28.1466666667	22.6	18.0733333333	42.1266666667	32.26
"EG10055"	1.23	1.42	1.82	5.58666666667	1.76333333333
"EG10056"	10.5766666667	9.16333333333	8.19666666667	12.0466666667	12.23
"EG10057"	5.49333333333	5.71333333333	4.09333333333	31.4066666667	3.65666666667
"EG10058"	13.06	11.7566666667	10.4433333333	22.4566666667	11.4133333333
"EG10059"	23.1933333333	20.0333333333	10.7433333333	24.31	27.1033333333
"EG10060"	11.3833333333	11.32	10.9133333333	8.78	15.5366666667
"EG10061"	660.793333333	597.336666667	633.503333333	774.146666667	1557.51
"EG10062"	51.3566666667	55.5233333333	103.32	65.2266666667	86.1566666667
"EG10063"	170.473333333	118.866666667	10.33	27.57	24.8866666667
"EG10064"	186.683333333	171.816666667	21.8666666667	62.4066666667	45.6566666667
"EG10065"	151.346666667	114.82	11.5433333333	37.6766666667	23.8133333333
"EG10066"	145.65	141.48	17.1833333333	27.27	26.9833333333
"EG10067"	220.03	215.076666667	15.58	48.3933333333	57.2666666667
"EG10068"	427.863333333	447.286666667	46.93	98.87	122.98
"EG10069"	141.38	132.28	7.58666666667	45.1766666667	12.74
"EG10070"	197.376666667	161.586666667	122.14	152.44	208.39
"EG10071"	144.3	145.246666667	80.6933333333	108.856666667	85.7066666667
"EG10072"	259.503333333	276.446666667	38.9733333333	157.953333333	185.59
"EG10073"	552.903333333	616.55	175.203333333	270.97	272.716666667
"EG10074"	276.883333333	304.806666667	193.26	235.6	228.74
"EG10075"	269.993333333	257.95	185.846666667	157.823333333	175.673333333
"EG10076"	75.3033333333	70.0033333333	36.7566666667	87.3033333333	90.9833333333
"EG10077"	42.2233333333	53.7233333333	39.7933333333	33.7333333333	89.99
"EG10078"	1076.65666667	997.126666667	31.8066666667	50.9433333333	52.6766666667
"EG10079"	1087.80666667	1208.85333333	447.556666667	308.52	644.91
"EG10080"	206.76	182.226666667	52.1566666667	164.633333333	75.89
"EG10081"	403.69	416.873333333	250.186666667	293.646666667	310.76
"EG10082"	437.023333333	506.363333333	166.83	156.45	54.5233333333
"EG10083"	40.74	49.1633333333	16.79	17.77	23.0733333333
"EG10084"	472.926666667	512.426666667	54.92	37.7666666667	62.7133333333
"EG10085"	8.22666666667	9.25	9.09333333333	10.42	12.1033333333
"EG10086"	6.85666666667	5.43666666667	6.94666666667	7.61	8.91666666667
"EG10087"	15.6666666667	15.1866666667	12.5533333333	17.7166666667	11.2866666667
"EG10088"	1259.62	1314.52	665.24	833.39	1066.52666667
"EG10089"	4.56	3.61	4.18333333333	4.90666666667	7.25
"EG10090"	2.55666666667	2.14333333333	1.49	3.26	2.3
"EG10091"	51.1833333333	116.453333333	492.756666667	33.2533333333	34.0266666667
"EG10092"	150.353333333	163.89	300.356666667	135.52	162.023333333
"EG10093"	19.3266666667	22.4933333333	26.9133333333	20.7533333333	25.48
"EG10094"	706.336666667	730.22	355.696666667	585.306666667	304.436666667
"EG10095"	46.29	45.4633333333	786.326666667	527.066666667	41.84
"EG10096"	1120.4	1116.75333333	469.383333333	1006.24333333	708.416666667
"EG10097"	241.27	240.583333333	192.243333333	245.526666667	310.523333333
"EG10098"	1935.18333333	1802.68333333	1936.62	2111.66333333	521.276666667
"EG10099"	875.71	860.013333333	582.543333333	870.143333333	231.293333333
"EG10100"	1187.99	1093.89333333	1310.42333333	1348.27	373.486666667
"EG10101"	1399.91666667	1305.01333333	1589.95666667	1566.27666667	493.236666667
"EG10102"	2564.33	2660.46	2319.05	3028.65	637.913333333
"EG10103"	2147.32666667	2184.55	2001.94666667	2344.64	523.833333333
"EG10104"	1736.61666667	1694.27	1973.66333333	2025.9	484.516666667
"EG10105"	1002.32333333	972.693333333	841.846666667	994.9	283.076666667
"EG10106"	511.47	612.87	268.486666667	418.906666667	69.4566666667
"EG10107"	314.95	369.366666667	204.226666667	157.743333333	178.736666667
"EG10108"	1324.88666667	1296.14666667	839.973333333	1219.67666667	495.826666667
"EG10109"	24.76	25.4166666667	29.4266666667	18.23	27.9333333333
"EG10110"	44.1733333333	40.9166666667	34.6466666667	38.7333333333	57.5466666667
"EG10111"	97.5766666667	90.4133333333	79.2533333333	83.0866666667	95.6533333333
"EG10112"	21.2666666667	20.9233333333	11.6833333333	13.5733333333	18.1366666667
"EG10113"	128.74	175.856666667	170.97	78.9533333333	244.126666667
"EG10114"	1.59666666667	1.75333333333	3.24	3.59666666667	1.45333333333
"EG10115"	26.4066666667	30.0333333333	27.6833333333	18.72	9.73333333333
"EG10116"	0.55	0.82	0.37	2.15	0.453333333333
"EG10117"	92.18	81.09	80.1033333333	120.89	311.21
"EG10118"	172.3	147.656666667	180.6	231.436666667	539.476666667
"EG10119"	66.31	59.3633333333	66.6966666667	78.3433333333	171.326666667
"EG10120"	98.5	99.58	106.833333333	114.836666667	230.153333333
"EG10121"	84.0433333333	78.8533333333	78.06	105.156666667	240.593333333
"EG10122"	27.59	28.2533333333	32.9	29.95	32.63
"EG10123"	42.2933333333	48.82	43.21	35.4833333333	51.0066666667
"EG10124"	44.4666666667	45.9066666667	36.57	37.4366666667	35.92
"EG10125"	292.183333333	300.283333333	181.063333333	364.403333333	1132.99666667
"EG10126"	100.57	116.066666667	112.583333333	79.0766666667	45.07
"EG10127"	23.2833333333	28.43	26.38	21.7733333333	17.98
"EG10128"	81.81	79.3566666667	45.9533333333	70.25	120.91
"EG10129"	81.8833333333	93.7766666667	54.6766666667	79.3433333333	168.743333333
"EG10130"	62.6233333333	66.6533333333	61.13	81.43	55.41
"EG10131"	3.15333333333	3.16333333333	3.45333333333	3.22333333333	7.45666666667
"EG10132"	1.04	0.716666666667	1.12333333333	1.08666666667	3.58333333333
"EG10133"	4.88666666667	5.75333333333	15.1066666667	4.24333333333	4.64333333333
"EG10134"	658.756666667	716.423333333	578.23	10.58	48.9433333333
"EG10135"	462.046666667	506.77	1051.99	11.2833333333	45.68
"EG10136"	79.4333333333	74.08	72.51	72.4666666667	127.65
"EG10137"	21.9033333333	20.44	37.0766666667	39.41	79.92
"EG10138"	25.4066666667	23.6566666667	28.1766666667	30.6	26.8033333333
"EG10139"	117.103333333	135.656666667	82.2833333333	90.95	95.9466666667
"EG10140"	27.4833333333	26.8566666667	29.71	27.0166666667	28.6266666667
"EG10141"	3.43666666667	3.52333333333	2.49	5.03333333333	4.13
"EG10142"	12.02	12.5933333333	15.0266666667	13.5966666667	15.9966666667
"EG10143"	10.93	10.6466666667	15.24	15.0333333333	17.3633333333
"EG10144"	5.07	5.25666666667	4.03333333333	5.05666666667	6.01666666667
"EG10145"	6.26666666667	6.04	4.25	5.51	9.39
"EG10146"	790.913333333	633.753333333	515.01	858.42	427.01
"EG10147"	177.46	184.0	129.513333333	122.926666667	90.8
"EG10148"	379.05	345.73	231.426666667	323.623333333	177.343333333
"EG10149"	1621.66666667	1368.02333333	1183.03333333	1678.3	987.39
"EG10150"	1255.48666667	1395.58333333	1075.17666667	911.836666667	641.073333333
"EG10151"	635.546666667	610.706666667	495.043333333	476.14	416.093333333
"EG10152"	79.5833333333	63.7366666667	116.786666667	196.75	213.436666667
"EG10153"	45.0866666667	43.4833333333	61.2666666667	44.81	91.86
"EG10154"	52.92	50.5033333333	77.2233333333	52.2666666667	81.0566666667
"EG10155"	3279.29666667	2400.49333333	2115.09	2318.56666667	195.256666667
"EG10156"	507.866666667	446.383333333	361.893333333	714.706666667	1308.7
"EG10157"	142.333333333	112.51	153.443333333	149.626666667	534.2
"EG10158"	456.533333333	434.803333333	588.943333333	547.013333333	649.826666667
"EG10159"	490.11	434.776666667	485.796666667	470.546666667	788.833333333
"EG10160"	41.7366666667	35.76	31.0833333333	123.116666667	25.8533333333
"EG10161"	1.92666666667	1.97333333333	1.51666666667	2.16	3.61666666667
"EG10162"	3.45	3.05333333333	1.94333333333	2.79	4.24
"EG10163"	91.8733333333	87.77	86.44	82.9166666667	105.713333333
"EG10164"	968.303333333	950.876666667	1211.96333333	1284.49	1079.86666667
"EG10165"	2087.80333333	1977.39666667	1593.95666667	1562.66666667	2222.47666667
"EG10166"	3581.12666667	9279.76666667	17495.6966667	1120.01333333	1095.57333333
"EG10167"	80.3233333333	81.8466666667	54.3666666667	213.673333333	31.2466666667
"EG10168"	83.4166666667	85.87	45.5133333333	61.4833333333	73.3966666667
"EG10169"	280.856666667	331.996666667	171.21	118.293333333	55.0866666667
"EG10170"	289.453333333	276.743333333	315.013333333	234.763333333	382.273333333
"EG10172"	148.96	163.21	185.423333333	191.916666667	107.676666667
"EG10173"	111.826666667	100.633333333	485.126666667	284.496666667	238.773333333
"EG10174"	133.206666667	120.806666667	325.863333333	311.256666667	294.763333333
"EG10175"	9.19	7.73333333333	6.1	7.51333333333	14.1
"EG10176"	6.92666666667	4.86333333333	4.55	7.11666666667	10.54
"EG10177"	2.85	2.47333333333	2.63666666667	3.27333333333	4.92
"EG10178"	1514.73666667	1516.40666667	1837.67	1339.20333333	456.906666667
"EG10179"	798.316666667	799.323333333	1372.19333333	774.776666667	303.693333333
"EG10180"	679.816666667	717.73	1585.96666667	735.98	299.446666667
"EG10181"	473.943333333	490.846666667	1067.97666667	520.76	257.34
"EG10182"	398.303333333	425.886666667	913.86	441.45	256.78
"EG10183"	292.063333333	283.26	14.1666666667	786.6	1477.16666667
"EG10184"	172.656666667	159.58	174.443333333	421.463333333	254.256666667
"EG10185"	108.893333333	114.436666667	5.26	251.03	815.506666667
"EG10186"	531.293333333	472.753333333	18.76	1647.00333333	3276.88
"EG10187"	132.176666667	130.796666667	116.476666667	144.966666667	173.95
"EG10188"	44.2133333333	41.3266666667	35.6166666667	47.7966666667	52.2533333333
"EG10189"	327.99	364.626666667	14.52	563.77	1986.68
"EG10190"	298.433333333	324.056666667	12.61	527.916666667	1365.84666667
"EG10191"	286.436666667	276.19	12.9233333333	587.863333333	1108.26
"EG10192"	2691.31333333	2076.93666667	433.49	6749.36666667	17044.67
"EG10193"	230.876666667	264.89	46.53	239.176666667	543.713333333
"EG10194"	357.74	315.153333333	13.99	1176.93333333	2820.68666667
"EG10195"	253.303333333	209.873333333	22.9966666667	1161.94333333	1311.37
"EG10196"	133.466666667	125.703333333	111.63	123.673333333	54.89
"EG10197"	104.076666667	93.48	8.80666666667	354.653333333	414.146666667
"EG10198"	209.663333333	198.063333333	9.33666666667	485.35	604.226666667
"EG10200"	69.6966666667	79.47	64.0066666667	61.94	30.32
"EG10201"	188.1	185.323333333	136.74	151.51	117.72
"EG10202"	45.8766666667	46.82	30.15	36.4766666667	29.2866666667
"EG10203"	78.46	69.0966666667	56.9433333333	138.436666667	193.826666667
"EG10204"	113.706666667	115.266666667	95.6566666667	85.5233333333	102.523333333
"EG10205"	660.466666667	642.67	601.27	669.99	721.526666667
"EG10206"	170.303333333	185.686666667	100.883333333	70.3966666667	104.973333333
"EG10207"	812.056666667	791.953333333	593.333333333	597.376666667	644.27
"EG10208"	68.5666666667	64.9266666667	79.6166666667	89.7533333333	56.75
"EG10209"	80.4366666667	83.5966666667	123.3	79.6033333333	105.813333333
"EG10210"	18.65	23.6866666667	10.1533333333	11.0766666667	23.7466666667
"EG10211"	58.5	57.0633333333	29.7	39.7166666667	41.45
"EG10212"	104.49	104.23	60.4666666667	106.543333333	111.6
"EG10213"	59.96	52.11	182.123333333	213.403333333	118.783333333
"EG10214"	156.68	163.413333333	167.866666667	165.56	177.976666667
"EG10215"	193.69	300.673333333	311.543333333	73.9966666667	370.876666667
"EG10216"	66.9866666667	76.5733333333	54.5833333333	58.9833333333	107.51
"EG10217"	526.343333333	518.46	327.03	469.873333333	393.473333333
"EG10218"	91.5133333333	86.9133333333	91.9566666667	82.45	83.4166666667
"EG10219"	40.9266666667	34.8733333333	44.4233333333	45.34	156.99
"EG10220"	154.893333333	133.173333333	147.793333333	206.523333333	693.28
"EG10221"	41.7033333333	35.53	58.5333333333	40.4	149.676666667
"EG10222"	455.146666667	374.183333333	378.26	664.226666667	670.96
"EG10223"	79.7966666667	74.2266666667	53.04	73.0433333333	68.0466666667
"EG10224"	80.6	76.15	59.04	87.79	73.5066666667
"EG10225"	37.16	37.0733333333	44.6733333333	51.53	32.4266666667
"EG10226"	366.793333333	436.843333333	354.726666667	283.376666667	457.17
"EG10227"	1.82	1.58666666667	5.63	4.33666666667	3.96333333333
"EG10228"	1.76333333333	0.836666666667	1.53333333333	2.01666666667	2.82
"EG10229"	38.5633333333	45.8166666667	25.0633333333	32.2533333333	24.91
"EG10230"	713.073333333	604.376666667	478.196666667	1204.47	961.12
"EG10231"	194.766666667	211.06	119.956666667	264.05	255.253333333
"EG10232"	2.83	2.73666666667	33.1966666667	4.96	5.0
"EG10233"	4.33	5.05666666667	9.37	7.56	5.86333333333
"EG10234"	5.90333333333	5.47333333333	5.63	9.69333333333	12.0933333333
"EG10235"	141.47	147.693333333	76.0566666667	93.7766666667	99.02
"EG10236"	134.85	141.663333333	97.83	101.0	62.6933333333
"EG10237"	37.9966666667	38.5233333333	27.57	50.1233333333	64.0766666667
"EG10238"	80.9733333333	88.4033333333	73.4566666667	62.1266666667	45.03
"EG10239"	156.72	182.586666667	77.6	102.6	66.25
"EG10240"	170.626666667	145.02	144.87	140.433333333	309.51
"EG10241"	867.816666667	638.496666667	1078.32	913.983333333	2625.81333333
"EG10242"	140.873333333	145.143333333	99.74	98.0433333333	89.9566666667
"EG10243"	99.2833333333	88.6066666667	78.64	80.4966666667	117.476666667
"EG10244"	46.3133333333	44.2766666667	40.13	48.2833333333	72.6366666667
"EG10245"	93.22	99.3	77.35	76.1366666667	85.9333333333
"EG10246"	451.713333333	387.943333333	87.1766666667	137.47	54.34
"EG10247"	140.363333333	127.683333333	138.646666667	140.93	112.523333333
"EG10248"	1845.24	1608.78	877.703333333	937.913333333	573.206666667
"EG10249"	16.1533333333	13.8433333333	26.8	18.8133333333	24.3166666667
"EG10250"	4.1	5.12	6.34666666667	4.73666666667	6.84333333333
"EG10251"	200.32	174.99	127.0	161.74	91.4466666667
"EG10252"	2.1	2.14666666667	1.42333333333	3.43333333333	2.08666666667
"EG10253"	1.08333333333	0.956666666667	1.95333333333	2.62666666667	0.816666666667
"EG10254"	25.4966666667	26.68	66.4466666667	28.2533333333	20.14
"EG10255"	16.4466666667	14.5266666667	65.3666666667	110.85	107.75
"EG10256"	156.786666667	147.67	154.543333333	130.84	231.813333333
"EG10257"	39.18	39.84	42.41	23.6666666667	44.8233333333
"EG10258"	2301.24666667	2082.43333333	2136.97333333	1275.62333333	4189.99
"EG10259"	577.173333333	434.153333333	624.936666667	370.246666667	248.93
"EG10260"	791.353333333	642.393333333	929.526666667	597.846666667	339.8
"EG10261"	909.276666667	597.63	425.086666667	615.173333333	264.993333333
"EG10262"	180.466666667	176.356666667	157.156666667	88.97	35.1733333333
"EG10263"	732.006666667	518.536666667	563.883333333	514.506666667	222.8
"EG10264"	710.533333333	529.333333333	651.74	529.216666667	803.47
"EG10265"	833.263333333	811.723333333	652.393333333	756.64	1075.68
"EG10266"	1.59333333333	1.39	2.22333333333	2.38666666667	2.36666666667
"EG10267"	4.16	3.59	4.22333333333	5.01666666667	7.05
"EG10268"	7.03	5.58666666667	6.44666666667	5.96333333333	6.22666666667
"EG10269"	48.4966666667	50.7833333333	47.75	60.5433333333	48.0966666667
"EG10270"	260.876666667	288.136666667	158.586666667	167.593333333	193.123333333
"EG10271"	1342.53666667	1316.83666667	1318.99333333	868.746666667	1175.74
"EG10272"	1404.73	1368.62333333	1334.17	864.21	992.016666667
"EG10273"	723.656666667	622.066666667	427.41	867.15	389.69
"EG10274"	400.52	287.416666667	467.453333333	344.886666667	884.666666667
"EG10275"	1061.92333333	1164.68333333	723.55	981.97	340.803333333
"EG10276"	547.83	534.516666667	394.41	445.74	187.84
"EG10277"	286.74	311.86	284.01	241.626666667	262.803333333
"EG10278"	12.9766666667	12.7733333333	4.54666666667	18.13	10.3066666667
"EG10279"	15.63	17.6066666667	2.66333333333	20.4166666667	6.07333333333
"EG10280"	82.2866666667	88.0633333333	118.286666667	156.473333333	17.6033333333
"EG10281"	92.7733333333	119.72	103.843333333	76.2666666667	74.5566666667
"EG10282"	1505.41666667	1433.88666667	1229.18666667	1207.09666667	1915.31333333
"EG10283"	208.823333333	183.366666667	285.893333333	244.58	148.293333333
"EG10284"	81.8133333333	76.4133333333	90.2266666667	92.7866666667	89.9566666667
"EG10285"	12.79	11.5966666667	12.4366666667	14.29	10.0666666667
"EG10286"	94.57	90.9	117.176666667	64.8866666667	185.703333333
"EG10287"	60.1766666667	52.84	69.55	40.2533333333	119.526666667
"EG10288"	27.9033333333	23.8233333333	25.9866666667	16.87	31.89
"EG10289"	14.89	13.0666666667	14.13	10.4666666667	19.6066666667
"EG10290"	53.87	53.95	49.0466666667	41.9933333333	68.46
"EG10291"	1121.15333333	1108.04333333	1196.24333333	757.58	1199.84333333
"EG10292"	308.61	273.036666667	332.396666667	196.203333333	381.84
"EG10293"	1495.84666667	1274.55666667	1023.44	979.003333333	227.406666667
"EG10294"	205.786666667	183.886666667	185.91	172.083333333	145.673333333
"EG10295"	108.516666667	106.353333333	107.45	90.63	89.5133333333
"EG10296"	62.1366666667	52.3233333333	68.7466666667	50.59	54.76
"EG10297"	11.74	12.1833333333	9.1	5.54333333333	3.13
"EG10298"	49.3733333333	41.4366666667	49.39	42.0133333333	38.2133333333
"EG10299"	440.783333333	350.416666667	447.806666667	371.473333333	426.13
"EG10300"	170.77	180.553333333	201.463333333	144.143333333	206.28
"EG10301"	8.38666666667	7.39	5.94	8.56666666667	24.0366666667
"EG10302"	424.203333333	392.626666667	527.513333333	411.79	362.53
"EG10303"	34.63	37.4733333333	35.3166666667	22.6166666667	25.84
"EG10304"	82.6366666667	80.0466666667	84.4433333333	63.6766666667	72.5833333333
"EG10305"	88.7166666667	93.7	82.7333333333	59.0766666667	58.7
"EG10306"	371.64	298.1	317.506666667	409.436666667	184.663333333
"EG10307"	34.2733333333	40.71	14.2633333333	28.84	235.033333333
"EG10308"	2281.24	2099.28666667	593.75	1130.04333333	714.55
"EG10309"	86.07	100.55	100.406666667	88.58	16.8366666667
"EG10310"	138.81	171.786666667	41.8966666667	43.5	41.6166666667
"EG10311"	44.1666666667	51.3233333333	11.4066666667	14.1933333333	13.0066666667
"EG10312"	6.0	8.01333333333	5.12	9.42666666667	15.1966666667
"EG10313"	37.1866666667	32.5466666667	11.1733333333	11.5833333333	16.0966666667
"EG10314"	42.97	50.68	15.78	14.8066666667	17.7833333333
"EG10315"	42.4266666667	40.6166666667	12.9833333333	13.2366666667	20.8
"EG10316"	763.386666667	728.636666667	671.283333333	531.703333333	595.533333333
"EG10317"	1196.87	1412.69666667	713.053333333	461.58	156.183333333
"EG10318"	522.846666667	558.166666667	563.59	491.413333333	606.873333333
"EG10319"	208.04	205.896666667	88.7133333333	242.48	27.8666666667
"EG10320"	317.713333333	325.32	143.676666667	365.586666667	42.0366666667
"EG10321"	17634.6266667	14536.1	11828.2366667	23815.9233333	9913.61333333
"EG10322"	516.286666667	540.76	534.273333333	848.623333333	21.33
"EG10323"	428.523333333	464.383333333	438.39	643.1	18.6466666667
"EG10324"	265.993333333	275.07	228.653333333	376.403333333	12.4966666667
"EG10325"	605.02	602.86	332.393333333	531.326666667	615.013333333
"EG10326"	83.64	93.4266666667	52.9766666667	72.9666666667	69.9533333333
"EG10327"	82.8333333333	88.04	56.7666666667	68.6366666667	49.3733333333
"EG10328"	225.7	215.163333333	205.31	175.92	184.036666667
"EG10329"	12.6366666667	17.3966666667	14.8366666667	9.48666666667	19.2633333333
"EG10330"	17.0166666667	16.6866666667	693.993333333	48.4	42.4666666667
"EG10331"	14.2833333333	13.5866666667	265.72	41.0566666667	30.1133333333
"EG10332"	11.4033333333	16.3366666667	141.0	45.7666666667	31.05
"EG10333"	19.98	24.6166666667	123.086666667	48.9066666667	43.2533333333
"EG10334"	125.61	133.953333333	139.673333333	132.673333333	187.713333333
"EG10335"	877.126666667	843.213333333	1015.00333333	667.366666667	945.58
"EG10336"	27.2566666667	31.8833333333	37.2	48.2466666667	41.56
"EG10337"	24.4333333333	26.4266666667	129.0	36.9	36.1466666667
"EG10338"	102.01	101.493333333	80.8866666667	92.6866666667	50.2733333333
"EG10339"	107.426666667	108.646666667	99.53	125.113333333	167.51
"EG10340"	100.57	100.056666667	90.3766666667	108.71	145.243333333
"EG10341"	110.17	101.53	102.093333333	150.413333333	112.9
"EG10342"	164.986666667	180.746666667	199.773333333	155.636666667	165.81
"EG10343"	56.2966666667	65.05	69.5833333333	45.7633333333	52.94
"EG10344"	90.6	109.726666667	88.27	84.5266666667	99.0433333333
"EG10345"	64.95	62.21	54.81	58.5766666667	73.6133333333
"EG10346"	108.52	107.353333333	103.523333333	105.386666667	121.82
"EG10347"	537.296666667	516.843333333	411.593333333	666.583333333	945.883333333
"EG10348"	2.96	2.98	4.01333333333	12.67	3.59333333333
"EG10349"	4.32333333333	4.34666666667	4.12333333333	15.72	4.28333333333
"EG10350"	10.15	8.96333333333	8.82	18.8033333333	11.9666666667
"EG10351"	6.59	7.02	7.34	45.82	7.47333333333
"EG10352"	1.39	1.59	1.59666666667	4.39	1.23
"EG10353"	35.9466666667	32.3533333333	31.2766666667	87.44	27.2966666667
"EG10355"	63.3366666667	45.2	45.12	126.04	90.5933333333
"EG10356"	66.07	99.6333333333	37.6466666667	96.8033333333	50.6566666667
"EG10357"	2.07333333333	2.60333333333	10.6566666667	2.50666666667	3.71666666667
"EG10358"	31.3533333333	35.5733333333	16.7566666667	31.3166666667	78.1933333333
"EG10359"	959.236666667	982.443333333	865.48	879.366666667	895.226666667
"EG10360"	5037.22666667	5139.63333333	7198.05333333	3690.35333333	1751.05333333
"EG10361"	22.85	28.01	5.71	85.9633333333	179.08
"EG10362"	65.3033333333	57.7933333333	86.55	83.6766666667	53.1566666667
"EG10363"	138.1	115.983333333	115.763333333	192.553333333	86.5933333333
"EG10364"	39.4	40.2333333333	57.87	32.0533333333	58.92
"EG10365"	7.66666666667	9.8	2.08	12.9066666667	4.47666666667
"EG10366"	50.51	47.4	52.55	70.1166666667	36.2633333333
"EG10367"	8217.17	7277.07666667	7888.78	5603.20666667	7754.18333333
"EG10368"	254.793333333	242.87	703.51	180.313333333	189.88
"EG10369"	149.773333333	152.256666667	128.966666667	61.1933333333	619.77
"EG10370"	280.42	305.383333333	306.363333333	256.586666667	350.496666667
"EG10371"	103.716666667	118.566666667	206.63	1433.43333333	1036.13666667
"EG10372"	1720.33	2060.99	286.186666667	359.02	342.383333333
"EG10373"	11.8433333333	14.3866666667	16.8733333333	9.91666666667	15.53
"EG10374"	25.5266666667	27.0333333333	7.22666666667	24.3833333333	70.6433333333
"EG10375"	76.6233333333	89.96	51.1466666667	51.6066666667	40.4266666667
"EG10376"	56.3533333333	68.3166666667	57.2633333333	42.0066666667	35.6833333333
"EG10377"	200.51	201.46	71.9233333333	223.89	407.323333333
"EG10378"	221.93	204.756666667	104.803333333	226.31	337.033333333
"EG10379"	338.486666667	376.623333333	141.866666667	394.083333333	511.92
"EG10380"	187.523333333	204.86	81.93	223.573333333	359.506666667
"EG10381"	174.37	177.166666667	75.1933333333	174.493333333	247.516666667
"EG10382"	336.276666667	318.586666667	370.206666667	336.996666667	309.083333333
"EG10383"	880.16	2438.69333333	952.91	226.666666667	58.9733333333
"EG10384"	273.98	229.966666667	192.53	226.833333333	161.0
"EG10385"	52.9666666667	122.613333333	76.71	26.0666666667	30.19
"EG10386"	459.07	461.856666667	615.256666667	871.173333333	443.76
"EG10387"	54.7766666667	137.56	76.7166666667	21.1866666667	21.87
"EG10388"	145.61	144.1	177.933333333	200.88	156.563333333
"EG10389"	170.006666667	167.96	211.096666667	203.763333333	153.57
"EG10390"	299.496666667	306.22	319.596666667	293.6	288.593333333
"EG10391"	33.2433333333	34.6866666667	954.676666667	223.89	17.0233333333
"EG10392"	31.42	33.3766666667	326.513333333	243.493333333	17.6766666667
"EG10393"	27.72	27.1833333333	76.2433333333	224.626666667	19.04
"EG10394"	1844.65333333	1931.89	2046.05666667	2740.53333333	4949.69
"EG10395"	122.536666667	119.223333333	80.05	111.19	146.61
