b0001	thrL
b0002	thrA	Hs	thrA1	thrA2	thrD	
b0003	thrB
b0004	thrC
b0005	yaaX
b0006	yaaA
b0007	yaaJ
b0008	talB	yaaK	
b0009	mog	bisD	chlG	mogA	yaaG	
b0010	yaaH
b0011	yaaW	htgA	htpY	
b0012	htgA
b0013	yaaI
b0014	dnaK	groPAB	groPC	groPF	grpC	grpF	seg	
b0015	dnaJ	faa	groP	grpC	
b0016	insL-1
b0017	yi82_1
b0018	mokC	gefL	
b0019	nhaA	ant	antA	
b0020	nhaR	antO	yaaB	
b0021	insB-1
b0022	insA-1
b0023	rpsT	sup(s20)	
b0024	yaaY
b0025	ribF	yaaC	
b0026	ileS	ilvS	
b0027	lspA
b0028	fkpB	slpA	yaaD	
b0029	ispH	lytB	yaaE	
b0030	rihC	yaaF	
b0031	dapB
b0032	carA	arg	cap	pyrA	
b0033	carB	cap	pyrA	
b0034	caiF
b0035	caiE
b0036	caiD	yaaL	
b0037	caiC	yaaM	
b0038	caiB	yaaN	
b0039	caiA	yaaO	
b0040	caiT	yaaP	
b0041	fixA	yaaQ	
b0042	fixB	yaaR	
b0043	fixC	yaaS	
b0044	fixX	yaaT	
b0045	yaaU	yabE	
b0046	kefF	yabF	
b0047	kefC	trkC	
b0048	folA	tmrA	
b0049	apaH	cfcB	
b0050	apaG	corD(S.t.)	temP	
b0051	rsmA	ksgA	
b0052	pdxA
b0053	surA
b0054	lptD	imp	ostA	yabG	
b0055	djlA	yabH	
b0056	yabP
b0057	yabQ
b0058	rluA	yabO	
b0059	hepA	rapA
b0060	polB	dinA	
b0061	araD
b0062	araA
b0063	araB
b0064	araC
b0065	yabI
b0066	thiQ	sfuC	yabJ	
b0067	thiP	sfuB	yabK	
b0068	tbpA
b0069	sgrR	yabN	
b0070	setA	yabM	
b0071	leuD
b0072	leuC
b0073	leuB
b0074	leuA
b0075	leuL	leuLP	
b0076	leuO
b0077	ilvI
b0078	ilvH	brnP
b0079	fruL
b0080	cra	fruC	fruR	fruS?	serR?	shl	
b0081	mraZ	yabB	
b0082	rsmH	mraW	yabC	
b0083	ftsL	mraR	yabD	
b0084	ftsI	pbpB	sep	
b0085	murE
b0086	murF	mra	
b0087	mraY	murX	
b0088	murD
b0089	ftsW
b0090	murG
b0091	murC
b0092	ddlB	ddl	
b0093	ftsQ
b0094	ftsA	divA	
b0095	ftsZ	sfiB	sulB	
b0096	lpxC	asmB	envA	
b0097	secM	srrA	yacA	
b0098	secA	azi	pea	prlD	
b0099	mutT	nudA	
b0100	b0100
b0101	yacG
b0102	zapD	yacF	
b0103	coaE	yacE	
b0104	guaC
b0105	b0105
b0106	hofC	hopC	yacD	
b0107	hofB	hopB	
b0108	ppdD
b0109	nadC
b0110	ampD
b0111	ampE
b0112	aroP
b0113	pdhR	aceC	genA	yacB	
b0114	aceE
b0115	aceF
b0116	lpd	dhl	lpdA	
b0117	yacH
b0118	acnB	yacI	yacJ	
b0119	yacL
b0120	speD
b0121	speE
b0122	yacC	gspS	
b0123	cueO	cuiD(S.t.)	yacK	
b0124	gcd
b0125	hpt
b0126	can	yadF	
b0127	yadG
b0128	yadH
b0129	yadI	agaX	
b0130	yadE
b0131	panD
b0132	yadD
b0133	panC
b0134	panB	panA(S.t.)	
b0135	yadC
b0136	yadK
b0137	yadL
b0138	yadM
b0139	htrE
b0140	yadV	
b0141	yadN
b0142	folK
b0143	pcnB
b0144	gluQ	yadB	
b0145	dksA	msmA	
b0146	sfsA	sfs	sfs1	
b0147	ligT	yadP	
b0148	hrpB	yadO	
b0149	mrcB	pbpF	ponB	
b0150	fhuA	T1	tonA	
b0151	fhuC
b0152	fhuD
b0153	fhuB
b0154	hemL	gsa?	popC	
b0155	clcA	eriC	yadQ	
b0156	erpA	yadR	
b0157	yadS
b0158	btuF	yadT	
b0159	mtn	mtnN	pfs	yadA	
b0160	dgt	optA	
b0161	degP	htrA	ptd	
b0162	cdaR	sdaR	yaeG	
b0163	yaeH
b0164	yaeI
b0165	b0165
b0166	dapD	ssa	
b0167	glnD
b0168	map	pepM(S.t.)	
b0169	rpsB
b0170	tsf
b0171	pyrH	smbA	umk	
b0172	frr	rrf	
b0173	dxr	ispC	yaeM	
b0174	ispU	rth	uppS	yaeS	
b0175	cdsA
b0176	rseP	ecfE	yaeL	
b0177	bamA	ecfK	omp85(N.m.)	yaeT	yzzN	yzzY	
b0178	hlpA	skp
b0179	lpxD	firA	omsA	ssc	
b0180	fabZ	sabA	sefA	sfhC	yaeA	
b0181	lpxA
b0182	lpxB	pgsB	
b0183	rnhB
b0184	dnaE	polC	sdgC	
b0185	accA
b0186	ldcC	ldc	LDC2	ldcH	
b0187	yaeR
b0188	tilS	mesJ	yaeN	
b0189	rof	mesJ	yaeO	
b0190	yaeQ
b0191	arfB	yaeJ	
b0192	nlpE	cutF	
b0193	yaeF	yaeK	
b0194	proS	drpA	
b0195	yaeB
b0196	rcsF
b0197	metQ	metD	yaeC	
b0198	metI	metD	yaeE	
b0199	metN	abc	metD	
b0200	gmhB	gmbC	gmbX	gmhX(N.m.)	wcbN	yaeD	
b0201	rrsH
b0202	ileV
b0203	alaV
b0204	rrlH
b0205	rrfH
b0206	aspU
