"rna id"	"ratio to 16SrRNA"
"alaX-tRNA[c]"	0.154
"valV-tRNA[c]"	0.0633
"trpT-tRNA[c]"	0.0633
"metY-tRNA[c]"	0.0633
"glyV-tRNA[c]"	0.06
"cysT-tRNA[c]"	0.1725
"ileX-tRNA[c]"	0.095
"glyU-tRNA[c]"	0.2167
"argX-tRNA[c]"	0.2167
"metW-tRNA[c]"	0.2167
"lysV-tRNA[c]"	0.06
"leuU-tRNA[c]"	0.06
"thrT-tRNA[c]"	0.2375
"gltV-tRNA[c]"	0.17
"alaV-tRNA[c]"	0.2375
"argV-tRNA[c]"	0.08
"alaW-tRNA[c]"	0.13
"leuV-tRNA[c]"	0.2375
"serU-tRNA[c]"	0.2375
"leuZ-tRNA[c]"	0.06
"leuW-tRNA[c]"	0.06
"glyX-tRNA[c]"	0.06
"hisR-tRNA[c]"	0.16
"glyY-tRNA[c]"	0.16
"RNA0-300[c]"	0.16
"serV-tRNA[c]"	0.32
"glyW-tRNA[c]"	0.075
"glnU-tRNA[c]"	0.09
"glnX-tRNA[c]"	0.075
"lysT-tRNA[c]"	0.09
"argY-tRNA[c]"	0.235
"tyrT-tRNA[c]"	0.235
"tyrU-tRNA[c]"	0.235
"valY-tRNA[c]"	0.235
"proK-tRNA[c]"	0.215
"argQ-tRNA[c]"	0.215
"leuQ-tRNA[c]"	0.2175
"proM-tRNA[c]"	0.2175
"gltW-tRNA[c]"	0.2175
"glnW-tRNA[c]"	0.2175
"valT-tRNA[c]"	0.13
"asnV-tRNA[c]"	0.115
"glnV-tRNA[c]"	0.115
"pheU-tRNA[c]"	0.115
"thrW-tRNA[c]"	0.1725
"ileV-tRNA[c]"	0.2225
"proL-tRNA[c]"	0.2225
"gltU-tRNA[c]"	0.2225
"argW-tRNA[c]"	0.19
"metZ-tRNA[c]"	0.2225
"gltT-tRNA[c]"	0.13
"metT-tRNA[c]"	0.38
"thrU-tRNA[c]"	0.23
"alaT-tRNA[c]"	0.0633
"argZ-tRNA[c]"	0.0633
"aspT-tRNA[c]"	0.0633
"serX-tRNA[c]"	0.07
"leuX-tRNA[c]"	0.07
"alaU-tRNA[c]"	0.095
"aspU-tRNA[c]"	0.095
"asnT-tRNA[c]"	0.095
"lysW-tRNA[c]"	0.105
"RNA0-306[c]"	0.105
"RNA0-305[c]"	0.18
"RNA0-304[c]"	0.14
"RNA0-303[c]"	0.12
"RNA0-302[c]"	0.04
"RNA0-301[c]"	0.26
"leuT-tRNA[c]"	0.07
"metU-tRNA[c]"	0.28
"asnU-tRNA[c]"	0.075
"valU-tRNA[c]"	0.075
"valX-tRNA[c]"	0.22
"argU-tRNA[c]"	0.18
"serW-tRNA[c]"	0.02
"valW-tRNA[c]"	0.11
"selC-tRNA[c]"	0.19
"glyT-tRNA[c]"	0.075
"aspV-tRNA[c]"	0.25
"serT-tRNA[c]"	0.075
"ileT-tRNA[c]"	0.154
"pheV-tRNA[c]"	0.154
"tyrV-tRNA[c]"	0.13
"ileU-tRNA[c]"	0.13
"leuP-tRNA[c]"	0.154
"thrV-tRNA[c]"	0.154
