Frame ID	Name	Neutral formula	What is this?	Cofactor frame ID	Import/export frame ID
hexACP	Hexanoyl-ACP (n-C6:0ACP)	C17H31N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
lpp	lipoprotein	XC16H30O1	lipoprotein	null	"[""G7644-MONOMER""]"
malACP	Malonyl-[acyl-carrier protein]	C3H3O3R	ACP	"[""EG50003-MONOMER""]"	null
myrsACP	Myristoyl-ACP (n-C14:0ACP)	C25H47N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
ocACP	Octanoyl-ACP (n-C8:0ACP)	C19H35N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
ocdcaACP	Octadecanoyl-ACP (n-C18:0ACP)	C29H55N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
octeACP	cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)	C29H53N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
palmACP	Palmitoyl-ACP (n-C16:0ACP)	C27H51N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
t3c11vaceACP	trans-3-cis-11-vacceoyl-[acyl-carrier protein]	C29H51N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
t3c5ddeceACP	trans-3-cis-5-dodecenoyl-[acyl-carrier protein]	C23H39N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
t3c7mrseACP	trans-3-cis-7-myristoleoyl-[acyl-carrier protein]	C25H43N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
t3c9palmeACP	trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]	C27H47N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
tddec2eACP	trans-Dodec-2-enoyl-[acyl-carrier protein]	C23H41N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
tdeACP	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	C25H45N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
tdec2eACP	trans-Dec-2-enoyl-[acyl-carrier protein]	C21H37N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
thex2eACP	trans-Hex-2-enoyl-[acyl-carrier protein]	C17H29N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
tmrs2eACP	trans-Tetradec-2-enoyl-[acyl-carrier protein]	C25H45N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
toct2eACP	trans-Oct-2-enoyl-[acyl-carrier protein]	C19H33N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
toctd2eACP	trans-octadec-2-enoyl-[acyl-carrier protein]	C29H53N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
tpalm2eACP	trans-Hexadec-2-enoyl-[acyl-carrier protein]	C27H49N2O8PRS	ACP	"[""EG50003-MONOMER""]"	null
trdox	Oxidized thioredoxin	X	thioredoxin	null	"[""OX-THIOREDOXINS-1"", ""OX-THIOREDOXINS-2"", ""OX-THIOREDOXINS-3""]"
trdrd	Reduced thioredoxin	XH2	thioredoxin	null	"[""RED-THIOREDOXINS-1"", ""RED-THIOREDOXINS-2"", ""RED-THIOREDOXINS-3""]"
trnaglu	tRNA (Glu)	R	Glu-tRNA	null	"[""gltT-tRNA"", ""gltU-tRNA"", ""gltV-tRNA"", ""gltW-tRNA""]"
