# id = reaction id, values = flux mmol/L/s
"id"	"average"	"distribution"
"TRANS-RXN0-461"	0.00017885597072550663	"[0.000176321878516315, 0.00014636001753822825, 0.00017075225599981497, 0.00018605111581800141, 9.80481041692027e-05, 0.00015908012851233082, 0.000177434870517154, 0.0001786444188516808, 0.0001844311285386934, 0.00025418921550113125, 0.0001969818449516668, 0.0001223753040293422, 9.304397025985534e-05, 0.00015090798556146304, 0.0001849383057775215, 0.0002769108359006162, 0.00016868160594250262, 0.00014889180501502383, 0.00021417671222822388, 0.00017074683043299306, 0.00021090538237452346, 0.00022066475229073925, 0.00017280692911244904, 0.00011561252585775636, 0.0001472242714854543, 0.000182560858778785, 0.00019790335548038892, 0.0001799072585563034, 0.00017595213891785904, 0.00012697727884111184, 0.00016924765218036172, 0.00022060441452216752, 0.00017295245619968608, 0.00012086757907228376, 0.00012286893809983372, 0.00019083330647230005, 0.00016487668818585663, 0.0001302308752730743, 0.00018362607728697895, 0.0002693477834361114, 0.00016282673166510294, 0.00017289032793950984, 0.00015194393515904892, 0.00018290658109856086, 0.00020204304753224157, 0.00013106130730775061, 0.00011981419430485847, 0.0001641414084235778, 0.00011818478598181334, 0.00012148106191178678, 0.0001553239175961316, 0.00015187128240551654, 0.0001912726795669488, 0.00011951319898652218, 0.00019943451329764903, 0.00017307682227690098, 0.00025506756195214025, 0.00026398542745754235, 0.00015610670940614102, 0.0002366414725606268, 0.0001359080722969865, 0.0001792431820861292, 0.00015883581238162537, 0.00015622922144523528, 0.0001648405798420196, 0.00026319798682936964, 0.00017280514233133226, 0.00019121414625615597, 0.00018478018206582742, 0.0002630940307213647, 0.0002376305409326852, 0.00019328111955034186, 0.00010104681619797338, 0.00012149828886960369, 0.00011606814329961595, 0.0001921361801849551, 0.00028201507518066, 0.00027683093925204234, 0.00013168945906468852, 0.00016167685791349489, 0.00011921987359445675, 0.00016443456810986615, 0.00012380617166467278, 0.0001342656705774475, 0.00014378846888639393, 0.00011279950385363327, 0.0001047101680858183, 0.00013496858112390495, 0.00018836746146375712, 0.00013930134726171937, 0.00010378746929465938, 0.0001118727188245724, 0.00027677513537796697, 0.0001775112214167355, 0.00014724391672319182, 0.00012601769164979692, 0.00018038470970802397, 0.00012816630108024733, 0.00010295128864102106, 0.00016525657395885567, 0.00019217260509317354, 0.00010953719331586174, 0.00012132185085163317, 0.0001209434559735929, 0.00017488663238013292, 0.00011138413659133795, 0.00018366068372598822, 0.00018040786195942029, 0.00012954749331002161, 0.00018384576980945178, 0.0002230165255619904, 0.00020155732488477446, 0.0002527249671723157, 0.0001748468309718395, 0.00023042035946927648, 0.000223344388270125, 0.00019269449538638687, 0.00010250352502458467, 0.00019406637498321777, 0.00013041300151499325, 0.00012145016729755138, 0.00016480100959397897, 0.00021683815449317922, 0.00025290475965446035, 0.00019533550757134835, 0.00020052905971996957, 0.00016159813274313245, 0.0001683626196443007, 0.00019161414100674296, 0.00020173069845812004, 0.0001379360809746988, 0.0001575949474045444, 0.00017133954678986713, 0.00010784056905767159, 0.00019347245443084078, 0.0001855961866243715, 0.00023341043199238726, 0.0002093646229277534, 0.00015862367303212443, 0.0001265868250485125, 0.00019449327166008292, 0.00019042556625188127, 0.0001656860088249189, 0.00020272286407962278, 0.00016039017195105274, 0.0002571112804238898, 0.00021756234299790634, 0.00019766041697107556, 0.00010922071168266835, 0.00021524649397912658, 0.00018604248052984468, 0.0002110246928808683, 0.00014483382582711017, 0.0001930961110703293, 0.00011424771189664656, 0.00016273214449237855, 0.00025995213972344075, 0.00013957552301929464, 0.0002096437563338364, 0.00018417934091522937, 0.0001370834309512439, 0.00020738557243239227, 0.00014057721111323566, 0.00017909074851827874, 0.00016305119603717732, 0.0001315546197253055, 0.00011083986280523129, 0.00014797966355063625, 0.00010872966885771906, 0.00010833962710953603, 0.00025315854569211245, 0.00019046984011330092, 0.0001921360502276212, 0.00011018403385809878, 0.00012561292968286917, 0.0001226926595428213, 0.00018246525698510023, 0.00018951455384101976, 0.0001793762217802772, 0.0001904884039517425, 0.00011847264225346025, 0.0002129162920037983, 0.0001534432351147828, 0.00011989368034178849, 0.00010528648591031883, 0.00015651770812481956, 0.00018136806483806716, 0.0002243106137174546, 0.00020742074707110484, 0.00013133510188420054, 0.00010974173780124915, 0.00013139976746351739, 0.00017040894181418034, 0.000258987168844929, 0.00012308538381449512, 0.00010055092285496553, 0.00013941798682959043, 0.00012951026715129365, 0.0001245147520586905, 0.00010340724900783805, 0.00018648152509713356, 9.382070661505116e-05, 0.00020663236089990455, 0.00010526226400602318, 0.00014789477941871685, 0.00011380783549853104, 0.00019434927223500325, 0.0002240426789823463, 0.0001706197038717622, 9.910487214651403e-05, 0.00012054993828739671, 0.0002842218319351965, 0.00017243285522742488, 0.00017794225198821932, 0.00014868202470967763, 0.00018990469762662088, 0.00016465223029209192, 0.00027638416609264286, 0.00021432470430247003, 0.00018272887586821466, 0.00025558007047057197, 0.00017620970974972926, 0.0002587238383041596, 8.696434603834476e-05, 0.00017190261831961348, 0.00012298142087607957, 0.00013832073984929683, 0.00021480068828302914, 0.00016510536043005703, 0.00012593056829373166, 0.0002393087595820331, 0.00015887947005938994, 0.00011549386355138874, 0.00016887652374102523, 0.00019571885045987833, 0.0001799229071842359, 0.00011982782794996471, 0.0002167004727560763, 0.00016128497694551955, 0.00022895169543949578, 0.0002462502424061491, 0.0001790372382115031, 0.00013221085643445115, 0.00018938823644734832, 0.0001974997329845508, 0.00019388234160704854, 0.00018593434313109888, 0.0002995731576167933, 0.00011498117708893605, 0.00018029526103191526, 0.00021305590686124726, 0.0001325233314353949, 0.00011226516756082788, 0.00018374840885791602, 0.0001355543000253322, 0.00017526949192628733, 0.00017819770167136188, 0.00017311213954634432, 0.00021828110503243383, 0.00013209462009479596, 0.00018934565405883384, 0.00019972503557189107, 0.00016996978592032376, 0.00013046137109294252, 0.00012612186727883, 0.00016108761588208117, 0.00021111722691157544, 0.00017006663785644973, 0.00022716919185539777, 0.00016268888525937907, 0.00011592793476412939, 0.00018456216975076942, 0.0001652218846299077, 0.0002190662267323395, 0.00023689023730229955, 0.0001881305126098918, 0.00024089759626497802, 0.00010365749558557808, 0.00012161798424468499, 0.0002358404296136416, 0.0001778062914559146, 0.0002087498590526792, 0.00021043724543249223, 0.00018404227070216285, 0.00021032041947738813, 0.00013119747926997237, 0.00025151011183723786, 0.0001677155302141737, 0.00019224336053249195, 0.00011347006291290116, 0.00010211552172491729, 0.0008294558885313443, 0.00017794890053622484, 0.00019287904555725878, 0.00020642759237113, 0.00017657700977411313, 0.00016378210583904243, 0.00015176605295768396, 0.00019644502689359473, 0.00016867207998038568, 0.00013639981294129422, 0.00012374338839748263, 0.00016765050860905793, 0.00021557559002657891, 0.00011548891055653187, 0.00025089566243358325, 0.0002257133986223445, 0.0001662217843751864, 0.00024412557033367567, 0.00018318835592531988, 0.00018117850547742185, 0.00010707071435101929, 0.00019262431024296607, 0.0001540279908146725, 0.00012647416600719045, 0.0001044640582006066, 0.00019960340384489298, 0.0002688344025499859, 0.0001031637140718119, 0.00018532748535824646, 0.00011419757078385081, 0.000273454086203315, 0.0002062035401245347, 0.00018421581521605213, 0.0002467524757100064, 0.0002318281976919384, 0.00010604676014310964, 0.0001020460042149108, 0.00010689103238158184, 8.566103869171526e-05, 9.9599907071591e-05, 0.00015776160773282367, 0.0001741340639777166, 0.00023935977357923577, 0.00019023118155834292, 0.00015851494995569167, 0.00016141510891727183, 0.00015534119923030527, 0.00018654929218194012, 0.0005576907161238275, 0.0001407138521418296, 0.00019379909252484893, 0.00014602826779356256, 0.00016608045497774304, 0.0002801208317364482, 0.0002187423715364583, 0.0001829443405224094, 0.0002224057934633026, 0.00011123646623045252, 0.00011822251386452688, 0.00010789159912345944, 0.00011146027764122957, 0.0001667336087209074, 0.00020893007494121005, 0.00024807019023325225, 0.00015720994680228144, 0.00016621985367926438, 0.00012051392130829016, 0.00016545327778356671, 0.0001838006149976286, 0.0002661585553597717, 0.00023919246646858354, 0.0001678159604512254, 0.0001028368808932292, 0.00022078447363674811, 0.0001514489726548747, 0.00019286354701485015, 0.00019555535309163778, 0.00015908178382227845, 0.00013269611164575364, 0.00017470946941238008, 0.00010998105198238167, 0.00024410489971525958, 0.00011615132409138537, 0.00017049606513593065, 0.00020132877460650906, 0.00017423970636911597, 0.00017025030848755992, 0.0001831830217769388, 0.00016420517106358683, 0.00019390210299359532, 0.00019093792316598074, 0.00011146410817052858, 0.00028128120200355904, 0.00023703858973970134, 0.0001386376896887514, 0.0001723824748227338, 0.0001818876881523283, 0.0001989853772630075, 0.0002128754215058179, 0.00016016924177453338, 0.00012730196701587769, 0.00013726581613209322, 0.0002017101801895155, 0.0001699567010392458, 8.554143517669291e-05, 0.00010678443085670409, 0.00013133924420412788, 0.000244228753277937, 0.00018741427545882592, 0.00019193513277632047, 0.00017104609258106608, 0.0001893112978467426, 0.00016797422702291375, 0.0001410042877927686, 0.00017973917768537495, 0.00017817608207245793, 0.00011350246874100666, 0.00015227467240605235, 0.00012774514489393422, 0.00027093337750587145, 0.0001910384587993346, 0.0002001608805355261, 0.0002178977592007774, 0.001194400916676821, 0.00011126708234376385, 0.000200967280918542, 0.00018439745042606848, 0.00019723450870975793, 0.00016570148458545003, 0.0002066340961454748, 0.00019540366033875186, 0.00017987309971570235, 0.00011799613739422509, 0.00018658190850649723, 0.0002648432372904138, 0.0002464357686222868, 0.00015406224516141762, 0.0001147325012184426, 0.00015635488326519922, 0.00015896846473984353, 0.00017897382814715108, 0.00023723417472430096, 0.00012980772263648089, 0.00011983940371286955, 0.00021749505564693775, 0.0001365669151426111, 0.00022864815669396225, 0.00020420472969504325, 0.00016926585762179334, 0.00019211302255457002, 0.00012163742540186722, 0.00017965583997045991, 0.00016469004105305722, 0.00015265381836643076, 0.00018926020538224795, 0.00010748221822791114, 0.0002028375254860738, 0.0001829946469180135, 0.00017242219443991207, 0.0002033582814454898, 0.00015520589586436815, 0.00015056858512329586, 0.00020261623672132584, 0.0002482140256904317, 0.00022696991089529237, 0.00017041529848465758, 0.0002241775750868206, 0.0002188385360461722, 0.00011568652143436319, 0.00026283646204884815, 0.00021906299482541116, 0.00013925302805783103, 0.00015058858796382688, 0.0001662115408631266, 0.00020472901062302943, 0.00016737353946591897, 0.00017431617553707496, 0.00011645120110696204, 0.0001576969351288936, 0.00010605145643000355, 0.00017927328294791483, 0.00013540832604587818, 0.00012073097410096729, 0.00016556328001446629, 0.00025466162834686477, 0.0001836902725156005, 0.00020014197699151358, 0.00020281678449620138, 0.00013950483553272768, 0.00021133375272174712, 0.00023494484985456536, 0.00019006063699218822, 0.00011598947376145498, 0.0002112012931738694, 0.00016029225775465576, 0.0002527625224663745, 0.0001611806989314433, 0.00017709074414424655, 0.00016954377242134832, 0.0002347834644846545, 0.00012629709920129514, 0.00018070839249776605, 0.00019500365922150303, 0.00019498740846486104, 0.00011228038476834723, 0.00042360360504777294, 0.00015185301127164266, 0.00018806382804036222, 0.00023290650330049076]"
"ABC-8-RXN-ATP/CPD0-2190/WATER//ADP/CPD0-2190/Pi/PROTON.45."	0.0	"[]"
"TRANS-RXN0-507"	0.0	"[]"
"TRANS-RXN0-506"	0.0	"[]"
"TRANS-RXN0-505"	0.0	"[]"
"TRANS-RXN0-288-CPD0-1445/PROTON//CPD0-1445/PROTON.35."	0.0	"[]"
"3.6.3.39-RXN-CPD0-937/ATP/WATER//CPD0-937/ADP/Pi/PROTON.43."	0.0	"[]"
"TRANS-RXN0-500"	0.00037800904815081434	"[6.43618948591744e-06, 7.162996180411802e-06, 5.189041052382772e-06, 3.88542864784373e-06, 0.0003906394970013637, 5.041231697767835e-06, 5.286854818692637e-06, 1.5433230713621486e-06, 0.003768730479699299, 5.975141745428508e-06, 7.533364741786231e-06, 5.891851395553328e-06, 0.003338087255128868, 4.405148532539991e-06, 0.0035175917334214477, 7.68040977475155e-06, 4.591723057499587e-06, 2.9446997812566212e-06, 7.192773064960824e-06, 6.666712515213132e-06, 8.187094383117126e-06, 5.000117066612574e-06, 7.350165021250109e-06, 0.0019538778594155965, 8.783857322094337e-06, 4.676708692702264e-06, 2.4202899962753777e-06, 4.57458111961779e-06, 5.128023439000289e-06, 0.0005998646781917672, 5.702925211017027e-06, 3.832128619593499e-06, 3.5833901127686307e-06, 5.275231488417311e-06, 0.0033434496216657138, 7.082143293836742e-06, 0.002073306182536563, 3.522671360413451e-06, 4.386996780794481e-06, 2.4153494205694667e-06, 0.00067448902066269, 6.058499060483079e-06, 6.533248877839909e-06, 1.947100782117661e-06, 4.450255070723768e-06, 5.416342197389016e-06, 7.3979734467528e-06, 5.3952060648792155e-06, 6.722544456876617e-06, 6.193956359606037e-06, 4.761500697627386e-06, 7.057378664426701e-06, 8.637447899734676e-06, 4.628265129545039e-06, 0.003539662988227052, 5.6953006158185995e-06, 4.169670642179258e-06, 1.4231728544551178e-06, 0.003798717619699372, 6.595208171761713e-06, 1.3471290481803675e-06, 0.0011515315661421808, 6.196950500573083e-06, 3.846559040763734e-06, 6.442494200288313e-06, 3.816378476939423e-06, 0.003231866113726622, 5.45163677175237e-06, 0.0033260771269825245, 4.315684870514627e-06, 5.17398264392268e-06, 6.47359874339931e-06, 6.876475623878793e-06, 1.591122715243546e-06, 2.1060415341326203e-06, 5.625148266703632e-06, 5.719986599943547e-06, 5.941323216850217e-06, 4.837780341311813e-07, 1.0297808898559515e-05, 4.674819181049067e-05, 0.001985445794592976, 7.69144857928906e-06, 7.5766140219422635e-06, 7.177659446001394e-06, 0.000874841151516927, 2.203740099660743e-06, 8.956960213617459e-06, 1.1586866481972639e-06, 7.978821451850652e-06, 7.253658512343573e-06, 2.4044333904948566e-06, 3.0030700642196762e-06, 6.174115140785491e-06, 3.165542896903214e-06, 1.0101385895715634e-05, 6.971741589652235e-05, 6.508039943407427e-06, 7.019277700211626e-06, 0.00026430104653094624, 8.003107976317093e-06, 5.57615901155865e-06, 5.805334010583284e-06, 4.638517574566115e-06, 2.523646457815802e-06, 0.002324631160414684, 0.00036323231291466494, 5.3683262210555205e-06, 4.048277663352801e-06, 6.4446916119780745e-06, 7.320722570447458e-06, 5.225202885253772e-06, 0.00349484078610902, 3.7759396009412533e-06, 0.00015388169377106796, 2.2053130578762544e-06, 1.379444609267747e-06, 5.953736168826901e-06, 9.331766307716755e-07, 2.87143745796787e-06, 2.7559461004580654e-06, 5.489760687970338e-06, 4.0755585634581e-06, 5.411228463793794e-06, 2.7797694265132167e-06, 5.347595799534973e-06, 3.7734435631757423e-06, 6.5066320276092885e-06, 5.246229216702551e-06, 3.3758560488849114e-06, 5.2094991974936764e-06, 3.099563468484898e-06, 6.818984077004201e-06, 4.772522334657081e-06, 3.2345298287891436e-06, 6.945851996273339e-06, 2.2053823631998614e-06, 5.164940902281287e-06, 6.2955205253586405e-06, 6.163709183581378e-06, 5.16867508514797e-06, 6.923511310922281e-06, 6.636153351264885e-06, 4.786940877159733e-06, 3.224944197206402e-06, 7.382026322793151e-06, 4.461599874027995e-06, 5.678488545599102e-06, 5.248082215532314e-06, 5.944344302489089e-06, 5.530065026116034e-05, 0.003644565109357424, 5.441387051317672e-06, 0.0027088159125779263, 7.2044348891333906e-06, 0.00334951154700533, 0.003308038265417606, 4.704461152596933e-06, 4.336624588909746e-06, 1.0238059119355298e-05, 8.959296625633974e-06, 6.026927020755665e-06, 3.275622416195251e-06, 2.3474234799861284e-06, 2.9909893489599866e-06, 0.003792552763405052, 6.327050684721077e-06, 5.362866645555559e-06, 3.816256464886002e-06, 5.530677433704124e-06, 7.5152497570839075e-06, 2.1865309138433314e-06, 0.0, 4.505837587425184e-06, 0.0008964199644995849, 2.7767295496027046e-06, 5.299350703847484e-06, 2.358116941282904e-06, 6.381234054814404e-06, 4.719069450030514e-06, 7.191478098198442e-06, 6.8877567454352865e-06, 0.0021583544542844823, 6.309268427182111e-06, 4.2170119221062995e-06, 4.193203220557673e-06, 6.689421815114952e-06, 3.740158530321961e-06, 6.270677958310484e-06, 2.274998718978986e-06, 1.5442207390241365e-06, 0.0003813692065733561, 3.2679278387693643e-06, 5.498995852212503e-06, 5.180344881677879e-06, 7.35808308567335e-06, 3.095751224766954e-06, 7.020113121000264e-06, 8.724433253333476e-06, 7.665328625968662e-06, 0.003396439552352042, 4.0702257846434705e-06, 4.2642173301382906e-06, 5.616609434544547e-06, 5.667261321599776e-06, 6.798361036852931e-06, 4.574917708754833e-06, 0.0023267969039522836, 0.003484233260669101, 6.220013253307181e-06, 4.40961176657626e-06, 6.762050114127053e-06, 3.499195788846089e-06, 4.604369366882771e-06, 0.0005631249221867972, 5.83569353715287e-06, 6.790965806481431e-06, 9.09429390185935e-06, 7.5603011455732106e-06, 5.520170337571925e-06, 5.767506949632427e-06, 6.285106275520912e-06, 5.91633699791596e-06, 5.324790907942665e-06, 4.838784043280246e-06, 4.890703717967908e-06, 5.846415146432278e-06, 0.00041798071402295955, 7.570183777531057e-06, 7.589751335689086e-06, 2.8316318354504603e-06, 4.418156874403577e-06, 0.0007601917049622572, 1.1351187027375622e-05, 3.55207548432025e-06, 5.643301685815688e-06, 6.081266621376924e-06, 3.7543576168518255e-06, 0.0036107653969667014, 0.0002345618160636638, 4.4623340882028225e-06, 5.527964541225172e-06, 5.3310295915631166e-06, 5.2994746238216006e-06, 1.7754884137966336e-06, 0.00013102945785240964, 3.593860506330228e-06, 4.9693318315650895e-06, 6.31727970053771e-06, 5.4480060387094895e-06, 6.33696964819779e-06, 7.668898649530453e-06, 6.8032506420196885e-06, 5.938359930195179e-06, 6.847483477467954e-06, 6.576468984272138e-06, 3.5783462189193334e-06, 4.085020488245087e-06, 4.852721933803127e-06, 0.0021378143378019254, 5.603144157776932e-06, 4.58263295427127e-06, 0.0037785977707576264, 4.451484974329577e-06, 4.918232953948255e-06, 2.1852040508222034e-06, 0.00046353314736566586, 5.523186147885563e-06, 7.91717231430887e-06, 2.013084444213641e-06, 6.053519058785776e-06, 5.12692636891168e-06, 0.001458724655932191, 6.82972254936497e-06, 0.0023187005187136457, 6.25471145975777e-06, 4.198234782768392e-06, 5.700491827766125e-06, 3.1018977519969835e-06, 0.0023162126571880004, 0.00047242021394986323, 0.0037280836531058963, 4.586677651221535e-06, 9.435347941843113e-06, 4.570206157073319e-06, 2.4742370559459827e-06, 5.395013224054737e-06, 7.63782529537143e-06, 6.228425894257525e-06, 6.586255284445208e-06, 3.7447780553197382e-06, 4.112252474942795e-06, 3.7348809201231915e-06, 1.4150679953409537e-05, 2.1511245513004077e-06, 4.684390265517639e-06, 7.859371510546656e-06, 2.6978833023229277e-06, 4.500910354327131e-06, 3.190178200502962e-07, 0.0007906125543910744, 5.057317688934563e-06, 7.83405665749627e-06, 6.403628911301785e-06, 3.734619747598931e-06, 8.473669065926843e-06, 1.1975027332804704e-06, 3.939221737713491e-06, 0.003668505624568095, 0.0003413795506545021, 4.239067451955541e-06, 8.44907539329329e-06, 8.94145951420188e-06, 3.6773635515863032e-06, 6.274747553346918e-06, 3.3168403548870428e-06, 3.183137178645833e-06, 3.958386409142e-06, 6.186788102646897e-06, 4.355781120023742e-06, 4.142883159602044e-06, 0.00010015639817534612, 6.684047473085898e-06, 6.235050985401044e-06, 2.560525417862953e-06, 2.122337230691071e-06, 0.00022966480209547617, 6.511298115139256e-06, 0.0, 2.143932693738897e-06, 7.402050026347738e-06, 0.0020424599260970753, 5.718761651223273e-06, 8.241568823598085e-06, 6.521799739719403e-06, 5.0083662924287176e-06, 6.326812226036714e-06, 0.0020095019428960515, 5.076282889300046e-06, 7.848189320581185e-06, 4.231864901059992e-06, 0.0004650919751799497, 8.895509290278575e-06, 0.0010446743741929936, 6.144564676250732e-06, 0.0035296564747090984, 5.437552550439095e-06, 5.132527066039003e-06, 2.3168780312377527e-06, 0.0005935101859916133, 2.474579130653223e-06, 7.787443871991592e-06, 3.352841397873671e-06, 3.172971391817773e-06, 5.989299579831743e-06, 5.558055249794916e-06, 5.0561063876640875e-06, 2.381575300690698e-06, 6.833480436827828e-06, 2.1509738850026553e-06, 4.822252081788106e-06, 3.100976168798389e-06, 0.0016579774668064545, 3.6463847511923127e-06, 5.972157455828778e-06, 2.626278674475187e-06, 0.003383699165308443, 0.00219307123606016, 2.5614668788287157e-06, 7.935632890493132e-06, 7.982173592719415e-06, 4.410451944446182e-06, 6.041267215143892e-06, 3.832466007694819e-06, 6.212371902385863e-06, 4.421513263686928e-06, 7.477870636004306e-06, 4.159462352485967e-06, 6.468297955194171e-06, 4.809140191532486e-06, 6.903909457887603e-06, 6.574906878423556e-06, 1.8937557915211502e-06, 6.845494428029529e-06, 6.372731593064288e-06, 5.026161088261699e-06, 0.0012272222987478908, 6.756251425089608e-06, 0.0037104923070010814, 9.05821680041699e-06, 0.003713890533821576, 5.091434984677018e-06, 6.0847293457973346e-06, 5.360714465257094e-06, 6.112711065641222e-06, 3.3720715783041165e-06, 2.8012437068471358e-06, 1.7534744302530132e-06, 7.243504967388237e-06, 7.142344181552834e-06, 6.370333729179584e-06, 0.00024966583189212473, 2.8987821727446125e-06, 8.049135352911739e-07, 6.105402382678986e-06, 3.7416800765511095e-06, 5.604433432302509e-06, 5.7234696788568135e-06, 9.440248982077793e-06, 6.75700738503478e-06, 3.041024937091199e-06, 7.341604665885915e-06, 3.518842923975163e-06, 8.086993147983007e-06, 3.289085020004287e-06, 6.066362298110936e-06, 7.2955676355844465e-06, 5.634946737213376e-06, 4.4683861130003365e-06, 9.392276172000324e-06, 5.384619249721817e-06, 0.0036536943145034874, 7.722429263965612e-06, 0.0003615125335726402, 2.146239048398984e-06, 0.0032820822390748883, 8.022231847230113e-06, 6.022473126999477e-06, 6.0425902814548204e-06, 8.254691136329993e-06, 5.061227232242638e-06, 4.504328983703993e-06, 5.114511375884183e-06, 0.0035159480432948773, 4.238469501927369e-06, 5.5459754055794954e-06, 4.691714365906706e-06, 8.088784828557687e-06, 0.0018974834509511659, 7.2747222569523135e-06, 3.7278039087636374e-06, 7.876545166220061e-06, 4.33557396762249e-06, 3.1727302792887836e-06, 3.344485548030577e-06, 2.5557532945035047e-06, 5.608296396344671e-06, 7.87632590807095e-06, 5.162012359685731e-06, 2.561327925389701e-06, 6.090627291523971e-06, 5.2737284626974835e-06, 5.449086033113885e-06, 0.0035785841020857198, 5.093237108590321e-06, 0.003273564841997028, 4.307981676468151e-06, 3.657550946004686e-06, 5.604725118658729e-06, 4.864836912192722e-06, 6.2791740597679726e-06, 6.992018054250878e-06, 6.013869279978035e-06, 2.1365633915955627e-06, 5.611135594868083e-06, 4.647384454204533e-06, 7.435463715956255e-06, 7.2374321337981015e-06, 0.0037032599942684904, 0.0019543589427402338, 0.0037987437640112894, 6.743942029700745e-06, 5.70023347149789e-06, 2.2969455314789206e-06, 4.889222595699235e-06, 2.563214981966609e-06, 6.944576288195232e-06, 6.907262388022948e-06, 0.003530575560704615, 5.045347263615513e-06, 0.0010824393500623397, 9.801458508766687e-06, 2.384137589394064e-06, 4.116138501623564e-06, 5.245916712500974e-06, 5.610627630585995e-06, 3.494901306533798e-06, 4.537306544442542e-06, 6.669774987048506e-06, 5.791714494522998e-06, 6.644202613083836e-06, 3.282546444424607e-06, 8.814816517577652e-06, 3.1640513246365236e-06, 3.753887343761404e-06, 3.4724795692138717e-06, 5.906102504130794e-06, 5.234663323604627e-06, 1.0117483469025937e-05, 6.638252036988973e-06]"
"TRANS-RXN-106"	0.0	"[]"
"TRANS-RXN-104"	0.0	"[]"
