rpsM
rpsQ
rpsU
rpsO
rpsJ
rpsD
rpsL
rpsE
rpsA
rpsB
rpsF
rpsP
rpsS
rpsT
rpsH
sra
rpsI
rpsG
rpsK
rpsC
rpsR
rpsN
rplK
rplR
rpmJ
rplP
rplO
rpmH
rplM
rplU
rplN
rplX
rpmI
rpmC
rplJ
rplQ
rpmB
rplI
rpmE
rpmG
rpmD
rpmA
rplF
rplV
rplW
rplY
rpmF
rplA
rplT
rplB
rplE
rplS
rplD
rplL
rplC
