Gene	mRNA level (RPKM)	Translation efficiency (AU)
lon	410	1.03
lpcA	196	1.63
lpd	2090	1.65
lplA	29	1.31
lplT	29	0.27
lpp	40322	2.27
lptA	153	0.84
lptB	143	0.79
lptC	129	0.31
lptD	202	0.86
lptE	349	0.31
lptF	152	0.48
lptG	142	0.42
lpxA	695	0.28
lpxB	182	0.17
lpxC	901	0.5
lpxD	637	0.51
lpxH	141	0.12
lpxK	86	0.24
lpxL	46	1.56
lpxM	50	1.2
lpxP	[5]	NA
lpxT	56	1.07
lrhA	84	0.88
lrp	261	1.44
lspA	331	0.27
lsrA	[0]	NA
lsrB	[1]	NA
lsrC	[0]	NA
lsrD	[1]	NA
lsrF	[1]	NA
lsrG	[2]	NA
lsrK	[2]	NA
lsrR	[5]	NA
ltaE	36	1.45
luxS	304	2.52
lysA	66	1.54
lysC	42	0.73
lysP	217	0.84
lysR	11	0.57
lysS	620	1.97
lysU	64	1.97
lyxK	[2]	NA
maa	51	0.51
macA	17	1.01
macB	21	0.35
maeA	64	1.6
maeB	60	1.55
mak	21	1.7
malE	21	2.43
malF	6	0.33
malG	[4]	NA
malI	[6]	NA
malK	[2]	NA
malM	[4]	NA
malP	31	1.86
malQ	24	0.72
malS	[3]	NA
malT	80	0.36
malX	6	0.72
malY	19	0.73
malZ	8	0.84
manA	63	2.3
manX	182	1.03
manY	221	0.94
manZ	250	0.81
map	371	1.96
marA	40	2.23
marB	39	0.53
marC	17	0.7
marR	22	0.3
matA	[1]	NA
matB	[4]	NA
matC	[1]	NA
matP	32	1.46
mazE	65	1.01
mazF	50	0.39
mazG	41	1.07
mcbA	[2]	NA
mcbR	[3]	NA
mcrA	[7]	NA
mcrB	20	1.28
mcrC	[7]	NA
mdaB	76	2.92
mdfA	38	0.6
mdh	354	2.07
mdlA	25	0.23
mdlB	18	0.3
mdtA	10	0.73
mdtB	8	0.38
mdtC	6	0.33
mdtD	[4]	NA
mdtE	[1]	NA
mdtF	[2]	NA
mdtG	[4]	NA
mdtH	[2]	NA
mdtI	[12]	NA
mdtJ	[11]	NA
mdtK	55	0.93
mdtL	[7]	NA
mdtM	[5]	NA
mdtN	[0]	NA
mdtO	[0]	NA
mdtP	[1]	NA
melA	[4]	NA
melB	[2]	NA
melR	[3]	NA
menA	81	0.89
menB	126	2.37
menC	79	0.58
menD	30	0.43
menE	45	0.33
menF	34	0.37
menH	43	0.09
mepA	69	0.7
metA	22	1.1
metB	55	0.26
metC	23	1.96
metE	19	2.25
metF	12	1.24
metG	220	2.29
metH	39	1.1
metI	203	0.41
metJ	253	2.01
metK	890	1.98
metL	71	1.05
metN	173	1.03
metQ	313	1.93
metR	17	1.3
mfd	44	1.03
mglA	8	0.5
mglB	22	1.03
mglC	[8]	NA
mgrB	107	0.67
mgsA	111	2.41
mgtA	39	0.56
mgtL	421	0.61
mhpA	[1]	NA
mhpB	[1]	NA
mhpC	[1]	NA
mhpD	[1]	NA
mhpE	[2]	NA
mhpF	[1]	NA
mhpR	[8]	NA
mhpT	[3]	NA
miaA	430	0.08
miaB	228	1.74
minC	153	0.43
minD	258	1.6
minE	267	1.04
mioC	264	0.61
mipA	616	2.61
mlaA	248	1
mlaB	220	0.57
mlaC	234	1.73
mlaD	189	0.91
mlaE	156	0.42
mlaF	136	0.61
mliC	[8]	NA
mlrA	[2]	NA
mltA	97	0.71
mltB	35	2.01
mltC	46	0.66
mltD	183	0.32
mltF	17	0.32
mmuM	9	0.87
mmuP	[5]	NA
mngA	[0]	NA
mngB	3	0.44
mngR	19	1.19
mnmA	183	0.92
mnmC	26	0.68
mnmE	90	0.9
mnmG	214	0.83
mntH	29	0.36
mntR	55	0.89
moaA	77	0.27
moaB	93	1.11
moaC	98	1
moaD	92	0.86
moaE	87	0.79
mobA	22	0.41
mobB	21	0.56
mocA	[3]	NA
modA	29	2.02
modB	23	0.19
modC	18	0.24
modE	27	1.88
modF	19	0.49
moeA	62	1.63
moeB	54	0.46
mog	98	1.58
mokB	[11]	NA
mokC	[0]	NA
motA	[1]	NA
motB	[1]	NA
mpaA	13	0.67
mpl	162	1.21
mppA	31	1.13
mprA	408	2.66
mqo	98	1.22
mqsA	38	0.9
mqsR	48	0.08
mraY	162	0.42
mraZ	264	0.06
mrcA	63	0.68
mrcB	74	0.54
mrdA	92	0.27
mrdB	95	0.35
mreB	548	1.59
mreC	231	0.25
mreD	136	0.21
mrp	216	1.88
mrr	39	0.85
msbA	148	0.54
mscL	138	1.57
mscM	33	0.82
mscS	248	1.32
msrA	23	1.62
msrB	102	2.33
msyB	[12]	NA
mtfA	14	0.83
mtgA	31	0.12
mtlA	40	0.81
mtlD	65	1.01
mtlR	58	0.31
mtn	249	1.95
mtr	12	0.43
mug	27	1.28
mukB	138	0.68
mukE	124	0.62
mukF	112	0.43
murA	296	1.26
murB	102	0.69
murC	128	0.75
murD	133	0.51
murE	172	0.51
murF	129	0.54
murG	94	0.42
murI	105	0.73
murJ	60	0.86
murP	7	0.3
murQ	12	1.8
murR	[5]	NA
mutH	15	0.61
mutL	73	0.17
mutM	59	0.89
mutS	61	1.33
mutT	31	1.56
mutY	64	0.6
mzrA	58	0.62
nac	[1]	NA
nadA	210	1.65
nadB	119	1.5
nadC	40	2.05
nadD	45	0.55
nadE	92	2.79
nadK	23	0.73
nadR	54	0.59
nagA	59	0.64
nagB	51	2.11
nagC	60	0.65
nagD	109	1.48
nagE	101	0.93
nagK	55	0.25
nagZ	61	1.11
nanA	9	2.69
nanC	[1]	NA
nanE	[7]	NA
nanK	[6]	NA
nanM	[3]	NA
nanR	46	0.83
nanS	[2]	NA
nanT	[2]	NA
napA	12	1.08
napB	[12]	NA
napC	17	0.33
napD	[9]	NA
napF	[7]	NA
napG	[11]	NA
napH	[7]	NA
narG	[1]	NA
narH	[3]	NA
narI	[3]	NA
narJ	[3]	NA
narK	[1]	NA
narL	46	2.8
narP	90	1.48
narQ	8	0.35
narU	[0]	NA
narV	[2]	NA
narW	[0]	NA
narX	19	0.26
narY	[1]	NA
narZ	[1]	NA
ndh	453	2.25
ndk	947	3.65
nei	22	0.86
nemA	21	1.86
nemR	[11]	NA
nepI	16	0.8
nfi	62	0.21
nfo	39	2.07
nfrA	9	0.43
nfrB	5	0.1
nfsA	61	2.4
nfsB	143	3.35
nfuA	378	3.24
nhaA	76	1.06
nhaB	72	1.14
nhaR	25	0.43
nhoA	[3]	NA
nikA	[2]	NA
nikB	[2]	NA
nikC	[2]	NA
nikD	[2]	NA
nikE	[3]	NA
nikR	21	2.75
ninE	[0]	NA
nirB	[3]	NA
nirC	12	0.77
nirD	[2]	NA
nlpA	17	1.26
nlpC	54	0.71
nlpD	214	0.48
nlpE	34	1.11
nlpI	653	0.05
nohD	[2]	NA
norR	13	0.53
norV	[2]	NA
norW	[1]	NA
npr	50	0.6
nrdA	321	1.6
nrdB	289	1.17
nrdD	16	1.25
nrdE	10	0.47
nrdF	[8]	NA
nrdG	[9]	NA
nrdH	[29]	NA
nrdI	23	0.21
nrdR	135	0.46
nrfA	[2]	NA
nrfB	[2]	NA
nrfC	[1]	NA
nrfD	[1]	NA
nrfE	[2]	NA
nrfF	[2]	NA
nrfG	[2]	NA
nsrR	91	0.36
nth	41	1.01
nudB	357	0.06
nudC	39	1.17
nudE	128	0.68
nudF	47	1.16
nudG	[17]	NA
nudI	[9]	NA
nudJ	35	0.84
nudK	14	1.77
nudL	21	0.4
nuoA	304	0.78
nuoB	399	0.81
nuoC	333	0.7
nuoE	356	0.86
nuoF	333	0.57
nuoG	352	0.58
nuoH	350	0.36
nuoI	295	0.61
nuoJ	345	0.3
nuoK	294	0.35
nuoL	326	0.39
nuoM	258	0.64
nuoN	287	0.68
nupC	181	1.1
nupG	21	0.86
nupX	[1]	NA
nusA	697	1.2
nusB	471	1.12
nusG	1280	1.12
obgE	292	1.2
ogrK	[29]	NA
ogt	[11]	NA
ompA	7571	2.11
ompC	4911	2.56
ompF	2771	2.47
ompG	[0]	NA
ompL	[0]	NA
ompN	[3]	NA
ompR	109	1.58
ompT	1214	2.55
ompW	[11]	NA
ompX	2851	3.38
opgB	65	0.53
opgC	22	0.89
opgD	42	1.1
opgG	183	1.78
opgH	173	0.55
oppA	809	2.04
oppB	392	0.53
oppC	382	0.53
oppD	363	0.75
oppF	356	0.85
orn	97	3.06
osmB	[33]	NA
osmC	[17]	NA
osmE	49	2.3
osmF	[2]	NA
osmY	21	3.13
otsA	[3]	NA
otsB	[1]	NA
oxc	[1]	NA
oxyR	103	1.4
paaA	[1]	NA
paaB	[1]	NA
paaC	[0]	NA
paaD	[0]	NA
paaE	[1]	NA
paaF	[1]	NA
paaG	[1]	NA
paaH	[1]	NA
paaI	[1]	NA
paaJ	[3]	NA
paaK	[3]	NA
paaX	13	1.05
paaY	16	1.06
paaZ	[0]	NA
pabA	35	0.82
pabB	23	1.23
pabC	33	0.19
pagP	[1]	NA
pal	1725	2.85
panB	197	3.08
panC	237	1.18
panD	516	2.26
panE	46	0.99
panF	72	0.41
paoA	[1]	NA
paoB	[1]	NA
paoC	[1]	NA
paoD	[2]	NA
parC	143	0.83
parE	151	1.23
patA	[3]	NA
pbpC	7	0.19
pbpG	50	1.55
pck	234	2.31
pcm	102	0.42
pcnB	217	0.54
pdhR	516	0.32
pdxA	123	0.17
pdxB	144	1.01
pdxH	62	1.45
pdxJ	68	2.09
pdxK	44	2.2
pdxY	45	1.47
pepA	214	0.91
pepB	128	1.56
pepD	254	2.25
pepE	[9]	NA
pepN	110	2.13
pepP	135	0.7
pepQ	118	1.64
pepT	16	1.17
perR	[2]	NA
pfkA	189	1.9
pfkB	27	2.33
pflA	70	2.33
pflB	395	1.95
pflC	[3]	NA
pflD	[2]	NA
pgaA	[1]	NA
pgaB	[1]	NA
pgaC	[1]	NA
pgaD	[3]	NA
pgi	305	2.37
pgk	749	2.62
pgl	85	2.34
pgm	253	1.09
pgpA	84	0.41
pgpB	16	0.37
pgsA	46	1.23
pheA	68	2.03
pheL	219	0.13
pheM	[103]	NA
pheP	84	0.66
pheS	412	1.67
pheT	449	1.47
phnC	[0]	NA
phnD	[1]	NA
phnF	[0]	NA
phnG	[0]	NA
phnH	[0]	NA
phnI	[1]	NA
phnJ	[0]	NA
phnK	[0]	NA
phnL	[0]	NA
phnM	[1]	NA
phnN	[2]	NA
phnO	[11]	NA
phnP	[7]	NA
phoA	7	0.94
phoB	25	0.66
phoE	[4]	NA
phoH	[4]	NA
phoP	69	1.67
phoQ	35	0.29
phoR	13	0.4
phoU	109	0.84
php	[1]	NA
phr	6	0.26
pinE	[1]	NA
pinR+pinQ	[2]	NA
pitA	499	0.56
pitB	[3]	NA
pldA	80	1.13
pldB	73	0.14
pliG	[15]	NA
plsB	143	1.02
plsC	97	0.68
plsX	752	0.02
plsY	29	0.54
pmbA	103	1.82
pmrD	[24]	NA
pncA	96	1.08
pncB	273	0.68
pnp	694	1.32
pntA	130	1.12
pntB	139	0.65
pnuC	175	0.61
polA	88	1.76
polB	13	0.2
potA	285	0.97
potB	244	0.42
potC	262	0.34
potD	384	1.83
potE	[5]	NA
potF	14	1.41
potG	10	0.56
potH	[7]	NA
potI	[9]	NA
poxB	[2]	NA
ppa	1796	2.85
ppc	109	1.79
ppdA	[3]	NA
ppdB	[3]	NA
ppdC	[12]	NA
ppdD	[0]	NA
pphA	[2]	NA
pphB	[2]	NA
ppiA	148	2.29
ppiB	730	2.73
ppiC	246	2.85
ppiD	243	1.18
ppk	40	0.49
pppA	81	0.17
ppsA	132	1.59
ppsR	17	2.02
pptA	[16]	NA
ppx	34	0.93
pqiA	48	0.23
pqiB	52	0.65
pqqL	4	0.96
prc	203	0.56
prfA	72	1.13
prfB	523	1.48
prfC	352	1.71
priA	26	0.31
priB	5886	0.02
priC	27	0.47
prkB	16	0.92
prlC	112	2.13
prmA	129	2.31
prmB	133	1.09
prmC	45	0.32
proA	150	1.18
proB	167	0.94
proC	46	3.23
proP	70	0.51
proQ	691	1.54
proS	622	1.5
proV	12	0.55
proW	11	0.66
proX	9	1.44
proY	107	0.93
prpB	[0]	NA
prpC	[0]	NA
prpD	[0]	NA
prpE	[1]	NA
prpR	[0]	NA
prr	[3]	NA
prs	1071	1.42
psd	128	1.19
psiE	[3]	NA
psiF	[2]	NA
pspA	40	3.18
pspB	[21]	NA
pspC	[18]	NA
pspD	[15]	NA
pspE	45	2.68
pspF	[8]	NA
pspG	[17]	NA
pssA	158	0.9
pstA	73	0.49
pstB	106	1.34
pstC	76	0.46
pstS	94	0.83
psuG	[0]	NA
psuK	[0]	NA
psuT	[3]	NA
pta	651	1.64
pth	127	1.2
ptrA	26	0.67
ptrB	5	1.36
ptsA	[1]	NA
ptsG	1225	0.97
ptsH	1322	3.16
ptsI	975	1.19
ptsN	154	0.91
ptsP	85	0.36
purA	611	1.48
purB	263	2.15
purC	83	2.77
purD	56	1.48
purE	64	1.28
purF	79	1.3
purH	71	2.09
purK	57	0.88
purL	70	1.25
purM	76	1.61
purN	79	0.74
purP	258	0.89
purR	216	1.5
purT	23	2.23
purU	189	2.15
putA	17	0.98
putP	105	1.2
puuA	7	1.13
puuB	[2]	NA
puuC	[2]	NA
puuD	[9]	NA
puuE	[1]	NA
puuP	[4]	NA
puuR	17	1.09
pykA	101	2.09
pykF	313	3.19
pyrB	43	2.43
pyrC	133	2.49
pyrD	83	1.68
pyrE	23	2.72
pyrF	154	1.57
pyrG	731	1.53
pyrH	438	1.53
pyrI	47	1.77
pyrL	562	0.15
qmcA	16	0.85
qorA	14	1.17
qorB	[5]	NA
qseB	[9]	NA
qseC	9	0.8
qseD	18	0.24
queA	100	1.05
queC	71	2.15
queD	85	2.47
queF	72	1.63
quuD	[2]	NA
quuQ	[4]	NA
racC	[0]	NA
racR	55	0.37
radA	71	0.46
raiA	145	1.91
ralR	[1]	NA
rapA	226	1.74
rarA	44	0.54
rarD	44	0.58
ravA	15	0.72
rbbA	34	0.4
rbfA	311	1.53
rbn	23	1.55
rbsA	52	0.39
rbsB	112	1.18
rbsC	57	0.44
rbsD	320	0.14
rbsK	69	0.91
rbsR	18	0.4
rcnA	[5]	NA
rcnR	[17]	NA
rcsA	[1]	NA
rcsB	193	2.37
rcsC	19	0.41
rcsD	47	0.47
rcsF	94	2.54
rdgB	82	1.31
rdgC	101	2.25
rdoA	108	0.29
recA	314	2.54
recB	29	0.25
recC	27	0.33
recD	21	0.41
recE	[1]	NA
recF	89	0.13
recG	48	0.18
recJ	84	0.46
recN	40	0.79
recO	90	0.07
recQ	51	0.23
recR	441	0.23
recT	[2]	NA
recX	[10]	NA
relA	64	0.43
relB	62	3.52
relE	51	0.57
rem	[5]	NA
rep	60	0.58
rfaB	59	0.34
rfaC	83	0.37
rfaD	380	1.75
rfaE	157	1.38
rfaF	182	0.33
rfaG	59	0.48
rfaH	81	0.57
rfaI	62	0.29
rfaJ	66	0.54
rfaL	47	0.73
rfaP	60	0.35
rfaQ	70	0.5
rfaS	49	0.34
rfaY	62	0.53
rfaZ	45	0.48
rfbA	248	1.16
rfbB	325	1.25
rfbC	209	0.72
rfbD	234	0.94
rfbX	153	0.31
rfc	142	0.2
rfe	241	0.46
rffA	87	0.86
rffC	73	0.15
rffD	161	0.51
rffE	167	0.61
rffG	128	0.52
rffH	117	0.35
rffM	60	0.75
rffT	53	0.47
rhaA	[0]	NA
rhaB	[1]	NA
rhaD	[0]	NA
rhaM	[1]	NA
rhaR	[2]	NA
rhaS	[1]	NA
rhaT	[2]	NA
rhlB	239	1.11
rhlE	54	1.16
rhmA	[3]	NA
rhmD	[1]	NA
rhmR	[0]	NA
rhmT	[2]	NA
rho	637	2.17
rhsA	[0]	NA
rhsB	[1]	NA
rhsC	[1]	NA
rhsD	2	0.07
rhtA	12	0.85
rhtB	[8]	NA
rhtC	27	0.64
ribA	90	2
ribB	134	1.79
ribC	75	2.33
ribD	109	0.43
ribE	402	2.09
ribF	216	0.26
rihA	16	2.43
rihB	[0]	NA
rihC	23	2.04
rimI	95	0.51
rimJ	51	0.55
rimK	55	0.14
rimL	[13]	NA
rimM	6215	0.08
rimN	157	1.17
rimO	108	3.07
rimP	636	0.74
rlmA	43	1.81
rlmB	101	1.72
rlmE	284	0.44
rlmF	52	1.38
rlmG	57	1.5
rlmH	233	0.36
rlmI	124	1.9
rlmL	115	1.17
rlmM	133	1.19
rlmN	220	1.36
rlpA	124	0.81
rluA	179	0.25
rluB	244	2.19
rluC	158	1.19
rluD	104	1.77
rluE	27	1.05
rluF	41	0.97
rmf	[23]	NA
rmuC	13	0.36
rna	55	2.1
rnb	213	1.71
rnc	258	1.01
rnd	53	1.14
rne	174	1.21
rng	86	0.39
rnhA	43	1.43
rnhB	112	0.42
rnk	94	3.07
rnlA	58	0.75
rnpA	1407	0.11
rnr	82	1.05
rnt	47	1.77
rob	131	0.93
rodZ	128	0.79
rof	87	1.03
rpe	154	1.1
rph	227	1.81
rpiA	372	1.76
rpiB	[4]	NA
rpiR	27	0.94
rplA	8182	1.35
rplB	10230	0.95
rplC	10066	0.9
rplD	11087	0.91
rplE	12510	0.69
rplF	11142	0.81
rplI	6295	1.7
rplJ	14153	0.75
rplK	8545	1.38
rplL	12304	2.96
rplM	7749	1.19
rplN	13396	0.68
rplO	11311	0.8
rplP	8946	1.13
rplQ	10607	1.12
rplR	10710	0.79
rplS	5379	2.23
rplT	7393	1.19
rplU	7005	1.62
rplV	10935	0.94
rplW	9163	0.87
rplX	11876	0.51
rplY	3340	3.16
rpmA	6202	1.73
rpmB	6549	2.09
rpmC	9284	1.01
rpmD	11199	0.76
rpmE	5064	2.75
rpmF	5504	2.74
rpmG	7551	1.56
rpmH	6975	2.16
rpmI	7273	1.71
rpmJ	13215	0.69
rpoA	11949	0.31
rpoB	1502	0.83
rpoC	1662	0.81
rpoD	537	1.69
rpoE	124	0.33
rpoH	290	0.91
rpoN	139	0.25
rpoS	246	0.71
rpoZ	898	2.53
rppH	156	0.31
rpsA	6239	1.56
rpsB	5729	1.93
rpsC	9553	0.92
rpsD	12444	0.98
rpsE	11927	0.74
rpsF	7114	1.84
rpsG	7943	1.47
rpsH	10562	0.8
rpsI	9251	1.46
rpsJ	11053	1.11
rpsK	11889	0.88
rpsL	8609	1.24
rpsM	12246	0.75
rpsN	10516	0.99
rpsO	5549	2.15
rpsP	5468	2.28
rpsQ	11386	0.8
rpsR	5058	2.34
rpsS	10161	0.91
rpsT	7935	1.64
rpsU	5022	3.03
rraA	305	0.84
rraB	319	2.58
rsd	58	0.42
rseA	146	0.6
rseB	94	0.41
rseC	59	0.32
rseP	218	0.14
rsgA	146	0.68
rsmA	186	1.37
rsmB	91	1.18
rsmC	101	1.69
rsmD	41	1.41
rsmE	82	0.95
rsmF	29	1.19
rsmG	105	1.62
rsmH	183	0.41
rsmI	46	1.6
rspA	[1]	NA
rspB	[0]	NA
rssA	32	0.61
rssB	25	0.51
rstA	30	0.98
rstB	16	0.48
rsuA	116	1.65
rsxA	87	0.39
rsxB	70	0.51
rsxC	55	0.66
rsxD	53	0.51
rsxE	46	0.66
rsxG	56	0.54
rtcA	9	0.26
rtcB	7	0.7
rtcR	[3]	NA
rtn	8	0.42
rumA	47	0.83
rumB	44	0.46
rusA	[0]	NA
rutA	[0]	NA
rutB	[0]	NA
rutC	[0]	NA
rutD	[0]	NA
rutE	[0]	NA
rutF	[0]	NA
rutG	[2]	NA
rutR	20	0.77
ruvA	54	0.94
ruvB	43	0.81
ruvC	267	0.13
rzoD+rzoR	[0]	NA
rzoQ	[0]	NA
rzpD	[1]	NA
rzpQ	[0]	NA
sad	11	1.41
safA	[0]	NA
sanA	28	0.35
sapA	35	0.81
sapB	34	0.41
sapC	29	0.49
sapD	37	0.51
sapF	29	0.68
sbcB	24	1.31
sbcC	19	0.55
sbcD	24	0.77
sbmA	13	0.46
sbmC	[6]	NA
sbp	[3]	NA
scpA	[1]	NA
scpB	[1]	NA
scpC	[1]	NA
sdaA	90	1.83
sdaB	560	1.17
sdaC	1044	1.11
sdhA	251	1.11
sdhB	251	1.49
sdhC	178	1.37
sdhD	228	0.79
sdiA	38	0.88
secA	219	1.4
secB	674	2.42
secD	483	0.43
secE	1252	0.64
secF	466	0.48
secG	3452	0.27
secM	199	0.22
secY	11006	0.07
selA	62	0.8
selB	74	1.13
selD	149	1.41
selU	17	1.19
seqA	274	1.25
serA	203	1.94
serB	100	0.61
serC	176	1.59
serS	445	2.04
setA	19	0.23
setB	[2]	NA
setC	[1]	NA
sfmA	[1]	NA
sfmC	[0]	NA
sfmD	[1]	NA
sfmF	[1]	NA
sfmH	[1]	NA
sfsA	51	0.53
sfsB	[15]	NA
sgcA	[6]	NA
sgcB	[2]	NA
sgcC	[1]	NA
sgcE	[3]	NA
sgcQ	[3]	NA
sgcR	[3]	NA
sgcX	[1]	NA
sgrR	20	0.89
sgrT	[61]	NA
shiA	18	0.7
shoB	218	0.01
sieB	[2]	NA
sirA	110	1.51
sixA	115	0.83
skp	822	1.88
slmA	219	0.82
slp	[4]	NA
slt	22	0.93
slyA	71	1.39
slyB	699	2.04
slyD	1238	2.37
slyX	130	1.54
smf	33	0.05
smg	137	0.12
smpB	117	3.25
smtA	104	0.24
sodA	1155	3.35
sodB	756	3.41
sodC	[10]	NA
sohA	31	1.17
sohB	71	1.44
solA	43	1.82
soxR	[10]	NA
soxS	34	3.11
speA	490	1.48
speB	331	2.78
speC	39	1.34
speD	292	1.67
speE	305	1.24
speF	[1]	NA
speG	95	1.8
spoT	294	0.12
sppA	53	0.79
spr	435	0.7
spy	[7]	NA
sra	[9]	NA
srlA	[2]	NA
srlB	[3]	NA
srlD	[6]	NA
srlE	[2]	NA
srlR	22	0.73
srmB	116	1.55
ssb	398	2.79
sseA	43	1.52
sseB	92	1.22
ssnA	[1]	NA
sspA	658	1.42
sspB	632	0.36
sstT	139	0.95
ssuA	[0]	NA
ssuB	[2]	NA
ssuC	[1]	NA
ssuD	[0]	NA
ssuE	[0]	NA
stfP	[1]	NA
stfQ	[1]	NA
stfR	[1]	NA
sthA	75	0.87
stpA	672	3.28
sucA	315	0.84
sucB	424	1.99
sucC	281	1.46
sucD	260	1.8
sufA	[9]	NA
sufB	10	0.6
sufC	[9]	NA
sufD	10	0.62
sufE	[5]	NA
sufS	7	0.67
sugE	80	0.16
suhB	406	2.22
sulA	19	1.35
surA	272	1.09
surE	131	0.26
sxy	[7]	NA
syd	45	1.67
symE	[7]	NA
tabA	35	2.29
tadA	74	0.72
tag	20	1.11
talA	[6]	NA
talB	591	2.53
tam	[3]	NA
tap	[0]	NA
tar	[1]	NA
tas	48	1.43
tatA	349	1.4
tatB	280	0.29
tatC	226	0.39
tatD	31	0.63
tatE	143	1.87
tauA	[0]	NA
tauB	[1]	NA
tauC	[1]	NA
tauD	[2]	NA
tdcA	[1]	NA
tdcB	[1]	NA
tdcC	8	0.78
tdcD	[4]	NA
tdcE	5	1.37
tdcF	[10]	NA
tdcG	7	0.22
tdcR	[0]	NA
tdh	258	1.33
tdk	61	1.58
tehA	14	0.62
tehB	33	2.56
tesA	25	1.25
tesB	36	1.8
tfaE	[1]	NA
tfaP	[3]	NA
tfaR+tfaQ	[2]	NA
tgt	524	1.2
thiB	29	0.52
thiC	[4]	NA
thiD	[4]	NA
thiE	[3]	NA
thiF	[2]	NA
thiG	[3]	NA
thiH	[2]	NA
thiI	151	1.96
thiK	32	0.08
thiL	84	0.45
thiM	[8]	NA
thiP	14	0.19
thiQ	15	0.5
thiS	[4]	NA
thrA	298	0.98
thrB	243	0.63
thrC	268	1.4
thrL	1051	0.82
thrS	740	1.26
thyA	162	1.46
tig	1968	2.72
tilS	39	0.98
tisB	96	0.02
tktA	527	2.02
tktB	4	1.1
tldD	95	1.33
tmcA	25	0.17
tmk	82	0.88
tnaA	[2]	NA
tnaB	[0]	NA
tnaC	[5]	NA
tolA	114	0.32
tolB	650	0.72
tolC	334	2.02
tolQ	171	0.75
tolR	160	0.41
tomB	82	0.02
tonB	46	1.09
topA	200	1.08
topB	82	0.39
torA	[1]	NA
torC	[0]	NA
torD	[4]	NA
torI	[10]	NA
torR	18	1.11
torS	[2]	NA
torT	[2]	NA
torY	[0]	NA
torZ	[2]	NA
tpiA	398	2.31
tpr	[68]	NA
tpx	1028	3.55
tqsA	[5]	NA
treA	[1]	NA
treB	[6]	NA
treC	[5]	NA
treF	8	0.27
treR	14	1.33
trg	[2]	NA
trkA	81	0.54
trkG	9	0.49
trkH	65	0.28
trmA	144	1.02
trmD	5343	0.03
trmH	140	0.33
trmI	250	1.34
trmJ	185	1.42
trmL	44	1.65
trpA	21	1.95
trpB	23	1.81
trpC	13	0.66
trpD	8	0.76
trpE	7	1.39
trpL	[42]	NA
trpR	59	1.21
trpS	319	1.88
truA	132	0.52
truB	276	0.43
truC	63	0.67
truD	154	0.5
trxA	1000	2.66
trxB	433	1.53
trxC	63	2.08
tsf	3118	2.35
tsgA	55	0.82
tsr	[5]	NA
tsx	495	2.32
ttcA	128	2.87
ttdA	[0]	NA
ttdB	[1]	NA
ttdR	[1]	NA
ttdT	[1]	NA
tufA+tufB	19486	2.29
tus	10	1.79
tynA	[1]	NA
typA	959	1.38
tyrA	56	0.83
tyrB	61	1.8
tyrP	38	0.79
tyrR	64	1.23
tyrS	343	1.79
ubiA	84	1.03
ubiB	71	0.22
ubiC	76	0.37
ubiD	182	0.51
ubiE	225	1.24
ubiF	46	1.3
ubiG	69	2.29
ubiH	96	0.24
ubiX	37	0.56
ucpA	64	0.98
udk	151	1.6
udp	86	2.48
ugd	11	0.18
ugpA	[2]	NA
ugpB	[3]	NA
ugpC	12	0.44
ugpE	[4]	NA
ugpQ	28	1.45
uhpA	57	0.26
uhpB	16	0.15
uhpC	10	0.25
uhpT	[1]	NA
uidA	[0]	NA
uidB	[1]	NA
uidC	[0]	NA
uidR	25	0.94
ulaA	[1]	NA
ulaB	[3]	NA
ulaC	[2]	NA
ulaD	[6]	NA
ulaE	[4]	NA
ulaF	[4]	NA
ulaG	[6]	NA
ulaR	25	1.28
umuC	[4]	NA
umuD	[7]	NA
ung	45	1.81
uof	344	0.06
upp	527	2.68
uraA	97	1.33
usg	118	1.42
ushA	31	1.19
uspA	327	2.98
uspB	[18]	NA
uspC	[5]	NA
uspD	37	1.36
uspE	38	1.09
uspF	[9]	NA
uspG	51	1.48
uup	122	0.94
uvrA	43	1.11
uvrB	49	0.58
uvrC	57	0.36
uvrD	76	0.56
uvrY	153	0.44
uxaA	7	0.55
uxaB	[1]	NA
uxaC	7	1.74
uxuA	19	2.41
uxuB	17	1.66
uxuR	44	0.83
valS	394	1.74
ves	[0]	NA
viaA	12	0.24
visC	55	0.77
vsr	[17]	NA
waaA	93	0.49
waaU	37	0.68
wbbI	209	1.03
wbbJ	169	0.46
wbbK	127	0.47
wcaA	[0]	NA
wcaB	[0]	NA
wcaC	[1]	NA
wcaD	[0]	NA
wcaE	[0]	NA
wcaF	[0]	NA
wcaI	[1]	NA
wcaJ	[1]	NA
wcaK	[1]	NA
wcaL	[2]	NA
wcaM	[2]	NA
wecH	[5]	NA
wrbA	[11]	NA
wza	[0]	NA
wzb	[0]	NA
wzc	[0]	NA
wzxC	[1]	NA
wzxE	67	0.14
wzyE	38	0.27
wzzE	192	0.4
xanP	59	0.7
xanQ	[1]	NA
xapA	[1]	NA
xapB	[4]	NA
xapR	[6]	NA
xdhA	[1]	NA
xdhB	[1]	NA
xdhC	[2]	NA
xdhD	3	0.27
xerC	82	0.37
xerD	63	0.24
xisE	[3]	NA
xseA	76	0.57
xseB	130	1.1
xthA	105	2.86
xylA	8	0.19
xylB	8	0.62
xylE	[3]	NA
xylF	[1]	NA
xylG	[1]	NA
xylH	[3]	NA
xylR	8	1.28
yaaA	50	2.07
