Gene	mRNA level (RPKM)	Translation efficiency (AU)
chbG	[8]	NA
chbR	[4]	NA
cheA	[2]	NA
cheB	[1]	NA
cheR	[0]	NA
cheW	[4]	NA
cheY	[2]	NA
cheZ	[3]	NA
chiA	10	0.74
chiP	[3]	NA
chiQ	[5]	NA
cho	[7]	NA
chpB	30	0.29
chpS	[23]	NA
cirA	8	0.78
citC	[0]	NA
citD	[0]	NA
citE	[0]	NA
citF	[1]	NA
citG	[0]	NA
citT	[2]	NA
citX	[0]	NA
clcA	27	0.39
clcB	[5]	NA
cld	412	1.16
clpA	108	0.7
clpB	230	1.11
clpP	385	1.26
clpS	80	0.5
clpX	479	0.94
cls	46	0.56
cmk	420	0.37
cmoA	104	1.16
cmoB	101	0.85
cmtA	[1]	NA
cmtB	[0]	NA
cnu	39	2
coaA	66	1.18
coaD	88	1.06
coaE	80	0.27
cobB	49	1.31
cobC	22	0.16
cobS	33	0.9
cobT	26	0.55
cobU	24	0.32
codA	71	1.54
codB	56	0.8
cof	12	0.31
cohE	67	0.8
copA	17	0.52
corA	171	0.74
cpdA	142	0.21
cpdB	20	1.87
cpsB	[1]	NA
cpsG	[1]	NA
cpxA	76	0.33
cpxP	79	0.27
cpxR	151	1.48
crcB	34	1.79
creA	70	1.57
creB	45	0.25
creC	13	0.2
creD	[3]	NA
crl	314	2.16
croE	[1]	NA
crp	517	1.45
crr	1320	1.91
csdA	44	0.54
csdE	48	1.29
csdL	110	1.02
csgA	[3]	NA
csgB	[0]	NA
csgC	[1]	NA
csgD	[2]	NA
csgE	[1]	NA
csgF	[1]	NA
csgG	[6]	NA
csiD	[1]	NA
csiE	[4]	NA
csiR	[10]	NA
cspA	1592	2.12
cspB	[16]	NA
cspC	2502	3.26
cspD	77	0.75
cspE	6951	2.06
cspF	[12]	NA
cspG	[12]	NA
cspH	[3]	NA
cspI	[1]	NA
csrA	767	1.9
csrD	28	0.2
cstA	16	0.59
cueO	21	2.27
cueR	23	1.53
cusA	[2]	NA
cusB	[3]	NA
cusC	[0]	NA
cusF	[2]	NA
cusR	24	0.57
cusS	10	0.48
cutA	35	0.35
cutC	33	1.08
cvpA	147	0.22
cvrA	13	0.39
cyaA	152	0.19
cyaY	138	2.49
cybB	67	2.04
cycA	105	0.99
cydA	179	0.85
cydB	181	0.74
cydC	51	0.56
cydD	51	0.7
cynR	11	1.1
cynS	[5]	NA
cynT	[2]	NA
cynX	[4]	NA
cyoA	1841	0.66
cyoB	1622	0.66
cyoC	1616	0.71
cyoD	1737	0.74
cyoE	1495	0.21
cysA	[3]	NA
cysB	49	2.03
cysC	[3]	NA
cysD	[2]	NA
cysE	93	0.67
cysG	52	0.63
cysH	[3]	NA
cysI	[4]	NA
cysJ	[2]	NA
cysK	97	1.97
cysM	24	1.49
cysN	[4]	NA
cysP	[2]	NA
cysQ	46	1.5
cysS	193	1.98
cysU	[2]	NA
cysW	[2]	NA
cysZ	41	1.55
cytR	55	0.41
dacA	207	1.54
dacB	36	0.94
dacC	32	1.79
dacD	[7]	NA
dadA	112	1.09
dadX	79	0.72
dam	152	0.17
damX	355	0.87
dapA	350	0.99
dapB	94	1.76
dapD	366	3.24
dapE	90	1.1
dapF	182	0.32
dbpA	17	1.14
dcd	182	0.47
dcm	34	0.68
dcp	39	2.17
dcrB	249	1.85
dctA	66	0.53
dctR	[0]	NA
dcuA	162	0.87
dcuB	[4]	NA
dcuC	[2]	NA
dcuD	[1]	NA
dcuR	22	1.02
dcuS	30	0.2
dcyD	32	1.48
ddlA	165	1.9
ddlB	136	0.48
ddpA	[0]	NA
ddpB	[1]	NA
ddpC	[1]	NA
ddpD	[1]	NA
ddpF	[1]	NA
ddpX	[0]	NA
deaD	481	1.47
dedA	97	0.61
dedD	119	0.6
def	278	1.08
degP	65	2.55
degQ	30	1.34
degS	48	0.64
deoA	28	0.96
deoB	140	1.14
deoC	40	3.08
deoD	348	2.93
deoR	40	0.66
der	189	1.34
dfp	134	0.65
dgkA	81	1.62
dgoA	[1]	NA
dgoD	[3]	NA
dgoK	[6]	NA
dgoR	14	2.34
dgoT	[2]	NA
dgsA	32	0.29
dgt	13	0.55
dhaK	30	0.42
dhaL	36	0.6
dhaM	33	0.97
dhaR	10	0.31
diaA	90	0.41
dicA	45	1.13
dicB	[2]	NA
dicC	[1]	NA
dinB	12	0.3
dinD	[4]	NA
dinF	34	0.35
dinG	15	0.32
dinI	147	1.13
dinJ	50	1.21
dinQ	636	0
djlA	63	0.93
djlB	[0]	NA
djlC	[3]	NA
dkgA	[6]	NA
dkgB	23	2.03
dksA	707	2.31
dld	23	1.98
dmlA	[3]	NA
dmlR	[3]	NA
dmsA	[3]	NA
dmsB	[4]	NA
dmsC	[5]	NA
dmsD	32	1.6
dnaA	185	0.35
dnaB	147	0.36
dnaC	51	0.76
dnaE	130	0.19
dnaG	247	0.11
dnaJ	416	1.05
dnaK	1504	2.28
dnaN	193	0.7
dnaQ	64	1.18
dnaT	45	1.03
dnaXgamma	106	0.24
dnaXtau	106	0.14
dosC	[2]	NA
dosP	[1]	NA
dpiA	[10]	NA
dpiB	6	0.05
dppA	124	1.53
dppB	56	0.49
dppC	55	0.55
dppD	55	0.7
dppF	45	0.94
dps	54	3.05
dsbA	364	2.35
dsbB	157	1.09
dsbC	88	1.9
dsbD	35	1.01
dsbG	17	2.48
dsdA	15	2.39
dsdC	10	1.04
dsdX	[4]	NA
dsrB	76	2.03
dtd	66	1.54
dtpA	348	1.04
dtpB	8	0.96
dtpD	6	0.67
dusA	70	1.46
dusB	1170	0.02
dusC	37	0.4
dut	325	1.56
dxr	84	0.71
dxs	97	0.6
eamA	16	0.38
eamB	[9]	NA
ebgA	[2]	NA
ebgC	[2]	NA
ebgR	19	0.99
ecnA	146	0.24
ecnB	157	0.55
eco	33	4.94
ecpD	[0]	NA
eda	298	2.84
edd	37	0.31
efeB	19	0.53
efeO	31	2.21
efp	1506	2.14
elaA	19	1.86
elaB	27	2.13
elaD	[0]	NA
elbB	98	1.92
elfA	[3]	NA
elfC	[1]	NA
elfD	[0]	NA
elfG	[2]	NA
emrA	72	0.82
emrB	58	0.24
emrD	40	0.85
emrE	48	0.81
emrK	[1]	NA
emrY	[1]	NA
emtA	103	1.45
endA	[11]	NA
eno	1708	2.44
entA	[4]	NA
entB	[5]	NA
