Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std	R/(P+A) ratio mean	R/(P+A) ratio std
32	0.5351913063210693	0.053652766475402625	0.24945893981284942	0.015895155737569583	0.23244794023864565	0.017713130795560122
33	0.5329976533384277	0.05165210180155716	0.25264010282902355	0.01970435317359597	0.23188586109121104	0.02227766502374088
34	0.5311072431028826	0.07319916057085046	0.2885660807624501	0.03829971649915083	0.2617207744228866	0.028044864409380553
35	0.5480563451531408	0.05018982867886088	0.31032107928465313	0.024153621146285473	0.28402614903920886	0.02160474584580958
36	0.548471204480653	0.05113768212387544	0.25438766881668834	0.016982268430873065	0.234486128185835	0.019685949695372386
37	0.5321905108642118	0.04080433828031606	0.24760906598509216	0.014134723565526319	0.22663671683146114	0.014663401605596923
38	0.5260756000828188	0.057049958673218965	0.24453681634489197	0.01238908697025282	0.22386750279713563	0.013357422179556235
39	0.5442348364483539	0.06565832862991257	0.25109647968704324	0.022706099010639778	0.23348317087872333	0.023304752526723073
40	0.5679633311769088	0.07440725170421311	0.26495263042376627	0.02164587875172869	0.24770604169880284	0.019710130088235998
41	0.5870398882936914	0.059224280253937285	0.26411808512643015	0.01833043445488204	0.24908692264545396	0.018440531895775887
42	0.5525617443034361	0.06277779344144065	0.25987379767232494	0.023469754223875604	0.24308405199182176	0.02403526430094476
43	0.5758313453885487	0.0646791460119246	0.25944742878474214	0.014665587554151467	0.24216041523985857	0.014847001996589688
44	0.608757706486978	0.08171180176833644	0.27989889452915306	0.02213582924741538	0.2635408596010423	0.020581262291685977
45	0.5831760838393171	0.07445323850804984	0.2919934670607578	0.02157448653152679	0.2748101960981495	0.019998334091978476
46	0.6296275777695937	0.05289986024810435	0.30912183922377806	0.01481302570204559	0.2905080905646806	0.01331299679661037
47	0.6302113180589757	0.09371453646660882	0.32898305892289553	0.03525452663453786	0.31086478220573915	0.02587579184274722
