variant	growth_rate	rp_ratio	cell_mass	protein_mass	rna_mass	aa_mass	ribosome_mass	rrna_mass	rprotein_mass	enzyme_mass	excess_rrna_mass	excess_rprotein_mass	aa_fraction	ribosomes to enzymes	excess rrna fraction	excess rprotein fraction	rrna synth fraction	rprotein synth fraction	enzyme synth fraction	rprotein protein fraction	enzyme protein fraction	glt	glt fraction	ppGpp
0.0	0.7834151981173599	0.266072985634508	1553.5073921496476	236.36562468886737	63.102196818726675	7.622912758715333	77.48274372283888	50.50740644145941	44.27963438248773	7.925220356283243	0.8285084710874663	8.982299197508786	0.005024588016336149	9.76156092991496	0.011193128089291907	0.11704927691662118	0.4515070980164767	0.4651148674819694	0.08337803450155383	0.18683686978809505	0.03346602870783001	5.050744488746306	0.0032867154830469136	51.22030866014967
1.0	0.7616649830333394	0.2714983180213665	1509.0807680246444	225.54857939212454	61.48715446760118	13.09119315070997	75.5479483783194	49.21653488564178	42.55378341082106	7.530941169904727	0.7781518466686925	8.137846024997627	0.008860925387805271	10.007352372652779	0.010737838001658536	0.1086627744189891	0.4553258242266945	0.46253045609801136	0.0821437196752942	0.1878743778657254	0.03331740395720358	4.473781089355363	0.0029643799782404635	55.55132524608354
2.0	0.7888593780904626	0.26969128007531745	1574.4594962781152	239.63934279356454	64.84724372867291	7.49449783740746	79.66856374964355	51.88792778920223	45.3699542660506	8.205432436082367	0.8075677012566685	9.076866756965176	0.004763629129524392	9.678546225618327	0.010478464492624347	0.11596489139074774	0.4512727065406119	0.4644293561490178	0.08429793731037016	0.18886196060832477	0.03422865496199773	5.0644846388061975	0.00321190012875208	50.01043435697857
3.0	0.8304461304484305	0.2713888926128004	1616.0662474013054	241.69410335692098	65.6604664918619	12.816209825779636	80.14175042728439	52.40262720987465	46.285164404206036	8.158185577533308	1.0188783730284663	9.776516268802316	0.007926824588307856	9.822373840893965	0.012896566113402744	0.1228895491845904	0.4503952796805888	0.46714146049221694	0.08246325982719423	0.19131218313033657	0.033760216276122704	10.028254888565868	0.006202995425762358	44.98455243420873
4.0	0.7644451894578917	0.262314659498199	1532.9338733699444	236.63462000423024	62.24611890965861	7.018347330960763	76.60851127779925	49.89229905534958	44.250588503811635	7.854063738709357	0.7739246590377821	9.35151071344082	0.0046093507772557996	9.740837192891513	0.010422832122947971	0.12352301579470296	0.4487862558760795	0.46798494210584096	0.08322880201807957	0.18651126090411693	0.03315632090637552	4.961207472692448	0.003249367750464338	53.09232365853679
5.0	0.7980506941288746	0.2753212712107783	1573.8498502671528	234.80103852949367	64.77264890952304	7.301505984476228	79.53726632315632	51.828247957215204	44.74255895308139	8.098484919736427	0.8320706323060562	8.509284107422314	0.0046535390688529485	9.819025809050656	0.01049003783272885	0.10752802977064096	0.45495891250042214	0.46142098675048565	0.08362010074909225	0.19025521538556298	0.03446369671648063	5.217108803224218	0.0033183146401878087	53.83189677368376
6.0	0.9546829608397589	0.2980063382968367	1851.4142490607012	267.19586713080656	79.82036341763126	9.38923812099413	99.11673381667603	64.1601791133442	54.9444291868947	9.139764127426115	0.6104147419547753	9.791709911979384	0.005091877463655061	10.823865052282374	0.006574684287928385	0.09928484395387925	0.4598521514044451	0.46285404466157937	0.0772938039339754	0.20507370284600948	0.034192310350550544	5.815092317747761	0.0031378239264217914	42.70659803394732
7.0	0.8296943223380164	0.277404884615877	1629.6467939926586	245.7159032233997	68.36235502220387	8.615817712885693	84.14501741489853	54.69178527074413	47.61718603672091	8.686580154119557	0.7412985685321762	9.284845942211636	0.005293427455688295	9.662631702982313	0.009457596031255046	0.11237436779825488	0.4521031198931398	0.46320099704949885	0.0846958830573613	0.19336419409082306	0.03531496626489894	6.264992995286237	0.0038387730478252947	49.860292458260986
8.0	0.9523025132485419	0.2925070048770944	1852.1078961311057	266.48568180631645	78.30365752437402	10.237540091345418	97.63166070595653	63.033275669858234	54.95670774703769	8.891856933026583	0.4356819625573331	10.480514893937949	0.005519763350497893	10.93795827750429	0.004804309096220891	0.10896905176899252	0.45573428413054484	0.4682160007709357	0.07604971509851952	0.20548632684573184	0.033307928854606234	5.807952255149496	0.003113335675662858	39.51331259814481
9.0	0.8243930753206914	0.27952727552870216	1613.1683465240976	243.15124451311988	68.01478925342047	7.617023822920592	83.31411189599494	54.41492952587164	47.07104014100296	8.589718883451878	0.9971868710864109	9.117219820040939	0.004731160219475059	9.703620889554358	0.012069362608396467	0.10949459985083246	0.45447326779226255	0.46128616406783735	0.08424056813990005	0.193400743939548	0.035304887524177604	5.481690397617305	0.0034047721430014713	51.350425220825905
10.0	0.7426346405167025	0.2781746512017142	1500.9458121112416	222.91008359002933	62.046915912134295	7.37393822677793	69.09591459150766	48.52667276623128	42.39772452129992	7.207314850015808	4.225080873206385	10.921017062756077	0.004907329318495501	9.595213982551822	0.06100706792387399	0.15912606249472097	0.4572500625168845	0.46379082122995297	0.07895911625316243	0.19002364961785786	0.03231418942620921	5.327313797272676	0.0035393480280275524	46.48194114027727
11.0	0.7523165176068095	0.26340799240271257	1500.8133777103187	226.2432058338858	59.55525111929429	16.47479680101361	72.71721082807723	47.52304871592639	41.31183962848835	7.687115057673973	0.8996236299449866	8.185447337880126	0.011007659782221502	9.469608462077879	0.012443737442856833	0.11284555259805584	0.4524903633140956	0.4615558942104327	0.08595374247547177	0.1825230152623176	0.03397878270126531	4.855555412072284	0.0032320892841580648	53.7236291077784
12.0	0.7796767172031108	0.2729516148694378	1551.4274158730573	235.06715305416753	64.2844258224873	7.204044887531724	78.80209630943527	51.37525918959004	45.09347546496067	7.969965473341925	0.8504440589930541	9.195107995388863	0.004672873881777484	9.88417791805801	0.010561545527883366	0.11696167652658818	0.4516756164299905	0.46578991069850895	0.08253447287150059	0.19143530550351662	0.03387621769119609	5.180680233738819	0.003344999415927659	56.26100479518138
13.0	0.7597494742805216	0.268740103470833	1515.3922851409882	221.72098409262662	59.72302831232726	14.54408327589044	72.47526228176102	47.639779456994184	41.33228760181662	7.6275284491065785	1.171482294586546	8.316115194068907	0.00968886729030817	9.48113973323064	0.016362773785241477	0.11571742780015151	0.45318412173856887	0.46135747558609147	0.0854584026753396	0.18592012171712083	0.034374583971632795	5.182350666017021	0.003412276399799676	52.25780953645032
