Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std	R/(P+A) ratio mean	R/(P+A) ratio std
74	0.5365622739110485	0.05416586829626077	0.25084516899752923	0.016090659801167785	0.23333399989269504	0.018078798193864685
77	0.36759169634046845	0.05754812882047717	0.3599866534007092	0.051024464410683125	0.3043621535023365	0.04066898290909205
78	0.5420801202277861	0.0576143139665801	0.25547704950770694	0.021945551664516696	0.23321659235970146	0.021795421696575317
79	0.5388699237637282	0.07132082253736857	0.2571657484321558	0.018091368574942143	0.2359112787105798	0.016840375326131717
80	0.5505973141895854	0.05607677867031443	0.2613501291158751	0.01814207405707963	0.24261459615341796	0.01863560160830718
81	0.5504982158758316	0.05987906560180325	0.2830947673494844	0.026993203037418634	0.23752614438310665	0.02649626855768313
82	0.5009737920598563	0.0711498456567868	0.28345399365596896	0.01646625570140257	0.1643544568914754	0.019315751098146452
83	0.5165123788090897	0.16512924804633694	0.34616519096527326	0.04458138837188445	0.0626313654441893	0.02041771671444311
84	0.5444189569453345	0.054401045451217135	0.2584326704474715	0.01870888699317785	0.24324033873829723	0.01998923000594155
85	0.520143321288969	0.058436206326535255	0.24603953251750865	0.022294509244521494	0.22723785117515818	0.02094458492765619
86	0.5479532665184815	0.04957603781068418	0.2558836419425768	0.014129825961186707	0.23826602922442122	0.015900586182222357
87	0.5522197573391737	0.046639443603843506	0.2606653953487467	0.013274682213019912	0.24114755595411763	0.015243422136481095
88	0.5404996842552747	0.06583448706196754	0.2634204555318431	0.026199606817319067	0.23984812896681743	0.02542630811552439
89	0.553783513951044	0.056519904343607756	0.259958325691817	0.013275600560754844	0.23652446739804464	0.01452586083447921
90	0.5387275164976587	0.05470473115157781	0.2580398964973122	0.01749769823696205	0.2315271013047726	0.01696724556234327
91	0.5198849147679823	0.07049749565843653	0.2498118453059152	0.02677107057700229	0.22285757980571294	0.02775504075406776
92	0.5174146903963266	0.07858054197507101	0.24904013979134407	0.022283530071623852	0.2186076897737825	0.020605468763125464
93	0.384663404542633	0.06565906681079288	0.361146940214249	0.03833431502913698	0.34947074856518223	0.035971699897298315
94	0.523035260649551	0.07240286964453099	0.2533427950949093	0.01643303488923667	0.24274375906534565	0.016844082420634017
95	0.5478745835729311	0.04925826763406639	0.26608913030077436	0.013671369173697571	0.2483807323082862	0.011698881842402009
96	0.5465185241142283	0.050904203262648016	0.2573048037060269	0.019148432919740423	0.23957038522539528	0.018687022203580282
97	0.5648929615777784	0.05508678817288945	0.2726808991662542	0.015110501075854732	0.24885731599651842	0.014805433628450396
98	0.5610977716418319	0.05114350368632037	0.2643685674053151	0.011397257814209975	0.24132334191349447	0.014733586836691263
99	0.5456793655455295	0.06471209858830324	0.2610828395033628	0.01645669489153159	0.23097822619679872	0.01798848443724308
100	0.524455293323032	0.05412614417584145	0.2486150331188126	0.016632385603546622	0.20929416268881143	0.01853647818336948
101	0.5279711712186251	0.0512787664163228	0.26182390540295986	0.02273716573071631	0.20517486091778503	0.019905602147446196
102	0.30849963867577584	0.04419570575873437	0.3321769953507916	0.02178280888024178	0.26840769340660414	0.013553400213443088
103	0.4538651907009621	0.07422768093814763	0.2745869201411735	0.02546554698627089	0.2449546956535364	0.023629765651303602
104	0.5162576806991245	0.05119533422716395	0.2609323979840334	0.013796023738219117	0.23577106524379646	0.01389287592610273
105	0.5270764691181312	0.061039611943633734	0.2603072422913146	0.019811610355294836	0.23595032881631442	0.02065507148407272
106	0.5499012577858715	0.09036155036324127	0.27626075687442825	0.022433733512403055	0.25385455657264333	0.018516668585283592
107	0.5442348364483538	0.06565832862991343	0.25109647968704324	0.02270609901063977	0.23348317087872078	0.023304752526725293
108	0.5726499691425784	0.07200529017847389	0.2668745703558176	0.021904850197000388	0.24974346172731696	0.020178640680883944
109	0.5939108636326624	0.05758074914271272	0.2657540566969624	0.01554840496240819	0.2501881143881268	0.015876814425043472
110	0.5948818624471135	0.05382807194079855	0.26826361497280676	0.014039957070487092	0.25459334202900885	0.015020673597569416
