variant	growth_rate	rp_ratio	cell_mass	protein_mass	rna_mass	aa_mass	ribosome_mass	rrna_mass	rprotein_mass	enzyme_mass	excess_rrna_mass	excess_rprotein_mass	aa_fraction	ribosomes to enzymes	excess rrna fraction	excess rprotein fraction	rrna synth fraction	rprotein synth fraction	enzyme synth fraction	rprotein protein fraction	enzyme protein fraction	glt	glt fraction	ppGpp
37.0	0.8138526381848048	0.297232029261364	1620.754179154834	229.1847937976007	68.1103730093652	7.470771365204155	82.26793082897458	54.36188501104483	44.31340363811172	7.909255323965271	1.6149126463896049	6.836172064689261	0.004636728949563625	10.395925823690595	0.019695774010635315	0.08482617632712955	0.46996664321176534	0.44973387330385145	0.08029948348438308	0.19321607552202644	0.0344910043879201	5.310393403604866	0.003285382386317742	49.16557204350625
38.0	0.11785587473151223	1.5815205490333522	679.3576745396988	47.42410413337291	51.136534336158746	28.716661480655635	21.199827626998623	41.25454238269092	10.214336553131004	1.7673013583296069	27.66204393634718	0.5567355743807101	0.04816637472413194	12.057752792831394	2.0487390340864238	0.02785975750940678	0.7909841381060649	0.1782821793308707	0.030733682563064364	0.2259526938122032	0.03875468009995472	13.004867680195744	0.019623929324818167	49.165576646313696
39.0	0.13542265681520918	1.1635092854086662	718.080019524973	57.27757168648771	52.98652384442459	25.008841886838937	24.441411315129095	42.75808115539513	12.143088305113038	2.006032526068209	27.087206317514447	1.0087808950651196	0.03877701586573319	12.176381391024284	1.573273072212705	0.05340998446486086	0.7592274230236719	0.2069005636278345	0.03387201334849362	0.2157289052885556	0.03491324803059552	9.557614107937045	0.013474368596127035	49.16558029435385
40.0	0.3610257310896508	0.5696298036278619	1053.9513904329428	116.55531568780437	63.5036514628866	19.509903477666548	43.855865607675184	51.25549166825677	22.90453141717735	3.8166303019119376	23.136829779882753	2.925951493384424	0.01891493223070109	11.482482392141987	0.5950098543188569	0.07013481787845213	0.640738275816472	0.30795828144135845	0.05130344274216945	0.1963184433126148	0.032611744555727434	7.415046206263234	0.007054592839578214	49.16557507712168
41.0	0.8153417122201564	0.2935847584546806	1625.1667906970554	232.8747319733395	68.28931478746303	8.119952235927478	83.57875213541473	54.685813216902076	45.30770236981597	8.169980014667248	1.0983936144338968	7.233324944324376	0.004998501904243216	10.260190061684387	0.01328832914313461	0.08644497805058914	0.4658559252537758	0.45254972259586146	0.08159435215036272	0.19462337271683475	0.03507129777874026	6.245174803030416	0.0038451412277011395	49.165570118368116
42.0	0.695720616790977	0.30181553535096395	1456.6516286181275	206.66929941569668	61.99687924501257	6.280212872989027	73.24121092238576	49.586311668630124	39.40044776034999	6.878947862696622	2.626918262854362	6.035346744713543	0.004329536497243167	10.68366503515791	0.03673253982241742	0.08411274148366421	0.4783909460325368	0.44399735512852234	0.07761169883894084	0.1907666911154845	0.03324384428291611	3.9636181879198964	0.0027260111469283007	49.16557397783566
43.0	0.7485636099436398	0.3154635700073057	1517.6682727637171	210.15649462945035	66.21371334956102	8.759571559727195	77.51109756795582	52.626742549186105	41.63799375418783	6.997844747137707	2.9296652047890164	6.327741948981106	0.00580583611789864	11.074429595232584	0.03856218510720964	0.08335789581856874	0.4809822742742418	0.44421959665295185	0.0747981290728064	0.19794645192798474	0.03326934993138402	3.411984085379575	0.002254043983703223	49.16557204473059
44.0	0.6536522090342503	0.30885079855653746	1405.3664399044442	180.01503602664596	55.61948188449997	24.281213395533463	64.15732851819834	43.989124260285045	34.58667090937723	6.023683437615891	2.8539601660929597	5.359740879895777	0.017333104513643307	10.647598820734212	0.04536907579704438	0.08581786039642834	0.4814272440767951	0.4415128480898249	0.07705990783337983	0.1918184761298124	0.03339741554088734	2.401625182564508	0.0017069373683660535	49.16557334394408
45.0	0.5986487638566771	0.3800834516932049	1360.6153734392847	121.64938120334102	45.413180587039555	71.24751458508064	46.33570287885646	35.55367130394591	24.302989313411366	4.36640861293079	5.845034966308476	3.1947172393482344	0.054564602982352	10.51370145259847	0.14735130901769677	0.07169976393746112	0.523577738953675	0.40343330232965513	0.07298895871666997	0.199033084139567	0.03601719591460676	2.25867188313449	0.001666563582625224	49.16557209630427
46.0	0.7696020147387198	0.4662261968686912	1685.8105019733928	74.41696384899394	30.974499162560686	203.59376675901734	26.792834535709815	23.62334823656219	14.699569041249317	3.0524805427514283	6.444833004863607	2.4940686198197537	0.13184326326185447	7.949428909334293	0.3796006038072298	0.11535069521641952	0.5622553675277078	0.35706865335893095	0.08067597911336133	0.19641205832891007	0.04465596304031924	2.624868274181563	0.0015610051006544582	49.16557246525276
47.0	0.7119958505059938	0.30773018004200453	1476.7458193785235	209.40450597856574	64.17664610392592	4.732338992756018	75.83077385721916	51.30721336977888	40.368941048941146	7.302963609473401	2.6874937204252927	5.824162256013099	0.003212332133774816	10.425612752812787	0.037925362917299574	0.07693720715055447	0.48034741549908316	0.43998949454654585	0.07966308995437102	0.1926551939643152	0.034820237931253634	3.2159578157900137	0.0021795293157593778	49.16557351328166
48.0	0.7394869661567632	0.2908836184439783	1507.8363182953126	215.29934885518588	62.66626351762804	6.128140247103075	75.81702755828701	50.130895592600176	41.14364846718531	7.397353418565709	1.519989531270296	6.605131813382033	0.004088219571023835	10.258415544532427	0.01981228698559975	0.09000145271931013	0.46751387416708023	0.4512651090555174	0.08122101677740226	0.1909019688670662	0.03428552500245905	3.8843135056246485	0.002582212478777937	49.1655724926633
49.0	0.7324577750272788	0.30245995074193205	1499.4587643889063	212.4040358409518	63.60707627681882	6.7293912754985525	75.38357000846528	50.95196978109473	40.56423267070783	7.246178021504021	2.6189797092799965	6.223178002495119	0.004632491054591228	10.463304847696147	0.04149383903123824	0.08297480905790523	0.47925219733755403	0.4418213253735003	0.07892647728894564	0.19071564228624435	0.03401144608437466	4.464311096196184	0.0030125958386160723	49.1655711923067
50.0	0.7366943191170093	0.30298202006343333	1508.5221880980969	213.42279204368063	64.18478646515564	6.600282487155534	75.96634881195968	51.37701074420991	41.25869691196187	7.233093446845812	2.6703657483819425	6.652156823676465	0.004346457781539199	10.551577432535248	0.03754983787680326	0.08668333685351523	0.47698032592264156	0.44504980535657196	0.07796986872078657	0.19328136762544407	0.03385578092255103	4.631726321692729	0.0030604107090270063	49.165571923655456
51.0	0.7726480584954618	0.27736543994079677	1558.2146809657118	221.60203443375408	61.61770297022482	8.612923987029601	74.65866880824557	49.215615721415105	41.83108870123248	7.568904646638729	1.3474038832304818	7.820263441669464	0.005608473798636959	9.846569079468532	0.0180681973696971	0.10735674920092533	0.4586146995731485	0.4582255015878107	0.08315979883904076	0.18826438578570634	0.034097656023802804	5.562947760683283	0.003571348934590365	49.16557138081611
52.0	0.7811748474394038	0.27590815594120965	1570.5464317525916	223.9272445646026	61.817896179157465	9.607453976163931	74.72496539516068	49.375567272399415	42.25438037826837	7.602855776463288	1.4648486614948968	8.21335364754511	0.006112468417013982	9.84158348090019	0.019562629276882588	0.11034276710777327	0.45802041691991413	0.4592061973012661	0.08277338577881944	0.18845302692034047	0.03393958867635397	6.038376894021098	0.003836594815792988	49.16557146429309
