variant	growth_rate	rp_ratio	cell_mass	protein_mass	rna_mass	aa_mass	ribosome_mass	rrna_mass	rprotein_mass	enzyme_mass	excess_rrna_mass	excess_rprotein_mass	aa_fraction	ribosomes to enzymes	excess rrna fraction	excess rprotein fraction	rrna synth fraction	rprotein synth fraction	enzyme synth fraction	rprotein protein fraction	enzyme protein fraction	glt	glt fraction	ppGpp
0.0	0.38934504418760385	1.5388036486253454	1074.4488234230741	79.11763813522329	118.47268532284603	6.782878240347638	32.6273784575077	96.93806237147268	21.64130792905444	2.2038018790079716	76.01866628982022	6.777875656426404	0.006338507408030207	14.767863827289013	2.4440690197484773	0.21204758251550002	0.7967622887340822	0.18444515628405322	0.01879255498186452	0.2737915682994692	0.027876131725200003	4.97967512597667	0.004635385370404201	9.83311484667937
1.0	0.5222867920433354	0.8930120270358303	1214.8356337729756	118.60485800926348	103.89719910706214	7.0543808304829945	48.63828572904475	84.4763002866561	29.488504851003068	3.5383882321666538	53.29133808616574	7.3312890412223854	0.005890227147142007	13.808819967083865	1.1327450863577921	0.15186573477821563	0.7077491766073516	0.2609456162972621	0.03130520709538649	0.24861382335679072	0.029731952891112617	4.652079826193938	0.0038352122774831334	19.666232770609696
2.0	0.5870573509010045	0.5512952059688072	1290.2977667784794	153.06862050422933	82.99245222610308	6.4345837150745	60.42874355110713	66.94134168145837	33.754585493501416	4.912686045906447	28.196800108541122	6.226215775976222	0.005045059257775366	12.320480501896727	0.4863235461671316	0.10428638948630058	0.6125658511515117	0.3381874634358934	0.04924668541259482	0.22053567614452185	0.03205569687789693	4.7249312536811905	0.003682429283908693	29.49934487115961
3.0	0.7014835222935056	0.3577777142250766	1448.1769587260014	197.13968088468292	70.00314794114985	7.076456831488734	75.38779840940693	56.2023657834989	40.44551117023977	6.616230030877736	7.866664626752657	6.102530250088083	0.004937828304268146	11.409004775559602	0.10951164607191688	0.08103670807943508	0.5099073879287433	0.4211544129744226	0.06893819909683405	0.20501903551476386	0.033533138617622076	5.152939696044584	0.003578767275001188	39.33246009394131
4.0	0.7246833963842834	0.27993330035167696	1470.5827938584364	211.34187549528014	59.12293740681862	8.00963333993489	70.5831732003717	47.132510669920705	39.39873238849563	7.236074720492577	1.8773468570680125	7.244502902445873	0.0054986216731234185	9.757798196142032	0.027064754947088394	0.10497751882179752	0.4628613814858223	0.45353847966049055	0.08360013885368714	0.18600570325947272	0.03419170356159466	4.917295673494806	0.003365341112858833	49.16557161960687
5.0	0.7008878523601845	0.2628506846246745	1433.7445836241775	206.87424378703037	54.331459041377	10.394457488224512	65.4691086623239	43.34044399085111	37.790415323989386	7.053107435666105	1.3642178897083685	7.965902643049093	0.007281627735684116	9.290196556797538	0.02081747224035754	0.12193785609773315	0.45210780703763825	0.46157849304009574	0.08631369992226602	0.18246854795320888	0.03409056928379727	4.7416426924189485	0.0033104307401305697	58.998686161862885
6.0	0.6499844096451429	0.2601481152709699	1360.1757009145415	194.8633337520077	50.82024105637459	11.576787277120287	60.701329324510766	40.407456298441076	35.27008753409016	6.7592384318681225	1.4881434129134619	7.617541116719368	0.008613383297133126	8.959139066821344	0.02508988250640404	0.12759205298387746	0.4505112475118885	0.46083535887016014	0.0886533936179514	0.18057085753994015	0.03467481393580363	4.407083484387199	0.003255199952254404	68.83180250960491
7.0	0.5741861803872068	0.25830179593527675	1259.6825825847118	177.25774665250407	45.86969201266501	15.299497822150823	52.30654193364207	36.360542554121416	31.074808545909722	6.056462558721627	2.8236382699944635	7.246515247427718	0.012206178206230442	8.62601174756645	0.053392326731251154	0.13975774219203166	0.45638462723297074	0.4547680616239351	0.08884731114309415	0.17503382866707345	0.03415390166449902	4.463036358685586	0.003553122471834199	78.66491547193216
8.0	0.5268909220440174	0.2649166361000644	1201.2801851748013	167.46957983653425	44.45764444896929	17.11057791616183	48.17285323718061	34.96911233991126	28.941550025463155	5.708708339624258	4.082567208363692	6.996362415536558	0.014248986510468756	8.427587323870542	0.08502561625158839	0.14626734614227177	0.4655858876996891	0.446225520824302	0.0881885914760089	0.1725083609943228	0.0340664583075303	4.529411796652663	0.003783886802160263	88.49803197057331
9.0	0.4594136486398612	0.25668483197448183	1126.5274999163528	154.16886932835993	39.56589913429697	17.795606635922468	42.74216113858658	31.203272219475743	26.253591587087712	5.21470220263765	3.7986739797369786	6.782360758766248	0.015781537338996808	8.19445622328347	0.08941499840847446	0.15930716977582057	0.4617847407725732	0.4489483755692554	0.08926688365817137	0.17008482699045666	0.033796451594881434	3.667308493626824	0.0032633145842979093	98.33114292158507
