variant	growth_rate	rp_ratio	cell_mass	protein_mass	rna_mass	aa_mass	ribosome_mass	rrna_mass	rprotein_mass	enzyme_mass	excess_rrna_mass	excess_rprotein_mass	aa_fraction	ribosomes to enzymes	excess rrna fraction	excess rprotein fraction	rrna synth fraction	rprotein synth fraction	enzyme synth fraction	rprotein protein fraction	enzyme protein fraction	glt	glt fraction	ppGpp
1.0	0.20702817993717895	0.324912124034458	1448.431052200367	191.87671182245086	62.366404120320496	15.287420777206679	73.9446104636327	49.09259281228858	38.15608165013023	6.723873790524643	1.6822071937562548	4.470546326370086	0.010471538097432467	10.995481302440034	0.022714035217315125	0.060478565551644124	0.4830438615408507	0.4394938119578377	0.07746232650131162	0.19882933115925414	0.03504264857476538	6.214686599396018	0.004290797810444902	270.72130348024257
2.0	0.6364898285270567	0.30376909003326213	1672.730298916106	234.88601455451527	71.17449672486624	9.890285381710303	85.09126331328808	56.60354007367395	45.73729936082058	8.08610630589799	2.0463575940237493	6.973896076779174	0.005863345639427731	10.541164114062937	0.023877127959940563	0.08101576745680843	0.47372526611382004	0.4471908064617053	0.0790839274244747	0.19496939147896772	0.034480372907495345	6.1552277991549715	0.0036793246846221835	78.94910447245512
3.0	0.8543196071509244	0.3081381894713405	1794.630009901876	251.45134546284478	77.455333584426	9.297566828978093	93.27379518211909	61.60875403228948	48.99381154082554	8.492718488075903	1.8052528716043308	6.502848336228982	0.00522128643792995	10.959346482716223	0.01957363177909377	0.0702327511936841	0.47756321136772045	0.4451668261343643	0.07726996249791522	0.19517238409375393	0.03387932569399516	5.790058165366171	0.0032586397387344636	50.19905703765628
4.0	0.9316915340869989	0.30606806010481497	1873.6639297484041	248.62802168269326	75.95532766521896	29.260130694740752	91.50354447075709	60.47817017305294	48.546757375300196	8.76232387303028	1.8096843750956988	6.862233510847633	0.014731066116663078	10.475221008489726	0.019931167819540106	0.0745568073086667	0.47428459498051234	0.4454664932481706	0.08024891177131704	0.19550597321703425	0.035214401952905684	5.799597057233193	0.0031134481851663332	59.2586921843678
5.0	1.1791856328532362	0.30950489937840236	2074.358555626203	248.53404695097097	76.92678304421172	65.88592917386292	93.09875875746751	61.17275451878243	48.76996088204512	8.652016489495015	1.481479852198593	6.358735681727393	0.02915389043191902	10.760869813818982	0.016171884987582024	0.06841773213936476	0.4761050293864493	0.4449740904084544	0.07892088020509633	0.19631097288853874	0.034817829211969825	5.598492018302629	0.002697214479448716	58.34914482689541
6.0	0.8032285322359505	0.30344975722709294	1788.925156236588	250.88109270910968	75.89634461106498	11.536423414601186	91.81721225941456	60.62455004781415	49.26489803781626	8.821941963338622	1.7549527594707781	7.437482523674856	0.006314670878508098	10.452169884409257	0.019180298493419016	0.07999365622173667	0.47172431966427963	0.44816293486018155	0.08011274547553889	0.1966008278035465	0.035137090874720646	6.195279628953521	0.0034551610475450274	55.87127728837436
7.0	0.9283810218823494	0.30758186775192115	1853.0180817439307	259.94965109085996	79.81171445436932	9.837573979799922	96.93274433908702	64.00618908210022	51.545671285799735	9.03380965001744	1.8567131518844304	7.38787042661165	0.0052803253766315625	10.719074559823492	0.019640326553118915	0.07544489788691915	0.47467168511873226	0.44681799022782687	0.07851032465344085	0.19815623637223387	0.034820091968945206	6.187906070947761	0.0033435333884499845	40.397786238948314
8.0	0.8302086759664317	0.30708916770614064	1795.8699858181817	252.9457233165337	77.57158158064135	8.18738313636319	92.97006590898124	61.69858439742899	49.623369458408604	8.86515036016796	2.089822540566183	7.270770403612759	0.004601046647024881	10.522738771791177	0.0224128849625074	0.07749907231883627	0.4743847474907832	0.44606266267217276	0.0795525898370441	0.19634377982813825	0.03501345199200887	5.949633493195648	0.0033322463790953867	52.006949162345904
9.0	0.8823044064707489	0.30861619903081394	1820.0095808323597	255.8094933061109	78.89038699733966	8.322447495641843	95.08060818424103	63.01515945346675	50.70039397965928	8.827972029656832	2.053200622451337	7.386335449726722	0.004593453727634963	10.764167263183785	0.021837775997641397	0.07731810219806	0.47505619064458887	0.44700698367789005	0.07793682567752111	0.19817757991273485	0.03455319641050617	6.189780076926122	0.003399589642455724	46.7741496469839
10.0	0.7946150505477015	0.3025143204340646	1760.6167695028203	249.7047416632191	75.29265508451287	8.157803257236495	90.42247737443824	60.00917807721248	48.392943297322205	8.53184456821364	2.033830123847586	7.200900543150329	0.004653764079622517	10.622601401661813	0.02259551249189805	0.0789541178504729	0.47425131002382936	0.44700159167934705	0.07874709829682358	0.19422339572930164	0.03421223799494487	6.01540031805979	0.0034177870937479814	52.41482470586454
