Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std
0	0.5746301521510758	0.1190151224274138	0.7569316385874356	0.11903775601437892
3	0.2751889877727517	0.11069631478987157	1.4907496943534633	0.41548285948534447
4	0.533056446283556	0.07611301194819449	0.7275636519628005	0.07846805546022582
5	0.4693766698360133	0.14465694665717344	0.919614184644653	0.2934585916608325
6	0.5318430493497459	0.09939554398714381	0.8080772790697982	0.12662118312462176
7	0.4639738443730091	0.16734344360722697	0.8132970348314082	0.12834743286609337
8	0.48873973316473457	0.10784991726515078	0.757430610045813	0.12256995223778523
9	0.4998304340999226	0.31166880997581936	0.9136384641660862	0.19407073401788225
10	0.5359590731119617	0.10534831777384253	0.7906514817726034	0.1120809462559951
11	0.5234579731557926	0.11407160979281243	0.8250689296202872	0.0969773260235775
12	0.5307165251516909	0.1128222685380572	0.7471249518341524	0.08735095867016163
13	0.5041570441115162	0.16493322686024095	0.7755984076363931	0.1496609822919236
14	0.610112966882875	0.1222720702559918	0.7561068496548332	0.09727004987027582
15	0.6053166607203958	0.35174414142691046	0.7003183467232644	0.11930840763929505
16	0.5675841141819049	0.33372387618391514	0.742856322992185	0.16492651492305527
17	0.5909374550582418	0.13628269417821418	0.7091620168329773	0.08475241560324574
18	0.6752432808229054	0.10609448073961124	0.5966620599603131	0.07277304418875416
20	0.38906383797966654	0.056822585327002136	1.0616766157202402	0.1772653702062097
21	0.48909044357430237	0.12302758857273056	0.7901591418745231	0.09964405558809775
22	0.5017978476982251	0.11713024942174485	0.9132944966701293	0.18439891097666375
23	0.5915138405718361	0.11577423520600127	0.7282863184755162	0.0680163695542637
24	0.6307850142896986	0.102868114254309	0.690443360095412	0.0900607404760854
25	0.7490683386708715	0.10407463262904187	0.5597963396574059	0.0500782450569133
26	1.0631776987677293	0.10149542322947798	0.48943018450032283	0.04884940057782444
27	1.2826456808186286	0.19959608954612887	0.37112973703380714	0.02900914539059615
28	0.3468029205757759	0.1617709747894078	1.2325128717388183	0.344096159846893
29	0.5563659731479608	0.1310611746528441	0.7368457563317373	0.1105955542949936
30	0.5270226318320508	0.16791522041099924	0.750121854085034	0.15084485353685984
31	0.5845613429955785	0.13221127579100844	0.7069758755541227	0.08177425508381159
32	0.5200565078595403	0.16297903746191705	0.7249411029767989	0.11837242873901854
33	0.5059909760224287	0.14317454308702943	0.8033990848679979	0.19460989931867498
34	0.5776702468758181	0.09742388052103552	0.7023849695601421	0.07198600832667526
35	0.4744854553378229	0.11608424626933837	0.7486638782321656	0.12709051158794973
36	0.4238231947422032	0.13909664492759086	0.7978815574786022	0.11214562553396633
