Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std
74	0.5162516182793394	0.06692785870799155	0.24431116051645316	0.014005175776914342
77	0.36662270408684067	0.06089744093309516	0.3448943067520185	0.04978494966896805
78	0.5244476722111489	0.07699407507849058	0.2515096730509694	0.023452478991167064
79	0.5259780442607648	0.10230891482763119	0.2549562447775253	0.020179010778689416
80	0.541188251327696	0.08267299275525511	0.2595155537408315	0.019018566350196962
81	0.5409023961956739	0.09199428187826085	0.28103881131821695	0.031184707972622024
82	0.4809189595803533	0.08169277956293923	0.2808717975204856	0.015468922787520295
83	0.4675660292293188	0.16084866389381086	0.3440254491575245	0.04868154400813441
84	0.5281923278492895	0.07571947503319815	0.25607690527404925	0.02067736174062858
85	0.5169327613352664	0.2548671566822337	0.24719151659587243	0.02306040629563672
86	0.5365001941663378	0.07815579840938988	0.25308987159177665	0.013897676751777227
87	0.5403451766407019	0.06958059477943887	0.2565354487949432	0.012245330096756275
88	0.5269238769439547	0.07448131380540512	0.2562192413284849	0.024181173261826717
89	0.5396648421292128	0.3733434061119364	0.2568418393900972	0.014638541445730695
90	0.5266081126000507	0.065121908804713	0.25572210606419404	0.018409794368535796
91	0.49822668064986075	0.37191444820431907	0.2436428184036998	0.02778430748664847
92	0.5063283388222548	0.103925025747748	0.24598214274977856	0.024238950429979863
93	0.3872498573205745	0.08613872534890409	0.35783635908394995	0.04450619166392692
94	0.5087089863942502	0.10187041509806302	0.24958223059866985	0.014506638045832396
95	0.5414992356680725	0.3686608048008474	0.2695079508064885	0.0132256744137377
96	0.5315108437035599	0.057240303117600574	0.25484722001574517	0.021352868732056936
97	0.545835043816674	0.0756446797500277	0.27036246177897544	0.01611377981792103
98	0.5457476943186882	0.07970635070571146	0.259620902309183	0.010005004934017441
99	0.5291423708655574	0.10196452477137194	0.2581580974917373	0.017517654137199665
100	0.5062310104903319	0.06130829325419002	0.24337214377974642	0.013514689918576501
101	0.5082694757574314	0.06470095775985746	0.2615978076931999	0.026065409429696023
102	0.2890310835716517	0.0378801567115003	0.33700241652211677	0.023379223956786266
103	0.43649316867599786	0.16698451050533455	0.27194570301932564	0.028132632518625498
104	0.5006472339534013	0.3548207650794509	0.2611738834152207	0.013003387821998436
105	0.5033297667358753	0.05742282995983553	0.2552326803218514	0.018128677095214808
106	0.5440342998570057	0.35284114870040567	0.27470990130548645	0.02215111592756325
107	0.5298527537754625	0.07611286440468107	0.24594013199107032	0.023741356445439347
108	0.5706939607789349	0.0779828946342853	0.2592899972371114	0.0156580303128784
109	0.5881347957539628	0.08371638246668552	0.26285733760605645	0.01641272456681024
110	0.5883433623175491	0.08117683682257848	0.26418882886414846	0.01089926392134687
