Variant	Growth mean	Growth std	R/P ratio mean	R/P ratio std	R/(P+A) ratio mean	R/(P+A) ratio std
0	0.44040607430099277	0.12563971418068426	1.4915065874501234	0.2814496829477444	1.3659215577420638	0.2322843187230909
1	0.5501371947008279	0.1235223735231324	0.8463406349450922	0.15347819716905725	0.799075094358775	0.13107128947017857
2	0.6170332366344744	0.11346848897438286	0.526288053150615	0.09352686902344698	0.504944232738394	0.08572317261120377
3	0.7316126529128479	0.1047146180232813	0.3588107327201052	0.040254793307888906	0.3463312849748992	0.03758025503766702
4	0.7435864688716465	0.09412129397036856	0.2810959272460782	0.03042030066372223	0.2711701023760929	0.030234568169977803
5	0.7118401001577708	0.07054490863885025	0.2639608391302289	0.017920865511069972	0.2518901370967435	0.01754862025982382
6	0.6556817791733232	0.06254570880096057	0.26311309499612956	0.01765834806243171	0.24843286014188332	0.018778992805339872
7	0.576392435922079	0.054424018395379956	0.26113680859199445	0.02363956022422013	0.24113165829310257	0.023852230311811547
8	0.5236912960924268	0.06041451199391227	0.26611272285734416	0.020048399041230847	0.24283170654688646	0.019426468669654567
9	0.4636848540944594	0.04013222256074429	0.26149841836756066	0.022134608065876592	0.23551592122103326	0.020635557293452733
10	1.7435972970218772	0.1516644290283096	0.5630213646622046	0.040997433434318054	0.4628456592952807	0.03668808983439962
11	1.5265252847245532	0.16977403787896617	0.45402711921307803	0.03639452043646922	0.357450049432611	0.03137085236035562
12	1.2537796692547605	0.14039194348579545	0.3868173208871017	0.03274950326058576	0.2946065009781875	0.030746848592518628
13	1.031918732781788	0.1304531390846611	0.3401351435041381	0.027648149906013848	0.2428149896172406	0.024695658745721483
14	0.9068548131036711	0.15757593240396142	0.3278140667595862	0.019472630306243653	0.22416239368660043	0.025135088900006066
15	0.8547249846696344	0.1564186264898823	0.3293364755661314	0.028446488874714345	0.2066979560572037	0.029681085041488715
16	0.7319050554017492	0.16453169162014394	0.3166524850787404	0.030376365455475014	0.18311127141673256	0.035804087932457145
17	0.6152321569516609	0.13138115518338642	0.3224829212308847	0.034939941576032967	0.185677959830927	0.031667875470384334
18	0.5539055194271112	0.1542071730681646	0.34699387107297286	0.034395839750880744	0.19476774076166742	0.025938118218076046
19	0.4939888464011597	0.13037656435205944	0.34184562178263495	0.03991338335689065	0.17691891767214366	0.03238566463841657
