Parameter	Factor	ppGpp	Ribosomes	Elongation Rate	Average AA	Average tRNA	AA_0	AA_1	AA_2	AA_3	AA_4	AA_5	AA_6	AA_7	AA_8	AA_9	AA_10	AA_11	AA_12	AA_13	AA_14	AA_15	AA_16	AA_17	AA_18	AA_19	tRNA_0	tRNA_1	tRNA_2	tRNA_3	tRNA_4	tRNA_5	tRNA_6	tRNA_7	tRNA_8	tRNA_9	tRNA_10	tRNA_11	tRNA_12	tRNA_13	tRNA_14	tRNA_15	tRNA_16	tRNA_17	tRNA_18	tRNA_19
Baseline		10.195787799854449	18.108043828875406	17.295045521725896	71.7434811988232	7.951398622218228	115.91049618424503	90.87188548119441	21.445620299965746	65.15259777107191	87.319149930443	43.24114509265266	74.45188423969695	69.06045225441714	65.57180000956825	59.75263846714578	80.3955408969363	110.43022515559426	36.392057925670564	103.20218468775464	73.16981064338036	80.83303989273014	31.792169603366265	69.96185459820998	122.6172773224778	33.29779351994273	8.642220473253287	8.563911173490386	1.2231562151881317	8.395832076510526	8.548179125116967	7.976224949586297	8.474459921336289	8.432401979106292	8.400046143103236	8.333878879189722	8.512325521221792	8.628729848767412	7.633446170638653	8.608265115506448	8.465211291609014	8.514827086785575	7.203951215274349	8.44004802291292	8.656796629292055	7.374060606475238
tau	0.1	0.8908523521930163	1.4308286500751202	0.5421494139061835	1.3108454478698741	0.1148231826011268	1.241879599416348	1.2727468089170109	1.735339528493118	1.329154590925201	1.2785606662335776	1.4301461135351925	1.304261203175423	1.3178769261046253	1.327880451951844	1.347165841659864	1.2913672112535954	1.2474390236587287	1.4866622058231542	1.2556743879274794	1.3073171577200164	1.2904930384137023	1.5382876685161382	1.3154543927431754	1.2357521799429065	1.5198194761670587	0.11990649986193307	0.11707924588884341	0.395955372081777	0.1120722629201348	0.11655275924164432	0.10398770241374958	0.11425220400530764	0.11305333731382823	0.11218252731141494	0.11053057915908371	0.11540066429576536	0.11939361295230821	0.10040696644048029	0.11863669779040734	0.11398183378631506	0.11547895692907421	0.09835678964810302	0.11326553175741645	0.12047349210509498	0.09890186400907763
tau	0.2	0.9077020135652497	1.241426675374701	0.7084147008747336	1.1396947165764504	0.2130148907804488	1.108700905150916	1.1225729366554065	1.3304649511283584	1.1479230444104862	1.1251857355860464	1.1933093049196064	1.1367357685616197	1.1428547786496583	1.1473504370822027	1.1560174286195888	1.1309411052415042	1.1111993712118542	1.2187079791378097	1.114900429018694	1.1381091383235633	1.1305482447682582	1.2419087632441892	1.1417660739400082	1.1059471720897762	1.2336090509248376	0.2225933882115695	0.21871002133563922	0.501907631739241	0.21122332532548127	0.2179617449974642	0.19664069112880875	0.21458954021197774	0.21276046731990847	0.21139798961103298	0.2087273438293184	0.2162945177017862	0.22190501117686323	0.18807771356483752	0.22087640685001472	0.2141815753047215	0.2164091522685147	0.18053419882196084	0.21308804551644558	0.22334652073481942	0.18314960490772814
tau	0.5	0.9604873787678524	1.0755503713920656	0.8967140409561282	1.0344339025073988	0.5079455592330373	1.0267941152082214	1.030213487227776	1.0814576121256037	1.03646213566167	1.0308575263854856	1.0476495746085366	1.0337045397509041	1.0352128387720398	1.0363209914148113	1.0384573524623624	1.0322761902449389	1.0274099720130814	1.0539101942872793	1.0283222604213387	1.0340430671008765	1.0321793525111906	1.0596290473219185	1.0349444796383453	1.0261153366255265	1.0575832184083425	0.5188646025933548	0.5155131716466292	0.6649536624539328	0.5085700449047145	0.5148489258748582	0.49265617977099235	0.5117761084211668	0.5100521058583161	0.5087400267380319	0.5060949556619002	0.5133462907744666	0.518281859732711	0.48107218934856355	0.5174021525102955	0.5113951953952172	0.5134506291552184	0.46824419109268944	0.5103639669045493	0.5194967718618456	0.47310647434968384
tau	0.9	0.99464832297153	1.009202393906387	0.9866548111000937	1.0039105404056388	0.9016218028456155	1.0030429159209007	1.0034312422931018	1.0092508620991993	1.0041408799001752	1.0035043836150312	1.0054113990352938	1.0038277091746772	1.003999001530048	1.0041248506313407	1.0043674698405523	1.0036654964119982	1.0031128566695098	1.0061223961757109	1.0032164621403241	1.003866154566686	1.0036544988821516	1.0067718667333996	1.003968524902103	1.0029658293614319	1.0065395289486352	0.9042919917747501	0.9035475294179142	0.9308844451218445	0.9019657716501115	0.90339853962389	0.898117537828966	0.9027029535161198	0.9023080248853905	0.9020051561443287	0.9013884076295221	0.9030597080505502	0.9041634054914294	0.8950883307739906	0.9039686107832184	0.9026159879327043	0.9030833163659677	0.8914532995185355	0.902379717875755	0.9044310806482406	0.8928704932845092
tau	1.1	1.004603347645268	0.9922894914723205	1.0113614154436459	0.9967746647897986	1.098366048090121	0.9974902640446006	0.9971699802496151	0.9923700746822092	0.9965846853994195	0.99710965475582	0.9955367867263261	0.9968429823259577	0.9967017038304616	0.9965979060185173	0.9963977985660785	0.9969767721557055	0.9974325783194155	0.9949503705603663	0.9973471266072751	0.9968112733385361	0.9969858426975138	0.9944147002845212	0.9967268403412791	0.9975538434911123	0.9946063278244895	1.0955602839530132	1.096323824101251	1.0695696061601905	1.0979563636655558	1.0964769991514665	1.1019889476696532	1.0971937624607309	1.0976019252719584	1.0979155429523983	1.0985558044651509	1.0968258084491134	1.0956919480419134	1.105228139457346	1.095891577746864	1.097283566608802	1.0968014841706486	1.1091985676015481	1.0975277642385146	1.0954179675075628	1.107639150798729
tau	2	1.0282510291625786	0.9552961073689038	1.068296766708916	0.9818916631764655	1.9833589590410938	0.9859093269206156	0.9841111241104142	0.9571625122394021	0.9808250420141887	0.9837724323808652	0.9749417148891562	0.9822752254653551	0.9814820308311006	0.9808992679187976	0.9797757837183814	0.9830263757002191	0.9855854559200793	0.971649337272581	0.9851056954348026	0.982097198380683	0.9830773013918269	0.9686418676146406	0.981623157372931	0.9862662876572436	0.9697177421555055	1.952124815148717	1.9601813486051811	1.70433538394842	1.9776444676076406	1.9618059893645146	2.0222521540757747	1.9694461621005224	1.973825087833357	1.9772037867609946	1.9841400123253228	1.965516211266688	1.953509129105352	2.059742852699518	1.955611949791772	1.9704078458662766	1.965256998441554	2.107985841588138	1.9730279238183346	1.950630802649663	2.0887159649278733
tau	5	1.0494331906940813	0.9252874992374349	1.1176939327206186	0.9704579144247261	4.932383667838514	0.977012363173031	0.9740787607202489	0.9301145817758466	0.9687178200963564	0.973526216322747	0.9591197131491849	0.9710836609815621	0.9697896369088688	0.9688389128310214	0.9670060517173376	0.9723090934846923	0.9764839974312095	0.9537485019569982	0.9757013123367003	0.9707932261712308	0.9723921740654389	0.9488420918816257	0.9700198718783697	0.9775947117751839	0.9505972822213022	4.796120679989215	4.829731437434053	3.8401742528786382	4.903395834302589	4.836537522432133	5.096852185411705	4.868673267421136	4.887188416693319	4.901523038581126	4.931085194547121	4.852116645368395	4.801879318075824	5.265765474238482	4.810639972024857	4.872733423122565	4.851026587715412	5.49253378043235	4.883812528992015	4.789913352206299	5.400613253092064
tau	10	0.5391545211316938	0.9187388696651596	1.1396101290897633	0.9510776834326131	9.940600629470868	0.9624938526884651	0.956867341808729	0.9214359682323876	0.9469208784936489	0.9558258979112594	0.9297881811509647	0.9512712784842667	0.9488852293321409	0.9471422942862827	0.9438043606844922	0.9535471619037161	0.9614657723681448	0.9207586866063366	0.959956076831915	0.9507342881435205	0.953702093873559	0.9134200858611775	0.9493085629014837	0.9636366411020494	0.9158861247643694	9.572862205683808	9.649484767501148	14.613046905707023	9.81769343656939	9.665010470715728	10.261032221511256	9.738360509667487	9.780653357507596	9.813412514102101	9.881013257572523	9.700561015168438	9.585984380202774	10.649704156806209	9.605951870633644	9.747632869655586	9.698073025655777	11.173555257998427	9.772940350707762	9.55872033175627	10.960919412739525
sTot	0.1	4.749201760290787	0.7120603029791418	0.5459919765994051	5.2692266524607225	0.35176143532805987	4.321530714807006	4.7457718927750925	11.101220368277051	5.52089383517365	4.825669268861788	6.908468200253384	5.1788394489463485	5.36593236319333	5.5033866213232345	5.7683719678822225	5.001657397250421	4.39794709537367	7.684923223479772	4.5111386360405765	5.220831708360796	4.9896447390670975	8.39416943317988	5.3326449082681755	4.237302048930564	8.140449520174725	0.4326493083159761	0.4026165168359254	0.05452617568637247	0.35041528143892964	0.39707938693158945	0.26474861044895165	0.3730401070635793	0.3605865810946766	0.3515579850870783	0.33443463484123953	0.3850123065750334	0.4271598419527652	0.22069233320406725	0.41909361746704943	0.3702282723826562	0.38583037938226505	0.1826299245797476	0.3627883435371999	0.43874140335815565	0.1960176163208008
