"Metabolite ID"	"Comments"
"alatrna"	"tRNA not modeled in metabolism"
"argtrna"	"tRNA not modeled in metabolism"
"asntrna"	"tRNA not modeled in metabolism"
"asptrna"	"tRNA not modeled in metabolism"
"cystrna"	"tRNA not modeled in metabolism"
"fmettrna"	"tRNA not modeled in metabolism"
"glntrna"	"tRNA not modeled in metabolism"
"glytrna"	"tRNA not modeled in metabolism"
"histrna"	"tRNA not modeled in metabolism"
"iletrna"	"tRNA not modeled in metabolism"
"leutrna"	"tRNA not modeled in metabolism"
"lystrna"	"tRNA not modeled in metabolism"
"mettrna"	"tRNA not modeled in metabolism"
"phetrna"	"tRNA not modeled in metabolism"
"protrna"	"tRNA not modeled in metabolism"
"sectrna"	"tRNA not modeled in metabolism"
"sertrna"	"tRNA not modeled in metabolism"
"sertrna(sec)"	"tRNA not modeled in metabolism"
"thrtrna"	"tRNA not modeled in metabolism"
"trnaala"	"tRNA not modeled in metabolism"
"trnaarg"	"tRNA not modeled in metabolism"
"trnaasn"	"tRNA not modeled in metabolism"
"trnaasp"	"tRNA not modeled in metabolism"
"trnacys"	"tRNA not modeled in metabolism"
"trnagln"	"tRNA not modeled in metabolism"
"trnagly"	"tRNA not modeled in metabolism"
"trnahis"	"tRNA not modeled in metabolism"
"trnaile"	"tRNA not modeled in metabolism"
"trnaleu"	"tRNA not modeled in metabolism"
"trnalys"	"tRNA not modeled in metabolism"
"trnamet"	"tRNA not modeled in metabolism"
"trnaphe"	"tRNA not modeled in metabolism"
"trnapro"	"tRNA not modeled in metabolism"
"trnasecys"	"tRNA not modeled in metabolism"
"trnaser"	"tRNA not modeled in metabolism"
"trnathr"	"tRNA not modeled in metabolism"
"trnatrp"	"tRNA not modeled in metabolism"
"trnatyr"	"tRNA not modeled in metabolism"
"trnaval"	"tRNA not modeled in metabolism"
"trptrna"	"tRNA not modeled in metabolism"
"tyrtrna"	"tRNA not modeled in metabolism"
"valtrna"	"tRNA not modeled in metabolism"
