"Object ID"	"Primary Name"	"Synonyms"
"EG11979"	"rfbC"	"[rfbC, rfbD, rmlC, b2038, ECK2032]"
"EG11991"	"yehE"	"[yehE, b2112, ECK2105]"
"EG12302"	"tmk"	"[tmk, ycfG, b1098, ECK1084]"
"EG12320"	"yadG"	"[yadG, b0127, ECK0126]"
"EG11428"	"sthA"	"[sthA, sth, udhA, b3962, ECK3954]"
"EG10649"	"ndh"	"[ndh, b1109, ECK1095]"
"EG11650"	"yafD"	"[yafD, b0209, ECK0209]"
"EG11045"	"udp"	"[udp, b3831, ECK3825]"
"EG10818"	"rbsK"	"[rbsK, b3752, ECK3746]"
"EG11257"	"dgcC"	"[dgcC, yaiC, adrA, b0385, ECK0380]"
"EG10566"	"manA"	"[manA, pmi, b1613, ECK1608]"
"G7468"	"yqeJ"	"[yqeJ, b2848, ECK2846]"
"EG10413"	"gpp"	"[gpp, gppA, b3779, ECK3771]"
"EG10290"	"fecE"	"[fecE, b4287, ECK4277]"
"EG12411"	"rfbD"	"[rfbD, rmlD, b2040, ECK2034]"
"EG10468"	"hyaA"	"[hyaA, b0972, ECK0963]"
"G7015"	"yobB"	"[yobB, b1843, ECK1844]"
"EG11971"	"nupC"	"[nupC, cru, b2393, ECK2388]"
"EG10053"	"araB"	"[araB, b0063, ECK0064]"
"G6273"	"ylbG"	"[ylbG, b0502, ECK0495]"
"EG11789"	"gmm"	"[gmm, nudD, wcaH, yefC, b2051, ECK2045]"
"G6742"	"ydcL"	"[ydcL, b1431, ECK1424]"
"EG10994"	"tdk"	"[tdk, b1238, ECK1233]"
"G6423"	"ybiT"	"[ybiT, b0820, ECK0810]"
"EG11060"	"ushA"	"[ushA, b0480, ECK0474]"
"EG11227"	"fdnG"	"[fdnG, b1474, ECK1468]"
"G6354"	"ybeT"	"[ybeT, b0647, ECK0640]"
"EG10810"	"pyrG"	"[pyrG, b2780, ECK2774]"
"M009"	"hcaE"	"[hcaE, yfhU, digA, phdC1, hcaA, hcaA1, b2538, ECK2535]"
"EG11181"	"bfd"	"[bfd, yheA, b3337, ECK3324]"
"EG10161"	"cpsB"	"[cpsB, rfbM, manC, mni, b2049, ECK2043]"
"EG12448"	"ybcH"	"[ybcH, b0567, ECK0559]"
"EG10223"	"deoR"	"[deoR, nucR, b0840, ECK0830]"
"EG12275"	"xylG"	"[xylG, b3567, ECK3556]"
"EG12412"	"rfbB"	"[rfbB, som, rmlB, b2041, ECK2035]"
"EG10318"	"fldA"	"[fldA, b0684, ECK0672]"
"EG11882"	"yiiX"	"[yiiX, b3937, ECK3929]"
"EG11700"	"pnuC"	"[pnuC, b0751, ECK0740]"
"G6710"	"paaB"	"[paaB, ynbF, b1389, ECK1386]"
"EG11889"	"dctR"	"[dctR, yhiF, b3507, ECK3491]"
"EG11978"	"rfbA"	"[rfbA, rmlA, som, b2039, ECK2033]"
"EG11464"	"yigF"	"[yigF, b3817, ECK3811]"
"EG10835"	"relA"	"[relA, RC, b2784, ECK2778]"
"EG10771"	"proV"	"[proV, osrA, proU, b2677, ECK2671]"
"G6390"	"lysY"	"[lysY, lysTg, lysTgamma, b0747, ECK0736]"
"EG10932"	"sdhB"	"[sdhB, dhsB, b0724, ECK0713]"
"G7861"	"yjfY"	"[yjfY, b4199, ECK4195]"
"EG10795"	"purH"	"[purH, b4006, ECK3998]"
"G6094"	"ldcC"	"[ldcC, ldc, ldcH, b0186, ECK0185]"
"G7689"	"tldD"	"[tldD, yhdO, b3244, ECK3233]"
"EG30101"	"thrT"	"[thrT, b3979, ECK3970]"
"G7349"	"yfiP"	"[yfiP, b2583, ECK2581]"
"EG10220"	"deoB"	"[deoB, tlr, drm, thyR, b4383, ECK4375]"
"EG10678"	"oppF"	"[oppF, b1247, ECK1241]"
"EG30058"	"metT"	"[metT, metTalpha, b0673, ECK0661]"
"EG11858"	"fdoG"	"[fdoG, b3894, ECK3887]"
"G6994"	"yoaC"	"[yoaC, b1810, ECK1808]"
"EG10361"	"gabT"	"[gabT, b2662, ECK2656]"
"EG12286"	"sgbU"	"[sgbU, yiaR, b3582, ECK3571]"
"G7571"	"mqsA"	"[mqsA, ygiT, b3021, ECK3012]"
"EG30042"	"hisR"	"[hisR, hisT, b3797, ECK3790]"
"G6668"	"ynaJ"	"[ynaJ, b1332, ECK1328]"
"EG11329"	"gabD"	"[gabD, b2661, ECK2655]"
"G7341"	"yphE"	"[yphE, b2547, ECK2544]"
"EG30024"	"aspU"	"[aspU, b0206, ECK0206]"
"EG12656"	"mdaB"	"[mdaB, mda66, b3028, ECK3019]"
"G6331"	"ybdN"	"[ybdN, b0602, ECK0596]"
"EG12386"	"csiR"	"[csiR, ygaE, gabC, b2664, ECK2658]"
"EG11845"	"yihS"	"[yihS, squS, b3880, ECK3873]"
"EG11390"	"uspA"	"[uspA, b3495, ECK3480]"
"EG30008"	"alaT"	"[alaT, talA, b3853, ECK3845]"
"EG12421"	"ybiI"	"[ybiI, b0803, ECK0792]"
"G7502"	"guaD"	"[guaD, ygfP, b2883, ECK2879]"
"EG12801"	"mlaF"	"[mlaF, vpsA(S.f.), yrbF, b3195, ECK3184]"
"EG30114"	"valY"	"[valY, valUgamma, b2403, ECK2397]"
"EG11801"	"hybC"	"[hybC, b2994, ECK2988]"
"EG11807"	"yebF"	"[yebF, b1847, ECK1848]"
"G7293"	"maeB"	"[maeB, ypfF, b2463, ECK2458]"
"EG10350"	"fucK"	"[fucK, b2803, ECK2798]"
"G6749"	"hicB"	"[hicB, ydcQ, b1438, ECK1432]"
"EG30095"	"serV"	"[serV, supD, b2695, ECK2690]"
"EG11155"	"ygdB"	"[ygdB, b2824, ECK2820]"
"G7040"	"yedL"	"[yedL, b1932, ECK1931]"
"EG11959"	"alsA"	"[alsA, yjcW, b4087, ECK4080]"
"EG30055"	"lysT"	"[lysT, supL, supG, sua, lysTalpha, Su[beta], b0743, ECK0732]"
"EG10469"	"hyaB"	"[hyaB, b0973, ECK0964]"
"G7746"	"yhgF"	"[yhgF, b3407, ECK3394]"
"EG12164"	"ytjC"	"[ytjC, gpmB, b4395, ECK4387]"
"G7723"	"frlB"	"[frlB, yhfN, b3371, ECK3359]"
"G6337"	"rnk"	"[rnk, b0610, ECK0603]"
"EG30039"	"glyW"	"[glyW, ins, mutC, suA58, suA78, b1911, ECK1910]"
"G7261"	"yfeS"	"[yfeS, b2420, ECK2415]"
"EG11699"	"gpmA"	"[gpmA, gpm, b0755, ECK0744]"
"EG10558"	"malK"	"[malK, malB, b4035, ECK4027]"
"EG30021"	"asnU"	"[asnU, b1986, ECK1981]"
"EG11228"	"fdnH"	"[fdnH, b1475, ECK1469]"
"G6955"	"ynjH"	"[ynjH, b1760, ECK1758]"
"EG11685"	"yicI"	"[yicI, b3656, ECK3646]"
"G6986"	"dmlA"	"[dmlA, ttuC, yeaU, b1800, ECK1798]"
"EG10949"	"sfsA"	"[sfsA, sfs, sfs1, b0146, ECK0145]"
"EG30111"	"valV"	"[valV, b1665, ECK1661]"
"G6624"	"ymgE"	"[ymgE, tag, b1195, ECK1183]"
"EG11517"	"glpX"	"[glpX, b3925, ECK3917]"
"G6800"	"lsrA"	"[lsrA, ego, ydeX, b1513, ECK1506]"
"EG30092"	"selC"	"[selC, fdhC, b3658, ECK3648]"
"G7429"	"casB"	"[casB, ygcK, cse2, b2759, ECK2754]"
"G6194"	"yahO"	"[yahO, b0329, ECK0327]"
"EG11447"	"csrA"	"[csrA, zfiA, b2696, ECK2691]"
"G6653"	"ycjS"	"[ycjS, b1315, ECK1310]"
"G7715"	"yheO"	"[yheO, b3346, ECK3333]"
"EG30052"	"leuW"	"[leuW, feeB, b0672, ECK0660]"
"EG12225"	"yhiJ"	"[yhiJ, b3488, ECK3473]"
"EG11245"	"yggF"	"[yggF, yggK, b2930, ECK2926]"
"EG12627"	"dppD"	"[dppD, b3541, ECK3528]"
"EG30036"	"glyT"	"[glyT, sumA, sup15B, supA36, b3978, ECK3969]"
"EG11398"	"hdeA"	"[hdeA, yhiB, yhhC, b3510, ECK3494]"
"EG11749"	"yadE"	"[yadE, b0130, ECK0129]"
"EG11239"	"ybhA"	"[ybhA, b0766, ECK0755]"
"EG12734"	"uxaA"	"[uxaA, ygjW, b3091, ECK3082]"
"EG11731"	"ravA"	"[ravA, yieN, b3746, ECK3740]"
"EG30018"	"argY"	"[argY, argVbeta, b2693, ECK2688]"
"EG11127"	"yciG"	"[yciG, b1259, ECK1253]"
"EG10948"	"maeA"	"[maeA, sfcA, b1479, ECK1473]"
"EG11630"	"potG"	"[potG, b0855, ECK0846]"
"G7991"	"cysT"	"[cysT, b1910, ECK1909]"
"G7426"	"casE"	"[casE, ygcH, cse3, cas6e, b2756, ECK2751]"
"G7651"	"yhbT"	"[yhbT, b3157, ECK3145]"
"EG10759"	"ppsA"	"[ppsA, pps, b1702, ECK1700]"
"EG11957"	"alsE"	"[alsE, yjcU, b4085, ECK4078]"
"G7595"	"aer"	"[aer, yqjJ, air, b3072, ECK3062]"
"EG30108"	"tyrV"	"[tyrV, tyrTbeta, b1230, ECK1225]"
"G7180"	"yfbN"	"[yfbN, b2273, ECK2267]"
"EG10703"	"pgk"	"[pgk, b2926, ECK2922]"
"EG10452"	"hisP"	"[hisP, b2306, ECK2300]"
"EG30066"	"proK"	"[proK, proV, b3545, ECK3532]"
"EG10571"	"mazE"	"[mazE, chpAI, chpR, b2783, ECK2777]"
"G6928"	"ydiY"	"[ydiY, b1722, ECK1720]"
"EG10702"	"pgi"	"[pgi, b4025, ECK4017]"
"EG11708"	"glvG"	"[glvG, yidM, b3681, ECK3673]"
"EG11431"	"yfeC"	"[yfeC, b2398, ECK2392]"
"EG30049"	"leuT"	"[leuT, b3798, ECK3791]"
"G6549"	"ymdA"	"[ymdA, b1044, ECK1030]"
"EG10688"	"pck"	"[pck, pckA, b3403, ECK3390]"
"G6752"	"ydcT"	"[ydcT, b1441, ECK1435]"
"EG30033"	"gltU"	"[gltU, tgtC, b3757, ECK3751]"
"EG12634"	"cas3"	"[cas3, ygcB, b2761, ECK2756]"
"G0-16640"	"ytiA"	"[ytiA, b4715, ECK4572]"
"EG10576"	"mdh"	"[mdh, b3236, ECK3225]"
"EG10016"	"garL"	"[garL, yhaF, b3126, ECK3114]"
"G6936"	"cedA"	"[cedA, ydjP, b1731, ECK1729]"
"EG30015"	"argV"	"[argV, argValpha, b2694, ECK2689]"
"EG12119"	"ychJ"	"[ychJ, b1233, ECK1228]"
"EG10374"	"ggt"	"[ggt, b3447, ECK3431]"
"EG12347"	"tcyN"	"[tcyN, yecC, b1917, ECK1916]"
"EG30105"	"trpT"	"[trpT, su7, su8, su9, supU, supV, b3761, ECK3755]"
"G7430"	"casA"	"[casA, ygcL, cse1, b2760, ECK2755]"
"EG11662"	"yedK"	"[yedK, yedG, b1931, ECK1930]"
"EG10368"	"epd"	"[epd, gapB, gap2, b2927, ECK2923]"
"G6721"	"paaY"	"[paaY, ydbZ, b1400, ECK1397]"
"G6444"	"rcdA"	"[rcdA, ybjK, b0846, ECK0836]"
"EG30062"	"metZ"	"[metZ, metZalpha, b2814, ECK2810]"
"G7604"	"ygjP"	"[ygjP, b3085, ECK3075]"
